tag,step,value,wall_time
env/return,0,0.43359375,1790140526.8893673
env/return,1,0.35546875,1790142808.7220943
env/return,2,0.26171875,1790144760.79892
env/return,3,0.30859375,1790147136.7484875
env/return,4,0.4140625,1790149040.741075
env/return,5,0.3515625,1790151440.3011594
env/return,6,0.3359375,1790153440.8990686
env/return,7,0.39453125,1790155766.7387998
env/return,8,0.4375,1790157781.2256274
env/return,9,0.35546875,1790160246.2556422
env/return,10,0.44921875,1790162152.7807896
env/return,11,0.42578125,1790164564.8589501
env/return,12,0.32421875,1790166506.7677777
env/return,13,0.390625,1790168846.2071724
env/return,14,0.3828125,1790170823.0815232
env/return,15,0.45703125,1790173170.1053066
env/return,16,0.46484375,1790175049.8057015
env/return,17,0.41015625,1790177366.3357935
env/return,18,0.39453125,1790179335.902916
env/return,19,0.45703125,1790181792.0693235
env/return,20,0.359375,1790183748.9680421
env/return,21,0.43359375,1790186103.8857508
env/return,22,0.46484375,1790188023.9461699
env/return,23,0.41015625,1790190345.1745672
env/return,24,0.3828125,1790192231.9389381
env/return,25,0.4765625,1790194494.549402
env/return,26,0.40234375,1790196422.5470083
env/return,27,0.390625,1790198763.1247952
env/return,28,0.421875,1790200662.8159504
env/return,29,0.4765625,1790203020.8350887
env/return,30,0.4140625,1790204922.0591848
env/return,31,0.484375,1790207233.7061098
env/return,32,0.48828125,1790209049.756969
env/return,33,0.359375,1790211340.0811489
env/return,34,0.33984375,1790213201.0961516
env/return,35,0.45703125,1790215531.6624596
env/return,36,0.328125,1790217491.3376026
env/return,37,0.53125,1790219934.2850235
env/return,38,0.48046875,1790221807.075429
env/episode_len,0,200.0,1790140526.8895116
env/episode_len,1,200.0,1790142808.722165
env/episode_len,2,200.0,1790144760.7990708
env/episode_len,3,200.0,1790147136.7485197
env/episode_len,4,200.0,1790149040.7411966
env/episode_len,5,200.0,1790151440.3011959
env/episode_len,6,200.0,1790153440.8992019
env/episode_len,7,200.0,1790155766.738831
env/episode_len,8,200.0,1790157781.2257051
env/episode_len,9,200.0,1790160246.255679
env/episode_len,10,200.0,1790162152.7809176
env/episode_len,11,200.0,1790164564.8590832
env/episode_len,12,200.0,1790166506.7678423
env/episode_len,13,200.0,1790168846.2072053
env/episode_len,14,200.0,1790170823.0816336
env/episode_len,15,200.0,1790173170.1053529
env/episode_len,16,200.0,1790175049.805779
env/episode_len,17,200.0,1790177366.3358753
env/episode_len,18,200.0,1790179335.903049
env/episode_len,19,200.0,1790181792.0693781
env/episode_len,20,200.0,1790183748.9681427
env/episode_len,21,200.0,1790186103.88579
env/episode_len,22,200.0,1790188023.9462538
env/episode_len,23,200.0,1790190345.1746314
env/episode_len,24,200.0,1790192231.9390345
env/episode_len,25,200.0,1790194494.5494633
env/episode_len,26,200.0,1790196422.5471168
env/episode_len,27,200.0,1790198763.1248329
env/episode_len,28,200.0,1790200662.8161168
env/episode_len,29,200.0,1790203020.835161
env/episode_len,30,200.0,1790204922.059298
env/episode_len,31,200.0,1790207233.7061732
env/episode_len,32,200.0,1790209049.7570603
env/episode_len,33,200.0,1790211340.0812182
env/episode_len,34,200.0,1790213201.0962842
env/episode_len,35,200.0,1790215531.662532
env/episode_len,36,200.0,1790217491.3376925
env/episode_len,37,200.0,1790219934.2850974
env/episode_len,38,200.0,1790221807.0754902
env/success_once,0,0.43359375,1790140526.889533
env/success_once,1,0.35546875,1790142808.722192
env/success_once,2,0.26171875,1790144760.799105
env/success_once,3,0.30859375,1790147136.7485301
env/success_once,4,0.4140625,1790149040.741227
env/success_once,5,0.3515625,1790151440.3012068
env/success_once,6,0.3359375,1790153440.899231
env/success_once,7,0.39453125,1790155766.738841
env/success_once,8,0.4375,1790157781.2257166
env/success_once,9,0.35546875,1790160246.2556915
env/success_once,10,0.44921875,1790162152.7809472
env/success_once,11,0.42578125,1790164564.8591013
env/success_once,12,0.32421875,1790166506.7678547
env/success_once,13,0.390625,1790168846.2072167
env/success_once,14,0.3828125,1790170823.0816648
env/success_once,15,0.45703125,1790173170.1053672
env/success_once,16,0.46484375,1790175049.805793
env/success_once,17,0.41015625,1790177366.3359106
env/success_once,18,0.39453125,1790179335.903089
env/success_once,19,0.45703125,1790181792.069394
env/success_once,20,0.359375,1790183748.968155
env/success_once,21,0.43359375,1790186103.8858018
env/success_once,22,0.46484375,1790188023.946266
env/success_once,23,0.41015625,1790190345.1746569
env/success_once,24,0.3828125,1790192231.9390578
env/success_once,25,0.4765625,1790194494.5494893
env/success_once,26,0.40234375,1790196422.547128
env/success_once,27,0.390625,1790198763.1248436
env/success_once,28,0.421875,1790200662.816147
env/success_once,29,0.4765625,1790203020.8351898
env/success_once,30,0.4140625,1790204922.0593245
env/success_once,31,0.484375,1790207233.7061965
env/success_once,32,0.48828125,1790209049.7570806
env/success_once,33,0.359375,1790211340.0812464
env/success_once,34,0.33984375,1790213201.096314
env/success_once,35,0.45703125,1790215531.6625583
env/success_once,36,0.328125,1790217491.3377104
env/success_once,37,0.53125,1790219934.285126
env/success_once,38,0.48046875,1790221807.0754998
env/reward,0,0.0021679685451090336,1790140526.8895485
env/reward,1,0.0017773436848074198,1790142808.7222164
env/reward,2,0.0013085936661809683,1790144760.7991316
env/reward,3,0.001542968675494194,1790147136.7485383
env/reward,4,0.002070312388241291,1790149040.7412496
env/reward,5,0.0017578124534338713,1790151440.3012152
