tag,completed_round,raw_step,value,wall_time
env/reward,1,0,0.0015624999068677425,1788684292.8006837
env/reward,2,1,0.0023437500931322575,1788685101.5567317
env/reward,3,2,0.002187499776482582,1788685895.2526166
env/reward,4,3,0.002031249925494194,1788686687.1704206
env/reward,5,4,0.002968749962747097,1788687814.3018856
env/reward,6,5,0.002968749962747097,1788688607.6670697
env/reward,7,6,0.0024999999441206455,1788689409.752265
env/reward,8,7,0.0024999999441206455,1788690197.4899147
env/reward,9,8,0.0026562500279396772,1788691002.5683072
env/reward,10,9,0.003281249664723873,1788692172.9251604
env/reward,11,10,0.002968749962747097,1788692947.7053242
env/reward,12,11,0.0034374999813735485,1788693732.477743
env/reward,13,12,0.003437499748542905,1788694526.248318
env/reward,14,13,0.0028124998789280653,1788695308.0467095
env/reward,15,14,0.002968749962747097,1788696411.6189198
env/reward,16,15,0.003281249664723873,1788697219.059884
env/reward,17,16,0.0026562497951090336,1788697982.2362742
env/reward,18,17,0.0028124998789280653,1788698756.3180509
env/reward,19,18,0.003281249897554517,1788699512.4750528
env/reward,20,19,0.002968749962747097,1788700619.1536
env/reward,21,20,0.003281249664723873,1788701425.1595714
env/reward,22,21,0.002968749962747097,1788702189.7740517
env/reward,23,22,0.0037499996833503246,1788702944.610419
env/reward,24,23,0.0026562500279396772,1788703711.7346222
env/reward,25,24,0.003124999813735485,1788704785.8860245
env/reward,26,25,0.0031250000465661287,1788705587.567387
env/reward,27,26,0.003281249897554517,1788706346.6724887
env/reward,28,27,0.0037499999161809683,1788707099.6236053
env/reward,29,28,0.003124999813735485,1788707868.4376996
env/reward,30,29,0.003124999813735485,1788708967.4834208
env/reward,31,30,0.003124999813735485,1788709762.643663
env/reward,32,31,0.0031250000465661287,1788710524.3117514
env/reward,33,32,0.003281249897554517,1788711280.1937888
env/reward,34,33,0.002968749962747097,1788712042.8341124
env/reward,35,34,0.0034374999813735485,1788713110.8882551
env/reward,36,35,0.002812500111758709,1788713905.3108852
env/reward,37,36,0.0034374999813735485,1788714655.1883073
env/reward,38,37,0.0035937500651925802,1788715413.0684955
env/reward,39,38,0.0034374999813735485,1788716162.9997735
env/reward,40,39,0.003124999813735485,1788717257.652883
env/reward,41,40,0.003124999813735485,1788718064.047439
env/reward,42,41,0.0037499996833503246,1788718822.717251
env/reward,43,42,0.002968749962747097,1788719578.675794
env/reward,44,43,0.0028124998789280653,1788720328.917881
env/reward,45,44,0.003437499748542905,1788721417.7578912
env/reward,46,45,0.002812500111758709,1788722204.3678384
env/reward,47,46,0.0034374999813735485,1788722960.859704
env/reward,48,47,0.0037499996833503246,1788723713.4357665
env/reward,49,48,0.0026562500279396772,1788724490.1157029
env/reward,50,49,0.0037499999161809683,1788725586.1369963
env/reward,51,50,0.003281249664723873,1788726362.1425567
env/reward,52,51,0.0034374999813735485,1788727135.5844576
env/reward,53,52,0.003437500214204192,1788727885.0750587
env/reward,54,53,0.0034374999813735485,1788728634.2879307
env/reward,55,54,0.0029687501955777407,1788729699.4422803
env/reward,56,55,0.0035937500651925802,1788730490.8858118
env/reward,57,56,0.0031250000465661287,1788731265.1105855
env/reward,58,57,0.0032812501303851604,1788732021.9467819
env/reward,59,58,0.004218750167638063,1788732779.7210767
env/reward,60,59,0.003281249664723873,1788733887.2121384
env/reward,61,60,0.0035937500651925802,1788734654.9740162
env/reward,62,61,0.00390625,1788735415.2438805
env/reward,63,62,0.004218750167638063,1788736161.2855082
env/reward,64,63,0.004062499850988388,1788736916.0480921
env/reward,65,64,0.0035937498323619366,1788737968.5046825
env/reward,66,65,0.003750000149011612,1788738749.043232
env/reward,67,66,0.0029687497299164534,1788739500.7697995
env/reward,68,67,0.00390625,1788740255.9471085
env/reward,69,68,0.0035937498323619366,1788741012.9103878
env/reward,70,69,0.0037499999161809683,1788742097.483403
env/reward,71,70,0.0035937500651925802,1788742853.0667489
env/reward,72,71,0.0035937500651925802,1788743628.7869022
env/reward,73,72,0.0035937498323619366,1788744388.4983654
env/reward,74,73,0.0035937498323619366,1788745145.1183977
env/reward,75,74,0.002968749962747097,1788746206.1746507
env/reward,76,75,0.003124999813735485,1788746988.016231
env/reward,77,76,0.003124999813735485,1788747765.9360795
env/reward,78,77,0.0035937498323619366,1788748516.4345655
env/reward,79,78,0.0035937498323619366,1788749290.4445734
env/reward,80,79,0.0028124998789280653,1788750399.1490755
env/reward,81,80,0.0037499999161809683,1788751162.093813
env/reward,82,81,0.003281249664723873,1788751935.6633844
env/reward,83,82,0.0034374999813735485,1788752696.1622682
env/reward,84,83,0.0034374999813735485,1788753458.9052908
env/reward,85,84,0.00390625,1788754556.2011719
env/reward,86,85,0.003281249664723873,1788755330.3139548
env/reward,87,86,0.0024999999441206455,1788756084.0958002
env/reward,88,87,0.0035937498323619366,1788756874.7613184
env/success_once,1,0,0.3125,1788684292.8007464
env/success_once,2,1,0.46875,1788685101.5567565
env/success_once,3,2,0.4375,1788685895.25269
env/success_once,4,3,0.40625,1788686687.1704762
env/success_once,5,4,0.59375,1788687814.301926
env/success_once,6,5,0.59375,1788688607.667126
env/success_once,7,6,0.5,1788689409.7523458
env/success_once,8,7,0.5,1788690197.489988
env/success_once,9,8,0.53125,1788691002.5683734
env/success_once,10,9,0.65625,1788692172.925188
env/success_once,11,10,0.59375,1788692947.705386
env/success_once,12,11,0.6875,1788693732.4778051
env/success_once,13,12,0.6875,1788694526.2483723
env/success_once,14,13,0.5625,1788695308.046766
env/success_once,15,14,0.59375,1788696411.618957
env/success_once,16,15,0.65625,1788697219.059941
env/success_once,17,16,0.53125,1788697982.2363343
env/success_once,18,17,0.5625,1788698756.3181162
env/success_once,19,18,0.65625,1788699512.4751103
env/success_once,20,19,0.59375,1788700619.1536264
env/success_once,21,20,0.65625,1788701425.159666
env/success_once,22,21,0.59375,1788702189.7741225
env/success_once,23,22,0.75,1788702944.6104872
env/success_once,24,23,0.53125,1788703711.7346804
env/success_once,25,24,0.625,1788704785.8860846
env/success_once,26,25,0.625,1788705587.5674555
env/success_once,27,26,0.65625,1788706346.6725426
env/success_once,28,27,0.75,1788707099.6236787
env/success_once,29,28,0.625,1788707868.4377687
env/success_once,30,29,0.625,1788708967.4834476
env/success_once,31,30,0.625,1788709762.6437187
env/success_once,32,31,0.625,1788710524.3118026
env/success_once,33,32,0.65625,1788711280.1938465
env/success_once,34,33,0.59375,1788712042.8341713
env/success_once,35,34,0.6875,1788713110.888294
env/success_once,36,35,0.5625,1788713905.3109827
env/success_once,37,36,0.6875,1788714655.1883738
env/success_once,38,37,0.71875,1788715413.0685523
env/success_once,39,38,0.6875,1788716162.9998443
env/success_once,40,39,0.625,1788717257.6529531
env/success_once,41,40,0.625,1788718064.0475185
env/success_once,42,41,0.75,1788718822.7173316
env/success_once,43,42,0.59375,1788719578.6758516
env/success_once,44,43,0.5625,1788720328.9179292
env/success_once,45,44,0.6875,1788721417.7579243
env/success_once,46,45,0.5625,1788722204.3678885
env/success_once,47,46,0.6875,1788722960.8597515
env/success_once,48,47,0.75,1788723713.4358134
env/success_once,49,48,0.53125,1788724490.1157486
env/success_once,50,49,0.75,1788725586.13702
env/success_once,51,50,0.65625,1788726362.1426153
env/success_once,52,51,0.6875,1788727135.5845156
env/success_once,53,52,0.6875,1788727885.0751197
env/success_once,54,53,0.6875,1788728634.2880056
env/success_once,55,54,0.59375,1788729699.4423094
env/success_once,56,55,0.71875,1788730490.8858838
env/success_once,57,56,0.625,1788731265.110712
env/success_once,58,57,0.65625,1788732021.9468393
env/success_once,59,58,0.84375,1788732779.7211506
env/success_once,60,59,0.65625,1788733887.212177
env/success_once,61,60,0.71875,1788734654.9740653
env/success_once,62,61,0.78125,1788735415.2439406
env/success_once,63,62,0.84375,1788736161.285567
env/success_once,64,63,0.8125,1788736916.0481431
env/success_once,65,64,0.71875,1788737968.5047128
env/success_once,66,65,0.75,1788738749.043283
env/success_once,67,66,0.59375,1788739500.7699378
env/success_once,68,67,0.78125,1788740255.9471664
env/success_once,69,68,0.71875,1788741012.9104626
env/success_once,70,69,0.75,1788742097.4834304
env/success_once,71,70,0.71875,1788742853.0668015
env/success_once,72,71,0.71875,1788743628.7869773
env/success_once,73,72,0.71875,1788744388.4984272
env/success_once,74,73,0.71875,1788745145.1184711
env/success_once,75,74,0.59375,1788746206.174682
env/success_once,76,75,0.625,1788746988.016296
env/success_once,77,76,0.625,1788747765.936216
env/success_once,78,77,0.71875,1788748516.4346325
env/success_once,79,78,0.71875,1788749290.4446397
env/success_once,80,79,0.5625,1788750399.1491067
env/success_once,81,80,0.75,1788751162.0938878
env/success_once,82,81,0.65625,1788751935.6635108
env/success_once,83,82,0.6875,1788752696.1623344
env/success_once,84,83,0.6875,1788753458.9053612
env/success_once,85,84,0.78125,1788754556.2011943
env/success_once,86,85,0.65625,1788755330.31398
env/success_once,87,86,0.5,1788756084.0959792
env/success_once,88,87,0.71875,1788756874.7613816
env/episode_len,1,0,200.0,1788684292.8007584
env/episode_len,2,1,200.0,1788685101.5567658
env/episode_len,3,2,200.0,1788685895.252706
env/episode_len,4,3,200.0,1788686687.1704862
