tag,completed_round,raw_step,value,wall_time
env/success_once,1,0,0.25,1788757774.5483963
env/success_once,2,1,0.625,1788757955.2163782
env/success_once,3,2,0.25,1788758134.5622387
env/success_once,4,3,0.625,1788758307.6804364
env/success_once,5,4,0.5,1788758835.1736171
env/success_once,6,5,0.5,1788759024.0025415
env/success_once,7,6,0.625,1788759202.5512478
env/success_once,8,7,0.75,1788759386.4265022
env/success_once,9,8,0.625,1788759564.1211004
env/success_once,10,9,0.75,1788760100.3851068
env/success_once,11,10,0.75,1788760277.536261
env/success_once,12,11,0.5,1788760448.780906
env/success_once,13,12,0.625,1788760622.5037017
env/success_once,14,13,0.625,1788760790.4754303
env/success_once,15,14,0.25,1788761304.875487
env/success_once,16,15,0.5,1788761491.2224793
env/success_once,17,16,0.625,1788761669.651033
env/success_once,18,17,0.25,1788761849.1794977
env/success_once,19,18,0.75,1788762019.7874796
env/success_once,20,19,0.625,1788762571.8094862
env/success_once,21,20,0.625,1788762740.354698
env/success_once,22,21,0.75,1788762917.74066
env/success_once,23,22,0.5,1788763090.676596
env/success_once,24,23,0.625,1788763272.3122315
env/success_once,25,24,0.375,1788763759.9189465
env/success_once,26,25,0.5,1788763947.4073186
env/success_once,27,26,0.875,1788764128.93457
env/success_once,28,27,0.75,1788764299.2348895
env/success_once,29,28,0.875,1788764479.53097
env/success_once,30,29,0.625,1788765004.7366278
env/success_once,31,30,0.75,1788765174.0044575
env/success_once,32,31,0.25,1788765352.6821425
env/success_once,33,32,0.75,1788765522.965755
env/success_once,34,33,0.875,1788765699.396068
env/success_once,35,34,0.875,1788766205.0575686
env/success_once,36,35,0.75,1788766387.9653883
env/success_once,37,36,0.75,1788766555.167723
env/success_once,38,37,0.25,1788766738.1466908
env/success_once,39,38,0.875,1788766911.822447
env/success_once,40,39,0.125,1788767448.322777
env/success_once,41,40,0.875,1788767627.3835835
env/success_once,42,41,0.75,1788767806.0198925
env/success_once,43,42,0.625,1788767983.5444305
