tag,completed_round,raw_step,value,wall_time
env/episode_len,1,0,200.0,1788680085.6821382
env/episode_len,2,1,200.0,1788681392.66923
env/episode_len,3,2,200.0,1788682707.4858425
env/episode_len,4,3,200.0,1788684036.5359147
env/episode_len,5,4,200.0,1788685567.7630117
env/episode_len,6,5,200.0,1788686791.160521
env/episode_len,7,6,200.0,1788688063.2788188
env/episode_len,8,7,200.0,1788689343.914761
env/episode_len,9,8,200.0,1788690653.9904194
env/episode_len,10,9,200.0,1788692253.7121017
env/episode_len,11,10,200.0,1788693519.8050892
env/episode_len,12,11,200.0,1788694765.2961078
env/episode_len,13,12,200.0,1788696023.0760314
env/episode_len,14,13,200.0,1788697305.0103638
env/episode_len,15,14,200.0,1788698806.7570736
env/episode_len,16,15,200.0,1788700033.1572468
env/episode_len,17,16,200.0,1788701301.6428483
env/episode_len,18,17,200.0,1788702510.483511
env/episode_len,19,18,200.0,1788703724.576846
env/episode_len,20,19,200.0,1788705298.3899696
env/episode_len,21,20,200.0,1788706530.1765575
env/episode_len,22,21,200.0,1788707800.1050096
env/episode_len,23,22,200.0,1788709018.3769913
env/episode_len,24,23,200.0,1788710299.3352978
env/episode_len,25,24,200.0,1788711762.9931242
env/episode_len,26,25,200.0,1788713002.4045966
env/episode_len,27,26,200.0,1788714257.043725
env/episode_len,28,27,200.0,1788715524.9463677
env/episode_len,29,28,200.0,1788716733.9119375
env/episode_len,30,29,200.0,1788718293.7477338
env/episode_len,31,30,200.0,1788719516.4336402
env/episode_len,32,31,200.0,1788720732.415075
env/episode_len,33,32,200.0,1788721986.5006852
env/episode_len,34,33,200.0,1788723187.065175
env/episode_len,35,34,200.0,1788724673.204624
env/episode_len,36,35,200.0,1788725885.0123165
env/episode_len,37,36,200.0,1788727146.1808517
env/episode_len,38,37,200.0,1788728346.7912514
env/episode_len,39,38,200.0,1788729593.9260879
env/episode_len,40,39,200.0,1788731209.4648414
env/episode_len,41,40,200.0,1788732453.1155005
env/episode_len,42,41,200.0,1788733708.721532
env/episode_len,43,42,200.0,1788734927.959039
env/episode_len,44,43,200.0,1788736131.386043
env/episode_len,45,44,200.0,1788737601.4505565
env/episode_len,46,45,200.0,1788738876.4295685
env/episode_len,47,46,200.0,1788740081.6573372
env/episode_len,48,47,200.0,1788741287.8417053
env/episode_len,49,48,200.0,1788742489.7610283
env/episode_len,50,49,200.0,1788743990.6496975
env/episode_len,51,50,200.0,1788745212.4145603
env/episode_len,52,51,200.0,1788746420.912815
env/episode_len,53,52,200.0,1788747685.3894231
env/episode_len,54,53,200.0,1788748896.4598398
env/episode_len,55,54,200.0,1788750403.6154475
env/episode_len,56,55,200.0,1788751650.6038322
env/episode_len,57,56,200.0,1788752891.789518
env/episode_len,58,57,200.0,1788754148.1893091
env/episode_len,59,58,200.0,1788755460.5836236
env/episode_len,60,59,200.0,1788757051.7392428
env/success_once,1,0,0.40625,1788680085.6822214
env/success_once,2,1,0.359375,1788681392.6692982
env/success_once,3,2,0.41015625,1788682707.485898
env/success_once,4,3,0.4609375,1788684036.5359674
env/success_once,5,4,0.5,1788685567.7630382
env/success_once,6,5,0.5234375,1788686791.1605732
env/success_once,7,6,0.53515625,1788688063.2788794
env/success_once,8,7,0.390625,1788689343.9148118
env/success_once,9,8,0.4453125,1788690653.9904563
env/success_once,10,9,0.421875,1788692253.7121267
env/success_once,11,10,0.4921875,1788693519.8051288
env/success_once,12,11,0.44921875,1788694765.296148
env/success_once,13,12,0.45703125,1788696023.0760746
env/success_once,14,13,0.4765625,1788697305.0104048
env/success_once,15,14,0.52734375,1788698806.7570984
env/success_once,16,15,0.5703125,1788700033.1573026
env/success_once,17,16,0.640625,1788701301.6428852
env/success_once,18,17,0.57421875,1788702510.4835753
env/success_once,19,18,0.51171875,1788703724.5768888
env/success_once,20,19,0.55078125,1788705298.3899977
env/success_once,21,20,0.5625,1788706530.1766052
env/success_once,22,21,0.4140625,1788707800.1050467
env/success_once,23,22,0.546875,1788709018.3770478
env/success_once,24,23,0.48828125,1788710299.3353477
env/success_once,25,24,0.53125,1788711762.9931452
env/success_once,26,25,0.59765625,1788713002.4046478
env/success_once,27,26,0.54296875,1788714257.0437787
env/success_once,28,27,0.484375,1788715524.946431
env/success_once,29,28,0.56640625,1788716733.9119797
env/success_once,30,29,0.515625,1788718293.7477622
env/success_once,31,30,0.5703125,1788719516.4336941
env/success_once,32,31,0.64453125,1788720732.4151294
env/success_once,33,32,0.56640625,1788721986.5007427
env/success_once,34,33,0.51953125,1788723187.0652125
env/success_once,35,34,0.5,1788724673.204643
env/success_once,36,35,0.453125,1788725885.012374
env/success_once,37,36,0.42578125,1788727146.1809025
env/success_once,38,37,0.45703125,1788728346.7912827
env/success_once,39,38,0.35546875,1788729593.9261324
env/success_once,40,39,0.3828125,1788731209.4648774
env/success_once,41,40,0.375,1788732453.1155431
env/success_once,42,41,0.37109375,1788733708.7215567
env/success_once,43,42,0.45703125,1788734927.959082
env/success_once,44,43,0.3515625,1788736131.386084
env/success_once,45,44,0.51171875,1788737601.4506164
env/success_once,46,45,0.640625,1788738876.4296172
env/success_once,47,46,0.5390625,1788740081.6573951
env/success_once,48,47,0.6015625,1788741287.8417504
env/success_once,49,48,0.5703125,1788742489.761069
env/success_once,50,49,0.53515625,1788743990.649729
env/success_once,51,50,0.640625,1788745212.414602
env/success_once,52,51,0.56640625,1788746420.91287
env/success_once,53,52,0.515625,1788747685.3894823
env/success_once,54,53,0.671875,1788748896.4598806
env/success_once,55,54,0.60546875,1788750403.6154876
env/success_once,56,55,0.625,1788751650.6038795
env/success_once,57,56,0.5703125,1788752891.7896016
env/success_once,58,57,0.55859375,1788754148.1893554
env/success_once,59,58,0.55859375,1788755460.5836482
env/success_once,60,59,0.56640625,1788757051.7392778
env/reward,1,0,0.002031249925494194,1788680085.6822324
env/reward,2,1,0.001796875149011612,1788681392.6693065
env/reward,3,2,0.0020507811568677425,1788682707.485909
env/reward,4,3,0.002304687397554517,1788684036.5359793
env/reward,5,4,0.002499999711290002,1788685567.7630472
env/reward,6,5,0.002617187099531293,1788686791.1605833
env/reward,7,6,0.0026757807936519384,1788688063.2788882
env/reward,8,7,0.001953125,1788689343.914823
env/reward,9,8,0.0022265624720603228,1788690653.9904642
env/reward,10,9,0.002109374850988388,1788692253.7121344
env/reward,11,10,0.002460937248542905,1788693519.805135
env/reward,12,11,0.0022460937034338713,1788694765.2961564
env/reward,13,12,0.0022851561661809683,1788696023.0760827
env/reward,14,13,0.002382812323048711,1788697305.0104134
env/reward,15,14,0.002636718563735485,1788698806.757108
env/reward,16,15,0.0028515623416751623,1788700033.1573114
env/reward,17,16,0.0032031252048909664,1788701301.6428933
env/reward,18,17,0.002871093573048711,1788702510.4835837
env/reward,19,18,0.002558593638241291,1788703724.576898
env/reward,20,19,0.002753905951976776,1788705298.3900065
env/reward,21,20,0.0028124996460974216,1788706530.1766138
env/reward,22,21,0.002070312388241291,1788707800.1050532
env/reward,23,22,0.0027343749534338713,1788709018.3770566
env/reward,24,23,0.00244140625,1788710299.3353562
env/reward,25,24,0.0026562497951090336,1788711762.9931533
env/reward,26,25,0.0029882811941206455,1788713002.4046557
env/reward,27,26,0.0027148437220603228,1788714257.0437903
env/reward,28,27,0.002421874785795808,1788715524.9464445
env/reward,29,28,0.002832031110301614,1788716733.9119883
env/reward,30,29,0.0025781248696148396,1788718293.7477703
env/reward,31,30,0.0028515623416751623,1788719516.433703
env/reward,32,31,0.0032226559706032276,1788720732.4151404
env/reward,33,32,0.00283203087747097,1788721986.5007532
env/reward,34,33,0.002597656100988388,1788723187.065221
env/reward,35,34,0.002499999711290002,1788724673.2046492
env/reward,36,35,0.0022656249348074198,1788725885.0123827
env/reward,37,36,0.0021289060823619366,1788727146.1809132
env/reward,38,37,0.0022851559333503246,1788728346.7912903
env/reward,39,38,0.0017773436848074198,1788729593.9261415
env/reward,40,39,0.001914062537252903,1788731209.4648893
env/reward,41,40,0.0018749998416751623,1788732453.1155517
env/reward,42,41,0.0018554686103016138,1788733708.7215648
env/reward,43,42,0.0022851561661809683,1788734927.9590902
env/reward,44,43,0.0017578124534338713,1788736131.3860922
env/reward,45,44,0.0025585934054106474,1788737601.450642
env/reward,46,45,0.003203124739229679,1788738876.4296255
env/reward,47,46,0.0026953122578561306,1788740081.6574037
env/reward,48,47,0.0030078121926635504,1788741287.8417597
env/reward,49,48,0.0028515623416751623,1788742489.7617378
env/reward,50,49,0.002675781026482582,1788743990.649739
env/reward,51,50,0.003203124739229679,1788745212.4146104
env/reward,52,51,0.002832031110301614,1788746420.912879
env/reward,53,52,0.0025781248696148396,1788747685.3894904
env/reward,54,53,0.003359374823048711,1788748896.459889
env/reward,55,54,0.003027343424037099,1788750403.6155026
env/reward,56,55,0.003124999813735485,1788751650.603889
env/reward,57,56,0.0028515623416751623,1788752891.7896152
env/reward,58,57,0.002792968414723873,1788754148.1893644
env/reward,59,58,0.002792968647554517,1788755460.5836563
env/reward,60,59,0.00283203087747097,1788757051.7392871
env/return,1,0,0.40625,1788680085.6822402
env/return,2,1,0.359375,1788681392.6693127
env/return,3,2,0.41015625,1788682707.4859173
env/return,4,3,0.4609375,1788684036.5359886
env/return,5,4,0.5,1788685567.7630541
env/return,6,5,0.5234375,1788686791.1605902
env/return,7,6,0.53515625,1788688063.2788944
env/return,8,7,0.390625,1788689343.9148312
env/return,9,8,0.4453125,1788690653.9904697
env/return,10,9,0.421875,1788692253.7121403
env/return,11,10,0.4921875,1788693519.8051398
env/return,12,11,0.44921875,1788694765.2961624
env/return,13,12,0.45703125,1788696023.076089
env/return,14,13,0.4765625,1788697305.0104191
env/return,15,14,0.52734375,1788698806.757117
env/return,16,15,0.5703125,1788700033.1573179
env/return,17,16,0.640625,1788701301.6428995
env/return,18,17,0.57421875,1788702510.4835927
env/return,19,18,0.51171875,1788703724.5769045
env/return,20,19,0.55078125,1788705298.390013
env/return,21,20,0.5625,1788706530.1766205
env/return,22,21,0.4140625,1788707800.1050577
env/return,23,22,0.546875,1788709018.3770626
env/return,24,23,0.48828125,1788710299.3353617
env/return,25,24,0.53125,1788711762.993159
env/return,26,25,0.59765625,1788713002.4046617
env/return,27,26,0.54296875,1788714257.0437994
env/return,28,27,0.484375,1788715524.946456
env/return,29,28,0.56640625,1788716733.9119942
env/return,30,29,0.515625,1788718293.7477765
env/return,31,30,0.5703125,1788719516.4337091
env/return,32,31,0.64453125,1788720732.4151483
env/return,33,32,0.56640625,1788721986.5007591
env/return,34,33,0.51953125,1788723187.0652273
env/return,35,34,0.5,1788724673.204654
env/return,36,35,0.453125,1788725885.0123892
env/return,37,36,0.42578125,1788727146.1809204
env/return,38,37,0.45703125,1788728346.7912965
env/return,39,38,0.35546875,1788729593.9261472
env/return,40,39,0.3828125,1788731209.4648986
env/return,41,40,0.375,1788732453.1155577
env/return,42,41,0.37109375,1788733708.7215705
env/return,43,42,0.45703125,1788734927.9590971
env/return,44,43,0.3515625,1788736131.3860981
env/return,45,44,0.51171875,1788737601.4506645
env/return,46,45,0.640625,1788738876.4296312
env/return,47,46,0.5390625,1788740081.6574118
env/return,48,47,0.6015625,1788741287.8417673
env/return,49,48,0.5703125,1788742489.7617462
env/return,50,49,0.53515625,1788743990.6497471
env/return,51,50,0.640625,1788745212.414617
env/return,52,51,0.56640625,1788746420.9128869
env/return,53,52,0.515625,1788747685.389497
env/return,54,53,0.671875,1788748896.4598951
env/return,55,54,0.60546875,1788750403.6155152
env/return,56,55,0.625,1788751650.603896
env/return,57,56,0.5703125,1788752891.7896261
env/return,58,57,0.55859375,1788754148.1893706
env/return,59,58,0.55859375,1788755460.5836618
env/return,60,59,0.56640625,1788757051.739293
env/num_trajectories,1,0,256.0,1788680085.6822827
env/num_trajectories,2,1,256.0,1788681392.6693454
env/num_trajectories,3,2,256.0,1788682707.485949
env/num_trajectories,4,3,256.0,1788684036.5360177
env/num_trajectories,5,4,256.0,1788685567.7630696
env/num_trajectories,6,5,256.0,1788686791.160625
env/num_trajectories,7,6,256.0,1788688063.2789292
env/num_trajectories,8,7,256.0,1788689343.9148624
env/num_trajectories,9,8,256.0,1788690653.9904907
env/num_trajectories,10,9,256.0,1788692253.7121577
env/num_trajectories,11,10,256.0,1788693519.8051605
env/num_trajectories,12,11,256.0,1788694765.2961876
env/num_trajectories,13,12,256.0,1788696023.0761032
env/num_trajectories,14,13,256.0,1788697305.0104437
env/num_trajectories,15,14,256.0,1788698806.757132
env/num_trajectories,16,15,256.0,1788700033.1573493
env/num_trajectories,17,16,256.0,1788701301.6429195
env/num_trajectories,18,17,256.0,1788702510.48363
env/num_trajectories,19,18,256.0,1788703724.5769296
env/num_trajectories,20,19,256.0,1788705298.3900275
env/num_trajectories,21,20,256.0,1788706530.1766462
env/num_trajectories,22,21,256.0,1788707800.1050794
env/num_trajectories,23,22,256.0,1788709018.3770957
env/num_trajectories,24,23,256.0,1788710299.335388
env/num_trajectories,25,24,256.0,1788711762.9931707
env/num_trajectories,26,25,256.0,1788713002.404692
env/num_trajectories,27,26,256.0,1788714257.0438302
env/num_trajectories,28,27,256.0,1788715524.9464927
env/num_trajectories,29,28,256.0,1788716733.9120197
env/num_trajectories,30,29,256.0,1788718293.7477913
env/num_trajectories,31,30,256.0,1788719516.4337404
env/num_trajectories,32,31,256.0,1788720732.4151807
env/num_trajectories,33,32,256.0,1788721986.5007937
env/num_trajectories,34,33,256.0,1788723187.0652437
env/num_trajectories,35,34,256.0,1788724673.2046642
env/num_trajectories,36,35,256.0,1788725885.0124226
env/num_trajectories,37,36,256.0,1788727146.180953
env/num_trajectories,38,37,256.0,1788728346.7913113
env/num_trajectories,39,38,256.0,1788729593.9261727
env/num_trajectories,40,39,256.0,1788731209.4649222
env/num_trajectories,41,40,256.0,1788732453.1155856
env/num_trajectories,42,41,256.0,1788733708.7215846
env/num_trajectories,43,42,256.0,1788734927.9591238
env/num_trajectories,44,43,256.0,1788736131.3861237
env/num_trajectories,45,44,256.0,1788737601.450701
env/num_trajectories,46,45,256.0,1788738876.4296563
env/num_trajectories,47,46,256.0,1788740081.657446
env/num_trajectories,48,47,256.0,1788741287.841795
env/num_trajectories,49,48,256.0,1788742489.7617738
env/num_trajectories,50,49,256.0,1788743990.6497648
env/num_trajectories,51,50,256.0,1788745212.4146419
env/num_trajectories,52,51,256.0,1788746420.9129183
env/num_trajectories,53,52,256.0,1788747685.3895316
env/num_trajectories,54,53,256.0,1788748896.45992
env/num_trajectories,55,54,256.0,1788750403.6155376
env/num_trajectories,56,55,256.0,1788751650.603923
env/num_trajectories,57,56,256.0,1788752891.7896695
env/num_trajectories,58,57,256.0,1788754148.1894
env/num_trajectories,59,58,256.0,1788755460.5836763
env/num_trajectories,60,59,256.0,1788757051.7393165
rollout/rewards,1,0,0.0021262457594275475,1788680085.6822963
rollout/rewards,2,1,0.002355953911319375,1788681392.6693583
