tag,completed_round,raw_tensorboard_step,value,wall_time
env/return,1,0,0.5,1788623687.9420078
env/return,2,1,0.625,1788624467.493008
env/return,3,2,0.53125,1788625236.4933088
env/return,4,3,0.5625,1788625994.0582566
env/return,5,4,0.5625,1788627050.5882833
env/return,6,5,0.4375,1788627833.6487007
env/return,7,6,0.625,1788628601.1781914
env/return,8,7,0.5,1788629398.149427
env/return,9,8,0.53125,1788630153.4608557
env/return,10,9,0.71875,1788631285.7313871
env/return,11,10,0.6875,1788632074.747486
env/return,12,11,0.71875,1788632847.9793122
env/return,13,12,0.625,1788633643.0483353
env/return,14,13,0.59375,1788634433.9449086
env/return,15,14,0.75,1788635579.5131335
env/return,16,15,0.6875,1788636336.910203
env/return,17,16,0.6875,1788637138.740029
env/return,18,17,0.59375,1788637933.0698266
env/return,19,18,0.75,1788638718.5999446
env/return,20,19,0.78125,1788639815.3610497
env/return,21,20,0.71875,1788640569.129319
env/return,22,21,0.59375,1788641350.9169147
env/return,23,22,0.8125,1788642123.5263584
env/return,24,23,0.625,1788642890.943938
env/return,25,24,0.59375,1788643997.5012789
env/return,26,25,0.65625,1788644752.0496671
env/return,27,26,0.65625,1788645549.4340217
env/return,28,27,0.71875,1788646303.4859693
env/return,29,28,0.65625,1788647078.6628015
env/return,30,29,0.65625,1788648220.7927742
env/return,31,30,0.6875,1788648981.7255385
env/return,32,31,0.625,1788649746.3426142
env/return,33,32,0.8125,1788650526.6808026
env/return,34,33,0.6875,1788651303.5403106
env/return,35,34,0.5,1788652412.6846514
env/return,36,35,0.65625,1788653159.9763877
env/return,37,36,0.5,1788653931.556849
env/return,38,37,0.65625,1788654696.7037597
env/return,39,38,0.75,1788655476.992403
env/return,40,39,0.65625,1788656601.0250337
env/return,41,40,0.71875,1788657408.6478205
env/return,42,41,0.71875,1788658166.8280852
env/return,43,42,0.78125,1788658953.0453224
env/return,44,43,0.71875,1788659751.0520294
env/return,45,44,0.6875,1788660870.3569407
env/return,46,45,0.71875,1788661641.9412396
env/return,47,46,0.71875,1788662386.3644547
env/return,48,47,0.5625,1788663156.4159558
env/return,49,48,0.625,1788663924.9800942
env/return,50,49,0.875,1788665087.5989232
env/return,51,50,0.6875,1788665831.4979405
env/return,52,51,0.75,1788666573.982212
env/return,53,52,0.71875,1788667355.3925612
env/return,54,53,0.8125,1788668124.4204404
env/return,55,54,0.75,1788669231.2205153
env/return,56,55,0.625,1788670018.0677037
env/return,57,56,0.65625,1788670777.1362448
env/return,58,57,0.65625,1788671536.9532323
env/return,59,58,0.84375,1788672312.0003986
env/return,60,59,0.71875,1788673440.4929743
env/return,61,60,0.75,1788674238.309104
env/return,62,61,0.78125,1788675010.5834422
env/return,63,62,0.6875,1788675776.82367
env/return,64,63,0.65625,1788676538.1652818
env/return,65,64,0.71875,1788677614.7660618
env/return,66,65,0.65625,1788678394.616979
env/return,67,66,0.71875,1788679189.8949912
env/return,68,67,0.53125,1788679975.9292057
env/return,69,68,0.65625,1788680733.9736438
env/reward,1,0,0.0024999999441206455,1788623687.942097
env/reward,2,1,0.0031249995809048414,1788624467.4930658
env/reward,3,2,0.0026562497951090336,1788625236.4933577
env/reward,4,3,0.0028124998789280653,1788625994.0583074
env/reward,5,4,0.0028124998789280653,1788627050.5883553
env/reward,6,5,0.002187499776482582,1788627833.6488512
env/reward,7,6,0.0031250000465661287,1788628601.1782653
env/reward,8,7,0.0024999999441206455,1788629398.1494915
env/reward,9,8,0.0026562500279396772,1788630153.460906
env/reward,10,9,0.003593750298023224,1788631285.7314258
env/reward,11,10,0.0034374999813735485,1788632074.747528
env/reward,12,11,0.0035937498323619366,1788632847.9793725
env/reward,13,12,0.003124999813735485,1788633643.0483968
env/reward,14,13,0.002968749962747097,1788634433.9449666
env/reward,15,14,0.0037499996833503246,1788635579.5131855
env/reward,16,15,0.0034374999813735485,1788636336.9102445
env/reward,17,16,0.0034374999813735485,1788637138.7400877
env/reward,18,17,0.0029687501955777407,1788637933.0698926
env/reward,19,18,0.0037499999161809683,1788638718.6000035
env/reward,20,19,0.00390625,1788639815.3610852
env/reward,21,20,0.0035937498323619366,1788640569.1293705
env/reward,22,21,0.002968749962747097,1788641350.9169655
env/reward,23,22,0.004062499850988388,1788642123.5264056
env/reward,24,23,0.003124999813735485,1788642890.9440055
env/reward,25,24,0.002968749962747097,1788643997.5013247
env/reward,26,25,0.0032812501303851604,1788644752.0498173
env/reward,27,26,0.0032812501303851604,1788645549.4340713
env/reward,28,27,0.0035937498323619366,1788646303.486024
env/reward,29,28,0.003281249897554517,1788647078.6628504
env/reward,30,29,0.003281249897554517,1788648220.7927988
env/reward,31,30,0.0034374999813735485,1788648981.725595
env/reward,32,31,0.0031250000465661287,1788649746.3426578
env/reward,33,32,0.004062499850988388,1788650526.680862
env/reward,34,33,0.0034374999813735485,1788651303.5403683
env/reward,35,34,0.0024999999441206455,1788652412.6846874
env/reward,36,35,0.003281249897554517,1788653159.976434
env/reward,37,36,0.0024999999441206455,1788653931.55691
env/reward,38,37,0.003281249897554517,1788654696.7038841
env/reward,39,38,0.0037499996833503246,1788655476.9924765
env/reward,40,39,0.0032812501303851604,1788656601.0250697
env/reward,41,40,0.0035937498323619366,1788657408.6478796
env/reward,42,41,0.0035937498323619366,1788658166.8281145
env/reward,43,42,0.0039062497671693563,1788658953.0454009
env/reward,44,43,0.0035937498323619366,1788659751.0521073
env/reward,45,44,0.003437499748542905,1788660870.3569984
env/reward,46,45,0.0035937500651925802,1788661641.9412928
env/reward,47,46,0.0035937498323619366,1788662386.3645184
env/reward,48,47,0.0028124996460974216,1788663156.4160523
env/reward,49,48,0.0031250000465661287,1788663924.9801557
env/reward,50,49,0.0043750000186264515,1788665087.5989506
env/reward,51,50,0.0034374999813735485,1788665831.4979959
env/reward,52,51,0.003750000149011612,1788666573.982275
env/reward,53,52,0.0035937498323619366,1788667355.392617
env/reward,54,53,0.004062499850988388,1788668124.4205039
env/reward,55,54,0.0037499996833503246,1788669231.2205741
env/reward,56,55,0.003124999813735485,1788670018.0677543
env/reward,57,56,0.0032812501303851604,1788670777.1362958
env/reward,58,57,0.003281249897554517,1788671536.9532928
env/reward,59,58,0.004218749701976776,1788672312.000444
env/reward,60,59,0.0035937498323619366,1788673440.493
env/reward,61,60,0.003750000149011612,1788674238.3091524
env/reward,62,61,0.00390625,1788675010.583516
env/reward,63,62,0.0034374999813735485,1788675776.823736
env/reward,64,63,0.003281249897554517,1788676538.1653392
env/reward,65,64,0.0035937498323619366,1788677614.7661123
env/reward,66,65,0.003281250363215804,1788678394.6170251
env/reward,67,66,0.0035937498323619366,1788679189.8950453
env/reward,68,67,0.0026562497951090336,1788679975.9292648
env/reward,69,68,0.003281249897554517,1788680733.9736934
env/episode_len,1,0,200.0,1788623687.9421077
