tag,round,raw_step,value,wall_time
env/success_once,1,0,0.375,1789364298.250976
env/success_once,2,1,0.375,1789365625.2686126
env/success_once,3,2,0.625,1789366786.8510883
env/success_once,4,3,0.25,1789367989.9938464
env/success_once,5,4,0.25,1789369603.3060615
env/success_once,6,5,0.375,1789370813.7908354
env/success_once,7,6,0.375,1789372076.543999
env/success_once,8,7,0.375,1789373332.5586429
env/success_once,9,8,0.375,1789374569.3036613
env/success_once,10,9,0.5,1789376367.8671913
env/success_once,11,10,0.5,1789377504.629949
env/success_once,12,11,0.75,1789378768.4052842
env/success_once,13,12,0.5,1789380066.3684492
env/success_once,14,13,0.5,1789381231.446618
env/success_once,15,14,0.25,1789382968.1691554
env/success_once,16,15,0.75,1789384235.139116
env/success_once,17,16,0.375,1789385530.6469553
env/success_once,18,17,0.25,1789386846.6374838
env/success_once,19,18,0.375,1789387972.8473675
env/success_once,20,19,0.375,1789389702.8290758
env/success_once,21,20,0.375,1789391014.8281217
env/success_once,22,21,0.5,1789392318.9707527
env/success_once,23,22,0.625,1789393564.1280413
env/success_once,24,23,0.375,1789394717.315117
env/success_once,25,24,0.5,1789396426.9238908
env/success_once,26,25,0.5,1789397688.285048
env/success_once,27,26,0.25,1789398967.8950963
env/success_once,28,27,0.625,1789400231.1838138
env/success_once,29,28,1.0,1789401475.889814
env/reward,1,0,0.001953125,1789364298.2510715
env/reward,2,1,0.001953125,1789365625.2686758
env/reward,3,2,0.0032552084885537624,1789366786.8511565
env/reward,4,3,0.0013020833721384406,1789367989.9938946
env/reward,5,4,0.0013020833721384406,1789369603.3060837
env/reward,6,5,0.001953125,1789370813.7909012
env/reward,7,6,0.001953125,1789372076.5440533
env/reward,8,7,0.001953125,1789373332.5587125
env/reward,9,8,0.001953125,1789374569.3037593
env/reward,10,9,0.0026041667442768812,1789376367.8672278
env/reward,11,10,0.0026041667442768812,1789377504.6300185
env/reward,12,11,0.00390625,1789378768.405357
env/reward,13,12,0.0026041667442768812,1789380066.3685029
env/reward,14,13,0.0026041667442768812,1789381231.4466875
env/reward,15,14,0.0013020833721384406,1789382968.1692147
env/reward,16,15,0.00390625,1789384235.139181
env/reward,17,16,0.001953125,1789385530.6470244
env/reward,18,17,0.0013020833721384406,1789386846.637553
env/reward,19,18,0.001953125,1789387972.8474345
env/reward,20,19,0.001953125,1789389702.829104
env/reward,21,20,0.001953125,1789391014.828302
env/reward,22,21,0.0026041667442768812,1789392318.9708364
env/reward,23,22,0.0032552084885537624,1789393564.1281147
env/reward,24,23,0.001953125,1789394717.315155
env/reward,25,24,0.0026041667442768812,1789396426.9239128
env/reward,26,25,0.0026041667442768812,1789397688.2851083
env/reward,27,26,0.0013020833721384406,1789398967.895146
env/reward,28,27,0.0032552084885537624,1789400231.183873
env/reward,29,28,0.005208333022892475,1789401475.8898778
env/episode_len,1,0,192.0,1789364298.2510824
env/episode_len,2,1,192.0,1789365625.2686884
env/episode_len,3,2,192.0,1789366786.8511693
env/episode_len,4,3,192.0,1789367989.993904
env/episode_len,5,4,192.0,1789369603.306092
env/episode_len,6,5,192.0,1789370813.7909126
env/episode_len,7,6,192.0,1789372076.5440621
env/episode_len,8,7,192.0,1789373332.5587254
env/episode_len,9,8,192.0,1789374569.303787
env/episode_len,10,9,192.0,1789376367.8672361
env/episode_len,11,10,192.0,1789377504.6300342
env/episode_len,12,11,192.0,1789378768.405366
env/episode_len,13,12,192.0,1789380066.3685112
env/episode_len,14,13,192.0,1789381231.446699
