tag,runner_step,display_round,value
env/episode_len,0,1,200.0
env/num_trajectories,0,1,128.0
env/return,0,1,0.3046875
env/reward,0,1,0.0015234374441206455
env/success_once,0,1,0.3046875
rollout/advantages_max,0,1,2.4748666286468506
rollout/advantages_mean,0,1,-0.06802009046077728
rollout/advantages_min,0,1,-2.4748666286468506
rollout/rewards,0,1,0.0020051414612680674
time/actor/actor/compute_adv,0,1,0.037551481276750565
time/actor/actor/recv_traj,0,1,649.0648803710938
time/actor/actor/sync_model_to_rollout,0,1,7.007019519805908
time/actor/run_training,0,1,13.895418167114258
time/actor_training,0,1,13.898599624633789
time/cal_adv_and_returns,0,1,0.04095864295959473
time/env/compute_bootstrap_rewards,0,1,0.0010997280478477478
time/env/env/bootstrap_step,0,1,453.613037109375
time/env/env/send_rollout_trajectories,0,1,0.9599730372428894
time/env/env_interact_step,0,1,181.8739776611328
time/env/interact,0,1,648.3660278320312
time/env/run_interact_once,0,1,648.3659057617188
time/generate_rollouts,0,1,652.0068969726562
time/rollout/generate_one_epoch,0,1,645.7975463867188
time/rollout/predict,0,1,8.20125961303711
time/rollout/rollout/generate,0,1,651.9600830078125
time/rollout/sync_model_from_actor,0,1,5.986635208129883
time/step,0,1,672.9578857421875
time/sync_weights,0,1,7.010515213012695
train/actor/approx_kl,0,1,0.04090302437543869
train/actor/clip_fraction,0,1,0.07780300080776215
train/actor/clipped_ratio,0,1,0.9954407215118408
train/actor/dual_cliped_ratio,0,1,0.0
train/actor/dvac_alpha_chunk,0,1,1.0
train/actor/dvac_alpha_local,0,1,1.0
train/actor/dvac_chunk_factor_std,0,1,0.08747334033250809
train/actor/dvac_dropout_chunks,0,1,28.0
train/actor/dvac_dropout_eligible_chunks,0,1,129.0
train/actor/dvac_dropout_fraction,0,1,0.21705426275730133
train/actor/dvac_dropout_probability,0,1,0.20000000298023224
train/actor/dvac_group_count,0,1,16.0
train/actor/dvac_local_center_error,0,1,1.7881393432617188e-07
train/actor/dvac_negative_adv_mass_ratio,0,1,1.0
train/actor/dvac_positive_adv_mass_ratio,0,1,0.9927526712417603
train/actor/dvac_valid_chunks,0,1,389.0
train/actor/dvac_weight_ess_fraction,0,1,0.9888360500335693
train/actor/dvac_weight_max,0,1,1.7332496643066406
train/actor/dvac_weight_mean,0,1,0.9995355010032654
train/actor/dvac_weight_min,0,1,0.5548076033592224
train/actor/dvac_weight_sq_mean,0,1,1.0103507041931152
train/actor/entropy_loss,0,1,0.0
train/actor/grad_norm,0,1,28.00767707824707
train/actor/lr,0,1,4.999999873689376e-06
train/actor/policy_loss,0,1,-0.005378372967243195
train/actor/policy_loss_abs,0,1,0.6363046169281006
train/actor/ratio,0,1,1.063378095626831
train/actor/ratio_abs,0,1,0.14410774409770966
train/actor/total_loss,0,1,-0.0006722966209053993
