tag,round,value,wall_time
env/success_once,1,0.25,1789963573.9130406
env/success_once,2,0.5,1789963839.3993654
env/success_once,3,0.75,1789964104.5789552
env/success_once,4,0.25,1789964368.1725705
env/success_once,5,0.5,1789964915.5060482
env/success_once,6,0.0,1789965175.5436609
env/success_once,7,0.25,1789965438.9948893
env/success_once,8,0.0,1789965701.9328601
env/success_once,9,0.75,1789965963.3256288
env/success_once,10,0.75,1789966504.6687872
env/success_once,11,0.25,1789966765.660447
env/success_once,12,0.5,1789967027.602235
env/success_once,13,0.75,1789967290.7486205
env/success_once,14,0.5,1789967552.9501114
env/success_once,15,0.5,1789968096.658961
env/success_once,16,0.5,1789968356.7732234
env/success_once,17,0.0,1789968623.551031
env/success_once,18,0.5,1789968886.2897353
env/success_once,19,0.0,1789969151.005147
env/success_once,20,0.5,1789969694.6481187
env/success_once,21,0.25,1789969954.7823894
env/success_once,22,0.25,1789970218.471165
env/success_once,23,0.5,1789970481.8440878
env/success_once,24,0.75,1789970744.7982593
env/success_once,25,0.5,1789971287.5348473
env/success_once,26,0.5,1789971547.202885
env/success_once,27,0.25,1789971811.1468039
env/success_once,28,0.5,1789972072.9664762
env/success_once,29,0.25,1789972334.766803
env/success_once,30,0.0,1789972879.251543
env/success_once,31,0.75,1789973139.1706398
env/success_once,32,0.75,1789973401.2942362
env/success_once,33,0.25,1789973664.2290492
env/success_once,34,0.5,1789973926.5674584
env/success_once,35,0.25,1789974465.5104356
env/success_once,36,0.5,1789974724.347317
env/success_once,37,0.5,1789974984.0548363
env/success_once,38,0.5,1789975248.0791833
env/success_once,39,0.25,1789975510.9140244
env/success_once,40,0.5,1789976052.9419546
env/success_once,41,0.5,1789976311.462766
env/success_once,42,0.75,1789976573.0073016
env/success_once,43,0.25,1789976834.9022992
env/success_once,44,0.5,1789977095.1210709
env/success_once,45,0.0,1789977635.6012497
env/success_once,46,0.0,1789977895.5132773
env/success_once,47,0.0,1789978157.9123645
env/success_once,48,0.25,1789978419.786473
env/success_once,49,0.5,1789978681.601417
env/success_once,50,0.0,1789979239.265173
env/success_once,51,0.25,1789979497.0148296
env/success_once,52,0.5,1789979758.0150373
env/success_once,53,0.5,1789980019.8775585
env/success_once,54,0.75,1789980280.7139769
env/success_once,55,0.25,1789980813.6368883
env/success_once,56,0.5,1789981072.0456645
env/success_once,57,0.5,1789981333.0501525
env/success_once,58,0.0,1789981594.7779076
env/success_once,59,0.5,1789981856.4920652
env/success_once,60,0.25,1789982393.532134
env/success_once,61,0.75,1789982651.137879
env/success_once,62,0.5,1789982911.9953558
env/success_once,63,0.25,1789983173.9501195
env/success_once,64,0.5,1789983435.9332864
env/success_once,65,0.5,1789983974.5824754
env/success_once,66,0.5,1789984232.512137
env/success_once,67,0.25,1789984493.74551
env/success_once,68,0.5,1789984754.5925977
env/success_once,69,0.75,1789985015.7423599
env/success_once,70,0.25,1789985553.2724845
env/success_once,71,0.5,1789985812.1588128
env/success_once,72,0.5,1789986073.2228496
env/success_once,73,0.75,1789986333.8893292
env/success_once,74,0.5,1789986595.7658863
env/success_once,75,0.25,1789987135.231989
env/success_once,76,0.75,1789987393.5583599
env/success_once,77,0.75,1789987652.8253305
env/success_once,78,1.0,1789987913.8116891
env/success_once,79,0.75,1789988173.8611438
env/success_once,80,0.25,1789988703.5994837
env/success_once,81,0.5,1789988964.6816409
env/success_once,82,0.5,1789989225.02147
env/success_once,83,0.5,1789989486.5191748
env/success_once,84,0.75,1789989746.5578773
env/success_once,85,0.0,1789990277.160336
env/success_once,86,0.25,1789990536.5894823
env/success_once,87,0.5,1789990798.5871441
env/success_once,88,0.5,1789991060.500013
env/success_once,89,0.5,1789991320.2238755
env/success_once,90,0.25,1789991855.6382058
env/success_once,91,0.75,1789992113.7452462
env/success_once,92,0.5,1789992375.145393
env/success_once,93,0.75,1789992636.2639158
env/success_once,94,0.25,1789992897.8887882
env/success_once,95,0.5,1789993434.376514
env/success_once,96,0.75,1789993694.348699
env/success_once,97,0.5,1789993955.0566993
env/success_once,98,0.25,1789994216.601181
env/success_once,99,0.75,1789994477.944536
env/success_once,100,0.25,1789995037.5270221
env/success_once,101,0.25,1789995296.2680275
env/success_once,102,0.25,1789995556.1600857
env/success_once,103,0.0,1789995818.597833
env/success_once,104,0.75,1789996079.829144
env/success_once,105,0.5,1789996608.9853036
env/success_once,106,0.75,1789996867.3573818
env/success_once,107,0.75,1789997128.5301847
env/success_once,108,0.25,1789997390.3538804
env/success_once,109,0.0,1789997651.9840188
env/success_once,110,0.75,1789998180.9181318
env/success_once,111,0.0,1789998439.5592613
env/success_once,112,0.5,1789998701.1594589
env/success_once,113,0.25,1789998960.7694895
env/success_once,114,0.5,1789999221.3396714
env/success_once,115,0.75,1789999753.5299447
env/success_once,116,0.5,1790000012.482239
env/success_once,117,0.5,1790000274.1048079
env/success_once,118,0.5,1790000535.4594688
env/success_once,119,0.5,1790000795.9718678
env/success_once,120,0.5,1790001323.8701224
env/success_once,121,0.0,1790001583.8606594
env/success_once,122,0.25,1790001846.1164455
env/success_once,123,0.5,1790002107.934415
env/success_once,124,0.25,1790002369.4111283
env/success_once,125,0.25,1790002898.114288
env/success_once,126,0.75,1790003156.2723577
env/success_once,127,0.75,1790003417.5997798
env/success_once,128,0.75,1790003677.8424315
env/success_once,129,0.25,1790003939.6309114
env/return,1,0.25,1789963573.9131017
env/return,2,0.5,1789963839.399394
env/return,3,0.75,1789964104.5790129
env/return,4,0.25,1789964368.1726427
env/return,5,0.5,1789964915.506071
env/return,6,0.0,1789965175.5437036
env/return,7,0.25,1789965438.9949427
env/return,8,0.0,1789965701.9329078
env/return,9,0.75,1789965963.3256764
env/return,10,0.75,1789966504.668811
env/return,11,0.25,1789966765.660497
env/return,12,0.5,1789967027.6022792
env/return,13,0.75,1789967290.7486696
env/return,14,0.5,1789967552.9501612
env/return,15,0.5,1789968096.6589835
env/return,16,0.5,1789968356.7732747
env/return,17,0.0,1789968623.551074
env/return,18,0.5,1789968886.289788
env/return,19,0.0,1789969151.0052028
env/return,20,0.5,1789969694.648141
env/return,21,0.25,1789969954.7824461
env/return,22,0.25,1789970218.4712172
env/return,23,0.5,1789970481.8441384
env/return,24,0.75,1789970744.7983088
env/return,25,0.5,1789971287.5348682
env/return,26,0.5,1789971547.202954
env/return,27,0.25,1789971811.14685
env/return,28,0.5,1789972072.9665272
env/return,29,0.25,1789972334.7668557
env/return,30,0.0,1789972879.2515655
env/return,31,0.75,1789973139.170682
env/return,32,0.75,1789973401.2943013
env/return,33,0.25,1789973664.2290938
env/return,34,0.5,1789973926.5675073
env/return,35,0.25,1789974465.510462
env/return,36,0.5,1789974724.3473556
env/return,37,0.5,1789974984.054886
env/return,38,0.5,1789975248.0792418
env/return,39,0.25,1789975510.9140742
env/return,40,0.5,1789976052.9419804
env/return,41,0.5,1789976311.4628196
env/return,42,0.75,1789976573.0073485
env/return,43,0.25,1789976834.9023445
env/return,44,0.5,1789977095.1211128
env/return,45,0.0,1789977635.6012712
env/return,46,0.0,1789977895.5133371
env/return,47,0.0,1789978157.9124205
env/return,48,0.25,1789978419.786524
env/return,49,0.5,1789978681.6014516
env/return,50,0.0,1789979239.2651982
env/return,51,0.25,1789979497.014882
env/return,52,0.5,1789979758.0150838
env/return,53,0.5,1789980019.8775928
env/return,54,0.75,1789980280.7140272
env/return,55,0.25,1789980813.6369174
env/return,56,0.5,1789981072.045709
env/return,57,0.5,1789981333.050193
env/return,58,0.0,1789981594.7779493
env/return,59,0.5,1789981856.4921079
env/return,60,0.25,1789982393.5321712
env/return,61,0.75,1789982651.1379187
env/return,62,0.5,1789982911.995412
env/return,63,0.25,1789983173.9501755
env/return,64,0.5,1789983435.9333942
env/return,65,0.5,1789983974.5825028
env/return,66,0.5,1789984232.512183
env/return,67,0.25,1789984493.7455618
env/return,68,0.5,1789984754.5926502
env/return,69,0.75,1789985015.7424092
env/return,70,0.25,1789985553.2725093
env/return,71,0.5,1789985812.158869
env/return,72,0.5,1789986073.2229142
