tag,round,value,wall_time
env/return,1,0.25,1789963576.6361465
env/return,2,0.5,1789963841.4429462
env/return,3,0.75,1789964104.6554132
env/return,4,0.5,1789964368.343592
env/return,5,0.75,1789964910.750775
env/return,6,0.25,1789965171.0511353
env/return,7,0.25,1789965434.0076277
env/return,8,0.25,1789965697.826311
env/return,9,0.75,1789965959.5795522
env/return,10,0.75,1789966501.947928
env/return,11,0.5,1789966762.8603184
env/return,12,0.5,1789967025.8875997
env/return,13,0.5,1789967289.1099367
env/return,14,0.75,1789967552.5225296
env/return,15,0.25,1789968097.7828112
env/return,16,0.25,1789968360.6341136
env/return,17,0.5,1789968626.0860374
env/return,18,0.75,1789968889.1164787
env/return,19,0.5,1789969153.6856205
env/return,20,0.25,1789969696.6584728
env/return,21,0.25,1789969958.6087847
env/return,22,0.5,1789970223.1849167
env/return,23,0.5,1789970487.014949
env/return,24,0.75,1789970750.5379045
env/return,25,0.5,1789971292.6387076
env/return,26,0.5,1789971552.477369
env/return,27,0.75,1789971815.9460437
env/return,28,0.5,1789972079.7519226
env/return,29,0.5,1789972342.7978745
env/return,30,0.25,1789972888.8497546
env/return,31,0.25,1789973150.935535
env/return,32,0.75,1789973413.3847048
env/return,33,0.5,1789973677.8321118
env/return,34,0.5,1789973941.4195545
env/return,35,0.5,1789974484.1094854
env/return,36,0.5,1789974744.0871775
env/return,37,0.25,1789975006.0391252
env/return,38,0.75,1789975270.4932387
env/return,39,0.5,1789975533.5498853
env/return,40,0.25,1789976072.559473
env/return,41,0.5,1789976332.013779
env/return,42,0.75,1789976595.062612
env/return,43,0.5,1789976857.9546533
env/return,44,0.25,1789977121.4655037
env/return,45,0.25,1789977663.7010992
env/return,46,0.25,1789977924.8921137
env/return,47,0.25,1789978188.834716
env/return,48,0.25,1789978452.738556
env/return,49,0.75,1789978715.6886177
env/return,50,0.0,1789979281.3186493
env/return,51,0.25,1789979542.7801077
env/return,52,0.5,1789979805.538442
env/return,53,0.75,1789980068.467087
env/return,54,0.5,1789980330.9408457
env/return,55,0.75,1789980870.9342575
env/return,56,0.25,1789981131.2318926
env/return,57,0.5,1789981392.112813
env/return,58,0.5,1789981653.775779
env/return,59,0.0,1789981916.4802601
env/return,60,0.25,1789982458.424504
env/return,61,0.75,1789982715.852588
env/return,62,0.75,1789982977.0814626
env/return,63,0.25,1789983238.86059
env/return,64,0.25,1789983502.246063
env/return,65,1.0,1789984041.458326
env/return,66,0.75,1789984300.7298384
env/return,67,0.75,1789984562.3679545
env/return,68,0.5,1789984823.618643
env/return,69,0.75,1789985086.4731264
env/return,70,0.25,1789985625.609959
env/return,71,0.75,1789985883.6796396
env/return,72,1.0,1789986145.0618718
env/return,73,0.5,1789986406.8862574
env/return,74,0.5,1789986668.6596444
env/return,75,0.75,1789987209.8036544
env/return,76,0.75,1789987470.4110892
env/return,77,0.75,1789987732.114507
env/return,78,1.0,1789987994.2066133
env/return,79,0.5,1789988256.3789265
env/return,80,0.0,1789988796.1381488
env/return,81,0.5,1789989057.6602921
env/return,82,0.5,1789989320.5172226
env/return,83,0.25,1789989584.0356224
env/return,84,0.75,1789989846.9497118
env/return,85,0.25,1789990391.2380502
env/return,86,0.25,1789990652.973743
env/return,87,0.5,1789990917.5810287
env/return,88,0.5,1789991180.5197127
env/return,89,0.25,1789991444.9057114
env/return,90,0.5,1789991986.5811367
env/return,91,0.75,1789992247.2501366
env/return,92,0.75,1789992509.1473594
env/return,93,0.5,1789992771.9978385
env/return,94,0.25,1789993035.0877392
env/return,95,0.5,1789993578.6169436
env/return,96,0.5,1789993840.1413946
env/return,97,0.75,1789994103.2314003
env/return,98,0.75,1789994366.9000738
env/return,99,0.5,1789994629.9952652
env/return,100,0.5,1789995193.6363146
env/return,101,0.25,1789995453.2615416
env/return,102,0.5,1789995716.398452
env/return,103,0.5,1789995980.3525248
env/return,104,0.5,1789996243.613051
env/return,105,1.0,1789996780.586231
env/return,106,0.75,1789997039.090417
env/return,107,0.75,1789997302.0817134
env/return,108,0.5,1789997566.0441444
env/return,109,0.5,1789997830.0791647
env/return,110,0.25,1789998371.5629365
env/return,111,0.25,1789998631.414793
env/return,112,0.5,1789998894.651176
