tag,round,value,wall_time
env/return,1,0.25,1790050397.4244998
env/return,2,0.5,1790050661.3431585
env/return,3,0.75,1790050923.1886768
env/return,4,0.5,1790051184.0575387
env/return,5,0.75,1790051717.8028522
env/return,6,0.25,1790051977.7477584
env/return,7,0.25,1790052240.2974763
env/return,8,0.0,1790052502.1956692
env/return,9,0.5,1790052763.3202226
env/return,10,0.5,1790053293.0925758
env/return,11,0.75,1790053552.291596
env/return,12,0.5,1790053812.6204164
env/return,13,0.75,1790054073.6129158
env/return,14,0.75,1790054335.6300318
env/return,15,0.5,1790054878.9051986
env/return,16,0.75,1790055137.8459525
env/return,17,0.5,1790055400.1581473
env/return,18,0.75,1790055662.6700757
env/return,19,0.5,1790055926.1031206
env/return,20,0.75,1790056466.530436
env/return,21,0.5,1790056728.0234275
env/return,22,0.0,1790056990.8826334
env/return,23,0.0,1790057254.828865
env/return,24,0.75,1790057516.083969
env/return,25,0.5,1790058061.4686754
env/return,26,0.5,1790058321.6942623
env/return,27,0.25,1790058582.893557
env/return,28,0.5,1790058845.5562325
env/return,29,0.75,1790059107.2447512
env/return,30,0.5,1790059649.8701215
env/return,31,0.25,1790059909.1708498
env/return,32,0.5,1790060169.90246
env/return,33,0.25,1790060432.3494017
env/return,34,0.75,1790060694.9384108
env/return,35,0.75,1790061231.173722
env/return,36,0.5,1790061491.3050237
env/return,37,0.25,1790061753.133552
env/return,38,0.5,1790062014.839866
env/return,39,0.5,1790062277.5213819
env/return,40,0.25,1790062816.1884506
env/return,41,1.0,1790063076.4198828
env/return,42,0.75,1790063338.2959282
env/return,43,0.5,1790063599.8752422
env/return,44,0.75,1790063859.6376722
env/return,45,0.75,1790064396.7969203
env/return,46,0.25,1790064656.5821455
env/return,47,0.5,1790064918.624924
env/return,48,0.25,1790065180.8835082
env/return,49,0.5,1790065442.9608395
env/return,50,0.0,1790066007.9047801
env/return,51,0.25,1790066267.2554228
env/return,52,0.75,1790066528.6551025
env/return,53,1.0,1790066788.5472724
env/return,54,0.75,1790067049.5088532
env/return,55,0.5,1790067586.9214165
env/return,56,0.5,1790067846.4137135
env/return,57,0.5,1790068107.1497903
env/return,58,0.25,1790068369.718996
env/return,59,1.0,1790068630.8099008
env/return,60,0.5,1790069169.7878513
env/return,61,0.75,1790069427.9237585
env/return,62,0.25,1790069690.428451
env/return,63,0.5,1790069952.131028
env/return,64,0.25,1790070213.7671676
env/return,65,0.5,1790070746.2341516
env/return,66,0.25,1790071007.841447
env/return,67,1.0,1790071270.2283356
env/return,68,0.5,1790071532.2608552
env/return,69,1.0,1790071793.8367584
env/return,70,0.5,1790072332.047802
env/return,71,0.5,1790072591.3835151
env/return,72,1.0,1790072852.88845
env/return,73,0.75,1790073115.2634552
env/return,74,0.75,1790073376.6933568
env/return,75,0.25,1790073911.371008
env/return,76,0.75,1790074170.4324849
env/return,77,0.75,1790074431.6993787
env/return,78,0.5,1790074695.068498
env/return,79,0.75,1790074956.4438708
env/return,80,0.25,1790075490.3586195
env/return,81,0.5,1790075748.8691313
env/return,82,0.5,1790076009.1580758
env/return,83,0.5,1790076270.8476655
env/return,84,0.75,1790076532.6540487
env/return,85,0.25,1790077067.6539645
env/return,86,0.5,1790077327.4142559
env/return,87,0.75,1790077588.3360994
env/return,88,0.25,1790077850.409861
env/return,89,0.25,1790078112.4856586
env/return,90,1.0,1790078647.4212286
env/return,91,1.0,1790078907.556359
env/return,92,0.5,1790079170.7553833
env/return,93,0.75,1790079433.1270137
env/return,94,0.75,1790079695.747755
env/return,95,0.0,1790080233.574621
env/return,96,0.5,1790080493.141808
env/return,97,0.75,1790080753.9772627
env/return,98,0.75,1790081015.0506046
env/return,99,0.75,1790081276.7127683
env/return,100,0.25,1790081837.234014
env/return,101,0.25,1790082096.517077
env/return,102,0.5,1790082357.6709008
env/return,103,0.75,1790082618.9596798
env/return,104,1.0,1790082879.7616775
env/return,105,0.75,1790083411.6597366
env/return,106,0.75,1790083671.548858
env/return,107,0.25,1790083934.589961
env/return,108,0.5,1790084197.464811
env/return,109,0.5,1790084457.8947537
env/return,110,0.5,1790084994.1091459
env/return,111,0.25,1790085254.3601143
env/return,112,0.5,1790085516.5877385
env/return,113,1.0,1790085777.7671335
env/return,114,0.75,1790086038.6405153
env/return,115,0.5,1790086566.655017
env/return,116,0.5,1790086825.1293876
env/return,117,0.5,1790087085.7750776
env/return,118,0.75,1790087345.9336247
env/return,119,0.75,1790087606.38763
env/return,120,0.75,1790088139.8905284
env/return,121,0.25,1790088400.9524546
env/return,122,0.5,1790088661.5049982
env/return,123,1.0,1790088921.1221695
env/return,124,0.5,1790089182.204148
env/return,125,0.75,1790089710.8949974
env/return,126,0.75,1790089971.1494327
env/return,127,0.5,1790090233.2186828
env/return,128,0.75,1790090493.9159513
env/return,129,0.25,1790090755.5900278
env/return,130,0.75,1790091286.317418
env/return,131,0.75,1790091544.6295333
env/return,132,1.0,1790091805.9182007
env/return,133,0.5,1790092067.1821318
env/return,134,0.25,1790092330.8525932
env/return,135,0.75,1790092862.9231076
env/return,136,0.5,1790093121.3560097
env/return,137,0.25,1790093381.9735177
env/reward,1,0.0012499999720603228,1790050397.4245598
env/reward,2,0.0024999999441206455,1790050661.3432074
env/reward,3,0.0037499999161809683,1790050923.1887999
env/reward,4,0.0024999999441206455,1790051184.057593
env/reward,5,0.0037499999161809683,1790051717.8028717
env/reward,6,0.0012499999720603228,1790051977.7478228
env/reward,7,0.0012499999720603228,1790052240.297536
env/reward,8,0.0,1790052502.1957304
env/reward,9,0.0024999999441206455,1790052763.320286
env/reward,10,0.0024999999441206455,1790053293.0926154
env/reward,11,0.0037499999161809683,1790053552.2916458
env/reward,12,0.0024999999441206455,1790053812.6204731
env/reward,13,0.0037499999161809683,1790054073.6129813
env/reward,14,0.0037499999161809683,1790054335.6300812
env/reward,15,0.0024999999441206455,1790054878.9052255
env/reward,16,0.0037499999161809683,1790055137.8460062
env/reward,17,0.0024999999441206455,1790055400.158206
env/reward,18,0.0037499999161809683,1790055662.6701305
env/reward,19,0.0024999999441206455,1790055926.1031787
env/reward,20,0.0037499999161809683,1790056466.530475
env/reward,21,0.0024999999441206455,1790056728.0234783
env/reward,22,0.0,1790056990.8826807
env/reward,23,0.0,1790057254.8289335
env/reward,24,0.0037499999161809683,1790057516.0840209
env/reward,25,0.0024999999441206455,1790058061.4687393
env/reward,26,0.0024999999441206455,1790058321.6943161
env/reward,27,0.0012499999720603228,1790058582.8936203
env/reward,28,0.0024999999441206455,1790058845.556299
env/reward,29,0.0037499999161809683,1790059107.2447913
env/reward,30,0.0024999999441206455,1790059649.8701394
env/reward,31,0.0012499999720603228,1790059909.1709015
env/reward,32,0.0024999999441206455,1790060169.9025145
env/reward,33,0.0012499999720603228,1790060432.3494627
env/reward,34,0.0037499999161809683,1790060694.9384696
env/reward,35,0.0037499999161809683,1790061231.173745
env/reward,36,0.0024999999441206455,1790061491.3050878
env/reward,37,0.0012499999720603228,1790061753.1336102
env/reward,38,0.0024999999441206455,1790062014.8399217
env/reward,39,0.0024999999441206455,1790062277.5214343
env/reward,40,0.0012499999720603228,1790062816.1884742
env/reward,41,0.004999999888241291,1790063076.4199321
env/reward,42,0.0037499999161809683,1790063338.2959774
env/reward,43,0.0024999999441206455,1790063599.875306
env/reward,44,0.0037499999161809683,1790063859.637722
env/reward,45,0.0037499999161809683,1790064396.7969465
env/reward,46,0.0012499999720603228,1790064656.5822637
env/reward,47,0.0024999999441206455,1790064918.6249743
env/reward,48,0.0012499999720603228,1790065180.8835537
env/reward,49,0.0024999999441206455,1790065442.9609017
env/reward,50,0.0,1790066007.9048064
env/reward,51,0.0012499999720603228,1790066267.255501
env/reward,52,0.0037499999161809683,1790066528.6551547
env/reward,53,0.004999999888241291,1790066788.547332
env/reward,54,0.0037499999161809683,1790067049.5089083
env/reward,55,0.0024999999441206455,1790067586.9214518
env/reward,56,0.0024999999441206455,1790067846.4137442
env/reward,57,0.0024999999441206455,1790068107.1498346
env/reward,58,0.0012499999720603228,1790068369.7190504
env/reward,59,0.004999999888241291,1790068630.8099685
env/reward,60,0.0024999999441206455,1790069169.7878838
env/reward,61,0.0037499999161809683,1790069427.9238348
env/reward,62,0.0012499999720603228,1790069690.4285085
env/reward,63,0.0024999999441206455,1790069952.1310625
env/reward,64,0.0012499999720603228,1790070213.7672222
env/reward,65,0.0024999999441206455,1790070746.2341783
env/reward,66,0.0012499999720603228,1790071007.8415043
env/reward,67,0.004999999888241291,1790071270.228387
env/reward,68,0.0024999999441206455,1790071532.2609084
env/reward,69,0.004999999888241291,1790071793.8368156
env/reward,70,0.0024999999441206455,1790072332.0478346
env/reward,71,0.0024999999441206455,1790072591.3835628
env/reward,72,0.004999999888241291,1790072852.8885074
env/reward,73,0.0037499999161809683,1790073115.2635014
env/reward,74,0.0037499999161809683,1790073376.6934104
env/reward,75,0.0012499999720603228,1790073911.3710353
env/reward,76,0.0037499999161809683,1790074170.432518
env/reward,77,0.0037499999161809683,1790074431.6994348
env/reward,78,0.0024999999441206455,1790074695.0685546
env/reward,79,0.0037499999161809683,1790074956.4439263
env/reward,80,0.0012499999720603228,1790075490.3586373
env/reward,81,0.0024999999441206455,1790075748.8691642
env/reward,82,0.0024999999441206455,1790076009.1581385
env/reward,83,0.0024999999441206455,1790076270.8477159
env/reward,84,0.0037499999161809683,1790076532.6541054
env/reward,85,0.0012499999720603228,1790077067.6539872
env/reward,86,0.0024999999441206455,1790077327.4143145
env/reward,87,0.0037499999161809683,1790077588.3361554
env/reward,88,0.0012499999720603228,1790077850.409915
env/reward,89,0.0012499999720603228,1790078112.4857123
env/reward,90,0.004999999888241291,1790078647.4212549
env/reward,91,0.004999999888241291,1790078907.5564036
env/reward,92,0.0024999999441206455,1790079170.7554467
env/reward,93,0.0037499999161809683,1790079433.1270838
env/reward,94,0.0037499999161809683,1790079695.7478125
env/reward,95,0.0,1790080233.5746477
env/reward,96,0.0024999999441206455,1790080493.1418633
env/reward,97,0.0037499999161809683,1790080753.9773126
env/reward,98,0.0037499999161809683,1790081015.050658
env/reward,99,0.0037499999161809683,1790081276.7128136
env/reward,100,0.0012499999720603228,1790081837.2340407
env/reward,101,0.0012499999720603228,1790082096.51713
env/reward,102,0.0024999999441206455,1790082357.6709645
env/reward,103,0.0037499999161809683,1790082618.9597542
env/reward,104,0.004999999888241291,1790082879.7617297
env/reward,105,0.0037499999161809683,1790083411.659763
env/reward,106,0.0037499999161809683,1790083671.5489097
env/reward,107,0.0012499999720603228,1790083934.5900204
env/reward,108,0.0024999999441206455,1790084197.4648716
env/reward,109,0.0024999999441206455,1790084457.8948157
env/reward,110,0.0024999999441206455,1790084994.10917
env/reward,111,0.0012499999720603228,1790085254.3601663
env/reward,112,0.0024999999441206455,1790085516.58781
