tag,round,raw_step,value,wall_time
env/success_once,1,0,0.25,1789015717.6529937
env/success_once,2,1,0.75,1789016198.7304087
env/success_once,3,2,0.5,1789016679.0401647
env/success_once,4,3,0.5,1789017157.2003124
env/success_once,5,4,0.5,1789017936.0476007
env/success_once,6,5,0.0,1789018425.655416
env/success_once,7,6,0.5,1789018919.6084547
env/success_once,8,7,0.25,1789019405.677116
env/success_once,9,8,1.0,1789019889.4135015
env/success_once,10,9,0.5,1789020691.482927
env/success_once,11,10,0.25,1789021190.284989
env/success_once,12,11,0.25,1789021677.44284
env/success_once,13,12,0.25,1789022168.2816021
env/success_once,14,13,1.0,1789022651.4121108
env/success_once,15,14,0.25,1789023420.371961
env/success_once,16,15,0.5,1789023899.6723928
env/success_once,17,16,0.25,1789024401.0953705
env/success_once,18,17,0.5,1789024890.9338303
env/success_once,19,18,0.0,1789025385.6932518
env/success_once,20,19,0.5,1789026241.2463996
env/success_once,21,20,0.5,1789026739.4622498
env/success_once,22,21,0.75,1789027250.0146792
env/success_once,23,22,0.5,1789027736.1272771
env/success_once,24,23,0.75,1789028223.2949255
env/success_once,25,24,0.5,1789029017.2297592
env/success_once,26,25,0.75,1789029518.49258
env/success_once,27,26,0.5,1789030031.9297993
env/success_once,28,27,0.25,1789030536.9684534
env/success_once,29,28,0.75,1789031029.4191933
env/success_once,30,29,0.25,1789031840.5060885
env/success_once,31,30,0.5,1789032321.1332622
env/success_once,32,31,0.25,1789032806.182891
env/success_once,33,32,0.5,1789033288.1779037
env/success_once,34,33,0.5,1789033768.5842736
env/success_once,35,34,0.25,1789034577.5124469
env/success_once,36,35,0.5,1789035070.0776231
env/success_once,37,36,0.25,1789035552.332125
env/success_once,38,37,0.25,1789036035.2068849
env/success_once,39,38,0.25,1789036520.2638385
env/success_once,40,39,0.0,1789037340.0677118
env/success_once,41,40,0.25,1789037825.4343698
env/success_once,42,41,1.0,1789038306.3188844
env/success_once,43,42,0.25,1789038790.6802938
env/success_once,44,43,0.0,1789039272.4818869
env/success_once,45,44,0.25,1789040061.51538
env/success_once,46,45,0.0,1789040553.1997752
env/success_once,47,46,0.25,1789041035.6346054
env/success_once,48,47,0.25,1789041519.0982282
env/success_once,49,48,0.75,1789042001.8200986
env/reward,1,0,0.0012499999720603228,1789015717.6530497
env/reward,2,1,0.0037499999161809683,1789016198.730451
env/reward,3,2,0.0024999999441206455,1789016679.040212
env/reward,4,3,0.0024999999441206455,1789017157.200366
env/reward,5,4,0.0024999999441206455,1789017936.047626
env/reward,6,5,0.0,1789018425.6554735
env/reward,7,6,0.0024999999441206455,1789018919.6085062
env/reward,8,7,0.0012499999720603228,1789019405.6771674
env/reward,9,8,0.004999999888241291,1789019889.413544
env/reward,10,9,0.0024999999441206455,1789020691.4829507
env/reward,11,10,0.0012499999720603228,1789021190.285015
env/reward,12,11,0.0012499999720603228,1789021677.4428923
env/reward,13,12,0.0012499999720603228,1789022168.2816567
env/reward,14,13,0.004999999888241291,1789022651.4121637
env/reward,15,14,0.0012499999720603228,1789023420.3720033
env/reward,16,15,0.0024999999441206455,1789023899.6724412
env/reward,17,16,0.0012499999720603228,1789024401.0954185
env/reward,18,17,0.0024999999441206455,1789024890.933878
env/reward,19,18,0.0,1789025385.6932986
env/reward,20,19,0.0024999999441206455,1789026241.2464259
env/reward,21,20,0.0024999999441206455,1789026739.4623
env/reward,22,21,0.0037499999161809683,1789027250.0147214
env/reward,23,22,0.0024999999441206455,1789027736.1273453
env/reward,24,23,0.0037499999161809683,1789028223.2949748
env/reward,25,24,0.0024999999441206455,1789029017.2297971
env/reward,26,25,0.0037499999161809683,1789029518.4926498
env/reward,27,26,0.0024999999441206455,1789030031.9298685
env/reward,28,27,0.0012499999720603228,1789030536.9685035
env/reward,29,28,0.0037499999161809683,1789031029.419243
env/reward,30,29,0.0012499999720603228,1789031840.5061343
env/reward,31,30,0.0024999999441206455,1789032321.1333091
env/reward,32,31,0.0012499999720603228,1789032806.1829422
env/reward,33,32,0.0024999999441206455,1789033288.1779463
env/reward,34,33,0.0024999999441206455,1789033768.5843246
env/reward,35,34,0.0012499999720603228,1789034577.5124824
env/reward,36,35,0.0024999999441206455,1789035070.0776808
env/reward,37,36,0.0012499999720603228,1789035552.3321784
env/reward,38,37,0.0012499999720603228,1789036035.206934
env/reward,39,38,0.0012499999720603228,1789036520.2638912
env/reward,40,39,0.0,1789037340.067744
env/reward,41,40,0.0012499999720603228,1789037825.4344246
env/reward,42,41,0.004999999888241291,1789038306.3189397
env/reward,43,42,0.0012499999720603228,1789038790.6803355
env/reward,44,43,0.0,1789039272.4819345
env/reward,45,44,0.0012499999720603228,1789040061.515452
env/reward,46,45,0.0,1789040553.199826
env/reward,47,46,0.0012499999720603228,1789041035.6346633
env/reward,48,47,0.0012499999720603228,1789041519.0982585
env/reward,49,48,0.0037499999161809683,1789042001.820149
env/return,1,0,0.25,1789015717.653061
env/return,2,1,0.75,1789016198.7304611
env/return,3,2,0.5,1789016679.0402222
env/return,4,3,0.5,1789017157.200376
env/return,5,4,0.5,1789017936.047634
env/return,6,5,0.0,1789018425.6554863
env/return,7,6,0.5,1789018919.6085167
env/return,8,7,0.25,1789019405.6771755
env/return,9,8,1.0,1789019889.4135556
env/return,10,9,0.5,1789020691.4829578
env/return,11,10,0.25,1789021190.2850225
env/return,12,11,0.25,1789021677.442901
env/return,13,12,0.25,1789022168.2816668
env/return,14,13,1.0,1789022651.4121742
env/return,15,14,0.25,1789023420.3720207
env/return,16,15,0.5,1789023899.6724496
env/return,17,16,0.25,1789024401.0954275
env/return,18,17,0.5,1789024890.933886
env/return,19,18,0.0,1789025385.6933084
env/return,20,19,0.5,1789026241.2464335
env/return,21,20,0.5,1789026739.4623082
env/return,22,21,0.75,1789027250.0147295
env/return,23,22,0.5,1789027736.12736
env/return,24,23,0.75,1789028223.2949867
env/return,25,24,0.5,1789029017.2298133
env/return,26,25,0.75,1789029518.4926612
env/return,27,26,0.5,1789030031.9298837
env/return,28,27,0.25,1789030536.968512
env/return,29,28,0.75,1789031029.419253
env/return,30,29,0.25,1789031840.506145
env/return,31,30,0.5,1789032321.133318
env/return,32,31,0.25,1789032806.1829526
env/return,33,32,0.5,1789033288.1779547
env/return,34,33,0.5,1789033768.5843341
env/return,35,34,0.25,1789034577.5124912
env/return,36,35,0.5,1789035070.0776927
env/return,37,36,0.25,1789035552.3321884
env/return,38,37,0.25,1789036035.206944
env/return,39,38,0.25,1789036520.2639015
env/return,40,39,0.0,1789037340.067756
env/return,41,40,0.25,1789037825.4344354
env/return,42,41,1.0,1789038306.3189516
env/return,43,42,0.25,1789038790.6803439
env/return,44,43,0.0,1789039272.4819438
env/return,45,44,0.25,1789040061.5154781
env/return,46,45,0.0,1789040553.199834
env/return,47,46,0.25,1789041035.634675
env/return,48,47,0.25,1789041519.0982687
env/return,49,48,0.75,1789042001.8201587
env/episode_len,1,0,200.0,1789015717.6530685
env/episode_len,2,1,200.0,1789016198.7304697
env/episode_len,3,2,200.0,1789016679.0402298
env/episode_len,4,3,200.0,1789017157.2003832
env/episode_len,5,4,200.0,1789017936.0476398
env/episode_len,6,5,200.0,1789018425.6554956
env/episode_len,7,6,200.0,1789018919.6085238
env/episode_len,8,7,200.0,1789019405.6771824
env/episode_len,9,8,200.0,1789019889.4135656
env/episode_len,10,9,200.0,1789020691.4829638
env/episode_len,11,10,200.0,1789021190.285028
env/episode_len,12,11,200.0,1789021677.442907
env/episode_len,13,12,200.0,1789022168.281675
env/episode_len,14,13,200.0,1789022651.4121838
env/episode_len,15,14,200.0,1789023420.3720355
env/episode_len,16,15,200.0,1789023899.6724553
env/episode_len,17,16,200.0,1789024401.095434
env/episode_len,18,17,200.0,1789024890.933892
env/episode_len,19,18,200.0,1789025385.6933155
env/episode_len,20,19,200.0,1789026241.246439
env/episode_len,21,20,200.0,1789026739.4623146
env/episode_len,22,21,200.0,1789027250.0147357
env/episode_len,23,22,200.0,1789027736.1273715
env/episode_len,24,23,200.0,1789028223.2949948
env/episode_len,25,24,200.0,1789029017.229827
env/episode_len,26,25,200.0,1789029518.4926705
env/episode_len,27,26,200.0,1789030031.9298944
env/episode_len,28,27,200.0,1789030536.9685185
env/episode_len,29,28,200.0,1789031029.4192605
env/episode_len,30,29,200.0,1789031840.5061526
env/episode_len,31,30,200.0,1789032321.133325
env/episode_len,32,31,200.0,1789032806.1829603
env/episode_len,33,32,200.0,1789033288.1779606
env/episode_len,34,33,200.0,1789033768.5843406
env/episode_len,35,34,200.0,1789034577.5124977
env/episode_len,36,35,200.0,1789035070.0777023
env/episode_len,37,36,200.0,1789035552.3321967
env/episode_len,38,37,200.0,1789036035.206951
env/episode_len,39,38,200.0,1789036520.263909
env/episode_len,40,39,200.0,1789037340.0677652
env/episode_len,41,40,200.0,1789037825.4344423
env/episode_len,42,41,200.0,1789038306.3189619
env/episode_len,43,42,200.0,1789038790.6803496
env/episode_len,44,43,200.0,1789039272.4819505
env/episode_len,45,44,200.0,1789040061.5154974
env/episode_len,46,45,200.0,1789040553.1998398
env/episode_len,47,46,200.0,1789041035.6346834
env/episode_len,48,47,200.0,1789041519.098276
env/episode_len,49,48,200.0,1789042001.8201656
env/num_trajectories,1,0,4.0,1789015717.653093
env/num_trajectories,2,1,4.0,1789016198.7304976
env/num_trajectories,3,2,4.0,1789016679.0402744
env/num_trajectories,4,3,4.0,1789017157.2004116
env/num_trajectories,5,4,4.0,1789017936.047654
env/num_trajectories,6,5,4.0,1789018425.655534
env/num_trajectories,7,6,4.0,1789018919.6085536
env/num_trajectories,8,7,4.0,1789019405.6772096
env/num_trajectories,9,8,4.0,1789019889.413598
env/num_trajectories,10,9,4.0,1789020691.4829762
env/num_trajectories,11,10,4.0,1789021190.2850537
env/num_trajectories,12,11,4.0,1789021677.4429345
env/num_trajectories,13,12,4.0,1789022168.2817068
env/num_trajectories,14,13,4.0,1789022651.412214
env/num_trajectories,15,14,4.0,1789023420.3720624
env/num_trajectories,16,15,4.0,1789023899.6724823
env/num_trajectories,17,16,4.0,1789024401.0954635
env/num_trajectories,18,17,4.0,1789024890.9339175
env/num_trajectories,19,18,4.0,1789025385.6933365
env/num_trajectories,20,19,4.0,1789026241.2464535
env/num_trajectories,21,20,4.0,1789026739.4623415
env/num_trajectories,22,21,4.0,1789027250.0147607
env/num_trajectories,23,22,4.0,1789027736.1274164
env/num_trajectories,24,23,4.0,1789028223.2950292
env/num_trajectories,25,24,4.0,1789029017.2298515
env/num_trajectories,26,25,4.0,1789029518.492712
env/num_trajectories,27,26,4.0,1789030031.9299269
env/num_trajectories,28,27,4.0,1789030536.968545
env/num_trajectories,29,28,4.0,1789031029.4192903
env/num_trajectories,30,29,4.0,1789031840.5061798
env/num_trajectories,31,30,4.0,1789032321.1333566
env/num_trajectories,32,31,4.0,1789032806.1829906
env/num_trajectories,33,32,4.0,1789033288.177988
env/num_trajectories,34,33,4.0,1789033768.584368
env/num_trajectories,35,34,4.0,1789034577.512516
env/num_trajectories,36,35,4.0,1789035070.077736
env/num_trajectories,37,36,4.0,1789035552.3322265
env/num_trajectories,38,37,4.0,1789036035.2069798
env/num_trajectories,39,38,4.0,1789036520.263941
env/num_trajectories,40,39,4.0,1789037340.0677845
env/num_trajectories,41,40,4.0,1789037825.4344738
env/num_trajectories,42,41,4.0,1789038306.3189955
env/num_trajectories,43,42,4.0,1789038790.6803744
env/num_trajectories,44,43,4.0,1789039272.481979
env/num_trajectories,45,44,4.0,1789040061.5155368
env/num_trajectories,46,45,4.0,1789040553.1998656
env/num_trajectories,47,46,4.0,1789041035.6347167
env/num_trajectories,48,47,4.0,1789041519.0982919
env/num_trajectories,49,48,4.0,1789042001.8201962
time/sync_weights,1,0,15.416132926940918,1789015717.653111
time/sync_weights,2,1,6.053177833557129,1789016198.7305102
time/sync_weights,3,2,5.660344123840332,1789016679.0402877
time/sync_weights,4,3,5.4483642578125,1789017157.2004251
time/sync_weights,5,4,5.037812232971191,1789017936.0476649
time/sync_weights,6,5,1.9103751182556152,1789018425.6555529
time/sync_weights,7,6,5.964479923248291,1789018919.608569
time/sync_weights,8,7,6.274788856506348,1789019405.6772223
time/sync_weights,9,8,5.6341233253479,1789019889.413615
time/sync_weights,10,9,5.190281391143799,1789020691.4829907
time/sync_weights,11,10,1.400965929031372,1789021190.285066
time/sync_weights,12,11,6.28272819519043,1789021677.442947
time/sync_weights,13,12,5.526171684265137,1789022168.281721
time/sync_weights,14,13,5.209004878997803,1789022651.4122286
time/sync_weights,15,14,5.3692426681518555,1789023420.3721063
time/sync_weights,16,15,1.868985891342163,1789023899.6724942
time/sync_weights,17,16,5.432449817657471,1789024401.0954766
time/sync_weights,18,17,5.441476345062256,1789024890.9339294
time/sync_weights,19,18,5.497148513793945,1789025385.69335
time/sync_weights,20,19,5.196946620941162,1789026241.2464643
time/sync_weights,21,20,1.4199492931365967,1789026739.462354
time/sync_weights,22,21,5.415007591247559,1789027250.0147724
time/sync_weights,23,22,5.405303001403809,1789027736.1274378
time/sync_weights,24,23,5.06528902053833,1789028223.2950456
time/sync_weights,25,24,5.216690540313721,1789029017.2298768
time/sync_weights,26,25,1.93603515625,1789029518.4927332
time/sync_weights,27,26,6.31490421295166,1789030031.9299412
time/sync_weights,28,27,7.259319305419922,1789030536.9685576
time/sync_weights,29,28,5.52193546295166,1789031029.4193041
time/sync_weights,30,29,5.480563163757324,1789031840.5062199
time/sync_weights,31,30,1.3174433708190918,1789032321.1333687
time/sync_weights,32,31,5.418704509735107,1789032806.183012
time/sync_weights,33,32,4.884477615356445,1789033288.1780007
time/sync_weights,34,33,5.0134477615356445,1789033768.5843809
time/sync_weights,35,34,5.135075569152832,1789034577.51253
time/sync_weights,36,35,2.1013481616973877,1789035070.077754
time/sync_weights,37,36,4.887429237365723,1789035552.332247
time/sync_weights,38,37,4.972650527954102,1789036035.2069936
time/sync_weights,39,38,4.793657302856445,1789036520.263956
time/sync_weights,40,39,4.869245529174805,1789037340.0678005
time/sync_weights,41,40,1.4552536010742188,1789037825.4344888
time/sync_weights,42,41,5.032642364501953,1789038306.3190122
time/sync_weights,43,42,5.013508319854736,1789038790.680386
time/sync_weights,44,43,5.007033348083496,1789039272.4819925
time/sync_weights,45,44,5.148944854736328,1789040061.5155742
time/sync_weights,46,45,2.02333402633667,1789040553.199877
time/sync_weights,47,46,4.98857307434082,1789041035.6347337
time/sync_weights,48,47,5.253482341766357,1789041519.0983036
time/sync_weights,49,48,5.120161056518555,1789042001.82021
time/generate_rollouts,1,0,44.417877197265625,1789015717.653123
time/generate_rollouts,2,1,36.727455139160156,1789016198.7305171
time/generate_rollouts,3,2,36.55231475830078,1789016679.0402946
time/generate_rollouts,4,3,34.815956115722656,1789017157.2004325
time/generate_rollouts,5,4,36.664058685302734,1789017936.0476713
time/generate_rollouts,6,5,42.19402313232422,1789018425.6555626
time/generate_rollouts,7,6,38.08807373046875,1789018919.6085765
time/generate_rollouts,8,7,39.40747833251953,1789019405.6772292
time/generate_rollouts,9,8,36.09542465209961,1789019889.4136243
time/generate_rollouts,10,9,36.882545471191406,1789020691.4829988
time/generate_rollouts,11,10,37.764530181884766,1789021190.285073
time/generate_rollouts,12,11,36.75224685668945,1789021677.4429536
time/generate_rollouts,13,12,38.405548095703125,1789022168.2817292
time/generate_rollouts,14,13,36.670814514160156,1789022651.4122467
time/generate_rollouts,15,14,37.256404876708984,1789023420.3721232
time/generate_rollouts,16,15,36.21657943725586,1789023899.6725
time/generate_rollouts,17,16,43.55107498168945,1789024401.0954833
time/generate_rollouts,18,17,40.40007019042969,1789024890.9339359
