tag,round,raw_step,value,wall_time
env/return,1,0,0.25,1789015720.8883195
env/return,2,1,0.25,1789016206.3173323
env/return,3,2,0.5,1789016687.0272021
env/return,4,3,0.5,1789017169.920522
env/return,5,4,0.5,1789017939.204261
env/return,6,5,0.0,1789018434.0745714
env/return,7,6,0.5,1789018931.6646519
env/return,8,7,0.5,1789019418.1756864
env/return,9,8,0.5,1789019909.7779086
env/return,10,9,0.5,1789020726.621342
env/return,11,10,0.25,1789021220.7584345
env/return,12,11,0.5,1789021708.0906298
env/return,13,12,0.5,1789022196.2239132
env/return,14,13,1.0,1789022680.1961062
env/return,15,14,0.5,1789023467.713334
env/return,16,15,0.25,1789023952.256812
env/return,17,16,0.5,1789024453.4964833
env/return,18,17,0.75,1789024941.8810897
env/return,19,18,0.0,1789025439.9446921
env/return,20,19,0.5,1789026303.8937004
env/return,21,20,0.0,1789026794.0895915
env/return,22,21,0.25,1789027287.555067
env/return,23,22,0.0,1789027774.5445137
env/return,24,23,0.75,1789028262.6096485
env/return,25,24,1.0,1789029072.752859
env/return,26,25,0.5,1789029569.7478538
env/return,27,26,0.75,1789030084.0841546
env/return,28,27,0.25,1789030588.6185012
env/return,29,28,0.5,1789031086.6088545
env/return,30,29,0.0,1789031905.3192835
env/return,31,30,0.25,1789032387.1967273
env/return,32,31,0.5,1789032874.4918199
env/return,33,32,0.5,1789033359.8064382
env/return,34,33,0.75,1789033845.3764114
env/return,35,34,0.0,1789034673.7649944
env/return,36,35,0.25,1789035155.6188762
env/return,37,36,0.25,1789035641.8096528
env/return,38,37,0.75,1789036131.7170732
env/return,39,38,0.5,1789036626.4254413
env/return,40,39,0.25,1789037467.8028948
env/return,41,40,0.75,1789037950.8662825
env/return,42,41,1.0,1789038436.340162
env/return,43,42,0.5,1789038922.651583
env/return,44,43,0.75,1789039408.091593
env/return,45,44,0.25,1789040213.789771
env/return,46,45,0.25,1789040696.4844928
env/return,47,46,0.0,1789041182.5710568
env/return,48,47,0.25,1789041667.1390204
env/return,49,48,0.5,1789042157.7910118
env/success_once,1,0,0.25,1789015720.8884141
env/success_once,2,1,0.25,1789016206.3173869
env/success_once,3,2,0.5,1789016687.0272522
env/success_once,4,3,0.5,1789017169.920578
env/success_once,5,4,0.5,1789017939.204292
env/success_once,6,5,0.0,1789018434.074671
env/success_once,7,6,0.5,1789018931.6647024
env/success_once,8,7,0.5,1789019418.1757581
env/success_once,9,8,0.5,1789019909.7779438
env/success_once,10,9,0.5,1789020726.6213734
env/success_once,11,10,0.25,1789021220.7584906
env/success_once,12,11,0.5,1789021708.0906842
env/success_once,13,12,0.5,1789022196.223967
env/success_once,14,13,1.0,1789022680.196164
env/success_once,15,14,0.5,1789023467.7133565
env/success_once,16,15,0.25,1789023952.2568805
env/success_once,17,16,0.5,1789024453.4965494
env/success_once,18,17,0.75,1789024941.8811638
env/success_once,19,18,0.0,1789025439.9447556
env/success_once,20,19,0.5,1789026303.8937352
env/success_once,21,20,0.0,1789026794.089664
env/success_once,22,21,0.25,1789027287.5551207
env/success_once,23,22,0.0,1789027774.5445728
env/success_once,24,23,0.75,1789028262.6097581
env/success_once,25,24,1.0,1789029072.7528818
env/success_once,26,25,0.5,1789029569.7479103
env/success_once,27,26,0.75,1789030084.0842183
env/success_once,28,27,0.25,1789030588.6185505
env/success_once,29,28,0.5,1789031086.6089067
env/success_once,30,29,0.0,1789031905.3193123
env/success_once,31,30,0.25,1789032387.1967897
env/success_once,32,31,0.5,1789032874.4918728
env/success_once,33,32,0.5,1789033359.806502
env/success_once,34,33,0.75,1789033845.376491
env/success_once,35,34,0.0,1789034673.7650242
env/success_once,36,35,0.25,1789035155.6189477
env/success_once,37,36,0.25,1789035641.8097029
env/success_once,38,37,0.75,1789036131.7171052
env/success_once,39,38,0.5,1789036626.425518
env/success_once,40,39,0.25,1789037467.802921
env/success_once,41,40,0.75,1789037950.8663478
env/success_once,42,41,1.0,1789038436.3402162
env/success_once,43,42,0.5,1789038922.6516583
env/success_once,44,43,0.75,1789039408.0916634
env/success_once,45,44,0.25,1789040213.7898395
env/success_once,46,45,0.25,1789040696.4845586
env/success_once,47,46,0.0,1789041182.5711713
env/success_once,48,47,0.25,1789041667.139057
env/success_once,49,48,0.5,1789042157.791088
env/reward,1,0,0.0012499999720603228,1789015720.888433
env/reward,2,1,0.0012499999720603228,1789016206.317399
env/reward,3,2,0.0024999999441206455,1789016687.0272613
env/reward,4,3,0.0024999999441206455,1789017169.9205868
env/reward,5,4,0.0024999999441206455,1789017939.204302
env/reward,6,5,0.0,1789018434.0746894
env/reward,7,6,0.0024999999441206455,1789018931.664709
env/reward,8,7,0.0024999999441206455,1789019418.1757724
env/reward,9,8,0.0024999999441206455,1789019909.7779524
env/reward,10,9,0.0024999999441206455,1789020726.6213841
env/reward,11,10,0.0012499999720603228,1789021220.758499
env/reward,12,11,0.0024999999441206455,1789021708.0906942
env/reward,13,12,0.0024999999441206455,1789022196.2239766
env/reward,14,13,0.004999999888241291,1789022680.196175
env/reward,15,14,0.0024999999441206455,1789023467.7133648
env/reward,16,15,0.0012499999720603228,1789023952.256889
env/reward,17,16,0.0024999999441206455,1789024453.4965577
env/reward,18,17,0.0037499999161809683,1789024941.881177
env/reward,19,18,0.0,1789025439.9447641
env/reward,20,19,0.0024999999441206455,1789026303.8937466
env/reward,21,20,0.0,1789026794.0896773
env/reward,22,21,0.0012499999720603228,1789027287.5551305
env/reward,23,22,0.0,1789027774.5445855
env/reward,24,23,0.0037499999161809683,1789028262.6097796
env/reward,25,24,0.004999999888241291,1789029072.7528896
env/reward,26,25,0.0024999999441206455,1789029569.747919
env/reward,27,26,0.0037499999161809683,1789030084.0842292
env/reward,28,27,0.0012499999720603228,1789030588.6185577
env/reward,29,28,0.0024999999441206455,1789031086.6089163
env/reward,30,29,0.0,1789031905.3193216
env/reward,31,30,0.0012499999720603228,1789032387.196801
env/reward,32,31,0.0024999999441206455,1789032874.4918814
env/reward,33,32,0.0024999999441206455,1789033359.8065133
env/reward,34,33,0.0037499999161809683,1789033845.376507
env/reward,35,34,0.0,1789034673.7650344
env/reward,36,35,0.0012499999720603228,1789035155.61896
env/reward,37,36,0.0012499999720603228,1789035641.8097115
env/reward,38,37,0.0037499999161809683,1789036131.717114
env/reward,39,38,0.0024999999441206455,1789036626.4255326
env/reward,40,39,0.0012499999720603228,1789037467.8029294
env/reward,41,40,0.0037499999161809683,1789037950.8663595
env/reward,42,41,0.004999999888241291,1789038436.3402257
env/reward,43,42,0.0024999999441206455,1789038922.6516664
env/reward,44,43,0.0037499999161809683,1789039408.09168
env/reward,45,44,0.0012499999720603228,1789040213.7898657
env/reward,46,45,0.0012499999720603228,1789040696.4845712
env/reward,47,46,0.0,1789041182.5711918
env/reward,48,47,0.0012499999720603228,1789041667.1390648
env/reward,49,48,0.0024999999441206455,1789042157.791103
env/episode_len,1,0,200.0,1789015720.888445
env/episode_len,2,1,200.0,1789016206.3174086
env/episode_len,3,2,200.0,1789016687.027267
env/episode_len,4,3,200.0,1789017169.9205942
env/episode_len,5,4,200.0,1789017939.2043095
env/episode_len,6,5,200.0,1789018434.0747042
env/episode_len,7,6,200.0,1789018931.6647136
env/episode_len,8,7,200.0,1789019418.1757817
env/episode_len,9,8,200.0,1789019909.777959
env/episode_len,10,9,200.0,1789020726.6213927
env/episode_len,11,10,200.0,1789021220.7585049
env/episode_len,12,11,200.0,1789021708.0907018
env/episode_len,13,12,200.0,1789022196.2239847
env/episode_len,14,13,200.0,1789022680.1961827
env/episode_len,15,14,200.0,1789023467.7133713
env/episode_len,16,15,200.0,1789023952.2568958
env/episode_len,17,16,200.0,1789024453.496564
env/episode_len,18,17,200.0,1789024941.8811874
env/episode_len,19,18,200.0,1789025439.9447706
env/episode_len,20,19,200.0,1789026303.8937562
env/episode_len,21,20,200.0,1789026794.0896869
env/episode_len,22,21,200.0,1789027287.5551376
env/episode_len,23,22,200.0,1789027774.5445938
env/episode_len,24,23,200.0,1789028262.6097958
env/episode_len,25,24,200.0,1789029072.7528958
env/episode_len,26,25,200.0,1789029569.7479255
env/episode_len,27,26,200.0,1789030084.0842462
env/episode_len,28,27,200.0,1789030588.6185625
env/episode_len,29,28,200.0,1789031086.608923
env/episode_len,30,29,200.0,1789031905.3193283
env/episode_len,31,30,200.0,1789032387.1968088
env/episode_len,32,31,200.0,1789032874.4918876
env/episode_len,33,32,200.0,1789033359.8065221
env/episode_len,34,33,200.0,1789033845.376517
env/episode_len,35,34,200.0,1789034673.765042
env/episode_len,36,35,200.0,1789035155.6189697
env/episode_len,37,36,200.0,1789035641.8097174
env/episode_len,38,37,200.0,1789036131.7171202
env/episode_len,39,38,200.0,1789036626.4255438
env/episode_len,40,39,200.0,1789037467.8029356
env/episode_len,41,40,200.0,1789037950.8663685
env/episode_len,42,41,200.0,1789038436.340241
env/episode_len,43,42,200.0,1789038922.6516728
env/episode_len,44,43,200.0,1789039408.0916917
env/episode_len,45,44,200.0,1789040213.7898865
env/episode_len,46,45,200.0,1789040696.4845798
env/episode_len,47,46,200.0,1789041182.5712073
env/episode_len,48,47,200.0,1789041667.1390705
env/episode_len,49,48,200.0,1789042157.7911131
env/num_trajectories,1,0,4.0,1789015720.8884811
env/num_trajectories,2,1,4.0,1789016206.3174386
env/num_trajectories,3,2,4.0,1789016687.027297
env/num_trajectories,4,3,4.0,1789017169.9206223
env/num_trajectories,5,4,4.0,1789017939.2043262
env/num_trajectories,6,5,4.0,1789018434.0747614
env/num_trajectories,7,6,4.0,1789018931.664738
env/num_trajectories,8,7,4.0,1789019418.1758163
env/num_trajectories,9,8,4.0,1789019909.7779884
env/num_trajectories,10,9,4.0,1789020726.6214101
env/num_trajectories,11,10,4.0,1789021220.7585337
env/num_trajectories,12,11,4.0,1789021708.0907216
env/num_trajectories,13,12,4.0,1789022196.224015
env/num_trajectories,14,13,4.0,1789022680.1962187
env/num_trajectories,15,14,4.0,1789023467.7133837
env/num_trajectories,16,15,4.0,1789023952.2569318
env/num_trajectories,17,16,4.0,1789024453.496605
