tag,round,value,wall_time
env/success_once,1,0.25,1790093941.228792
env/success_once,2,0.5,1790094237.7854881
env/success_once,3,0.375,1790094534.4457994
env/success_once,4,0.625,1790094828.6302896
env/success_once,5,0.75,1790095402.5903456
env/success_once,6,0.5,1790095694.0348485
env/success_once,7,0.375,1790095989.0818589
env/success_once,8,0.625,1790096284.0882647
env/success_once,9,0.625,1790096578.5313587
env/success_once,10,0.625,1790097146.0072992
env/success_once,11,0.5,1790097442.8763857
env/success_once,12,0.625,1790097740.3016143
env/success_once,13,0.875,1790098034.8093112
env/success_once,14,0.5,1790098330.3750389
env/success_once,15,0.375,1790098900.4393296
env/success_once,16,0.625,1790099193.9295545
env/success_once,17,0.5,1790099490.3211992
env/success_once,18,0.25,1790099784.3900614
env/success_once,19,0.75,1790100079.6882837
env/success_once,20,0.75,1790100645.6278858
env/success_once,21,0.75,1790100937.7144427
env/success_once,22,0.75,1790101232.5265458
env/success_once,23,0.5,1790101529.8949668
env/success_once,24,0.75,1790101823.1196492
env/success_once,25,0.75,1790102393.6038003
env/success_once,26,0.5,1790102685.495619
env/success_once,27,0.875,1790102979.889725
env/success_once,28,0.875,1790103274.326396
env/success_once,29,1.0,1790103565.2179372
env/success_once,30,0.625,1790104127.5729434
env/success_once,31,0.625,1790104418.8734972
env/success_once,32,0.625,1790104712.56118
env/success_once,33,0.875,1790105005.866943
env/success_once,34,1.0,1790105299.9779918
env/success_once,35,0.75,1790105866.6510966
env/success_once,36,0.75,1790106158.8196652
env/success_once,37,0.625,1790106453.6500626
env/success_once,38,0.375,1790106750.0742614
env/success_once,39,1.0,1790107042.3161452
env/success_once,40,0.75,1790107603.8347993
env/success_once,41,0.875,1790107895.1867726
env/success_once,42,0.625,1790108189.237086
env/success_once,43,0.625,1790108483.5230892
env/success_once,44,1.0,1790108774.1727526
env/success_once,45,0.5,1790109330.9731784
env/success_once,46,0.875,1790109621.6545122
env/success_once,47,0.5,1790109914.9770913
env/success_once,48,0.75,1790110205.8962057
env/success_once,49,0.75,1790110498.0408797
env/success_once,50,0.75,1790111078.4123886
env/success_once,51,0.625,1790111367.9304655
env/success_once,52,0.625,1790111659.2593215
env/success_once,53,0.625,1790111952.0416622
env/success_once,54,0.875,1790112245.6049545
env/success_once,55,0.5,1790112803.800752
env/success_once,56,0.625,1790113095.4825182
env/success_once,57,0.5,1790113389.631094
env/success_once,58,0.875,1790113681.800799
env/success_once,59,0.625,1790113974.031185
env/success_once,60,0.625,1790114535.284464
env/success_once,61,0.5,1790114828.61571
env/success_once,62,0.75,1790115121.522411
env/success_once,63,0.75,1790115415.0229769
env/success_once,64,0.75,1790115707.1617002
env/success_once,65,1.0,1790116263.4401245
env/success_once,66,0.875,1790116553.9156795
env/success_once,67,0.75,1790116843.916181
env/success_once,68,0.875,1790117137.0633361
env/success_once,69,0.875,1790117427.2131014
env/success_once,70,1.0,1790117985.3746634
env/success_once,71,0.75,1790118276.9681108
env/success_once,72,0.625,1790118570.083146
env/success_once,73,0.875,1790118862.3897214
env/success_once,74,0.75,1790119156.422495
env/success_once,75,0.625,1790119714.865835
env/success_once,76,0.75,1790120007.8126254
env/success_once,77,0.875,1790120299.3011835
env/success_once,78,0.875,1790120593.7287738
env/success_once,79,0.875,1790120886.2666118
env/success_once,80,0.75,1790121443.4294965
env/success_once,81,0.875,1790121736.7263124
env/success_once,82,0.75,1790122030.2204866
env/success_once,83,0.5,1790122325.1557648
env/success_once,84,0.75,1790122618.013781
env/success_once,85,0.75,1790123174.7963245
env/success_once,86,0.75,1790123465.289318
env/success_once,87,0.875,1790123760.8272188
env/success_once,88,0.5,1790124056.3847468
env/success_once,89,0.625,1790124351.7646935
env/success_once,90,0.75,1790124911.8967643
env/success_once,91,1.0,1790125203.8193495
env/success_once,92,0.75,1790125498.5509179
env/success_once,93,0.625,1790125795.0154257
env/success_once,94,1.0,1790126090.033502
env/success_once,95,0.75,1790126655.689016
env/success_once,96,0.625,1790126949.562837
env/success_once,97,0.5,1790127245.6744547
env/success_once,98,0.75,1790127540.3636603
env/success_once,99,0.5,1790127837.5738418
env/success_once,100,0.5,1790128427.0447793
env/success_once,101,1.0,1790128717.0481021
env/success_once,102,1.0,1790129009.4972057
env/success_once,103,0.875,1790129306.133791
env/success_once,104,0.875,1790129603.0317304
env/success_once,105,0.875,1790130168.132322
env/success_once,106,0.75,1790130459.1008325
env/success_once,107,0.75,1790130753.6871161
env/success_once,108,0.625,1790131048.2176373
env/success_once,109,0.75,1790131342.7929559
env/success_once,110,0.625,1790131910.9581795
env/success_once,111,0.875,1790132204.7335372
env/success_once,112,0.875,1790132500.230165
env/success_once,113,1.0,1790132794.7815382
env/success_once,114,0.625,1790133090.0280197
env/success_once,115,0.625,1790133655.8274484
env/success_once,116,0.5,1790133948.6331725
env/success_once,117,0.625,1790134242.005426
env/success_once,118,0.75,1790134537.1653192
env/success_once,119,0.75,1790134829.9032989
env/success_once,120,0.5,1790135389.0402784
env/success_once,121,0.625,1790135679.5150478
env/success_once,122,0.625,1790135981.4471753
env/success_once,123,0.75,1790136274.8724194
env/success_once,124,0.75,1790136570.9643757
env/success_once,125,0.875,1790137127.752081
env/success_once,126,0.75,1790137419.6060114
env/success_once,127,0.625,1790137716.6083279
env/success_once,128,0.625,1790138011.2180972
env/success_once,129,0.75,1790138305.804883
env/success_once,130,0.75,1790138865.0293577
env/success_once,131,0.75,1790139159.3509758
env/success_once,132,0.875,1790139454.8935778
env/return,1,0.25,1790093941.2288492
env/return,2,0.5,1790094237.785522
env/return,3,0.375,1790094534.4458287
env/return,4,0.625,1790094828.6303656
env/return,5,0.75,1790095402.5903673
env/return,6,0.5,1790095694.0349028
env/return,7,0.375,1790095989.0819073
env/return,8,0.625,1790096284.0883174
env/return,9,0.625,1790096578.5314088
env/return,10,0.625,1790097146.0073247
env/return,11,0.5,1790097442.876438
env/return,12,0.625,1790097740.3016787
env/return,13,0.875,1790098034.8093576
env/return,14,0.5,1790098330.375094
env/return,15,0.375,1790098900.4393551
env/return,16,0.625,1790099193.9296038
env/return,17,0.5,1790099490.3212597
env/return,18,0.25,1790099784.3901017
env/return,19,0.75,1790100079.6883514
env/return,20,0.75,1790100645.627912
env/return,21,0.75,1790100937.7144978
env/return,22,0.75,1790101232.526576
env/return,23,0.5,1790101529.8950298
env/return,24,0.75,1790101823.1197014
env/return,25,0.75,1790102393.603824
env/return,26,0.5,1790102685.495674
env/return,27,0.875,1790102979.8897994
env/return,28,0.875,1790103274.3264468
env/return,29,1.0,1790103565.2179868
env/return,30,0.625,1790104127.5729663
env/return,31,0.625,1790104418.8735466
env/return,32,0.625,1790104712.5612345
env/return,33,0.875,1790105005.8669848
env/return,34,1.0,1790105299.9780169
env/return,35,0.75,1790105866.6511242
env/return,36,0.75,1790106158.8197207
env/return,37,0.625,1790106453.6501215
env/return,38,0.375,1790106750.0743124
env/return,39,1.0,1790107042.3162155
env/return,40,0.75,1790107603.8348353
env/return,41,0.875,1790107895.1868255
env/return,42,0.625,1790108189.2371228
env/return,43,0.625,1790108483.5231493
env/return,44,1.0,1790108774.172805
env/return,45,0.5,1790109330.9732118
env/return,46,0.875,1790109621.654545
env/return,47,0.5,1790109914.977149
env/return,48,0.75,1790110205.8962688
env/return,49,0.75,1790110498.0409372
env/return,50,0.75,1790111078.41242
env/return,51,0.625,1790111367.9304955
env/return,52,0.625,1790111659.2593896
env/return,53,0.625,1790111952.0417297
env/return,54,0.875,1790112245.6050136
env/return,55,0.5,1790112803.8007803
env/return,56,0.625,1790113095.4825833
env/return,57,0.5,1790113389.6311388
env/return,58,0.875,1790113681.8008597
env/return,59,0.625,1790113974.031229
env/return,60,0.625,1790114535.2844877
env/return,61,0.5,1790114828.6157548
env/return,62,0.75,1790115121.5224552
env/return,63,0.75,1790115415.0230186
env/return,64,0.75,1790115707.1617546
env/return,65,1.0,1790116263.440147
env/return,66,0.875,1790116553.9157324
env/return,67,0.75,1790116843.9162304
env/return,68,0.875,1790117137.0633905
env/return,69,0.875,1790117427.2131517
env/return,70,1.0,1790117985.3746955
env/return,71,0.75,1790118276.968153
env/return,72,0.625,1790118570.0832057
env/return,73,0.875,1790118862.3897593
env/return,74,0.75,1790119156.4225514
env/return,75,0.625,1790119714.8658538
env/return,76,0.75,1790120007.8126845
