id,metric,round,attempts,max_adam,value
bc4_u5,train,1,4,5,0.25
bc4_u5,train,2,8,10,0.75
bc4_u5,train,3,12,15,0.5
bc4_u5,train,4,16,20,0.5
bc4_u5,train,5,20,25,0.5
bc4_u5,train,6,24,30,0.0
bc4_u5,train,7,28,35,0.25
bc4_u5,train,8,32,40,0.25
bc4_u5,train,9,36,45,0.75
bc4_u5,train,10,40,50,0.75
bc4_u5,train,11,44,55,0.25
bc4_u5,train,12,48,60,0.5
bc4_u5,train,13,52,65,0.5
bc4_u5,train,14,56,70,0.5
bc4_u5,train,15,60,75,0.5
bc4_u5,train,16,64,80,0.5
bc4_u5,train,17,68,85,0.25
bc4_u5,train,18,72,90,0.75
bc4_u5,train,19,76,95,0.25
bc4_u5,train,20,80,100,0.75
bc4_u5,train,21,84,105,0.5
bc4_u5,train,22,88,110,0.25
bc4_u5,train,23,92,115,0.75
bc4_u5,train,24,96,120,0.75
bc4_u5,train,25,100,125,0.75
bc4_u5,train,26,104,130,0.75
bc4_u5,train,27,108,135,0.25
bc4_u5,train,28,112,140,0.25
bc4_u5,train,29,116,145,0.5
bc4_u5,train,30,120,150,0.5
bc4_u5,train,31,124,155,0.5
bc4_u5,train,32,128,160,0.75
bc4_u5,train,33,132,165,0.75
bc4_u5,train,34,136,170,0.5
bc4_u5,train,35,140,175,0.5
bc4_u5,train,36,144,180,0.75
bc4_u5,train,37,148,185,0.25
bc4_u5,train,38,152,190,0.25
bc4_u5,train,39,156,195,0.5
bc4_u5,train,40,160,200,0.5
bc4_u5,train,41,164,205,0.5
bc4_u5,train,42,168,210,1.0
bc4_u5,train,43,172,215,0.25
bc4_u5,train,44,176,220,0.5
bc4_u5,train,45,180,225,0.25
bc4_u5,train,46,184,230,0.25
bc4_u5,train,47,188,235,0.0
bc4_u5,train,48,192,240,0.5
bc4_u5,train,49,196,245,0.75
bc4_u5,train,50,200,250,0.0
bc4_u5,train,51,204,255,0.25
bc4_u5,train,52,208,260,0.5
bc4_u5,train,53,212,265,0.75
bc4_u5,train,54,216,270,0.25
bc4_u5,train,55,220,275,1.0
bc4_u5,train,56,224,280,0.75
bc4_u5,train,57,228,285,0.5
bc4_u5,train,58,232,290,0.25
bc4_u5,train,59,236,295,0.25
bc4_u5,train,60,240,300,0.25
bc4_u5,train,61,244,305,0.75
bc4_u5,train,62,248,310,0.75
bc4_u5,train,63,252,315,0.5
bc4_u5,train,64,256,320,0.5
bc4_u5,train,65,260,325,0.75
bc4_u5,train,66,264,330,0.5
bc4_u5,train,67,268,335,0.5
bc4_u5,train,68,272,340,0.75
bc4_u5,train,69,276,345,1.0
bc4_u5,train,70,280,350,0.75
bc4_u5,train,71,284,355,0.25
bc4_u5,train,72,288,360,0.5
bc4_u5,train,73,292,365,0.25
bc4_u5,train,74,296,370,0.5
bc4_u5,train,75,300,375,0.5
bc4_u5,train,76,304,380,0.75
bc4_u5,train,77,308,385,0.75
bc4_u5,train,78,312,390,1.0
bc4_u5,train,79,316,395,0.75
bc4_u5,train,80,320,400,0.25
bc4_u5,train,81,324,405,0.5
bc4_u5,train,82,328,410,0.25
bc4_u5,train,83,332,415,0.5
bc4_u5,train,84,336,420,0.75
bc4_u5,train,85,340,425,0.5
bc4_u5,train,86,344,430,0.0
bc4_u5,train,87,348,435,0.75
bc4_u5,train,88,352,440,0.5
bc4_u5,train,89,356,445,0.5
bc4_u5,train,90,360,450,0.5
bc4_u5,train,91,364,455,0.75
bc4_u5,train,92,368,460,0.5
bc4_u5,train,93,372,465,0.5
bc4_u5,train,94,376,470,0.5
bc4_u5,train,95,380,475,0.5
bc4_u5,train,96,384,480,0.75
bc4_u5,train,97,388,485,0.75
bc4_u5,train,98,392,490,0.75
bc4_u5,train,99,396,495,0.75
