attempts,bc4_u5,dvac4_u5,bc8_u10,dvac8_u10,bc8_u2,dvac8_u2,new4_u5,new8_u10,attena4_u5,iql4_u5,sarm4_u5,bc4_u10,new4_u10,bc8_u5,new8_u5,bc32_u10,dvac32_u10
40,37.5,37.5,46.875,40.625,46.875,43.75,43.75,43.75,40.625,28.125,40.625,37.5,37.5,40.625,50.0,,
80,37.5,56.25,46.875,50.0,53.125,43.75,40.625,50.0,37.5,34.375,40.625,37.5,34.375,50.0,56.25,,
120,50.0,53.125,68.75,56.25,50.0,56.25,46.875,46.875,37.5,25.0,40.625,34.375,25.0,56.25,46.875,,
160,46.875,50.0,62.5,62.5,62.5,56.25,50.0,43.75,37.5,28.125,31.25,28.125,31.25,59.375,53.125,43.75,56.25
200,43.75,50.0,59.375,59.375,62.5,53.125,43.75,59.375,28.125,28.125,46.875,,,53.125,62.5,,
240,53.125,65.625,59.375,53.125,53.125,56.25,53.125,59.375,28.125,21.875,43.75,,,62.5,56.25,,
280,40.625,56.25,68.75,56.25,59.375,50.0,46.875,40.625,40.625,43.75,43.75,,,50.0,59.375,,
320,46.875,43.75,65.625,65.625,53.125,59.375,46.875,50.0,25.0,31.25,28.125,,,65.625,59.375,56.25,53.125
360,34.375,46.875,68.75,62.5,62.5,53.125,59.375,46.875,,28.125,50.0,,,53.125,65.625,,
400,43.75,,68.75,53.125,56.25,62.5,53.125,53.125,,25.0,40.625,,,62.5,56.25,,
480,,,62.5,56.25,68.75,59.375,,50.0,,,,,,62.5,56.25,56.25,59.375
560,,,68.75,68.75,56.25,62.5,,56.25,,,,,,68.75,59.375,,
640,,,65.625,71.875,,,,,,,,,,53.125,59.375,50.0,59.375
720,,,71.875,62.5,,,,,,,,,,65.625,65.625,,
800,,,71.875,62.5,,,,,,,,,,59.375,62.5,50.0,62.5
