id,metric,start,end,actual_end,points,mean_pct
bc4_u5,train,1,20,20,20,46.25
bc4_u5,eval,1,20,20,4,36.71875
bc4_u5,train,21,40,40,20,52.5
bc4_u5,eval,21,40,40,4,43.75
bc4_u5,train,41,60,60,20,43.75
bc4_u5,eval,41,60,60,4,46.875
bc4_u5,train,61,80,80,20,61.25000000000001
bc4_u5,eval,61,80,80,4,46.09375
bc4_u5,train,81,100,100,20,56.25
bc4_u5,eval,81,100,100,4,42.1875
dvac4_u5,train,1,20,20,20,52.5
dvac4_u5,eval,1,20,20,4,42.1875
dvac4_u5,train,21,40,40,20,55.00000000000001
dvac4_u5,eval,21,40,40,4,48.4375
dvac4_u5,train,41,60,60,20,53.75
dvac4_u5,eval,41,60,60,4,56.25
dvac4_u5,train,61,80,80,20,65.0
dvac4_u5,eval,61,80,80,4,50.78125
dvac4_u5,train,81,100,94,14,55.35714285714286
dvac4_u5,eval,81,100,90,2,50.0
bc8_u10,train,1,20,20,20,62.5
bc8_u10,eval,1,20,20,4,56.25
bc8_u10,train,21,40,40,20,69.375
bc8_u10,eval,21,40,40,4,63.28125
bc8_u10,train,41,60,60,20,74.375
bc8_u10,eval,41,60,60,4,66.40625
bc8_u10,train,61,80,80,20,73.75
bc8_u10,eval,61,80,80,4,67.1875
bc8_u10,train,81,100,100,20,73.75
bc8_u10,eval,81,100,100,4,75.0
dvac8_u10,train,1,20,20,20,57.49999999999999
dvac8_u10,eval,1,20,20,4,52.34375
dvac8_u10,train,21,40,40,20,68.75
dvac8_u10,eval,21,40,40,4,58.59375
dvac8_u10,train,41,60,60,20,71.875
dvac8_u10,eval,41,60,60,4,59.375
dvac8_u10,train,61,80,80,20,65.625
dvac8_u10,eval,61,80,80,4,65.625
dvac8_u10,train,81,100,100,20,71.875
dvac8_u10,eval,81,100,100,4,65.625
bc8_u2,train,1,20,20,20,55.00000000000001
bc8_u2,eval,1,20,20,4,53.125
bc8_u2,train,21,40,40,20,63.74999999999999
bc8_u2,eval,21,40,40,4,57.03125
bc8_u2,train,41,60,60,20,79.375
bc8_u2,eval,41,60,60,4,60.15625
bc8_u2,train,61,80,79,19,75.6578947368421
bc8_u2,eval,61,80,75,3,63.541666666666664
dvac8_u2,train,1,20,20,20,55.625
dvac8_u2,eval,1,20,20,4,50.0
dvac8_u2,train,21,40,40,20,63.74999999999999
dvac8_u2,eval,21,40,40,4,54.6875
dvac8_u2,train,41,60,60,20,79.375
dvac8_u2,eval,41,60,60,4,57.8125
dvac8_u2,train,61,80,78,18,80.55555555555556
dvac8_u2,eval,61,80,75,3,60.416666666666664
bc32_u10,train,1,20,20,20,55.625
bc32_u10,eval,1,20,20,4,51.5625
bc32_u10,train,21,40,40,20,64.53125
bc32_u10,eval,21,40,40,4,56.25
bc32_u10,train,41,60,60,20,66.5625
bc32_u10,eval,41,60,60,4,54.6875
