baseline,treatment,axis,start,end,points,baseline_pct,treatment_pct,delta_pp,tail5_delta_pp,wins,ties,losses,environment_matched,length_matched
bc4_u5,bc8_u10,round,5,100,20,43.125,65.625,22.5,30.0,20,0,0,True,True
bc4_u5,bc8_u10,attempts,40,400,10,43.4375,61.5625,18.125,22.5,10,0,0,True,True
bc4_u5,bc4_u10,round,5,45,9,40.27777777777778,32.29166666666667,-7.986111111111111,-11.875,0,2,7,True,True
bc4_u5,bc4_u10,attempts,20,180,9,40.27777777777778,32.29166666666667,-7.986111111111111,-11.875,0,2,7,True,True
bc4_u10,bc8_u10,round,5,45,9,32.29166666666667,60.763888888888886,28.47222222222222,33.125,9,0,0,True,True
bc4_u10,bc8_u10,attempts,40,160,4,34.375,56.25,21.875,21.875,4,0,0,True,True
bc8_u2,bc8_u10,round,5,75,15,58.12500000000001,63.125,5.0,3.75,9,2,4,True,True
bc8_u2,bc8_u10,attempts,40,600,15,58.12500000000001,63.125,5.0,3.75,9,2,4,True,True
bc32_u10,bc8_u10,round,5,85,17,56.06617647058824,63.970588235294116,7.904411764705882,8.125,15,1,1,True,True
bc32_u10,bc8_u10,attempts,160,800,5,51.24999999999999,65.625,14.374999999999998,14.374999999999998,5,0,0,True,True
bc8_u10,bc8_u5,round,5,100,20,65.625,58.59375,-7.03125,-10.625,2,3,15,False,False
bc8_u10,bc8_u5,attempts,40,800,20,65.625,58.59375,-7.03125,-10.625,2,3,15,False,False
bc4_u5,bc8_u5,round,5,100,20,43.125,58.59375,15.46875,19.375,20,0,0,False,False
bc4_u5,bc8_u5,attempts,40,400,10,43.4375,55.3125,11.875,15.0,10,0,0,False,False
new4_u5,new8_u10,round,5,70,14,48.214285714285715,49.776785714285715,1.5625,1.25,7,2,5,True,True
new4_u5,new8_u10,attempts,40,400,10,48.4375,49.375,0.9375,-1.875,4,3,3,True,True
