baseline,treatment,axis,start,end,points,baseline_pct,treatment_pct,delta_pp,tail5_delta_pp,wins,ties,losses,length_matched,environment_matched
bc32_u10,dvac32_u10,round,5,85,17,56.06617647058824,59.74264705882353,3.6764705882352944,3.125,9,2,6,True,True
bc8_u2,dvac8_u2,round,5,75,15,58.12500000000001,55.41666666666667,-2.7083333333333335,-3.125,6,0,9,True,True
bc8_u10,dvac8_u10,round,5,100,20,65.625,60.3125,-5.3125,-6.25,2,5,13,True,True
bc4_u5,dvac4_u5,round,5,90,18,42.88194444444444,49.47916666666667,6.597222222222222,7.5,15,2,1,True,True
bc4_u5,new4_u5,round,5,100,20,43.125,49.53125,6.406249999999999,10.625,14,5,1,False,True
bc8_u10,new8_u10,round,5,70,14,62.94642857142857,49.776785714285715,-13.169642857142858,-15.625,1,2,11,False,True
bc4_u5,attena4_u5,round,5,80,16,43.359375,35.546875,-7.8125,-13.125,1,3,12,False,True
bc4_u5,sarm4_u5,round,5,100,20,43.125,42.34375,-0.78125,-1.875,10,1,9,True,True
bc4_u5,iql4_u5,round,5,100,20,43.125,30.78125,-12.34375,-14.374999999999998,3,0,17,True,True
bc4_u10,new4_u10,round,5,45,9,32.29166666666667,30.555555555555557,-1.7361111111111112,-2.5,3,1,5,True,True
bc8_u5,new8_u5,round,5,100,20,58.59375,59.375,0.78125,0.625,10,2,8,True,True
