id,N,U,method,environment,length_filter,source,rounds,attempts,max_adam,U_per_N,fixed_points,fixed_last_round,fixed_mean_pct,fixed_last5_pct,fixed_last_pct,train_mean_pct,train_ma10_pct
bc4_u5,4,5,clean,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc4-u5-all-methods-20260909/data/chart_dataset.json,100,400,500,1.25,20,100,43.125,43.125,43.75,52.0,65.0
dvac4_u5,4,5,old_linear_0_5,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc4-u5-all-methods-20260909/data/chart_dataset.json,94,376,470,1.25,18,90,49.47916666666667,50.0,46.875,56.38297872340425,52.5
bc8_u10,8,10,clean,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,100,800,1000,1.25,20,100,65.625,73.125,71.875,70.75,75.0
dvac8_u10,8,10,old_linear_0_5,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,100,800,1000,1.25,20,100,60.3125,66.875,62.5,67.125,76.25
bc8_u2,8,2,clean,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,79,632,158,0.25,15,75,58.12500000000001,62.5,62.5,68.35443037974683,75.0
dvac8_u2,8,2,old_centered_0_2,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,78,624,156,0.25,15,75,55.41666666666667,59.375,53.125,69.55128205128204,81.25
bc32_u10,32,10,clean,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,88,2816,880,0.3125,17,85,56.06617647058824,60.62499999999999,59.375,64.7372159090909,67.1875
dvac32_u10,32,10,old_centered_0_2,legacy,off,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-budget-comparison-20260908/dataset.json,88,2816,880,0.3125,17,85,59.74264705882353,63.74999999999999,75.0,63.24573863636363,69.375
new4_u5,4,5,two_level_1_1,legacy,le3,docs/rlinf-robotwin-pi0-online-bc/evidence/bc4-u5-all-methods-20260909/data/chart_dataset.json,100,400,500,1.25,20,100,49.53125,53.75,53.125,59.5,72.5
new8_u10,8,10,two_level_1_1,legacy,le3,docs/rlinf-robotwin-pi0-online-bc/evidence/bc-dvac-new-closeout-20260909/comparison8/data/chart_dataset.json,72,576,720,1.25,14,70,49.776785714285715,51.24999999999999,56.25,59.375,65.0
attena4_u5,4,5,attena_fk,legacy,le3,docs/server-admin/evidence/experiment-refresh-20260910-current/chart-data.json,84,336,420,1.25,16,80,35.546875,34.375,25.0,41.964285714285715,55.00000000000001
iql4_u5,4,5,iql,legacy,off,docs/server-admin/evidence/bc-iql-sarm-closeout-20260910/raw/iql/scalars.json,100,400,500,1.25,20,100,30.78125,28.749999999999996,25.0,41.0,40.0
sarm4_u5,4,5,sarm,legacy,off,docs/server-admin/evidence/bc-iql-sarm-closeout-20260910/raw/sarm/scalars.json,100,400,500,1.25,20,100,42.34375,41.25,40.625,43.75,50.0
bc4_u10,4,10,clean,legacy,off,docs/server-admin/evidence/bc4u10-closeout-20260910/comparison/chart-data.json,49,196,490,2.5,9,45,32.29166666666667,31.25,25.0,41.3265306122449,30.0
new4_u10,4,10,two_level_1_1,legacy,off,docs/server-admin/evidence/bc4u10-closeout-20260910/comparison/chart-data.json,49,196,490,2.5,9,45,30.555555555555557,28.749999999999996,31.25,42.857142857142854,45.0
bc8_u5,8,5,clean,fixed,le3,docs/server-admin/evidence/experiment-refresh-20260911/chart-data.json,100,800,500,0.625,20,100,58.59375,62.5,59.375,68.375,83.75
new8_u5,8,5,two_level_1_1,fixed,le3,docs/server-admin/evidence/experiment-refresh-20260911/chart-data.json,100,800,500,0.625,20,100,59.375,63.125,62.5,62.0,70.0
