tag,round,raw_step,value,wall_time
env/success_once,1,0,0.421875,1788960750.1684582
env/success_once,2,1,0.37109375,1788961884.9676735
env/success_once,3,2,0.421875,1788962998.0601757
env/success_once,4,3,0.421875,1788964119.62079
env/success_once,5,4,0.36328125,1788965471.4979937
env/success_once,6,5,0.43359375,1788966597.547185
env/success_once,7,6,0.45703125,1788967727.303985
env/success_once,8,7,0.46484375,1788968844.8371654
env/success_once,9,8,0.37109375,1788969967.6795893
env/success_once,10,9,0.3828125,1788971379.5280528
env/success_once,11,10,0.47265625,1788972509.5194497
env/success_once,12,11,0.359375,1788973635.706882
env/success_once,13,12,0.4765625,1788974751.6342885
env/success_once,14,13,0.4765625,1788975883.6981986
env/success_once,15,14,0.44140625,1788977275.7600703
env/success_once,16,15,0.4921875,1788978478.263767
env/success_once,17,16,0.55859375,1788979619.7029562
env/success_once,18,17,0.58203125,1788980771.3043392
env/success_once,19,18,0.546875,1788981919.52324
env/success_once,20,19,0.4609375,1788983354.0620487
env/success_once,21,20,0.5859375,1788984497.5622995
env/success_once,22,21,0.4375,1788985652.8738763
env/success_once,23,22,0.60546875,1788986796.4183624
env/success_once,24,23,0.51171875,1788987956.088796
env/success_once,25,24,0.4765625,1788989358.0860753
env/success_once,26,25,0.56640625,1788990504.638324
env/success_once,27,26,0.5703125,1788991651.82603
env/success_once,28,27,0.484375,1788992811.6594756
env/success_once,29,28,0.578125,1788993942.873576
env/success_once,30,29,0.5703125,1788995350.6183043
env/success_once,31,30,0.58203125,1788996489.3224556
env/success_once,32,31,0.66796875,1788997611.8886633
env/success_once,33,32,0.62109375,1788998741.0796409
env/success_once,34,33,0.5859375,1788999875.7374706
env/success_once,35,34,0.54296875,1789001257.6662285
env/success_once,36,35,0.51953125,1789002392.9190502
env/success_once,37,36,0.60546875,1789003525.0586889
env/success_once,38,37,0.6171875,1789004672.844131
env/success_once,39,38,0.44140625,1789005818.0122778
env/success_once,40,39,0.5078125,1789007241.963729
env/success_once,41,40,0.50390625,1789008418.3581123
env/success_once,42,41,0.53125,1789009605.5534284
env/success_once,43,42,0.5234375,1789010792.6181562
env/success_once,44,43,0.5078125,1789011994.6046407
env/success_once,45,44,0.5703125,1789013433.684991
env/success_once,46,45,0.49609375,1789014642.9436433
env/success_once,47,46,0.5703125,1789015806.905238
env/success_once,48,47,0.5546875,1789016929.0285332
env/success_once,49,48,0.62109375,1789018074.431136
env/success_once,50,49,0.55859375,1789019536.751062
env/success_once,51,50,0.671875,1789020733.8714063
env/success_once,52,51,0.53515625,1789021938.2733934
env/success_once,53,52,0.49609375,1789023113.8895102
env/success_once,54,53,0.5703125,1789024316.3652616
env/success_once,55,54,0.625,1789025806.3973448
env/success_once,56,55,0.640625,1789027051.9538896
env/success_once,57,56,0.56640625,1789028251.209524
env/success_once,58,57,0.578125,1789029477.1280696
env/success_once,59,58,0.59375,1789030701.1066537
env/success_once,60,59,0.6015625,1789032236.3989244
env/success_once,61,60,0.59375,1789033442.9163818
env/success_once,62,61,0.55859375,1789034759.7525003
env/success_once,63,62,0.75,1789036001.9028404
env/success_once,64,63,0.5859375,1789037310.0050185
env/success_once,65,64,0.62890625,1789038817.4599528
env/success_once,66,65,0.63671875,1789040092.3949816
env/success_once,67,66,0.6328125,1789041359.9678695
env/success_once,68,67,0.66796875,1789042687.9314747
env/success_once,69,68,0.6953125,1789043984.4334562
env/success_once,70,69,0.546875,1789045619.0134344
env/success_once,71,70,0.50390625,1789046872.7135782
env/success_once,72,71,0.59375,1789048075.7773097
env/success_once,73,72,0.5625,1789049275.4585078
env/success_once,74,73,0.6015625,1789050469.6576297
env/success_once,75,74,0.6171875,1789051950.5734973
env/success_once,76,75,0.5703125,1789053192.472836
env/success_once,77,76,0.6953125,1789054439.6562443
env/success_once,78,77,0.64453125,1789055727.6668763
env/success_once,79,78,0.68359375,1789056997.8754225
env/success_once,80,79,0.6953125,1789058618.744813
env/success_once,81,80,0.66796875,1789059936.8481107
env/success_once,82,81,0.67578125,1789061215.8317697
env/success_once,83,82,0.59765625,1789062457.4997978
env/success_once,84,83,0.53515625,1789063796.4899538
env/success_once,85,84,0.6640625,1789065268.6503365
env/success_once,86,85,0.6875,1789066449.5339973
env/success_once,87,86,0.66796875,1789067655.9982333
env/success_once,88,87,0.6328125,1789068839.1443834
env/success_once,89,88,0.62109375,1789070011.8011146
env/success_once,90,89,0.66015625,1789071472.184983
env/success_once,91,90,0.62109375,1789072664.319209
env/success_once,92,91,0.609375,1789073847.170084
env/success_once,93,92,0.62109375,1789075026.7751586
env/success_once,94,93,0.75390625,1789076179.410675
env/success_once,95,94,0.62890625,1789077641.5698128
env/success_once,96,95,0.6484375,1789078796.9684646
env/success_once,97,96,0.68359375,1789080010.7651212
env/success_once,98,97,0.6328125,1789081240.4487054
env/success_once,99,98,0.640625,1789082661.0775387
env/success_once,100,99,0.66796875,1789084426.4690275
env/success_once,101,100,0.63671875,1789085889.7249
env/success_once,102,101,0.59375,1789087352.4232364
env/success_once,103,102,0.5703125,1789088849.0760107
env/success_once,104,103,0.58984375,1789090319.8271058
env/success_once,105,104,0.6484375,1789092111.327097
env/success_once,106,105,0.578125,1789093616.2681048
env/success_once,107,106,0.5703125,1789095110.1367164
env/success_once,108,107,0.65234375,1789096578.2379565
env/success_once,109,108,0.57421875,1789098065.720664
env/reward,1,0,0.002109374850988388,1788960750.1685057
env/reward,2,1,0.0018554686103016138,1788961884.9677217
env/reward,3,2,0.002109374850988388,1788962998.0602493
env/reward,4,3,0.002109374850988388,1788964119.6208475
env/reward,5,4,0.0018164061475545168,1788965471.498013
env/reward,6,5,0.0021679685451090336,1788966597.5472355
env/reward,7,6,0.0022851559333503246,1788967727.304033
env/reward,8,7,0.0023242186289280653,1788968844.8372195
env/reward,9,8,0.0018554686103016138,1788969967.6796453
env/reward,10,9,0.001914062537252903,1788971379.528078
env/reward,11,10,0.0023632808588445187,1788972509.519499
env/reward,12,11,0.0017968749161809683,1788973635.706931
env/reward,13,12,0.002382812323048711,1788974751.6343384
env/reward,14,13,0.0023828125558793545,1788975883.6982496
env/reward,15,14,0.0022070310078561306,1788977275.760104
env/reward,16,15,0.002460937248542905,1788978478.263822
env/reward,17,16,0.002792968414723873,1788979619.7030084
env/reward,18,17,0.002910156035795808,1788980771.3044026
env/reward,19,18,0.0027343747206032276,1788981919.5233002
env/reward,20,19,0.002304687164723873,1788983354.0620952
env/reward,21,20,0.0029296872671693563,1788984497.5623536
env/reward,22,21,0.002187499776482582,1788985652.8739233
env/reward,23,22,0.0030273436568677425,1788986796.418411
env/reward,24,23,0.0025585934054106474,1788987956.0888498
env/reward,25,24,0.002382812323048711,1788989358.0861032
env/reward,26,25,0.00283203087747097,1788990504.638373
env/reward,27,26,0.0028515621088445187,1788991651.8260915
env/reward,28,27,0.002421874785795808,1788992811.6595263
env/reward,29,28,0.0028906248044222593,1788993942.873624
env/reward,30,29,0.0028515623416751623,1788995350.6183336
env/reward,31,30,0.002910156035795808,1788996489.3225121
env/reward,32,31,0.003339843824505806,1788997611.888711
env/reward,33,32,0.003105468349531293,1788998741.0797033
env/reward,34,33,0.0029296870343387127,1788999875.7375212
env/reward,35,34,0.002714843489229679,1789001257.66627
env/reward,36,35,0.0025976558681577444,1789002392.9191098
env/reward,37,36,0.0030273436568677425,1789003525.0587423
env/reward,38,37,0.0030859371181577444,1789004672.8441799
env/reward,39,38,0.0022070312406867743,1789005818.0123303
env/reward,40,39,0.0025390624068677425,1789007241.9637656
env/reward,41,40,0.0025195309426635504,1789008418.3581722
env/reward,42,41,0.00265624956227839,1789009605.5534945
env/reward,43,42,0.0026171873323619366,1789010792.6181986
env/reward,44,43,0.002539062174037099,1789011994.6046886
env/reward,45,44,0.0028515623416751623,1789013433.685018
env/reward,46,45,0.0024804684799164534,1789014642.9436836
env/reward,47,46,0.0028515621088445187,1789015806.9053082
env/reward,48,47,0.0027734371833503246,1789016929.028583
env/reward,49,48,0.0031054685823619366,1789018074.431186
env/reward,50,49,0.002792968414723873,1789019536.7510855
env/reward,51,50,0.0033593750558793545,1789020733.8714688
env/reward,52,51,0.002675781026482582,1789021938.2734468
env/reward,53,52,0.002480468712747097,1789023113.8895767
env/reward,54,53,0.0028515621088445187,1789024316.3653183
env/reward,55,54,0.003124999813735485,1789025806.397372
env/reward,56,55,0.003203124739229679,1789027051.95395
env/reward,57,56,0.002832031110301614,1789028251.2095814
env/reward,58,57,0.0028906245715916157,1789029477.128138
env/reward,59,58,0.002968749962747097,1789030701.1066916
env/reward,60,59,0.0030078121926635504,1789032236.3989487
env/reward,61,60,0.002968749962747097,1789033442.9164455
env/reward,62,61,0.0027929681818932295,1789034759.7525632
env/reward,63,62,0.0037499999161809683,1789036001.9028902
env/reward,64,63,0.0029296870343387127,1789037310.0050936
env/reward,65,64,0.0031445310451090336,1789038817.45998
env/reward,66,65,0.0031835937406867743,1789040092.3950503
env/reward,67,66,0.003164062276482582,1789041359.9679544
env/reward,68,67,0.0033398435916751623,1789042687.931542
env/reward,69,68,0.0034765624441206455,1789043984.4335215
env/reward,70,69,0.0027343749534338713,1789045619.0134609
env/reward,71,70,0.002519531175494194,1789046872.713648
env/reward,72,71,0.002968749962747097,1789048075.7773638
env/reward,73,72,0.0028124996460974216,1789049275.458563
env/reward,74,73,0.0030078121926635504,1789050469.657676
env/reward,75,74,0.003085937350988388,1789051950.573523
env/reward,76,75,0.002851562574505806,1789053192.472886
env/reward,77,76,0.003476562211290002,1789054439.656315
env/reward,78,77,0.0032226559706032276,1789055727.6669343
env/reward,79,78,0.00341796875,1789056997.875481
env/reward,80,79,0.0034765624441206455,1789058618.7448397
env/reward,81,80,0.0033398433588445187,1789059936.84817
env/reward,82,81,0.003378906287252903,1789061215.8318286
env/reward,83,82,0.0029882811941206455,1789062457.4998472
env/reward,84,83,0.002675781026482582,1789063796.490025
env/reward,85,84,0.0033203125931322575,1789065268.6503587
env/reward,86,85,0.0034374999813735485,1789066449.5340486
env/reward,87,86,0.0033398435916751623,1789067655.9982827
env/reward,88,87,0.003164062276482582,1789068839.1444297
env/reward,89,88,0.003105468349531293,1789070011.8011715
env/reward,90,89,0.003300781361758709,1789071472.1850078
env/reward,91,90,0.0031054685823619366,1789072664.3192637
env/reward,92,91,0.003046874888241291,1789073847.170131
env/reward,93,92,0.0031054685823619366,1789075026.7752013
env/reward,94,93,0.0037695313803851604,1789076179.4107254
env/reward,95,94,0.0031445310451090336,1789077641.5698469
env/reward,96,95,0.0032421874348074198,1789078796.9685273
env/reward,97,96,0.00341796875,1789080010.7651572
env/reward,98,97,0.003164062276482582,1789081240.448755
env/reward,99,98,0.003203124739229679,1789082661.0776043
env/reward,100,99,0.0033398433588445187,1789084426.4690554
env/reward,101,100,0.0031835935078561306,1789085889.7249663
env/reward,102,101,0.002968749962747097,1789087352.4233053
env/reward,103,102,0.0028515621088445187,1789088849.0761583
env/reward,104,103,0.002949218498542905,1789090319.8271513
env/reward,105,104,0.0032421876676380634,1789092111.327138
env/reward,106,105,0.0028906245715916157,1789093616.2681596
env/reward,107,106,0.0028515621088445187,1789095110.1367688
env/reward,108,107,0.0032617186661809683,1789096578.2380388
env/reward,109,108,0.0028710938058793545,1789098065.7207298
env/return,1,0,0.421875,1788960750.168514
env/return,2,1,0.37109375,1788961884.9677305
env/return,3,2,0.421875,1788962998.060261
env/return,4,3,0.421875,1788964119.620856
env/return,5,4,0.36328125,1788965471.4980202
env/return,6,5,0.43359375,1788966597.5472438
env/return,7,6,0.45703125,1788967727.3040414
env/return,8,7,0.46484375,1788968844.837228
env/return,9,8,0.37109375,1788969967.6796544
env/return,10,9,0.3828125,1788971379.5280862
env/return,11,10,0.47265625,1788972509.5195076
env/return,12,11,0.359375,1788973635.7069392
env/return,13,12,0.4765625,1788974751.6343453
env/return,14,13,0.4765625,1788975883.6982615
env/return,15,14,0.44140625,1788977275.760121
env/return,16,15,0.4921875,1788978478.2638323
env/return,17,16,0.55859375,1788979619.703017
env/return,18,17,0.58203125,1788980771.3044114
env/return,19,18,0.546875,1788981919.5233116
env/return,20,19,0.4609375,1788983354.062104
env/return,21,20,0.5859375,1788984497.5623634
env/return,22,21,0.4375,1788985652.8739321
env/return,23,22,0.60546875,1788986796.4184194
env/return,24,23,0.51171875,1788987956.0888588
env/return,25,24,0.4765625,1788989358.086112
env/return,26,25,0.56640625,1788990504.6383815
env/return,27,26,0.5703125,1788991651.8261013
env/return,28,27,0.484375,1788992811.6595352
env/return,29,28,0.578125,1788993942.8736322
env/return,30,29,0.5703125,1788995350.618343
env/return,31,30,0.58203125,1788996489.3225207
env/return,32,31,0.66796875,1788997611.8887198
env/return,33,32,0.62109375,1788998741.0797129
env/return,34,33,0.5859375,1788999875.73753
env/return,35,34,0.54296875,1789001257.6662884
env/return,36,35,0.51953125,1789002392.9191222
env/return,37,36,0.60546875,1789003525.0587518
env/return,38,37,0.6171875,1789004672.8441887
env/return,39,38,0.44140625,1789005818.012339
env/return,40,39,0.5078125,1789007241.963774
env/return,41,40,0.50390625,1789008418.3581834
env/return,42,41,0.53125,1789009605.5535069
env/return,43,42,0.5234375,1789010792.6182046
