tag,round,raw_step,value,wall_time
env/episode_len,1,0,200.0,1789118871.8230722
env/episode_len,2,1,200.0,1789119479.3327646
env/episode_len,3,2,200.0,1789120098.6374319
env/episode_len,4,3,200.0,1789120739.1340206
env/episode_len,5,4,200.0,1789121575.291689
env/episode_len,6,5,200.0,1789122180.001568
env/episode_len,7,6,200.0,1789122785.411831
env/episode_len,8,7,200.0,1789123373.8655157
env/episode_len,9,8,200.0,1789123984.3206627
env/episode_len,10,9,200.0,1789124851.2121663
env/episode_len,11,10,200.0,1789125477.1415315
env/episode_len,12,11,200.0,1789126078.8127599
env/episode_len,13,12,200.0,1789126685.083354
env/episode_len,14,13,200.0,1789127274.1251612
env/episode_len,15,14,200.0,1789128158.3258314
env/episode_len,16,15,200.0,1789128758.742887
env/episode_len,17,16,200.0,1789129352.2736046
env/episode_len,18,17,200.0,1789129953.811916
env/episode_len,19,18,200.0,1789130551.57796
env/episode_len,20,19,200.0,1789131429.0218358
env/episode_len,21,20,200.0,1789132044.3035898
env/episode_len,22,21,200.0,1789132628.947047
env/episode_len,23,22,200.0,1789133232.4480984
env/episode_len,24,23,200.0,1789133823.5987358
env/episode_len,25,24,200.0,1789134669.319015
env/episode_len,26,25,200.0,1789135268.916262
env/episode_len,27,26,200.0,1789135861.5369978
env/episode_len,28,27,200.0,1789136470.349074
env/episode_len,29,28,200.0,1789137095.8241286
env/episode_len,30,29,200.0,1789137999.7327929
env/episode_len,31,30,200.0,1789138621.3939662
env/episode_len,32,31,200.0,1789139225.953968
env/episode_len,33,32,200.0,1789139815.3579364
env/episode_len,34,33,200.0,1789140404.249501
env/episode_len,35,34,200.0,1789141262.4999278
env/episode_len,36,35,200.0,1789141873.1143534
env/episode_len,37,36,200.0,1789142463.9368641
env/episode_len,38,37,200.0,1789143047.4301305
env/episode_len,39,38,200.0,1789143652.2349417
env/episode_len,40,39,200.0,1789144560.1424773
env/episode_len,41,40,200.0,1789145155.8910193
env/episode_len,42,41,200.0,1789145749.6058662
env/episode_len,43,42,200.0,1789146363.0045269
env/episode_len,44,43,200.0,1789146957.3028145
env/episode_len,45,44,200.0,1789147834.2217498
env/episode_len,46,45,200.0,1789148448.3415687
env/episode_len,47,46,200.0,1789149053.020978
env/episode_len,48,47,200.0,1789149672.4684124
env/episode_len,49,48,200.0,1789150270.54774
env/episode_len,50,49,200.0,1789151188.0295432
env/episode_len,51,50,200.0,1789151794.8091786
env/episode_len,52,51,200.0,1789152418.2561376
env/episode_len,53,52,200.0,1789153005.4047363
env/episode_len,54,53,200.0,1789153599.3555696
env/episode_len,55,54,200.0,1789154459.4369552
env/episode_len,56,55,200.0,1789155084.284978
env/episode_len,57,56,200.0,1789155702.8066201
env/episode_len,58,57,200.0,1789156304.5921438
env/episode_len,59,58,200.0,1789156909.902714
env/episode_len,60,59,200.0,1789157790.5538213
env/episode_len,61,60,200.0,1789158387.5709436
env/episode_len,62,61,200.0,1789158983.8618226
env/episode_len,63,62,200.0,1789159574.2686067
env/episode_len,64,63,200.0,1789160183.7570944
env/episode_len,65,64,200.0,1789161081.897016
env/episode_len,66,65,200.0,1789161725.0540204
env/episode_len,67,66,200.0,1789162322.2068813
env/episode_len,68,67,200.0,1789162935.348202
env/episode_len,69,68,200.0,1789163539.869576
env/episode_len,70,69,200.0,1789164440.611097
env/episode_len,71,70,200.0,1789165045.9186306
env/episode_len,72,71,200.0,1789165654.217104
env/episode_len,73,72,200.0,1789166251.1648047
env/episode_len,74,73,200.0,1789166863.2015798
env/episode_len,75,74,200.0,1789167749.9315174
env/episode_len,76,75,200.0,1789168359.6328003
env/episode_len,77,76,200.0,1789168957.9006286
env/episode_len,78,77,200.0,1789169564.1153288
env/episode_len,79,78,200.0,1789170246.790707
env/episode_len,80,79,200.0,1789171168.584992
env/episode_len,81,80,200.0,1789171766.9708898
env/episode_len,82,81,200.0,1789172370.2126455
env/episode_len,83,82,200.0,1789172971.6620395
env/episode_len,84,83,200.0,1789173569.75369
env/episode_len,85,84,200.0,1789174441.0581167
env/episode_len,86,85,200.0,1789175052.0656052
env/episode_len,87,86,200.0,1789175643.466461
env/episode_len,88,87,200.0,1789176275.7870202
env/episode_len,89,88,200.0,1789176877.8643627
env/episode_len,90,89,200.0,1789177794.153214
env/episode_len,91,90,200.0,1789178386.7263112
env/episode_len,92,91,200.0,1789178988.7985334
env/episode_len,93,92,200.0,1789179602.4824612
env/episode_len,94,93,200.0,1789180206.4283304
env/episode_len,95,94,200.0,1789181086.7818904
env/episode_len,96,95,200.0,1789181709.9951212
env/episode_len,97,96,200.0,1789182321.9217494
env/episode_len,98,97,200.0,1789182922.018851
env/episode_len,99,98,200.0,1789183549.1216094
env/episode_len,100,99,200.0,1789184435.0266075
env/episode_len,101,100,200.0,1789185059.0913055
env/episode_len,102,101,200.0,1789185667.4927638
env/episode_len,103,102,200.0,1789186295.135725
env/episode_len,104,103,200.0,1789186900.0894027
env/episode_len,105,104,200.0,1789187754.8982322
env/episode_len,106,105,200.0,1789188361.9516885
env/episode_len,107,106,200.0,1789188985.8654652
env/episode_len,108,107,200.0,1789189616.6728127
env/episode_len,109,108,200.0,1789190238.971267
env/episode_len,110,109,200.0,1789191130.5192232
env/episode_len,111,110,200.0,1789191720.0240228
env/episode_len,112,111,200.0,1789192324.7935784
env/episode_len,113,112,200.0,1789192933.215675
env/episode_len,114,113,200.0,1789193543.0473561
env/episode_len,115,114,200.0,1789194394.8657773
env/episode_len,116,115,200.0,1789194995.5176275
env/episode_len,117,116,200.0,1789195598.2481081
env/episode_len,118,117,200.0,1789196182.1419852
env/episode_len,119,118,200.0,1789196788.460994
env/episode_len,120,119,200.0,1789197693.6488461
env/episode_len,121,120,200.0,1789198311.0565817
env/episode_len,122,121,200.0,1789198953.4381428
env/episode_len,123,122,200.0,1789199553.7962673
env/episode_len,124,123,200.0,1789200150.5913649
env/episode_len,125,124,200.0,1789201055.3332078
env/episode_len,126,125,200.0,1789201704.351699
env/episode_len,127,126,200.0,1789202307.0994282
env/episode_len,128,127,200.0,1789202930.0368936
env/episode_len,129,128,200.0,1789203530.9806652
env/episode_len,130,129,200.0,1789204455.4172375
env/episode_len,131,130,200.0,1789205069.9639015
env/episode_len,132,131,200.0,1789205672.3837216
env/episode_len,133,132,200.0,1789206309.1888251
env/episode_len,134,133,200.0,1789206914.561101
env/episode_len,135,134,200.0,1789207808.2986598
env/episode_len,136,135,200.0,1789208419.8131387
env/episode_len,137,136,200.0,1789209043.058082
env/episode_len,138,137,200.0,1789209691.904501
env/episode_len,139,138,200.0,1789210317.485196
env/episode_len,140,139,200.0,1789211229.0805626
env/episode_len,141,140,200.0,1789211837.7273023
env/reward,1,0,0.0015234374441206455,1789118871.8231342
env/reward,2,1,0.0016796874115243554,1789119479.3328252
env/reward,3,2,0.0014843749813735485,1789120098.6374924
env/reward,4,3,0.0018359373789280653,1789120739.1340744
env/reward,5,4,0.0022265624720603228,1789121575.291716
env/reward,6,5,0.0015234374441206455,1789122180.0016165
env/reward,7,6,0.0019140624208375812,1789122785.4118817
env/reward,8,7,0.0015624999068677425,1789123373.865571
env/reward,9,8,0.0021484375465661287,1789123984.32072
env/reward,10,9,0.001953125,1789124851.212199
env/reward,11,10,0.0016406249487772584,1789125477.1415796
env/reward,12,11,0.002265624701976776,1789126078.8128114
env/reward,13,12,0.0024218750186264515,1789126685.0834754
env/reward,14,13,0.002148437313735485,1789127274.1252081
env/reward,15,14,0.0014843749813735485,1789128158.325883
env/reward,16,15,0.0022656249348074198,1789128758.7429323
env/reward,17,16,0.001953125,1789129352.2736535
env/reward,18,17,0.0022656249348074198,1789129953.8119636
env/reward,19,18,0.002460937248542905,1789130551.5780032
env/reward,20,19,0.0017968749161809683,1789131429.0218732
env/reward,21,20,0.0024609374813735485,1789132044.3036432
env/reward,22,21,0.0021875000093132257,1789132628.947092
env/reward,23,22,0.0018359373789280653,1789133232.4481447
env/reward,24,23,0.002382812323048711,1789133823.598782
env/reward,25,24,0.002343749860301614,1789134669.319049
env/reward,26,25,0.0021484375465661287,1789135268.9163103
env/reward,27,26,0.002460937248542905,1789135861.5370429
env/reward,28,27,0.0016015623696148396,1789136470.3491182
env/reward,29,28,0.002460937248542905,1789137095.8241746
env/reward,30,29,0.002070312388241291,1789137999.7328184
env/reward,31,30,0.001992187462747097,1789138621.3940248
env/reward,32,31,0.0026953124906867743,1789139225.9540195
env/reward,33,32,0.002382812323048711,1789139815.3579853
env/reward,34,33,0.0029296872671693563,1789140404.2495546
env/reward,35,34,0.002304687397554517,1789141262.4999802
env/reward,36,35,0.0025781248696148396,1789141873.1143975
env/reward,37,36,0.0028124996460974216,1789142463.9369152
env/reward,38,37,0.0031250000465661287,1789143047.430175
env/reward,39,38,0.0024999999441206455,1789143652.234988
env/reward,40,39,0.0021875000093132257,1789144560.142506
env/reward,41,40,0.0029296875,1789145155.8910615
env/reward,42,41,0.002304687397554517,1789145749.6059167
env/reward,43,42,0.002070312388241291,1789146363.0045793
env/reward,44,43,0.002343749860301614,1789146957.302859
env/reward,45,44,0.002304687397554517,1789147834.2217922
env/reward,46,45,0.003164062276482582,1789148448.341616
env/reward,47,46,0.0029687497299164534,1789149053.0210214
env/reward,48,47,0.0028906248044222593,1789149672.4684548
env/reward,49,48,0.002968749962747097,1789150270.5477881
env/reward,50,49,0.00234374962747097,1789151188.0295677
env/reward,51,50,0.0032031252048909664,1789151794.8092937
env/reward,52,51,0.0030859375838190317,1789152418.2561913
env/reward,53,52,0.003007812425494194,1789153005.4047797
env/reward,54,53,0.0028515623416751623,1789153599.3556154
env/reward,55,54,0.0025781248696148396,1789154459.4369924
env/reward,56,55,0.0019140624208375812,1789155084.2850146
env/reward,57,56,0.0030078121926635504,1789155702.8066757
env/reward,58,57,0.003124999813735485,1789156304.5921903
env/reward,59,58,0.0026953122578561306,1789156909.9027638
env/reward,60,59,0.0028124998789280653,1789157790.5538437
env/reward,61,60,0.003007812425494194,1789158387.5709877
env/reward,62,61,0.0036328122951090336,1789158983.8618658
env/reward,63,62,0.003632812760770321,1789159574.2686496
env/reward,64,63,0.0032812501303851604,1789160183.757144
env/reward,65,64,0.003046874888241291,1789161081.897046
env/reward,66,65,0.003007812425494194,1789161725.054086
env/reward,67,66,0.0027343749534338713,1789162322.2069275
env/reward,68,67,0.0029296870343387127,1789162935.3482578
env/reward,69,68,0.002382812323048711,1789163539.8696284
env/reward,70,69,0.0026562500279396772,1789164440.6111314
env/reward,71,70,0.0027343749534338713,1789165045.9186902
env/reward,72,71,0.002304687397554517,1789165654.2171621
env/reward,73,72,0.0034374999813735485,1789166251.164849
env/reward,74,73,0.002031249925494194,1789166863.2017038
env/reward,75,74,0.0024999999441206455,1789167749.9315524
env/reward,76,75,0.003124999813735485,1789168359.6328547
env/reward,77,76,0.002382812323048711,1789168957.9006922
env/reward,78,77,0.0024999999441206455,1789169564.1153781
env/reward,79,78,0.0022265624720603228,1789170246.7907612
env/reward,80,79,0.0023046876303851604,1789171168.5850143
env/reward,81,80,0.002070312388241291,1789171766.9709353
env/reward,82,81,0.0025390624068677425,1789172370.2127006
env/reward,83,82,0.001992187462747097,1789172971.6620846
env/reward,84,83,0.002343749860301614,1789173569.7537525
env/reward,85,84,0.002851562574505806,1789174441.0581884
env/reward,86,85,0.0024609374813735485,1789175052.0656493
env/reward,87,86,0.0026562500279396772,1789175643.4665136
env/reward,88,87,0.002226562239229679,1789176275.7870648
env/reward,89,88,0.0027343747206032276,1789176877.8644032
env/reward,90,89,0.003124999813735485,1789177794.1532416
env/reward,91,90,0.0028906245715916157,1789178386.7263465
env/reward,92,91,0.002734375186264515,1789178988.7985828
env/reward,93,92,0.003085937350988388,1789179602.482524
env/reward,94,93,0.0028515623416751623,1789180206.4283926
env/reward,95,94,0.0027734374161809683,1789181086.7819316
env/reward,96,95,0.003281249664723873,1789181709.9951804
env/reward,97,96,0.0032031249720603228,1789182321.9217958
env/reward,98,97,0.002851562574505806,1789182922.0189118
env/reward,99,98,0.003046874888241291,1789183549.121676
env/reward,100,99,0.0025390624068677425,1789184435.0266483
env/reward,101,100,0.003124999813735485,1789185059.0913658
env/reward,102,101,0.0026953124906867743,1789185667.4928143
env/reward,103,102,0.002304687397554517,1789186295.1357868
env/reward,104,103,0.0028906248044222593,1789186900.0894792
env/reward,105,104,0.0019140623044222593,1789187754.8982818
env/reward,106,105,0.0023437500931322575,1789188361.951732
env/reward,107,106,0.0027343747206032276,1789188985.8655078
env/reward,108,107,0.003203124739229679,1789189616.6728673
env/reward,109,108,0.003007812425494194,1789190238.9713137
env/reward,110,109,0.0025781248696148396,1789191130.5192595
env/reward,111,110,0.0034374999813735485,1789191720.02408
env/reward,112,111,0.0025781248696148396,1789192324.7936256
env/reward,113,112,0.0028515621088445187,1789192933.215717
env/reward,114,113,0.0029296875,1789193543.0474038
env/reward,115,114,0.0029687501955777407,1789194394.8658013
env/reward,116,115,0.002890625037252903,1789194995.5176988
env/reward,117,116,0.002617187099531293,1789195598.2481537
env/reward,118,117,0.003593750298023224,1789196182.1420302
env/reward,119,118,0.0028124996460974216,1789196788.461044
env/reward,120,119,0.0032421874348074198,1789197693.648872
env/reward,121,120,0.003085937350988388,1789198311.0566416
env/reward,122,121,0.0030078121926635504,1789198953.4381936
env/reward,123,122,0.0033203125931322575,1789199553.796322
env/reward,124,123,0.0032421876676380634,1789200150.591411
env/reward,125,124,0.003554687602445483,1789201055.3332436
env/reward,126,125,0.0035156249068677425,1789201704.351747
env/reward,127,126,0.0028515623416751623,1789202307.0994966
env/reward,128,127,0.003085937350988388,1789202930.0369465
env/reward,129,128,0.003164062276482582,1789203530.9807096
env/reward,130,129,0.002304687397554517,1789204455.4172692
env/reward,131,130,0.0029687501955777407,1789205069.9639542
env/reward,132,131,0.003789062611758709,1789205672.3837729
env/reward,133,132,0.0028124998789280653,1789206309.1888876
env/reward,134,133,0.002304687397554517,1789206914.5611558
env/reward,135,134,0.0028906248044222593,1789207808.2986813
env/reward,136,135,0.0022656249348074198,1789208419.813187
env/reward,137,136,0.0031640625093132257,1789209043.0581381
env/reward,138,137,0.0029687497299164534,1789209691.9045565
env/reward,139,138,0.0025781248696148396,1789210317.485268
env/reward,140,139,0.0025390624068677425,1789211229.0805883
env/reward,141,140,0.002421874785795808,1789211837.7273564
env/return,1,0,0.3046875,1789118871.823145
env/return,2,1,0.3359375,1789119479.332833
env/return,3,2,0.296875,1789120098.6375008
env/return,4,3,0.3671875,1789120739.1340845
env/return,5,4,0.4453125,1789121575.2917242
env/return,6,5,0.3046875,1789122180.0016246
env/return,7,6,0.3828125,1789122785.4118922
env/return,8,7,0.3125,1789123373.8655813
env/return,9,8,0.4296875,1789123984.3207293
env/return,10,9,0.390625,1789124851.2122068
env/return,11,10,0.328125,1789125477.1415877
env/return,12,11,0.453125,1789126078.8128207
env/return,13,12,0.484375,1789126685.0834978
env/return,14,13,0.4296875,1789127274.1252158
env/return,15,14,0.296875,1789128158.3259022
env/return,16,15,0.453125,1789128758.7429404
env/return,17,16,0.390625,1789129352.2736614
env/return,18,17,0.453125,1789129953.8119721
env/return,19,18,0.4921875,1789130551.578012
env/return,20,19,0.359375,1789131429.021884
env/return,21,20,0.4921875,1789132044.3036525
env/return,22,21,0.4375,1789132628.9471002
env/return,23,22,0.3671875,1789133232.4481525
env/return,24,23,0.4765625,1789133823.59879
env/return,25,24,0.46875,1789134669.319062
env/return,26,25,0.4296875,1789135268.916318
env/return,27,26,0.4921875,1789135861.5370514
env/return,28,27,0.3203125,1789136470.3491278
env/return,29,28,0.4921875,1789137095.824183
env/return,30,29,0.4140625,1789137999.7328255
env/return,31,30,0.3984375,1789138621.394034
env/return,32,31,0.5390625,1789139225.9540281
env/return,33,32,0.4765625,1789139815.3579938
env/return,34,33,0.5859375,1789140404.2495632
env/return,35,34,0.4609375,1789141262.4999917
env/return,36,35,0.515625,1789141873.1144054
env/return,37,36,0.5625,1789142463.9369235
env/return,38,37,0.625,1789143047.4301834
env/return,39,38,0.5,1789143652.2349968
env/return,40,39,0.4375,1789144560.1425154
env/return,41,40,0.5859375,1789145155.8910682
env/return,42,41,0.4609375,1789145749.6059241
env/return,43,42,0.4140625,1789146363.0045874
env/return,44,43,0.46875,1789146957.3028677
env/return,45,44,0.4609375,1789147834.2218082
env/return,46,45,0.6328125,1789148448.341624
env/return,47,46,0.59375,1789149053.0210295
env/return,48,47,0.578125,1789149672.4684646
env/return,49,48,0.59375,1789150270.5477965
env/return,50,49,0.46875,1789151188.0295753
env/return,51,50,0.640625,1789151794.8093138
env/return,52,51,0.6171875,1789152418.2561996
env/return,53,52,0.6015625,1789153005.404788
env/return,54,53,0.5703125,1789153599.3556232
env/return,55,54,0.515625,1789154459.4370072
env/return,56,55,0.3828125,1789155084.2850258
env/return,57,56,0.6015625,1789155702.806684
env/return,58,57,0.625,1789156304.5921981
env/return,59,58,0.5390625,1789156909.9027717
env/return,60,59,0.5625,1789157790.55385
env/return,61,60,0.6015625,1789158387.5709965
env/return,62,61,0.7265625,1789158983.8618743
env/return,63,62,0.7265625,1789159574.2686572
env/return,64,63,0.65625,1789160183.7571523
env/return,65,64,0.609375,1789161081.8970551
env/return,66,65,0.6015625,1789161725.0540943
env/return,67,66,0.546875,1789162322.206936
env/return,68,67,0.5859375,1789162935.348266
env/return,69,68,0.4765625,1789163539.8696365
env/return,70,69,0.53125,1789164440.6111403
env/return,71,70,0.546875,1789165045.9187014
env/return,72,71,0.4609375,1789165654.2171705
env/return,73,72,0.6875,1789166251.1648576
env/return,74,73,0.40625,1789166863.2017293
env/return,75,74,0.5,1789167749.931564
env/return,76,75,0.625,1789168359.6328628
env/return,77,76,0.4765625,1789168957.9007
env/return,78,77,0.5,1789169564.1153889
env/return,79,78,0.4453125,1789170246.7907724
env/return,80,79,0.4609375,1789171168.5850196
env/return,81,80,0.4140625,1789171766.970943
env/return,82,81,0.5078125,1789172370.2127104
env/return,83,82,0.3984375,1789172971.6620924
env/return,84,83,0.46875,1789173569.7537658
env/return,85,84,0.5703125,1789174441.058215
env/return,86,85,0.4921875,1789175052.0656574
env/return,87,86,0.53125,1789175643.466524
env/return,88,87,0.4453125,1789176275.7870734
env/return,89,88,0.546875,1789176877.8644109
env/return,90,89,0.625,1789177794.153251
env/return,91,90,0.578125,1789178386.7263525
