tag,round,raw_step,value,wall_time
env/episode_len,1,0,200.0,1789294961.1614695
env/episode_len,2,1,200.0,1789295555.913463
env/episode_len,3,2,200.0,1789296139.8280656
env/episode_len,4,3,200.0,1789296731.3933055
env/episode_len,5,4,200.0,1789297591.015847
env/episode_len,6,5,200.0,1789298199.5868955
env/episode_len,7,6,200.0,1789298780.5392413
env/episode_len,8,7,200.0,1789299367.248249
env/episode_len,9,8,200.0,1789299966.7370079
env/episode_len,10,9,200.0,1789300837.9828544
env/episode_len,11,10,200.0,1789301424.7764487
env/episode_len,12,11,200.0,1789302039.6021526
env/episode_len,13,12,200.0,1789302630.533997
env/episode_len,14,13,200.0,1789303209.3503108
env/episode_len,15,14,200.0,1789304059.1752248
env/episode_len,16,15,200.0,1789304651.8288093
env/episode_len,17,16,200.0,1789305248.6710968
env/episode_len,18,17,200.0,1789305860.1167731
env/episode_len,19,18,200.0,1789306460.9095285
env/episode_len,20,19,200.0,1789307341.5654585
env/episode_len,21,20,200.0,1789307928.6835845
env/episode_len,22,21,200.0,1789308536.5252323
env/episode_len,23,22,200.0,1789309122.3206198
env/episode_len,24,23,200.0,1789309710.5691383
env/episode_len,25,24,200.0,1789310552.3497164
env/episode_len,26,25,200.0,1789311138.7114494
env/episode_len,27,26,200.0,1789311730.4811347
env/episode_len,28,27,200.0,1789312321.1178184
env/episode_len,29,28,200.0,1789312911.0331402
env/episode_len,30,29,200.0,1789313807.047898
env/episode_len,31,30,200.0,1789314402.2915745
env/episode_len,32,31,200.0,1789314998.8733628
env/episode_len,33,32,200.0,1789315600.7534945
env/episode_len,34,33,200.0,1789316206.7200942
env/episode_len,35,34,200.0,1789317041.9736626
env/episode_len,36,35,200.0,1789317637.0885172
env/episode_len,37,36,200.0,1789318226.5088532
env/episode_len,38,37,200.0,1789318816.9949596
env/episode_len,39,38,200.0,1789319393.1396687
env/episode_len,40,39,200.0,1789320283.8449745
env/episode_len,41,40,200.0,1789320868.089582
env/episode_len,42,41,200.0,1789321457.005783
env/episode_len,43,42,200.0,1789322059.9354851
env/episode_len,44,43,200.0,1789322650.265729
env/episode_len,45,44,200.0,1789323487.79327
env/episode_len,46,45,200.0,1789324076.5016143
env/episode_len,47,46,200.0,1789324661.066499
env/episode_len,48,47,200.0,1789325252.7113671
env/episode_len,49,48,200.0,1789325839.337642
env/episode_len,50,49,200.0,1789326724.9672692
env/episode_len,51,50,200.0,1789327341.9017422
env/episode_len,52,51,200.0,1789327954.3397274
env/episode_len,53,52,200.0,1789328540.7860951
env/episode_len,54,53,200.0,1789329137.629067
env/episode_len,55,54,200.0,1789329993.0918064
env/episode_len,56,55,200.0,1789330586.8978407
env/episode_len,57,56,200.0,1789331195.2816968
env/episode_len,58,57,200.0,1789331832.2091234
env/episode_len,59,58,200.0,1789332449.041794
env/episode_len,60,59,200.0,1789333413.2207797
env/episode_len,61,60,200.0,1789334129.2858975
env/episode_len,62,61,200.0,1789334837.775649
env/episode_len,63,62,200.0,1789335497.9239259
env/episode_len,64,63,200.0,1789336220.8991919
env/episode_len,65,64,200.0,1789337211.792263
env/episode_len,66,65,200.0,1789337895.8850474
env/episode_len,67,66,200.0,1789338592.6619048
env/episode_len,68,67,200.0,1789339280.6465302
env/episode_len,69,68,200.0,1789339975.0608027
env/episode_len,70,69,200.0,1789340967.447431
env/episode_len,71,70,200.0,1789341627.4971561
env/episode_len,72,71,200.0,1789342327.0668738
env/episode_len,73,72,200.0,1789342998.5263925
env/episode_len,74,73,200.0,1789343677.360574
env/episode_len,75,74,200.0,1789344635.6759512
env/episode_len,76,75,200.0,1789345342.1452274
env/episode_len,77,76,200.0,1789345993.176914
env/episode_len,78,77,200.0,1789346681.6844482
env/episode_len,79,78,200.0,1789347340.3440547
env/episode_len,80,79,200.0,1789348403.464341
env/episode_len,81,80,200.0,1789349118.2366407
env/episode_len,82,81,200.0,1789349837.9123845
env/episode_len,83,82,200.0,1789350543.5351834
env/episode_len,84,83,200.0,1789351248.6139219
env/episode_len,85,84,200.0,1789352317.1435902
env/episode_len,86,85,200.0,1789353044.0779977
env/episode_len,87,86,200.0,1789353753.209862
env/episode_len,88,87,200.0,1789354478.1200218
env/episode_len,89,88,200.0,1789355184.3859375
env/episode_len,90,89,200.0,1789356232.587018
env/episode_len,91,90,200.0,1789356938.4290805
env/episode_len,92,91,200.0,1789357658.35651
env/episode_len,93,92,200.0,1789358357.4515982
env/episode_len,94,93,200.0,1789359056.1941488
env/episode_len,95,94,200.0,1789359980.8827934
env/episode_len,96,95,200.0,1789360611.705135
env/episode_len,97,96,200.0,1789361309.2831964
env/episode_len,98,97,200.0,1789362020.5563304
env/episode_len,99,98,200.0,1789362712.0818696
env/episode_len,100,99,200.0,1789363758.9963667
env/episode_len,101,100,200.0,1789364511.164452
env/episode_len,102,101,200.0,1789365298.6338847
env/episode_len,103,102,200.0,1789366021.6832178
env/episode_len,104,103,200.0,1789366731.7317302
env/episode_len,105,104,200.0,1789367786.9781175
env/episode_len,106,105,200.0,1789368459.86492
env/episode_len,107,106,200.0,1789369211.4444232
env/episode_len,108,107,200.0,1789369894.2364597
env/episode_len,109,108,200.0,1789370611.984052
env/success_once,1,0,0.3046875,1789294961.1615279
env/success_once,2,1,0.359375,1789295555.9135292
env/success_once,3,2,0.3671875,1789296139.8281057
env/success_once,4,3,0.3828125,1789296731.393352
env/success_once,5,4,0.46875,1789297591.0158827
env/success_once,6,5,0.28125,1789298199.5869424
env/success_once,7,6,0.359375,1789298780.5392902
env/success_once,8,7,0.34375,1789299367.248296
env/success_once,9,8,0.3046875,1789299966.7370565
env/success_once,10,9,0.453125,1789300837.9828897
env/success_once,11,10,0.4140625,1789301424.776492
env/success_once,12,11,0.4609375,1789302039.602201
env/success_once,13,12,0.484375,1789302630.534042
env/success_once,14,13,0.515625,1789303209.3503711
env/success_once,15,14,0.390625,1789304059.1752584
env/success_once,16,15,0.390625,1789304651.828853
env/success_once,17,16,0.359375,1789305248.671146
env/success_once,18,17,0.3515625,1789305860.1168334
env/success_once,19,18,0.4140625,1789306460.9095817
env/success_once,20,19,0.2890625,1789307341.5654817
env/success_once,21,20,0.4375,1789307928.6836343
env/success_once,22,21,0.46875,1789308536.5253034
env/success_once,23,22,0.4296875,1789309122.3206632
env/success_once,24,23,0.3984375,1789309710.5691855
env/success_once,25,24,0.4296875,1789310552.3497558
env/success_once,26,25,0.4296875,1789311138.7114997
env/success_once,27,26,0.4921875,1789311730.4811695
env/success_once,28,27,0.53125,1789312321.117859
env/success_once,29,28,0.515625,1789312911.033187
env/success_once,30,29,0.3125,1789313807.0479262
env/success_once,31,30,0.46875,1789314402.291598
env/success_once,32,31,0.4453125,1789314998.873422
env/success_once,33,32,0.3828125,1789315600.753551
env/success_once,34,33,0.46875,1789316206.720136
env/success_once,35,34,0.5390625,1789317041.9736893
env/success_once,36,35,0.34375,1789317637.0885692
env/success_once,37,36,0.484375,1789318226.5089068
env/success_once,38,37,0.4375,1789318816.9950118
env/success_once,39,38,0.5859375,1789319393.139713
env/success_once,40,39,0.484375,1789320283.8450015
env/success_once,41,40,0.515625,1789320868.0896256
env/success_once,42,41,0.4453125,1789321457.0058367
env/success_once,43,42,0.34375,1789322059.9355452
env/success_once,44,43,0.4375,1789322650.2657611
env/success_once,45,44,0.4609375,1789323487.7933016
env/success_once,46,45,0.6640625,1789324076.5016556
env/success_once,47,46,0.453125,1789324661.0665433
env/success_once,48,47,0.4765625,1789325252.7114477
env/success_once,49,48,0.5078125,1789325839.3376846
env/success_once,50,49,0.3671875,1789326724.9672947
env/success_once,51,50,0.3984375,1789327341.9018028
