tag,round,raw_step,value,wall_time
env/return,1,0,0.3046875,1789213242.4384747
env/return,2,1,0.359375,1789213917.7851825
env/return,3,2,0.3515625,1789214572.105844
env/return,4,3,0.375,1789215189.2369206
env/return,5,4,0.46875,1789216071.8521254
env/return,6,5,0.3203125,1789216766.011223
env/return,7,6,0.4296875,1789217378.3034
env/return,8,7,0.34375,1789218045.2453601
env/return,9,8,0.453125,1789218649.2008138
env/return,10,9,0.5078125,1789219657.115389
env/return,11,10,0.390625,1789220260.3850906
env/return,12,11,0.4921875,1789220902.2545485
env/return,13,12,0.5390625,1789221531.0450704
env/return,14,13,0.4921875,1789222164.2047474
env/return,15,14,0.3125,1789223091.186415
env/return,16,15,0.53125,1789223703.3252823
env/return,17,16,0.4140625,1789224314.3208985
env/return,18,17,0.421875,1789224951.6182625
env/return,19,18,0.3828125,1789225573.280578
env/return,20,19,0.3671875,1789226463.5732384
env/return,21,20,0.5859375,1789227070.4195178
env/return,22,21,0.5390625,1789227710.7648795
env/return,23,22,0.4921875,1789228312.8506138
env/return,24,23,0.5,1789228902.9172556
env/return,25,24,0.4609375,1789229795.936261
env/return,26,25,0.4765625,1789230401.0101633
env/return,27,26,0.578125,1789231004.5370612
env/return,28,27,0.4140625,1789231659.3880856
env/return,29,28,0.609375,1789232263.1337812
env/return,30,29,0.4375,1789233182.0642736
env/return,31,30,0.46875,1789233827.859008
env/return,32,31,0.515625,1789234419.7222145
env/return,33,32,0.5390625,1789235012.9175377
env/return,34,33,0.5859375,1789235605.5209093
env/return,35,34,0.546875,1789236486.3318245
env/return,36,35,0.53125,1789237129.3671856
env/return,37,36,0.5,1789237767.6974394
env/return,38,37,0.578125,1789238364.2392561
env/return,39,38,0.5234375,1789238982.0875056
env/return,40,39,0.4921875,1789239899.3382819
env/return,41,40,0.5625,1789240502.6920784
env/return,42,41,0.4921875,1789241126.1764343
env/return,43,42,0.3515625,1789241741.2345839
env/return,44,43,0.4140625,1789242404.398084
env/return,45,44,0.5703125,1789243276.7314517
env/return,46,45,0.59375,1789243893.2799628
env/return,47,46,0.53125,1789244597.2626927
env/return,48,47,0.5390625,1789245196.9529922
env/return,49,48,0.5234375,1789245845.3340452
env/return,50,49,0.4375,1789246767.8138347
env/return,51,50,0.6015625,1789247381.6132662
env/return,52,51,0.546875,1789247984.213452
env/return,53,52,0.6171875,1789248597.0965831
env/return,54,53,0.53125,1789249241.90986
env/return,55,54,0.53125,1789250154.8982422
env/return,56,55,0.3828125,1789250767.3533373
env/return,57,56,0.5625,1789251435.816582
env/return,58,57,0.5859375,1789252039.4967213
env/return,59,58,0.53125,1789252653.314616
env/return,60,59,0.5078125,1789253577.085185
env/return,61,60,0.5703125,1789254204.0570111
env/return,62,61,0.5703125,1789254833.9961498
env/return,63,62,0.6796875,1789255480.2884629
env/return,64,63,0.5625,1789256123.0844643
env/return,65,64,0.5,1789257069.8309388
env/return,66,65,0.5625,1789257719.9083903
env/return,67,66,0.453125,1789258371.6360693
env/return,68,67,0.5625,1789259019.661553
env/return,69,68,0.4296875,1789259654.0584688
env/return,70,69,0.4765625,1789260608.5651162
env/return,71,70,0.5234375,1789261249.913219
env/return,72,71,0.546875,1789261901.0244255
env/return,73,72,0.53125,1789262551.076978
env/return,74,73,0.3671875,1789263200.8947084
env/return,75,74,0.5546875,1789264127.0421445
env/return,76,75,0.640625,1789264768.2400284
env/return,77,76,0.5625,1789265411.0883214
env/return,78,77,0.578125,1789266059.6114702
env/return,79,78,0.5546875,1789266712.4847043
env/return,80,79,0.34375,1789267677.4581544
env/return,81,80,0.40625,1789268315.2088647
env/return,82,81,0.484375,1789268975.7087831
env/return,83,82,0.3828125,1789269632.4197843
env/return,84,83,0.6171875,1789270271.1684313
env/return,85,84,0.5625,1789271195.7095087
env/return,86,85,0.4921875,1789271850.8461733
env/return,87,86,0.46875,1789272503.9540772
env/return,88,87,0.375,1789273142.9400065
env/return,89,88,0.53125,1789273786.5614567
env/return,90,89,0.5859375,1789274736.940578
env/return,91,90,0.578125,1789275392.6528795
env/return,92,91,0.53125,1789276043.2050612
env/return,93,92,0.5234375,1789276697.4894445
env/return,94,93,0.5625,1789277342.6880002
env/return,95,94,0.5390625,1789278280.5994527
env/return,96,95,0.6171875,1789278942.2182722
env/return,97,96,0.609375,1789279596.2762835
env/return,98,97,0.5703125,1789280245.3643556
env/return,99,98,0.5859375,1789280894.7957458
env/return,100,99,0.5546875,1789281861.3164473
env/return,101,100,0.625,1789282516.1416724
env/return,102,101,0.4921875,1789283176.5274458
env/return,103,102,0.46875,1789283842.4583676
env/return,104,103,0.6328125,1789284485.6949058
env/return,105,104,0.46875,1789285424.805325
env/return,106,105,0.4296875,1789286075.1261988
env/return,107,106,0.5546875,1789286714.2894294
env/return,108,107,0.609375,1789287336.431618
env/return,109,108,0.6484375,1789287997.3029408
env/return,110,109,0.6015625,1789288970.7628298
env/return,111,110,0.6640625,1789289626.2394693
env/return,112,111,0.484375,1789290273.5419414
env/return,113,112,0.5390625,1789290934.0889184
env/return,114,113,0.5390625,1789291599.7744372
env/return,115,114,0.6171875,1789292542.884584
env/return,116,115,0.53125,1789293196.083174
env/reward,1,0,0.0015234374441206455,1789213242.4385588
env/reward,2,1,0.0017968749161809683,1789213917.7852325
env/reward,3,2,0.001757812569849193,1789214572.1058865
env/reward,4,3,0.0018749999580904841,1789215189.2369812
env/reward,5,4,0.002343749860301614,1789216071.852179
env/reward,6,5,0.0016015623696148396,1789216766.0112658
env/reward,7,6,0.0021484375465661287,1789217378.303456
env/reward,8,7,0.0017187499906867743,1789218045.2454216
env/reward,9,8,0.0022656249348074198,1789218649.2008944
env/reward,10,9,0.0025390624068677425,1789219657.1154177
env/reward,11,10,0.0019531248835846782,1789220260.3851454
env/reward,12,11,0.002460937248542905,1789220902.2546012
env/reward,13,12,0.0026953122578561306,1789221531.045114
env/reward,14,13,0.002460937248542905,1789222164.2048228
env/reward,15,14,0.0015625000232830644,1789223091.18645
env/reward,16,15,0.0026562500279396772,1789223703.3253176
env/reward,17,16,0.002070312388241291,1789224314.3209643
env/reward,18,17,0.002109374850988388,1789224951.618307
env/reward,19,18,0.0019140623044222593,1789225573.2806203
env/reward,20,19,0.0018359373789280653,1789226463.573263
env/reward,21,20,0.0029296877328306437,1789227070.419567
env/reward,22,21,0.0026953122578561306,1789227710.7649248
env/reward,23,22,0.002460937248542905,1789228312.8506603
env/reward,24,23,0.0024999999441206455,1789228902.9173021
env/reward,25,24,0.002304687397554517,1789229795.9362853
env/reward,26,25,0.002382812323048711,1789230401.0102236
env/reward,27,26,0.002890625037252903,1789231004.537128
env/reward,28,27,0.002070312388241291,1789231659.3881438
env/reward,29,28,0.003046874888241291,1789232263.1338305
env/reward,30,29,0.0021875000093132257,1789233182.0643032
env/reward,31,30,0.002343749860301614,1789233827.8590791
env/reward,32,31,0.0025781248696148396,1789234419.7222495
env/reward,33,32,0.0026953124906867743,1789235012.9175963
env/reward,34,33,0.0029296872671693563,1789235605.5209792
env/reward,35,34,0.0027343747206032276,1789236486.331881
env/reward,36,35,0.0026562497951090336,1789237129.36725
env/reward,37,36,0.002499999711290002,1789237767.6975188
env/reward,38,37,0.0028906248044222593,1789238364.239316
env/reward,39,38,0.0026171873323619366,1789238982.0875661
env/reward,40,39,0.002460937248542905,1789239899.3383164
env/reward,41,40,0.0028124998789280653,1789240502.6921294
env/reward,42,41,0.002460937248542905,1789241126.1764855
env/reward,43,42,0.0017578123370185494,1789241741.2346613
env/reward,44,43,0.002070312388241291,1789242404.3981438
env/reward,45,44,0.002851562574505806,1789243276.7314947
env/reward,46,45,0.0029687497299164534,1789243893.280023
env/reward,47,46,0.0026562497951090336,1789244597.2627444
env/reward,48,47,0.0026953124906867743,1789245196.9530337
env/reward,49,48,0.002617187099531293,1789245845.334123
env/reward,50,49,0.0021875000093132257,1789246767.8138785
env/reward,51,50,0.003007812425494194,1789247381.6133153
env/reward,52,51,0.0027343747206032276,1789247984.2134953
env/reward,53,52,0.003085937350988388,1789248597.0966306
env/reward,54,53,0.0026562497951090336,1789249241.9099462
env/reward,55,54,0.0026562500279396772,1789250154.898276
env/reward,56,55,0.0019140623044222593,1789250767.3533752
env/reward,57,56,0.0028124996460974216,1789251435.8166254
env/reward,58,57,0.0029296875,1789252039.496769
env/reward,59,58,0.0026562497951090336,1789252653.3146677
env/reward,60,59,0.0025390624068677425,1789253577.085221
env/reward,61,60,0.002851562574505806,1789254204.057055
env/reward,62,61,0.002851562574505806,1789254833.9961953
env/reward,63,62,0.0033984375186264515,1789255480.288512
env/reward,64,63,0.0028124998789280653,1789256123.0845082
env/reward,65,64,0.0024999999441206455,1789257069.83097
env/reward,66,65,0.002812500111758709,1789257719.9084501
env/reward,67,66,0.0022656249348074198,1789258371.6361136
env/reward,68,67,0.0028124998789280653,1789259019.6616032
env/reward,69,68,0.002148437313735485,1789259654.058508
env/reward,70,69,0.002382812323048711,1789260608.5651524
env/reward,71,70,0.0026171873323619366,1789261249.913265
env/reward,72,71,0.0027343749534338713,1789261901.0244794
env/reward,73,72,0.0026562497951090336,1789262551.0770235
env/reward,74,73,0.0018359373789280653,1789263200.8947554
env/reward,75,74,0.0027734374161809683,1789264127.0422096
env/reward,76,75,0.0032031249720603228,1789264768.240071
env/reward,77,76,0.0028124998789280653,1789265411.088367
env/reward,78,77,0.0028906248044222593,1789266059.6115355
env/reward,79,78,0.0027734374161809683,1789266712.484754
env/reward,80,79,0.0017187499906867743,1789267677.4582045
env/reward,81,80,0.002031249925494194,1789268315.2089074
env/reward,82,81,0.0024218750186264515,1789268975.7088275
env/reward,83,82,0.0019140624208375812,1789269632.4198456
env/reward,84,83,0.0030859375838190317,1789270271.1684823
env/reward,85,84,0.0028124998789280653,1789271195.7095308
env/reward,86,85,0.0024609374813735485,1789271850.8462193
env/reward,87,86,0.0023437500931322575,1789272503.9541235
env/reward,88,87,0.0018749999580904841,1789273142.940076
env/reward,89,88,0.0026562500279396772,1789273786.5614846
env/reward,90,89,0.0029296875,1789274736.9406009
env/reward,91,90,0.0028906248044222593,1789275392.6529367
env/reward,92,91,0.0026562497951090336,1789276043.2051191
env/reward,93,92,0.0026171873323619366,1789276697.489495
env/reward,94,93,0.0028124996460974216,1789277342.688056
env/reward,95,94,0.0026953122578561306,1789278280.599496
env/reward,96,95,0.003085937350988388,1789278942.2183142
env/reward,97,96,0.003046874888241291,1789279596.2763343
env/reward,98,97,0.0028515621088445187,1789280245.3644123
env/reward,99,98,0.0029296875,1789280894.7957897
env/reward,100,99,0.0027734371833503246,1789281861.3164678
env/reward,101,100,0.003124999813735485,1789282516.1417227
env/reward,102,101,0.002460937248542905,1789283176.527499
env/reward,103,102,0.002343749860301614,1789283842.4584281
env/reward,104,103,0.0031640625093132257,1789284485.6949327
env/reward,105,104,0.002343749860301614,1789285424.805365
env/reward,106,105,0.002148437313735485,1789286075.1262546
env/reward,107,106,0.0027734371833503246,1789286714.289495
env/reward,108,107,0.003046874888241291,1789287336.4316683
env/reward,109,108,0.0032421874348074198,1789287997.3029852
env/reward,110,109,0.003007812425494194,1789288970.762852
env/reward,111,110,0.0033203125931322575,1789289626.239516
env/reward,112,111,0.0024218750186264515,1789290273.5419998
env/reward,113,112,0.0026953122578561306,1789290934.0889657
env/reward,114,113,0.0026953122578561306,1789291599.7744875
env/reward,115,114,0.003085937350988388,1789292542.8846295
env/reward,116,115,0.0026562497951090336,1789293196.0832198
env/success_once,1,0,0.3046875,1789213242.4385698
env/success_once,2,1,0.359375,1789213917.7852437
env/success_once,3,2,0.3515625,1789214572.1058958
env/success_once,4,3,0.375,1789215189.23699
env/success_once,5,4,0.46875,1789216071.8521967
env/success_once,6,5,0.3203125,1789216766.0112746
env/success_once,7,6,0.4296875,1789217378.3034644
env/success_once,8,7,0.34375,1789218045.2454367
env/success_once,9,8,0.453125,1789218649.2009087
env/success_once,10,9,0.5078125,1789219657.1154284
env/success_once,11,10,0.390625,1789220260.3851538
env/success_once,12,11,0.4921875,1789220902.254615
env/success_once,13,12,0.5390625,1789221531.0451221
env/success_once,14,13,0.4921875,1789222164.2048345
env/success_once,15,14,0.3125,1789223091.1864662
env/success_once,16,15,0.53125,1789223703.3253248
env/success_once,17,16,0.4140625,1789224314.3209727
env/success_once,18,17,0.421875,1789224951.6183167
env/success_once,19,18,0.3828125,1789225573.280629
env/success_once,20,19,0.3671875,1789226463.5732718
env/success_once,21,20,0.5859375,1789227070.4195766
env/success_once,22,21,0.5390625,1789227710.7649333
env/success_once,23,22,0.4921875,1789228312.8506703
env/success_once,24,23,0.5,1789228902.9173105
env/success_once,25,24,0.4609375,1789229795.936293
env/success_once,26,25,0.4765625,1789230401.0102344
env/success_once,27,26,0.578125,1789231004.537141
env/success_once,28,27,0.4140625,1789231659.3881526
env/success_once,29,28,0.609375,1789232263.1338396
env/success_once,30,29,0.4375,1789233182.0643117
env/success_once,31,30,0.46875,1789233827.8590884
env/success_once,32,31,0.515625,1789234419.7222579
env/success_once,33,32,0.5390625,1789235012.9176114
env/success_once,34,33,0.5859375,1789235605.5209882
env/success_once,35,34,0.546875,1789236486.331906
env/success_once,36,35,0.53125,1789237129.3672588
env/success_once,37,36,0.5,1789237767.6975343
env/success_once,38,37,0.578125,1789238364.239331
env/success_once,39,38,0.5234375,1789238982.0875745
env/success_once,40,39,0.4921875,1789239899.3383288
env/success_once,41,40,0.5625,1789240502.692139
env/success_once,42,41,0.4921875,1789241126.1764941
env/success_once,43,42,0.3515625,1789241741.2346735
env/success_once,44,43,0.4140625,1789242404.3981526
env/success_once,45,44,0.5703125,1789243276.7315135
env/success_once,46,45,0.59375,1789243893.2800317
env/success_once,47,46,0.53125,1789244597.2627528
env/success_once,48,47,0.5390625,1789245196.9530425
env/success_once,49,48,0.5234375,1789245845.3341367
env/success_once,50,49,0.4375,1789246767.8138967
env/success_once,51,50,0.6015625,1789247381.613329
env/success_once,52,51,0.546875,1789247984.2135048
env/success_once,53,52,0.6171875,1789248597.0966387
env/success_once,54,53,0.53125,1789249241.9099557
env/success_once,55,54,0.53125,1789250154.89829
env/success_once,56,55,0.3828125,1789250767.3533838
env/success_once,57,56,0.5625,1789251435.816634
env/success_once,58,57,0.5859375,1789252039.496777
env/success_once,59,58,0.53125,1789252653.3146784
env/success_once,60,59,0.5078125,1789253577.0852296
env/success_once,61,60,0.5703125,1789254204.0570638
env/success_once,62,61,0.5703125,1789254833.9962046
env/success_once,63,62,0.6796875,1789255480.28852
env/success_once,64,63,0.5625,1789256123.084516
env/success_once,65,64,0.5,1789257069.8309844
env/success_once,66,65,0.5625,1789257719.9084623
env/success_once,67,66,0.453125,1789258371.6361222
env/success_once,68,67,0.5625,1789259019.661613
env/success_once,69,68,0.4296875,1789259654.0585172
env/success_once,70,69,0.4765625,1789260608.5651648
env/success_once,71,70,0.5234375,1789261249.913273
env/success_once,72,71,0.546875,1789261901.024494
env/success_once,73,72,0.53125,1789262551.0770319
env/success_once,74,73,0.3671875,1789263200.8947651
env/success_once,75,74,0.5546875,1789264127.042235
env/success_once,76,75,0.640625,1789264768.24008
env/success_once,77,76,0.5625,1789265411.088376
env/success_once,78,77,0.578125,1789266059.6115506
env/success_once,79,78,0.5546875,1789266712.4847624
env/success_once,80,79,0.34375,1789267677.4582133
env/success_once,81,80,0.40625,1789268315.208922
