tag,round,raw_step,value,wall_time
env/return,1,0,0.3046875,1789537370.7528095
env/return,2,1,0.3359375,1789537988.1678524
env/return,3,2,0.328125,1789538585.9906275
env/return,4,3,0.2890625,1789539222.1026816
env/return,5,4,0.421875,1789540098.2999346
env/return,6,5,0.265625,1789540697.1584837
env/return,7,6,0.28125,1789541296.7086825
env/return,8,7,0.265625,1789541912.4853005
env/return,9,8,0.4140625,1789542519.6943629
env/return,10,9,0.2890625,1789543400.8662229
env/return,11,10,0.3046875,1789544015.344872
env/return,12,11,0.3671875,1789544622.4552484
env/return,13,12,0.4296875,1789545234.7369606
env/return,14,13,0.34375,1789545829.191835
env/return,15,14,0.28125,1789546690.7834904
env/return,16,15,0.3671875,1789547284.206244
env/return,17,16,0.3359375,1789547893.6991944
env/return,18,17,0.328125,1789548492.1657357
env/return,19,18,0.3984375,1789549104.0354517
env/return,20,19,0.2890625,1789549984.6868114
env/return,21,20,0.453125,1789550587.8824463
env/return,22,21,0.4609375,1789551215.979613
env/return,23,22,0.4453125,1789551832.3172507
env/return,24,23,0.5,1789552430.4430766
env/return,25,24,0.3828125,1789553335.3199456
env/return,26,25,0.5078125,1789553965.9690514
env/return,27,26,0.5546875,1789554602.7449017
env/return,28,27,0.3515625,1789555219.6556895
env/return,29,28,0.46875,1789555844.5632553
env/return,30,29,0.375,1789556767.3351269
env/return,31,30,0.4140625,1789557383.6007426
env/return,32,31,0.5234375,1789558051.4280412
env/return,33,32,0.5,1789558681.6489358
env/return,34,33,0.4921875,1789559281.627009
env/return,35,34,0.4921875,1789560144.475351
env/return,36,35,0.515625,1789560759.9100254
env/return,37,36,0.6015625,1789561371.4018278
env/return,38,37,0.609375,1789562006.9484951
env/return,39,38,0.5625,1789562614.214785
env/return,40,39,0.4453125,1789563500.9322774
env/return,41,40,0.578125,1789564108.5024
env/return,42,41,0.46875,1789564713.1737344
env/return,43,42,0.421875,1789565323.2089489
env/return,44,43,0.484375,1789565951.0055535
env/return,45,44,0.484375,1789566814.0297325
env/return,46,45,0.6171875,1789567419.339628
env/return,47,46,0.4453125,1789568014.79539
env/return,48,47,0.453125,1789568641.73339
env/return,49,48,0.4375,1789569273.1048658
env/return,50,49,0.4296875,1789570189.8560479
env/return,51,50,0.59375,1789570818.3875763
env/return,52,51,0.578125,1789571425.1490257
env/return,53,52,0.5,1789572041.4594076
env/return,54,53,0.5546875,1789572636.659366
env/return,55,54,0.4453125,1789573517.0565646
env/return,56,55,0.4453125,1789574124.0867639
env/return,57,56,0.609375,1789574734.9002059
env/return,58,57,0.4453125,1789575351.751928
env/return,59,58,0.421875,1789575966.806003
env/return,60,59,0.5546875,1789576897.9918869
env/return,61,60,0.5546875,1789577495.9716418
env/return,62,61,0.6640625,1789578115.3749435
env/return,63,62,0.6796875,1789578755.0981984
env/return,64,63,0.546875,1789579360.1980803
env/return,65,64,0.5078125,1789580294.2188978
env/return,66,65,0.5234375,1789580920.4985974
env/return,67,66,0.546875,1789581536.955953
env/return,68,67,0.4765625,1789582143.1672804
env/return,69,68,0.4140625,1789582754.8717537
env/return,70,69,0.5546875,1789583642.0340078
env/return,71,70,0.4765625,1789584278.9281752
