tag,round,raw_step,value,wall_time
env/success_once,1,0,0.3046875,1789452513.7139504
env/success_once,2,1,0.28125,1789453181.7670553
env/success_once,3,2,0.359375,1789453885.290832
env/success_once,4,3,0.3203125,1789454567.943566
env/success_once,5,4,0.4765625,1789455534.1085033
env/success_once,6,5,0.265625,1789456278.5097907
env/success_once,7,6,0.3828125,1789457002.3723884
env/success_once,8,7,0.328125,1789457628.2920015
env/success_once,9,8,0.3984375,1789458295.2871132
env/success_once,10,9,0.4453125,1789459334.4412787
env/success_once,11,10,0.3984375,1789460058.1938374
env/success_once,12,11,0.5,1789460782.5390437
env/success_once,13,12,0.4609375,1789461449.9348633
env/success_once,14,13,0.4296875,1789462112.1386504
env/success_once,15,14,0.2890625,1789463111.8467147
env/success_once,16,15,0.4296875,1789463778.3964775
env/success_once,17,16,0.421875,1789464507.667678
env/success_once,18,17,0.359375,1789465199.4084256
env/success_once,19,18,0.484375,1789465877.9317753
env/success_once,20,19,0.28125,1789466941.9996521
env/success_once,21,20,0.40625,1789467675.9487665
env/success_once,22,21,0.390625,1789468449.8524516
env/success_once,23,22,0.453125,1789469122.5113595
env/success_once,24,23,0.3828125,1789469849.544074
env/success_once,25,24,0.3671875,1789470818.6170523
env/success_once,26,25,0.40625,1789471527.8374658
env/success_once,27,26,0.5390625,1789472244.9532583
env/success_once,28,27,0.375,1789472933.4410706
env/success_once,29,28,0.5390625,1789473579.3931599
env/success_once,30,29,0.4453125,1789474608.0072494
env/success_once,31,30,0.421875,1789475311.9763129
env/success_once,32,31,0.515625,1789476051.4357784
env/success_once,33,32,0.5,1789476700.613694
env/success_once,34,33,0.4375,1789477337.2880418
env/success_once,35,34,0.5,1789478300.4017854
env/success_once,36,35,0.4375,1789478939.4836018
env/success_once,37,36,0.625,1789479586.8824363
env/success_once,38,37,0.546875,1789480268.5515225
env/success_once,39,38,0.484375,1789480933.140824
env/success_once,40,39,0.4453125,1789481951.27888
env/success_once,41,40,0.59375,1789482609.731283
env/success_once,42,41,0.4140625,1789483325.6332242
env/success_once,43,42,0.4296875,1789484004.847401
env/success_once,44,43,0.484375,1789484671.9976103
env/success_once,45,44,0.3828125,1789485658.13867
env/success_once,46,45,0.5546875,1789486365.7411363
env/success_once,47,46,0.546875,1789487036.79907
