tag,round,raw_step,value,wall_time
env/return,1,0,0.3046875,1789374009.8147364
env/return,2,1,0.3515625,1789374676.3170664
env/return,3,2,0.3359375,1789375352.1538508
env/return,4,3,0.3515625,1789376064.7760677
env/return,5,4,0.4140625,1789377068.3587005
env/return,6,5,0.25,1789377728.4370232
env/return,7,6,0.2734375,1789378477.9706604
env/return,8,7,0.234375,1789379177.2744255
env/return,9,8,0.4140625,1789379943.5175025
env/return,10,9,0.3359375,1789381012.482212
env/return,11,10,0.3125,1789381733.7808745
env/return,12,11,0.34375,1789382485.4795208
env/return,13,12,0.484375,1789383184.5734608
env/return,14,13,0.4296875,1789383914.3981335
env/return,15,14,0.375,1789384976.4884098
env/return,16,15,0.4453125,1789385701.1077902
env/return,17,16,0.4375,1789386444.6188505
env/return,18,17,0.46875,1789387170.028389
env/return,19,18,0.453125,1789387881.0557487
env/return,20,19,0.3125,1789388889.8492162
env/return,21,20,0.4765625,1789389626.2192187
env/return,22,21,0.3359375,1789390354.316539
env/return,23,22,0.5,1789391092.9009652
env/return,24,23,0.375,1789391809.7966619
env/return,25,24,0.3515625,1789392886.4359343
env/return,26,25,0.3515625,1789393589.5580058
env/return,27,26,0.5546875,1789394279.60812
env/return,28,27,0.3125,1789394978.8496327
env/return,29,28,0.46875,1789395703.6717913
env/return,30,29,0.3515625,1789396842.438708
env/return,31,30,0.4140625,1789397570.893262
env/return,32,31,0.5078125,1789398341.2515574
env/return,33,32,0.515625,1789399079.8518503
env/return,34,33,0.609375,1789399834.6700387
env/return,35,34,0.453125,1789400851.7483695
env/return,36,35,0.453125,1789401614.5854986
env/return,37,36,0.5703125,1789402351.1495633
env/return,38,37,0.59375,1789403063.2217884
env/return,39,38,0.5390625,1789403774.488426
env/return,40,39,0.3828125,1789404857.1943119
env/return,41,40,0.59375,1789405571.5743878
env/return,42,41,0.4453125,1789406308.012424
env/return,43,42,0.3359375,1789407041.238738
env/return,44,43,0.390625,1789407773.1996348
env/return,45,44,0.5,1789408837.4681842
env/return,46,45,0.546875,1789409565.3234942
env/return,47,46,0.3203125,1789410334.420161
env/return,48,47,0.2734375,1789411097.0014954
env/return,49,48,0.3515625,1789411845.1444783
env/return,50,49,0.328125,1789412993.1381843
env/return,51,50,0.3671875,1789413772.6545112
env/return,52,51,0.484375,1789414499.9963772
env/return,53,52,0.3359375,1789415253.8228214
env/return,54,53,0.3828125,1789416011.3150196
env/return,55,54,0.3515625,1789417118.229621
env/return,56,55,0.203125,1789417889.3928716
env/return,57,56,0.40625,1789418637.2313035
env/return,58,57,0.375,1789419378.5941699
env/return,59,58,0.296875,1789420126.9390352
env/return,60,59,0.3671875,1789421289.005804
env/return,61,60,0.4375,1789422046.0493631
env/return,62,61,0.4765625,1789422804.4775884
env/return,63,62,0.53125,1789423553.3570588
env/return,64,63,0.5859375,1789424312.13023
env/return,65,64,0.4453125,1789425401.0972075
env/return,66,65,0.4296875,1789426184.9413466
env/return,67,66,0.34375,1789426967.4888659
env/return,68,67,0.4609375,1789427688.0601404
env/return,69,68,0.296875,1789428454.1263924
env/return,70,69,0.453125,1789429603.6023169
env/return,71,70,0.4375,1789430400.4155104
env/return,72,71,0.328125,1789431158.5460563
env/return,73,72,0.5234375,1789431897.62712
env/return,74,73,0.3515625,1789432633.0554771
env/return,75,74,0.546875,1789433665.2372742
env/return,76,75,0.5390625,1789434424.1293774
env/return,77,76,0.4453125,1789435208.5174139
env/return,78,77,0.390625,1789435950.108795
env/return,79,78,0.4296875,1789436693.1700296
env/return,80,79,0.3515625,1789437768.210462
env/return,81,80,0.40625,1789438430.5377653
env/return,82,81,0.4375,1789439192.2047117
env/return,83,82,0.3515625,1789439982.7766283
env/return,84,83,0.4609375,1789440739.2019541
env/return,85,84,0.46875,1789441802.8121388
env/return,86,85,0.4765625,1789442586.801484
env/return,87,86,0.3671875,1789443355.0669346
env/return,88,87,0.34375,1789444140.872523
env/return,89,88,0.5,1789444912.2521787
env/return,90,89,0.5078125,1789446007.5130837
env/return,91,90,0.5546875,1789446758.4646847
env/return,92,91,0.453125,1789447520.4019382
env/return,93,92,0.421875,1789448266.7833335
env/return,94,93,0.5625,1789449010.982069
env/return,95,94,0.5859375,1789450093.122903
env/return,96,95,0.3828125,1789450867.8633597
env/success_once,1,0,0.3046875,1789374009.8148024
env/success_once,2,1,0.3515625,1789374676.3171394
env/success_once,3,2,0.3359375,1789375352.1539602
env/success_once,4,3,0.3515625,1789376064.7761486
env/success_once,5,4,0.4140625,1789377068.3587606
env/success_once,6,5,0.25,1789377728.437094
env/success_once,7,6,0.2734375,1789378477.97074
env/success_once,8,7,0.234375,1789379177.274494
env/success_once,9,8,0.4140625,1789379943.5175903
env/success_once,10,9,0.3359375,1789381012.4822392
env/success_once,11,10,0.3125,1789381733.7809134
env/success_once,12,11,0.34375,1789382485.479576
env/success_once,13,12,0.484375,1789383184.573554
env/success_once,14,13,0.4296875,1789383914.398237
env/success_once,15,14,0.375,1789384976.4884467
env/success_once,16,15,0.4453125,1789385701.1078577
env/success_once,17,16,0.4375,1789386444.6189184
env/success_once,18,17,0.46875,1789387170.0284264
env/success_once,19,18,0.453125,1789387881.0558023
env/success_once,20,19,0.3125,1789388889.8492498
env/success_once,21,20,0.4765625,1789389626.2192888
env/success_once,22,21,0.3359375,1789390354.31661
env/success_once,23,22,0.5,1789391092.9010434
env/success_once,24,23,0.375,1789391809.7967298
env/success_once,25,24,0.3515625,1789392886.4359763
env/success_once,26,25,0.3515625,1789393589.5580664
env/success_once,27,26,0.5546875,1789394279.6082027
env/success_once,28,27,0.3125,1789394978.8496945
env/success_once,29,28,0.46875,1789395703.6718528
env/success_once,30,29,0.3515625,1789396842.438738
env/success_once,31,30,0.4140625,1789397570.8933346
env/success_once,32,31,0.5078125,1789398341.2516325
env/success_once,33,32,0.515625,1789399079.8519132
env/success_once,34,33,0.609375,1789399834.6701107
env/success_once,35,34,0.453125,1789400851.7484288
env/success_once,36,35,0.453125,1789401614.5856423
env/success_once,37,36,0.5703125,1789402351.1496177
env/success_once,38,37,0.59375,1789403063.22186
env/success_once,39,38,0.5390625,1789403774.488498
env/success_once,40,39,0.3828125,1789404857.1943352
env/success_once,41,40,0.59375,1789405571.5744548
env/success_once,42,41,0.4453125,1789406308.0125172
env/success_once,43,42,0.3359375,1789407041.2388203
env/success_once,44,43,0.390625,1789407773.1997046
env/success_once,45,44,0.5,1789408837.4682271
env/success_once,46,45,0.546875,1789409565.3235674
env/success_once,47,46,0.3203125,1789410334.4202325
env/success_once,48,47,0.2734375,1789411097.0015664
env/success_once,49,48,0.3515625,1789411845.1445456
env/success_once,50,49,0.328125,1789412993.138231
env/success_once,51,50,0.3671875,1789413772.6545851
env/success_once,52,51,0.484375,1789414499.9964542
env/success_once,53,52,0.3359375,1789415253.8228776
env/success_once,54,53,0.3828125,1789416011.3150976
env/success_once,55,54,0.3515625,1789417118.2296834
env/success_once,56,55,0.203125,1789417889.3929796
env/success_once,57,56,0.40625,1789418637.2313766
env/success_once,58,57,0.375,1789419378.5942264
env/success_once,59,58,0.296875,1789420126.9391143
env/success_once,60,59,0.3671875,1789421289.0058372
env/success_once,61,60,0.4375,1789422046.049441
env/success_once,62,61,0.4765625,1789422804.4776661
env/success_once,63,62,0.53125,1789423553.3571384
env/success_once,64,63,0.5859375,1789424312.130285
env/success_once,65,64,0.4453125,1789425401.0972748
env/success_once,66,65,0.4296875,1789426184.9414175
env/success_once,67,66,0.34375,1789426967.488921
env/success_once,68,67,0.4609375,1789427688.060214
env/success_once,69,68,0.296875,1789428454.1264646
