tag,round,value,wall_time
env/success_once,1,0.0,1789804295.5049975
env/success_once,2,0.0,1789804379.0908792
env/success_once,3,0.25,1789804461.5669932
env/success_once,4,0.0,1789804542.904822
env/success_once,5,0.0,1789804628.2603455
env/success_once,6,0.0,1789804712.6602125
env/success_once,7,0.0,1789804797.052577
env/success_once,8,0.0,1789804881.9249606
env/success_once,9,0.0,1789804966.316146
env/success_once,10,0.0,1789805051.3691847
env/success_once,11,0.0,1789805134.761423
env/success_once,12,0.0,1789805220.688842
env/success_once,13,0.25,1789805302.9081268
env/success_once,14,0.0,1789805387.2727304
env/success_once,15,0.0,1789805472.4392
env/success_once,16,0.0,1789805557.482023
env/success_once,17,0.5,1789805637.7125187
env/success_once,18,0.0,1789805721.2696078
env/success_once,19,0.25,1789805802.7958102
env/success_once,20,0.5,1789805885.121819
env/success_once,21,0.0,1789805970.9573317
env/success_once,22,0.25,1789806056.5991259
env/success_once,23,0.0,1789806140.8168304
env/success_once,24,0.0,1789806225.66718
env/success_once,25,0.0,1789806687.5224192
env/success_once,26,0.25,1789806768.779678
env/success_once,27,0.0,1789806849.6468515
env/success_once,28,0.0,1789806932.27392
env/success_once,29,0.0,1789807014.3085032
env/success_once,30,0.25,1789807093.7814713
env/success_once,31,0.0,1789807175.1398604
env/success_once,32,0.25,1789807253.34237
env/success_once,33,0.0,1789807334.1513684
env/success_once,34,0.0,1789807415.6308963
env/success_once,35,0.0,1789807496.6178994
env/success_once,36,0.25,1789807577.2322085
env/success_once,37,0.0,1789807657.680839
env/success_once,38,0.25,1789807741.1670933
env/success_once,39,0.0,1789807823.2208836
env/success_once,40,0.0,1789807904.8592057
env/success_once,41,0.0,1789807987.0218766
env/success_once,42,0.0,1789808068.1173933
env/success_once,43,0.0,1789808149.6014984
env/success_once,44,0.0,1789808231.226738
env/success_once,45,0.5,1789808310.8597214
env/success_once,46,0.25,1789808389.0207944
env/success_once,47,0.25,1789808471.1768422
env/success_once,48,0.0,1789808551.3066814
env/success_once,49,0.0,1789808631.9539044
env/success_once,50,0.0,1789809085.4729884
env/success_once,51,0.0,1789809170.4019814
env/success_once,52,0.0,1789809252.2200754
env/success_once,53,0.0,1789809335.8770528
env/success_once,54,0.25,1789809418.103226
env/success_once,55,0.25,1789809499.2733524
env/success_once,56,0.0,1789809580.3904152
env/success_once,57,0.0,1789809660.6898706
env/success_once,58,0.25,1789809742.3559837
env/success_once,59,0.0,1789809821.9485543
env/success_once,60,0.0,1789809903.789522
env/success_once,61,0.0,1789809985.3942986
env/success_once,62,0.0,1789810066.7970088
env/success_once,63,0.0,1789810148.880686
env/success_once,64,0.25,1789810228.9233127
env/success_once,65,0.25,1789810308.4878619
env/success_once,66,0.0,1789810388.8411293
env/success_once,67,0.0,1789810469.535449
env/success_once,68,0.25,1789810550.7591364
env/success_once,69,0.0,1789810632.7482924
env/success_once,70,0.25,1789810713.1816788
env/success_once,71,0.0,1789810793.9559016
env/success_once,72,0.0,1789810873.567819
env/success_once,73,0.0,1789810954.724382
env/success_once,74,0.0,1789811036.69692
env/success_once,75,0.0,1789811495.635126
env/success_once,76,0.0,1789811577.1795382
env/success_once,77,0.0,1789811658.9338744
env/success_once,78,0.0,1789811741.0599873
env/success_once,79,0.0,1789811823.3539538
env/success_once,80,0.0,1789811905.8339784
env/success_once,81,0.0,1789811987.92876
env/success_once,82,0.0,1789812071.5467584
env/success_once,83,0.25,1789812153.8228564
env/success_once,84,0.0,1789812236.0879915
env/success_once,85,0.0,1789812318.2193792
env/success_once,86,0.0,1789812400.910054
env/success_once,87,0.0,1789812482.2410896
env/success_once,88,0.0,1789812562.7889342
env/success_once,89,0.0,1789812644.1388414
env/success_once,90,0.0,1789812725.5807962
env/success_once,91,0.0,1789812806.9784636
env/success_once,92,0.25,1789812886.669394
env/success_once,93,0.0,1789812967.1111596
env/success_once,94,0.25,1789813048.4935365
env/success_once,95,0.25,1789813130.6113787
env/success_once,96,0.0,1789813213.577247
env/success_once,97,0.0,1789813293.9303832
env/success_once,98,0.0,1789813375.5569932
env/success_once,99,0.0,1789813455.8007052
env/success_once,100,0.0,1789813911.8327289
env/success_once,101,0.0,1789813992.6570807
env/success_once,102,0.0,1789814074.0692763
env/success_once,103,0.25,1789814154.9670436
env/success_once,104,0.25,1789814235.793816
env/success_once,105,0.0,1789814317.993403
env/success_once,106,0.25,1789814399.6546273
env/success_once,107,0.0,1789814481.6399782
env/success_once,108,0.25,1789814564.3678052
env/success_once,109,0.0,1789814644.2816963
env/success_once,110,0.0,1789814726.097663
env/success_once,111,0.0,1789814807.0250137
env/success_once,112,0.25,1789814887.4170458
env/success_once,113,0.25,1789814968.2696013
env/success_once,114,0.0,1789815049.2815835
env/success_once,115,0.0,1789815129.184832
env/success_once,116,0.0,1789815211.1973264
env/success_once,117,0.0,1789815290.50737
env/success_once,118,0.0,1789815370.9714832
env/success_once,119,0.0,1789815452.4259553
env/success_once,120,0.0,1789815533.2580512
