tag,round,value,wall_time
env/return,1,2.0,1789804297.6813781
env/return,2,0.0,1789804382.2295656
env/return,3,0.0,1789804466.0134153
env/return,4,2.0,1789804547.4380493
env/return,5,0.0,1789804631.5187254
env/return,6,0.0,1789804717.0731637
env/return,7,0.0,1789804802.1253395
env/return,8,3.25,1789804884.2642798
env/return,9,0.0,1789804970.1060855
env/return,10,0.0,1789805055.6060553
env/return,11,0.0,1789805140.9970946
env/return,12,0.0,1789805225.830592
env/return,13,0.0,1789805310.1799946
env/return,14,0.0,1789805397.571765
env/return,15,1.25,1789805482.018918
env/return,16,0.0,1789805566.4791646
env/return,17,0.0,1789805651.836815
env/return,18,1.0,1789805734.4638689
env/return,19,0.0,1789805820.260471
env/return,20,0.0,1789805903.694672
env/return,21,0.0,1789805989.202992
env/return,22,1.5,1789806072.5837932
env/return,23,0.5,1789806156.8760252
env/return,24,0.0,1789806243.6467202
env/return,25,0.0,1789806710.9090822
env/return,26,0.0,1789806793.326174
env/return,27,0.0,1789806876.9709082
env/return,28,0.0,1789806960.0373325
env/return,29,0.0,1789807042.6181848
env/return,30,0.0,1789807124.916952
env/return,31,0.0,1789807208.6834035
env/return,32,0.0,1789807291.842862
env/return,33,0.0,1789807375.1402934
env/return,34,0.0,1789807456.39619
env/return,35,1.75,1789807536.5987287
env/return,36,0.0,1789807619.117257
env/return,37,0.0,1789807700.9113197
env/return,38,0.0,1789807784.1529613
env/return,39,0.0,1789807867.0533628
env/return,40,0.0,1789807949.2436826
env/return,41,0.0,1789808032.4999137
env/return,42,0.0,1789808114.683511
env/return,43,0.0,1789808195.906037
env/return,44,0.0,1789808277.9204435
env/return,45,0.0,1789808360.526825
env/return,46,0.75,1789808441.0872622
env/return,47,0.0,1789808522.0069325
env/return,48,0.0,1789808603.903608
env/return,49,0.0,1789808685.8997881
env/return,50,0.0,1789809145.1073067
env/return,51,0.25,1789809228.3959363
env/return,52,0.0,1789809310.5017657
env/return,53,0.0,1789809393.7655022
env/return,54,0.25,1789809475.9186444
env/return,55,1.25,1789809556.718947
env/return,56,0.0,1789809640.7666955
env/return,57,0.5,1789809721.335724
env/return,58,0.0,1789809803.7866998
env/return,59,0.0,1789809885.678207
env/return,60,0.0,1789809969.363976
env/return,61,0.0,1789810051.309382
env/return,62,0.0,1789810134.2461183
env/return,63,0.5,1789810215.599532
env/return,64,0.0,1789810298.763682
env/return,65,0.25,1789810379.639234
env/return,66,0.75,1789810460.0319724
env/return,67,0.0,1789810541.5516255
env/return,68,0.0,1789810625.0903897
env/return,69,0.0,1789810706.6488519
env/return,70,0.0,1789810788.0921047
env/return,71,0.0,1789810869.7143834
env/return,72,0.0,1789810952.1830986
env/return,73,0.0,1789811033.3070788
env/return,74,0.75,1789811111.5199258
env/return,75,0.5,1789811573.4579704
env/return,76,1.5,1789811654.0048733
env/return,77,0.0,1789811737.6312964
env/return,78,0.0,1789811820.3707936
env/return,79,0.0,1789811901.4247637
env/return,80,0.0,1789811984.396818
env/return,81,0.0,1789812065.6844966
env/return,82,0.25,1789812149.9732952
env/return,83,0.0,1789812231.166442
env/return,84,0.25,1789812315.2688048
env/return,85,0.0,1789812398.1072445
env/return,86,0.25,1789812481.1949852
env/return,87,0.0,1789812564.5907602
env/return,88,0.0,1789812647.5286138
env/return,89,1.25,1789812727.5452135
env/return,90,0.0,1789812810.0376651
env/return,91,0.0,1789812892.983939
env/return,92,0.0,1789812974.999696
env/return,93,0.0,1789813058.1759253
env/return,94,0.25,1789813141.8265254
env/return,95,0.0,1789813224.0476775
env/return,96,2.25,1789813303.8499146
env/return,97,0.0,1789813384.5922747
env/return,98,0.0,1789813468.7446876
env/return,99,0.0,1789813551.0191772
env/return,100,0.0,1789814020.0022244
env/return,101,0.5,1789814103.0142262
env/return,102,1.25,1789814184.1751215
env/return,103,1.5,1789814265.7602565
env/return,104,0.0,1789814348.0702147
env/return,105,0.0,1789814431.4566267
env/return,106,0.0,1789814511.2047162
env/return,107,0.0,1789814592.8959785
env/return,108,0.5,1789814674.6805573
env/return,109,0.75,1789814754.7722554
env/return,110,0.0,1789814838.745432
env/return,111,0.0,1789814922.0557017
env/return,112,0.0,1789815005.4709244
env/return,113,0.0,1789815086.4474542
env/return,114,0.0,1789815169.0512946
env/return,115,0.0,1789815249.9615188
env/return,116,0.0,1789815334.2042842
env/return,117,0.0,1789815416.3535566
env/return,118,0.0,1789815498.2144358
env/return,119,0.0,1789815579.0323067
env/return,120,0.0,1789815660.0110133
env/return,121,0.0,1789815741.702839
env/return,122,0.0,1789815821.5117025
env/return,123,0.0,1789815904.0463078
env/return,124,0.0,1789815987.6220021
env/return,125,0.0,1789816453.9884543
env/return,126,0.75,1789816536.0950096
env/return,127,0.0,1789816644.8509374
env/return,128,0.0,1789816748.651164
env/return,129,1.5,1789816851.1029294
env/return,130,0.75,1789816957.296941
env/return,131,0.0,1789817064.0844946
env/return,132,0.0,1789817173.7427793
env/return,133,0.0,1789817281.4969382
env/return,134,0.0,1789817387.713492
env/return,135,0.0,1789817491.137768
env/return,136,0.0,1789817595.663292
env/return,137,0.0,1789817699.181306
env/return,138,0.0,1789817803.9765377
env/return,139,1.0,1789817905.887622
env/return,140,1.25,1789818005.621928
env/return,141,0.25,1789818110.0300643
env/return,142,0.0,1789818216.8876247
env/return,143,0.0,1789818320.6801805
env/return,144,0.0,1789818428.292391
env/return,145,0.0,1789818535.9053664
env/return,146,6.5,1789818633.5133922
env/return,147,1.75,1789818738.2758048
env/return,148,2.5,1789818841.4523313
env/return,149,3.0,1789818948.706554
env/return,150,7.0,1789819430.5943282
env/return,151,4.5,1789819530.9175708
env/return,152,6.0,1789819630.2420342
env/return,153,2.25,1789819735.2037396
env/return,154,2.5,1789819840.7370772
env/return,155,5.0,1789819940.763771
env/return,156,2.5,1789820045.3692908
env/return,157,5.25,1789820146.7641926
env/return,158,8.0,1789820243.7063944
env/return,159,9.0,1789820339.8506358
env/return,160,3.0,1789820432.9303281
env/return,161,6.75,1789820516.596618
env/return,162,9.0,1789820594.783389
env/return,163,8.75,1789820675.0885522
env/return,164,10.5,1789820749.9467535
env/return,165,10.75,1789820825.9544973
env/return,166,8.75,1789820904.402382
env/return,167,11.5,1789820979.600787
env/return,168,11.5,1789821053.4584515
env/return,169,11.25,1789821128.5136828
env/return,170,11.0,1789821203.3127267
env/return,171,12.5,1789821275.72309
