tag,round,value,wall_time
env/return,1,0.0,1789916807.6361141
env/return,2,2.25,1789916889.2470293
env/return,3,0.0,1789916974.4707382
env/return,4,1.75,1789917055.54345
env/return,5,0.0,1789917140.3895347
env/return,6,0.0,1789917226.0753102
env/return,7,0.0,1789917312.1798172
env/return,8,0.75,1789917396.752027
env/return,9,0.0,1789917483.858804
env/return,10,0.0,1789917571.0477805
env/return,11,0.0,1789917655.7992632
env/return,12,0.0,1789917742.3856783
env/return,13,0.0,1789917828.4688334
env/return,14,0.0,1789917915.0120971
env/return,15,0.75,1789918000.3610454
env/return,16,0.0,1789918086.741404
env/return,17,1.0,1789918172.116901
env/return,18,0.0,1789918256.3667088
env/return,19,1.5,1789918340.0910168
env/return,20,0.0,1789918426.9950962
env/return,21,0.0,1789918511.9209492
env/return,22,0.0,1789918597.9502926
env/return,23,2.0,1789918681.5888908
env/return,24,0.0,1789918768.5469975
env/return,25,0.0,1789919233.8321629
env/return,26,0.0,1789919318.0434706
env/return,27,0.0,1789919400.1485188
env/return,28,1.75,1789919479.8856478
env/return,29,0.0,1789919562.8478239
env/return,30,1.0,1789919646.134002
env/return,31,0.0,1789919728.682665
env/return,32,0.0,1789919811.574006
env/return,33,0.0,1789919894.469642
env/return,34,0.0,1789919977.2125611
env/return,35,0.0,1789920060.0761006
env/return,36,0.0,1789920141.3189232
env/return,37,0.0,1789920223.3464153
env/return,38,0.0,1789920306.3412828
env/return,39,0.0,1789920387.211304
env/return,40,0.0,1789920469.1914382
env/return,41,0.25,1789920552.0120413
env/return,42,0.0,1789920634.242593
env/return,43,0.0,1789920716.3975236
env/return,44,0.0,1789920799.1605222
env/return,45,0.5,1789920878.5977628
env/return,46,0.0,1789920961.3943198
env/return,47,1.75,1789921040.7986243
env/return,48,0.0,1789921122.481319
env/return,49,0.25,1789921206.1475055
env/return,50,0.0,1789921664.6520743
env/return,51,0.0,1789921749.309483
env/return,52,0.0,1789921829.153333
env/return,53,1.75,1789921910.7852523
env/return,54,0.0,1789921995.5796666
env/return,55,0.5,1789922079.5853093
env/return,56,0.0,1789922164.7355947
env/return,57,1.5,1789922244.8691485
env/return,58,1.5,1789922324.106059
env/return,59,0.0,1789922406.6535337
env/return,60,0.25,1789922487.8023984
env/return,61,0.25,1789922568.8392394
env/return,62,0.0,1789922650.6226156
env/return,63,0.0,1789922732.803701
env/return,64,0.75,1789922813.896409
env/return,65,0.5,1789922897.0368605
env/return,66,0.0,1789922979.6184516
env/return,67,0.0,1789923061.9240782
env/return,68,0.0,1789923144.7043936
env/return,69,0.0,1789923227.1014352
env/return,70,0.0,1789923309.7807624
env/return,71,0.0,1789923392.0859303
env/return,72,1.0,1789923472.7216382
env/return,73,0.0,1789923555.6323133
env/return,74,0.75,1789923636.3588848
env/return,75,0.0,1789924103.0483541
env/return,76,0.0,1789924187.3705707
env/return,77,0.0,1789924270.6415946
env/return,78,0.0,1789924352.669407
env/return,79,0.0,1789924434.8964453
env/return,80,0.0,1789924519.2908554
env/return,81,0.0,1789924601.291511
env/return,82,0.0,1789924684.9013824
env/return,83,0.5,1789924767.06834
env/return,84,0.0,1789924849.8458955
env/return,85,0.0,1789924932.1463199
env/return,86,0.0,1789925015.9889982
env/return,87,0.0,1789925097.9101508
env/return,88,0.0,1789925181.8054805
env/return,89,0.0,1789925263.5951872
env/return,90,0.0,1789925344.0628004
env/return,91,0.5,1789925425.4143806
env/return,92,0.25,1789925506.9127908
env/return,93,0.0,1789925588.9554558
env/return,94,0.0,1789925670.1906178
env/return,95,0.0,1789925752.487178
env/return,96,0.0,1789925834.2375908
env/return,97,0.0,1789925917.2291152
env/return,98,0.0,1789926001.285478
env/return,99,0.0,1789926082.4269972
env/return,100,1.75,1789926547.1666534
env/return,101,0.0,1789926629.6322145
env/return,102,0.5,1789926711.708747
env/return,103,1.25,1789926793.1677737
env/return,104,0.5,1789926875.4944103
env/return,105,0.25,1789926960.0816152
env/return,106,0.0,1789927041.1068485
env/return,107,0.0,1789927124.2995856
env/return,108,0.75,1789927206.6546996
env/return,109,0.0,1789927290.004947
env/return,110,0.0,1789927371.774771
env/return,111,0.5,1789927450.8820677
env/return,112,0.0,1789927534.044913
env/return,113,0.5,1789927615.1739075
env/return,114,0.25,1789927697.361716
env/return,115,0.25,1789927778.3725905
env/return,116,0.0,1789927860.6449816
env/return,117,0.0,1789927944.0204234
env/return,118,0.75,1789928025.544984
env/return,119,0.0,1789928107.1123362
env/return,120,0.0,1789928190.9388492
env/return,121,0.0,1789928273.0850382
env/return,122,0.0,1789928355.2991781
env/return,123,0.0,1789928438.581012
env/return,124,0.0,1789928520.4876442
env/return,125,1.25,1789928991.3620157
env/return,126,0.0,1789929074.4208481
env/return,127,0.0,1789929181.7913713
env/return,128,0.0,1789929285.752274
env/return,129,0.25,1789929392.233844
env/return,130,0.0,1789929498.3639705
env/return,131,0.0,1789929604.2363355
env/return,132,0.5,1789929709.1497316
env/return,133,0.5,1789929816.395303
env/return,134,0.0,1789929919.740768
env/return,135,0.0,1789930026.531467
env/return,136,0.0,1789930133.3674436
env/return,137,0.0,1789930237.6048317
env/return,138,0.0,1789930339.4346175
env/return,139,0.0,1789930444.5270576
env/return,140,2.25,1789930542.755836
env/return,141,0.5,1789930645.3319383
env/return,142,0.0,1789930747.5190916
env/return,143,0.0,1789930852.555278
env/return,144,0.0,1789930957.887183
env/return,145,0.0,1789931062.8939297
env/return,146,2.5,1789931161.2125876
env/return,147,2.0,1789931264.3518414
env/return,148,2.25,1789931370.200429
env/return,149,3.25,1789931472.3267157
env/return,150,1.5,1789931977.5983093
env/return,151,2.0,1789932083.851269
env/return,152,3.0,1789932187.5445888
env/return,153,2.5,1789932292.7549293
env/return,154,4.25,1789932394.5472584
env/return,155,4.5,1789932496.891469
env/return,156,5.75,1789932595.6740627
env/return,157,4.0,1789932698.41198
env/return,158,7.25,1789932795.4541898
env/return,159,9.5,1789932889.4740672
env/return,160,3.25,1789932991.2596772
env/return,161,9.75,1789933067.2808864
env/return,162,7.0,1789933148.8872168
env/return,163,8.25,1789933230.5296333
env/return,164,9.75,1789933307.1997447
env/return,165,7.25,1789933391.7518344
env/return,166,6.0,1789933475.8563929
env/return,167,7.5,1789933554.8526096
env/return,168,6.5,1789933637.4629881
env/return,169,2.5,1789933731.45048
env/return,170,7.75,1789933813.488533
env/return,171,6.5,1789933898.2190409
env/return,172,11.0,1789933970.9667459
env/return,173,5.5,1789934057.6893566
env/return,174,12.0,1789934130.52044
env/return,175,10.25,1789934556.094593
env/return,176,5.5,1789934640.5094585
env/return,177,10.0,1789934718.741924
env/return,178,9.0,1789934797.6391485
env/return,179,9.0,1789934876.6360528
env/return,180,6.25,1789934960.5266623
env/return,181,8.25,1789935042.0165186
env/return,182,11.25,1789935114.0642164
env/return,183,12.25,1789935188.2177103
env/return,184,6.25,1789935272.8049524
env/return,185,12.5,1789935345.959004
env/return,186,12.25,1789935419.550474
env/return,187,12.5,1789935490.6708298
env/return,188,9.25,1789935568.5930429
env/return,189,12.25,1789935639.8088634
env/return,190,12.75,1789935710.2643013
env/return,191,12.0,1789935781.797113
env/return,192,9.25,1789935858.533201
env/return,193,11.75,1789935928.207578
env/return,194,12.5,1789935999.0643227
env/return,195,12.0,1789936072.557573
env/return,196,12.5,1789936142.8229287
env/return,197,13.25,1789936212.5202107
env/return,198,12.0,1789936285.8154235
env/return,199,9.25,1789936362.5013132
env/return,200,9.5,1789936773.6445143
env/return,201,11.0,1789936850.9519243
env/return,202,12.75,1789936923.0718176
env/return,203,12.0,1789936996.7648451
env/return,204,12.25,1789937067.7804759
env/return,205,11.75,1789937139.723798
env/return,206,12.25,1789937212.3280854
env/return,207,9.5,1789937290.079756
env/return,208,13.0,1789937360.395953
env/return,209,12.25,1789937431.4127407
env/return,210,12.5,1789937503.2044816
env/return,211,11.75,1789937578.7352185
env/return,212,11.75,1789937651.0464585
env/return,213,11.0,1789937724.8640397
env/return,214,11.0,1789937799.3121955
env/return,215,6.5,1789937882.1812782
env/return,216,12.75,1789937952.5967278
env/return,217,11.75,1789938025.4064226
env/return,218,13.0,1789938094.2915506
env/return,219,12.25,1789938166.8543985
env/return,220,12.75,1789938237.285131
env/return,221,12.25,1789938310.3545182
env/return,222,12.5,1789938380.5206676
env/return,223,12.5,1789938450.4290285
env/return,224,13.0,1789938520.9434407
env/return,225,12.75,1789938926.6225905
env/return,226,11.25,1789939001.4848535
env/return,227,13.0,1789939072.340754
env/return,228,13.25,1789939141.6220286
env/return,229,12.75,1789939212.7093878
env/return,230,3.25,1789939301.5986109
env/return,231,13.0,1789939371.8607106
env/return,232,13.0,1789939440.362053
env/return,233,12.25,1789939512.3223314
env/return,234,12.75,1789939582.923212
env/return,235,13.25,1789939653.7292163
env/return,236,9.75,1789939729.9081051
env/return,237,13.0,1789939800.869622
env/return,238,12.5,1789939872.7780118
env/return,239,10.0,1789939948.2736259
env/return,240,12.75,1789940019.6630738
env/return,241,12.0,1789940094.4013844
env/return,242,13.25,1789940164.926817
env/return,243,13.0,1789940237.3680406
env/return,244,12.75,1789940308.8381267
env/return,245,12.75,1789940380.5164518
env/return,246,9.5,1789940457.1939507
env/return,247,11.5,1789940530.0997515
env/return,248,13.0,1789940600.5017145
env/return,249,13.0,1789940669.990949
env/return,250,11.75,1789941076.052454
env/return,251,13.25,1789941146.4726617
env/return,252,13.0,1789941218.886991
env/return,253,10.0,1789941293.4607825
env/return,254,12.25,1789941367.2149403
env/return,255,12.75,1789941440.822128
env/return,256,12.5,1789941512.9396317
env/return,257,10.25,1789941589.36031
env/return,258,9.5,1789941666.8625886
env/return,259,12.5,1789941739.8275607
env/return,260,13.25,1789941810.0724814
env/return,261,12.75,1789941883.0254223
env/return,262,13.25,1789941954.0154011
env/return,263,13.0,1789942026.8349288
env/return,264,12.75,1789942097.2417982
env/return,265,9.75,1789942173.658494
env/return,266,9.75,1789942253.2530165
env/return,267,12.75,1789942326.7186632
env/return,268,9.5,1789942403.438924
env/return,269,9.5,1789942479.86366
env/return,270,13.5,1789942551.1879623
env/return,271,13.0,1789942621.8885798
env/return,272,9.75,1789942696.5557652
env/return,273,12.75,1789942766.8892953
env/return,274,9.75,1789942843.941883
env/return,275,12.75,1789943253.9798641
env/return,276,9.75,1789943332.6114523
env/return,277,9.75,1789943407.0494483
env/return,278,13.25,1789943478.7825434
env/return,279,9.75,1789943553.6298966
env/return,280,13.0,1789943624.3650787
env/return,281,12.75,1789943696.6766825
env/return,282,11.75,1789943771.486776
env/return,283,10.0,1789943847.2165034
env/return,284,9.75,1789943922.5429044
