tag,round,raw_step,value,wall_time
env/success_once,1,0,0.0,1789400866.5417862
env/success_once,2,1,0.75,1789400955.8328063
env/success_once,3,2,0.5,1789401047.4391878
env/success_once,4,3,0.0,1789401145.013234
env/success_once,5,4,0.25,1789401240.6694424
env/success_once,6,5,0.25,1789401337.2232325
env/success_once,7,6,0.25,1789401433.6033056
env/success_once,8,7,0.0,1789401530.6404812
env/success_once,9,8,0.5,1789401621.0170455
env/success_once,10,9,0.0,1789401712.0073133
env/success_once,11,10,0.0,1789401813.531915
env/success_once,12,11,0.25,1789401910.646088
env/success_once,13,12,0.0,1789402005.2569366
env/success_once,14,13,0.0,1789402095.7351472
env/success_once,15,14,0.0,1789402197.4401462
env/success_once,16,15,0.0,1789402299.1419086
env/success_once,17,16,0.5,1789402377.4797726
env/success_once,18,17,0.25,1789402465.772934
env/success_once,19,18,0.0,1789402550.366311
env/success_once,20,19,0.25,1789402642.2173712
env/success_once,21,20,0.5,1789402729.762843
env/success_once,22,21,0.0,1789402813.7384648
env/success_once,23,22,0.25,1789402910.509728
env/success_once,24,23,0.25,1789403006.3838391
env/success_once,25,24,0.0,1789403521.4638746
env/success_once,26,25,0.0,1789403617.7269735
env/success_once,27,26,0.5,1789403704.1437566
env/success_once,28,27,0.0,1789403793.304806
env/success_once,29,28,0.0,1789403889.4529119
env/success_once,30,29,0.0,1789403976.6775305
env/success_once,31,30,0.25,1789404063.5809581
env/success_once,32,31,0.0,1789404160.7887356
env/success_once,33,32,0.0,1789404257.5605462
env/success_once,34,33,0.0,1789404356.3245807
env/success_once,35,34,0.0,1789404452.8799713
env/success_once,36,35,0.5,1789404535.0007284
env/success_once,37,36,0.0,1789404632.3745434
env/success_once,38,37,0.0,1789404721.5460446
env/success_once,39,38,0.0,1789404817.5132275
env/success_once,40,39,0.0,1789404902.8624306
env/success_once,41,40,0.0,1789405000.132028
env/success_once,42,41,0.0,1789405088.245059
env/success_once,43,42,0.25,1789405175.550042
env/success_once,44,43,0.0,1789405273.4907207
env/success_once,45,44,0.0,1789405369.9076571
env/success_once,46,45,0.25,1789405455.0448356
env/success_once,47,46,0.25,1789405546.7943988
env/success_once,48,47,0.25,1789405629.8975585
env/success_once,49,48,0.25,1789405721.694613
env/success_once,50,49,0.25,1789406244.5573246
env/success_once,51,50,0.25,1789406335.2436543
env/success_once,52,51,0.0,1789406424.1437817
env/success_once,53,52,0.5,1789406512.968374
env/success_once,54,53,0.25,1789406606.4703722
env/success_once,55,54,0.25,1789406698.6005063
env/success_once,56,55,0.0,1789406795.5249324
env/success_once,57,56,0.0,1789406892.0077739
env/success_once,58,57,0.0,1789406987.1935995
env/success_once,59,58,0.25,1789407077.7866058
env/success_once,60,59,0.25,1789407170.9162261
env/success_once,61,60,0.25,1789407264.2775044
env/success_once,62,61,0.25,1789407348.7822628
env/success_once,63,62,0.0,1789407444.2428005
env/success_once,64,63,0.25,1789407529.8672388
env/success_once,65,64,0.0,1789407629.2325363
env/success_once,66,65,0.0,1789407726.1936915
env/success_once,67,66,0.25,1789407819.3982894
env/success_once,68,67,0.25,1789407901.7713497
env/success_once,69,68,0.0,1789407995.8623497
env/success_once,70,69,0.25,1789408086.6166177
env/success_once,71,70,0.0,1789408181.9346774
env/success_once,72,71,0.0,1789408278.806937
env/success_once,73,72,0.25,1789408372.214702
env/success_once,74,73,0.5,1789408459.7480586
env/success_once,75,74,0.25,1789408985.0888445
env/success_once,76,75,0.0,1789409070.0255828
env/success_once,77,76,0.0,1789409165.561648
env/success_once,78,77,0.5,1789409251.057896
env/success_once,79,78,0.25,1789409343.1687574
env/success_once,80,79,0.0,1789409432.5888693
env/success_once,81,80,0.0,1789409528.567342
env/success_once,82,81,0.25,1789409619.7681127
env/success_once,83,82,0.0,1789409716.4527843
env/success_once,84,83,0.25,1789409809.8414638
env/success_once,85,84,0.25,1789409900.4786782
env/success_once,86,85,0.25,1789409991.1420724
env/success_once,87,86,0.5,1789410080.0248356
env/success_once,88,87,0.75,1789410164.1947546
env/success_once,89,88,0.25,1789410255.2955065
env/success_once,90,89,0.0,1789410351.1703079
env/success_once,91,90,0.0,1789410448.0854888
env/success_once,92,91,0.25,1789410538.7634413
