tag,round,raw_step,value,wall_time
env/success_once,1,0,0.125,1789293961.5179758
env/success_once,2,1,0.25,1789294120.9589462
env/success_once,3,2,0.0,1789294292.094556
env/success_once,4,3,0.25,1789294450.0935426
env/success_once,5,4,0.125,1789294612.2081048
env/success_once,6,5,0.25,1789294775.43786
env/success_once,7,6,0.125,1789294934.6689882
env/success_once,8,7,0.125,1789295095.4843524
env/success_once,9,8,0.25,1789295253.808716
env/success_once,10,9,0.375,1789295407.0638268
env/success_once,11,10,0.0,1789295575.2637527
env/success_once,12,11,0.0,1789295736.76853
env/success_once,13,12,0.5,1789295888.844381
env/success_once,14,13,0.0,1789296048.5768604
env/success_once,15,14,0.125,1789296206.7188914
env/success_once,16,15,0.125,1789296364.9076343
env/success_once,17,16,0.0,1789296540.8740578
env/success_once,18,17,0.125,1789296702.180591
env/success_once,19,18,0.125,1789296861.6418743
env/success_once,20,19,0.0,1789297038.631573
env/success_once,21,20,0.0,1789297201.16882
env/success_once,22,21,0.0,1789297381.7035923
env/success_once,23,22,0.25,1789297546.174672
env/success_once,24,23,0.125,1789297701.4981773
env/success_once,25,24,0.25,1789298247.9268832
env/success_once,26,25,0.375,1789298399.6791542
env/success_once,27,26,0.0,1789298558.760631
env/success_once,28,27,0.0,1789298718.4626749
env/success_once,29,28,0.0,1789298875.3933651
env/success_once,30,29,0.125,1789299030.9707348
env/success_once,31,30,0.125,1789299188.0219367
env/success_once,32,31,0.0,1789299350.1366923
env/success_once,33,32,0.25,1789299503.4291368
env/success_once,34,33,0.125,1789299667.1597767
env/success_once,35,34,0.25,1789299825.806666
env/success_once,36,35,0.0,1789299992.4150414
env/success_once,37,36,0.25,1789300145.051371
env/success_once,38,37,0.375,1789300296.7357311
env/success_once,39,38,0.25,1789300448.4737625
env/success_once,40,39,0.0,1789300607.819634
env/success_once,41,40,0.0,1789300768.2774925
env/success_once,42,41,0.125,1789300923.280089
env/success_once,43,42,0.125,1789301078.2777846
env/success_once,44,43,0.25,1789301232.0285873
env/success_once,45,44,0.25,1789301387.3350515
env/success_once,46,45,0.125,1789301542.9550564
env/success_once,47,46,0.0,1789301700.3918884
env/success_once,48,47,0.0,1789301859.8391235
env/success_once,49,48,0.125,1789302031.3522847
env/success_once,50,49,0.0,1789302570.2741401
env/success_once,51,50,0.0,1789302729.071827
env/success_once,52,51,0.125,1789302885.8762891
env/success_once,53,52,0.125,1789303040.8905826
env/success_once,54,53,0.125,1789303198.6568635
env/success_once,55,54,0.0,1789303355.3411736
env/success_once,56,55,0.0,1789303515.9239714
env/success_once,57,56,0.25,1789303669.38659
env/success_once,58,57,0.0,1789303831.3831518
env/success_once,59,58,0.25,1789303982.5641243
env/success_once,60,59,0.375,1789304133.6667957
env/success_once,61,60,0.125,1789304290.4225774
env/success_once,62,61,0.125,1789304444.0285208
env/success_once,63,62,0.625,1789304585.831014
env/success_once,64,63,0.0,1789304744.4381678
env/success_once,65,64,0.375,1789304893.4391754
env/success_once,66,65,0.0,1789305050.5295885
env/success_once,67,66,0.125,1789305207.9340074
env/success_once,68,67,0.125,1789305366.783733
env/success_once,69,68,0.0,1789305526.5632524
env/success_once,70,69,0.125,1789305681.5046625
env/success_once,71,70,0.25,1789305847.2598877
env/success_once,72,71,0.25,1789306001.558637
