tag,round,raw_step,value,wall_time
env/return,1,0,1.25,1789198540.4852374
env/return,2,1,1.375,1789198703.9632115
env/return,3,2,1.25,1789198871.1677139
env/return,4,3,1.25,1789199035.6025348
env/return,5,4,1.25,1789199197.8077786
env/return,6,5,2.5,1789199365.3941402
env/return,7,6,0.0,1789199545.8223646
env/return,8,7,2.25,1789199719.5245607
env/return,9,8,3.875,1789199885.579038
env/return,10,9,0.0,1789200067.575769
env/return,11,10,2.5,1789200244.6518388
env/return,12,11,0.0,1789200411.1004279
env/return,13,12,5.125,1789200569.7995143
env/return,14,13,1.25,1789200749.0205586
env/return,15,14,1.25,1789200946.133666
env/return,16,15,1.25,1789201119.3743916
env/return,17,16,0.0,1789201298.3263097
env/return,18,17,0.0,1789201483.7051208
env/return,19,18,2.375,1789201663.5091472
env/return,20,19,0.0,1789201838.9123995
env/return,21,20,1.25,1789202012.5957365
env/return,22,21,1.25,1789202185.156459
env/return,23,22,3.875,1789202361.476839
env/return,24,23,2.375,1789202533.9018095
env/return,25,24,2.375,1789203087.8819015
env/return,26,25,1.25,1789203257.3000095
env/return,27,26,3.75,1789203420.6606703
env/return,28,27,0.0,1789203607.9881418
env/return,29,28,1.375,1789203779.241171
env/return,30,29,3.5,1789203963.6164706
env/return,31,30,1.0,1789204125.4727287
env/return,32,31,1.25,1789204295.7568665
env/return,33,32,1.25,1789204464.3834794
env/return,34,33,2.5,1789204623.7560844
env/return,35,34,1.125,1789204794.7062342
env/return,36,35,0.0,1789204968.1650834
env/return,37,36,0.0,1789205131.6281693
env/return,38,37,3.5,1789205294.9786768
env/return,39,38,2.375,1789205451.226542
env/return,40,39,0.75,1789205613.4373047
env/return,41,40,1.125,1789205775.849683
env/return,42,41,0.0,1789205949.0853274
env/return,43,42,1.375,1789206129.824256
env/return,44,43,3.75,1789206297.2451012
env/return,45,44,0.0,1789206473.8351324
env/return,46,45,0.0,1789206650.1942701
env/return,47,46,2.375,1789206818.8763175
env/return,48,47,1.25,1789206986.346362
env/return,49,48,2.375,1789207146.8720393
env/return,50,49,1.25,1789207742.4623375
env/return,51,50,2.25,1789207910.653989
env/return,52,51,0.0,1789208087.8678832
env/return,53,52,1.25,1789208261.2343552
env/return,54,53,0.0,1789208438.8649554
env/return,55,54,2.375,1789208603.4581456
env/return,56,55,1.0,1789208787.8159869
env/return,57,56,1.25,1789208957.648958
env/return,58,57,2.25,1789209143.0066934
env/return,59,58,1.875,1789209312.7775252
env/return,60,59,1.375,1789209503.4940205
env/return,61,60,2.25,1789209677.7621
env/return,62,61,1.375,1789209843.9643247
env/return,63,62,2.5,1789210020.9091263
env/return,64,63,3.375,1789210186.576108
env/return,65,64,2.25,1789210361.0309536
env/return,66,65,0.0,1789210543.7842107
env/return,67,66,1.125,1789210715.095019
env/return,68,67,0.0,1789210889.5374956
env/return,69,68,2.375,1789211055.845726
env/return,70,69,2.375,1789211219.16853
env/return,71,70,1.375,1789211385.2956142
env/return,72,71,1.25,1789211555.5338902
env/return,73,72,2.125,1789211711.4157417
env/return,74,73,1.25,1789211877.473048
env/return,75,74,2.25,1789212459.2122095
env/return,76,75,1.125,1789212631.994545
env/return,77,76,1.25,1789212808.8880746
env/return,78,77,0.0,1789213000.2510972
env/return,79,78,2.25,1789213167.704532
env/return,80,79,1.375,1789213355.6644497
env/return,81,80,2.25,1789213547.0339863
env/return,82,81,2.125,1789213732.3743606
env/return,83,82,2.375,1789213892.201958
env/return,84,83,1.125,1789214064.464822
env/return,85,84,1.125,1789214224.9290836
env/return,86,85,1.125,1789214413.0177302
env/return,87,86,0.0,1789214583.183729
env/return,88,87,0.0,1789214752.7572296
env/return,89,88,1.125,1789214935.7015278
env/return,90,89,0.0,1789215113.8157847
env/return,91,90,2.5,1789215294.447143
env/return,92,91,1.125,1789215472.661693
env/return,93,92,1.125,1789215647.0411272
env/return,94,93,2.5,1789215818.8530648
env/return,95,94,1.25,1789215982.4282646
env/return,96,95,2.25,1789216152.7370708
env/return,97,96,1.25,1789216312.6784735
env/return,98,97,2.375,1789216482.2920384
env/return,99,98,1.125,1789216681.4314876
env/return,100,99,0.0,1789217283.9092188
env/return,101,100,2.625,1789217471.2708952
env/return,102,101,0.0,1789217662.18382
env/return,103,102,1.25,1789217830.8725982
env/return,104,103,0.0,1789218006.017141
env/return,105,104,3.75,1789218166.4239247
env/return,106,105,1.25,1789218331.745146
env/return,107,106,0.0,1789218496.2093809
env/return,108,107,1.25,1789218672.8524692
env/return,109,108,1.125,1789218838.890593
env/return,110,109,0.0,1789219023.81206
env/return,111,110,2.5,1789219210.8423252
env/return,112,111,1.25,1789219401.904158
env/return,113,112,1.125,1789219577.0825043
env/return,114,113,0.0,1789219761.0976903
env/return,115,114,3.125,1789219928.592464
env/return,116,115,0.0,1789220107.9245157
env/return,117,116,0.0,1789220283.0993433
env/return,118,117,3.5,1789220451.868961
env/return,119,118,1.25,1789220635.1627622
env/return,120,119,0.0,1789220810.526016
env/return,121,120,1.25,1789220976.4556966
env/return,122,121,1.375,1789221150.7420046
env/return,123,122,2.5,1789221318.8937705
env/return,124,123,2.375,1789221480.539619
env/return,125,124,3.75,1789222073.7065024
env/return,126,125,3.25,1789222250.5649912
env/return,127,126,3.875,1789222436.5296853
env/return,128,127,0.0,1789222626.5979326
env/return,129,128,3.75,1789222788.6842005
env/return,130,129,1.25,1789222956.2042532
env/return,131,130,1.0,1789223118.0783825
env/return,132,131,1.125,1789223285.7213004
env/return,133,132,0.0,1789223466.4175746
env/return,134,133,3.75,1789223629.0980325
env/return,135,134,2.625,1789223848.1699126
env/return,136,135,0.0,1789224094.3392355
env/return,137,136,1.125,1789224342.0722928
env/return,138,137,1.125,1789224581.168971
env/return,139,138,1.125,1789224793.4456384
env/return,140,139,0.0,1789225021.6051302
env/return,141,140,1.25,1789225262.1986992
env/return,142,141,1.125,1789225491.2687418
env/return,143,142,0.0,1789225709.9528542
env/return,144,143,0.0,1789225936.400557
env/return,145,144,1.25,1789226168.643812
env/return,146,145,2.375,1789226381.0119658
env/return,147,146,1.125,1789226595.3754075
env/return,148,147,1.75,1789226829.7059577
env/return,149,148,2.5,1789227058.0258985
env/return,150,149,3.625,1789227727.8197918
env/return,151,150,1.25,1789227953.055123
env/return,152,151,0.0,1789228192.1278415
env/return,153,152,0.0,1789228419.1603749
