tag,round,raw_step,value,wall_time
env/success_once,1,0,0.0,1789528675.9609926
env/success_once,2,1,0.25,1789528759.07423
env/success_once,3,2,0.75,1789528834.84334
env/success_once,4,3,0.5,1789528914.2314918
env/success_once,5,4,0.0,1789528999.061233
env/success_once,6,5,0.0,1789529086.0062406
env/success_once,7,6,0.0,1789529173.6489594
env/success_once,8,7,0.5,1789529254.76366
env/success_once,9,8,0.0,1789529339.6350734
env/success_once,10,9,0.25,1789529422.4326487
env/success_once,11,10,0.25,1789529509.350052
env/success_once,12,11,0.0,1789529601.5897408
env/success_once,13,12,0.25,1789529685.0528674
env/success_once,14,13,0.0,1789529770.074891
env/success_once,15,14,0.25,1789529857.114177
env/success_once,16,15,0.0,1789529959.4209015
env/success_once,17,16,0.5,1789530043.6438398
env/success_once,18,17,0.25,1789530130.4756727
env/success_once,19,18,0.0,1789530224.8161793
env/success_once,20,19,0.0,1789530310.3414927
env/success_once,21,20,0.0,1789530394.8043625
env/success_once,22,21,0.25,1789530478.0971239
env/success_once,23,22,0.25,1789530561.7421632
env/success_once,24,23,0.0,1789530662.1255643
env/success_once,25,24,0.25,1789531116.3651392
env/success_once,26,25,0.0,1789531204.0506523
env/success_once,27,26,0.25,1789531288.1057034
env/success_once,28,27,0.0,1789531370.207295
env/success_once,29,28,0.0,1789531451.8799386
env/success_once,30,29,0.25,1789531530.8675222
env/success_once,31,30,0.25,1789531609.2461576
env/success_once,32,31,0.0,1789531692.9178221
env/success_once,33,32,0.25,1789531772.0255442
env/success_once,34,33,0.5,1789531846.769841
env/success_once,35,34,0.0,1789531927.9970236
env/success_once,36,35,0.0,1789532009.9065106
env/success_once,37,36,0.0,1789532093.6225588
env/success_once,38,37,0.0,1789532175.4550903
env/success_once,39,38,0.25,1789532254.2091062
env/success_once,40,39,0.25,1789532333.4754088
env/success_once,41,40,0.0,1789532415.832525
env/success_once,42,41,0.0,1789532497.6958745
env/success_once,43,42,0.25,1789532577.5609941
env/success_once,44,43,0.25,1789532656.435636
env/success_once,45,44,0.25,1789532736.1916647
env/success_once,46,45,0.25,1789532830.6627967
env/success_once,47,46,0.0,1789532928.1666567
env/success_once,48,47,0.25,1789533012.9014635
env/success_once,49,48,0.0,1789533102.6146214
env/success_once,50,49,0.0,1789533573.3800933
env/success_once,51,50,0.0,1789533662.3557048
env/success_once,52,51,0.25,1789533741.6751451
env/success_once,53,52,0.0,1789533824.5440342
env/success_once,54,53,0.25,1789533903.1999009
env/success_once,55,54,0.25,1789533983.8850412
env/success_once,56,55,0.0,1789534067.6113029
env/success_once,57,56,0.0,1789534150.34857
env/success_once,58,57,0.0,1789534250.305851
env/success_once,59,58,0.0,1789534349.3010228
env/success_once,60,59,0.0,1789534449.9975514
env/success_once,61,60,0.0,1789534548.2698882
env/success_once,62,61,0.0,1789534629.9632566
env/success_once,63,62,0.25,1789534708.5418708
env/success_once,64,63,0.25,1789534787.7676303
env/success_once,65,64,0.0,1789534870.7693484
env/success_once,66,65,0.0,1789534952.129391
env/success_once,67,66,0.25,1789535034.064321
env/success_once,68,67,0.25,1789535116.8237538
env/success_once,69,68,0.0,1789535208.8521671
env/success_once,70,69,0.0,1789535289.3970134
env/success_once,71,70,0.0,1789535371.381757
env/success_once,72,71,0.25,1789535454.3948543
env/success_once,73,72,0.0,1789535539.7889068
env/success_once,74,73,0.5,1789535615.8724253
env/success_once,75,74,0.25,1789536114.601274
env/success_once,76,75,0.25,1789536195.7706857
env/success_once,77,76,0.25,1789536284.2472363
env/success_once,78,77,0.5,1789536373.2455544
env/success_once,79,78,0.0,1789536456.6899838
env/success_once,80,79,0.0,1789536541.7250144
env/success_once,81,80,0.0,1789536633.233709
env/success_once,82,81,0.5,1789536714.9622607
env/success_once,83,82,0.0,1789536801.4478693
env/success_once,84,83,0.0,1789536894.9719536
