tag,round,value,wall_time
env/success_once,1,0.0,1789708418.3534412
env/success_once,2,0.5,1789708497.7068465
env/success_once,3,0.25,1789708579.232519
env/success_once,4,0.0,1789708662.6519809
env/success_once,5,0.25,1789708744.335792
env/success_once,6,0.0,1789708831.4940858
env/success_once,7,0.0,1789708915.8117235
env/success_once,8,0.0,1789708999.1090846
env/success_once,9,0.5,1789709077.4171052
env/success_once,10,0.25,1789709157.6146412
env/success_once,11,0.25,1789709239.7879384
env/success_once,12,0.0,1789709323.3664
env/success_once,13,0.25,1789709402.2132308
env/success_once,14,0.0,1789709488.5455065
env/success_once,15,0.5,1789709564.8412576
env/success_once,16,0.0,1789709651.3310025
env/success_once,17,0.5,1789709730.5045059
env/success_once,18,0.25,1789709811.5190206
env/success_once,19,0.25,1789709893.0656188
env/success_once,20,0.0,1789709976.8648329
env/success_once,21,0.25,1789710057.9668133
env/success_once,22,0.5,1789710136.859598
env/success_once,23,0.0,1789710220.412225
env/success_once,24,0.0,1789710307.6826952
env/success_once,25,0.0,1789710757.7367887
env/success_once,26,0.5,1789710834.6081374
env/success_once,27,0.25,1789710915.4396684
env/success_once,28,0.0,1789710997.545086
env/success_once,29,0.0,1789711078.755696
env/success_once,30,0.0,1789711161.8655753
env/success_once,31,0.0,1789711244.4127703
env/success_once,32,0.0,1789711327.848165
env/success_once,33,0.0,1789711408.1988547
env/success_once,34,0.25,1789711487.7487257
env/success_once,35,0.0,1789711570.7576153
env/success_once,36,0.0,1789711653.8097546
env/success_once,37,0.0,1789711734.850801
env/success_once,38,0.0,1789711816.2090788
env/success_once,39,0.25,1789711894.790992
env/success_once,40,0.0,1789711976.2543972
env/success_once,41,0.25,1789712054.788527
env/success_once,42,0.0,1789712136.193793
env/success_once,43,0.25,1789712214.6767452
env/success_once,44,0.0,1789712295.188927
env/success_once,45,0.75,1789712366.1380363
env/success_once,46,0.25,1789712446.615679
env/success_once,47,0.0,1789712527.6930263
env/success_once,48,0.25,1789712606.5128973
env/success_once,49,0.25,1789712685.500101
env/success_once,50,0.0,1789713128.924551
env/success_once,51,0.0,1789713210.286168
env/success_once,52,0.0,1789713291.7459269
env/success_once,53,0.0,1789713372.104254
env/success_once,54,0.0,1789713452.4239898
env/success_once,55,0.25,1789713529.032213
env/success_once,56,0.0,1789713610.9245048
env/success_once,57,0.5,1789713686.9478374
env/success_once,58,0.5,1789713761.125751
env/success_once,59,0.5,1789713834.1571603
env/success_once,60,0.0,1789713912.5033891
env/success_once,61,0.0,1789713993.6611228
env/success_once,62,0.0,1789714072.9223824
env/success_once,63,0.0,1789714153.4298663
env/success_once,64,0.5,1789714229.472622
env/success_once,65,0.25,1789714308.9125881
env/success_once,66,0.0,1789714389.422417
env/success_once,67,0.25,1789714465.7891817
env/success_once,68,0.25,1789714542.3194773
env/success_once,69,0.0,1789714622.2546134
env/success_once,70,0.25,1789714698.9321263
env/success_once,71,0.0,1789714780.9034
env/success_once,72,0.0,1789714861.7835383
env/success_once,73,0.25,1789714938.476444
env/success_once,74,0.5,1789715011.0437522
env/success_once,75,0.0,1789715454.1598039
env/success_once,76,0.0,1789715534.615731
env/success_once,77,0.25,1789715612.2195458
env/success_once,78,0.25,1789715691.2304912
env/success_once,79,0.0,1789715774.4158876
env/success_once,80,0.0,1789715856.5734406
env/success_once,81,0.25,1789715935.1092703
env/success_once,82,0.25,1789716014.994413
env/success_once,83,0.5,1789716088.1621723
env/success_once,84,0.0,1789716169.7074313
env/success_once,85,0.0,1789716249.817059
env/success_once,86,0.0,1789716330.4831944
env/success_once,87,0.25,1789716409.339446
env/success_once,88,0.5,1789716482.4508636
env/success_once,89,0.0,1789716563.4633782
env/success_once,90,0.0,1789716644.8816783
env/success_once,91,0.25,1789716724.3434222
env/success_once,92,0.25,1789716800.6554818
env/success_once,93,0.0,1789716880.231358
env/success_once,94,0.0,1789716962.1124322
env/success_once,95,0.0,1789717042.6478868
env/success_once,96,0.0,1789717122.4414248
env/success_once,97,0.0,1789717203.043805
env/success_once,98,0.0,1789717283.480713
env/success_once,99,0.0,1789717363.2862246
env/success_once,100,0.0,1789717810.1170483
env/success_once,101,0.5,1789717884.734402
env/success_once,102,0.0,1789717964.1189995
env/success_once,103,0.0,1789718045.1193051
env/success_once,104,0.0,1789718126.544816
env/success_once,105,0.0,1789718205.2737036
env/success_once,106,0.25,1789718282.79192
env/success_once,107,0.0,1789718363.4453964
env/success_once,108,0.25,1789718441.7657676
env/success_once,109,0.5,1789718517.3376608
env/success_once,110,0.0,1789718596.74384
env/success_once,111,0.5,1789718672.0176728
env/success_once,112,0.0,1789718753.0516086
env/success_once,113,0.75,1789718825.2183142
env/success_once,114,0.0,1789718905.395417
env/success_once,115,0.0,1789718986.4431074
env/success_once,116,0.0,1789719065.9756153
env/success_once,117,0.0,1789719147.974564
env/success_once,118,0.25,1789719224.5881624
env/success_once,119,0.25,1789719303.3946676
env/success_once,120,0.25,1789719382.1590786
env/success_once,121,0.0,1789719462.6373496
env/success_once,122,0.5,1789719536.1308606
env/success_once,123,0.0,1789719617.7147968
env/success_once,124,0.25,1789719693.767862
env/success_once,125,0.5,1789720140.2649274
env/success_once,126,0.25,1789720219.5948374
env/success_once,127,0.0,1789720300.918251
env/success_once,128,0.25,1789720378.1239884
env/success_once,129,0.0,1789720458.489056
env/success_once,130,0.0,1789720538.462889
env/success_once,131,0.0,1789720619.0248706
env/success_once,132,0.0,1789720700.0840352
env/success_once,133,0.0,1789720783.0788145
env/success_once,134,0.25,1789720884.303064
env/success_once,135,0.0,1789720989.5551913
env/success_once,136,0.25,1789721090.7272654
env/success_once,137,0.0,1789721194.4590914
env/success_once,138,0.25,1789721294.3224494
env/success_once,139,0.75,1789721388.942636
env/success_once,140,0.25,1789721492.762604
env/success_once,141,0.0,1789721594.54279
env/success_once,142,0.0,1789721698.2713263
env/success_once,143,0.0,1789721804.4354744
env/success_once,144,0.25,1789721908.027427
env/success_once,145,0.25,1789722007.9668832
env/success_once,146,0.25,1789722110.1889331
env/success_once,147,0.0,1789722213.2582772
env/success_once,148,0.0,1789722316.7979784
env/success_once,149,0.0,1789722420.0225656
env/success_once,150,0.25,1789722891.7491817
env/success_once,151,0.5,1789722989.414679
env/success_once,152,0.0,1789723094.4044344
env/success_once,153,0.0,1789723193.9275734
env/success_once,154,0.0,1789723293.2627282
env/success_once,155,0.0,1789723393.3983867
env/success_once,156,0.0,1789723494.411498
env/success_once,157,0.25,1789723596.056107
env/success_once,158,0.0,1789723700.2843897
env/success_once,159,0.0,1789723803.0920942
env/success_once,160,0.0,1789723904.0177178
env/success_once,161,0.0,1789724009.4557316
env/success_once,162,0.0,1789724111.8967443
env/success_once,163,0.25,1789724214.1389318
env/success_once,164,0.0,1789724319.6594188
env/success_once,165,0.25,1789724420.5746467
env/success_once,166,0.25,1789724522.8144305
env/success_once,167,0.5,1789724620.0086453
env/success_once,168,0.25,1789724718.0739787
env/success_once,169,0.25,1789724805.832908
env/success_once,170,0.25,1789724895.661961
env/success_once,171,0.0,1789724988.3575752
env/success_once,172,0.25,1789725077.3983884
env/success_once,173,0.25,1789725166.9701633
env/success_once,174,0.5,1789725254.4300556
env/success_once,175,0.5,1789725718.2704992
env/success_once,176,0.5,1789725806.6068995
env/success_once,177,0.25,1789725895.6050172
env/success_once,178,1.0,1789725975.332455
env/success_once,179,0.5,1789726062.7325995
env/success_once,180,0.25,1789726153.095294
env/success_once,181,0.5,1789726238.636018
env/success_once,182,0.75,1789726322.9840488
env/success_once,183,0.5,1789726412.2965777
env/success_once,184,0.75,1789726492.9928083
env/success_once,185,1.0,1789726572.897743
env/success_once,186,0.5,1789726660.2707372
env/success_once,187,0.75,1789726746.6156077
env/success_once,188,1.0,1789726825.2608898
env/success_once,189,0.5,1789726912.129272
env/success_once,190,0.75,1789726994.8726242
env/success_once,191,0.25,1789727084.2197292
env/success_once,192,0.75,1789727170.7276788
env/success_once,193,0.75,1789727253.3594003
env/success_once,194,0.5,1789727339.3842506
env/success_once,195,0.75,1789727419.649186
env/success_once,196,0.75,1789727502.7190619
env/success_once,197,0.75,1789727582.94051
env/success_once,198,1.0,1789727662.9280968
env/success_once,199,0.75,1789727743.1472573
env/success_once,200,1.0,1789728188.8973331
env/success_once,201,0.5,1789728274.0644798
env/success_once,202,0.5,1789728358.6049817
env/success_once,203,0.75,1789728442.3526096
env/success_once,204,0.5,1789728528.9737525
env/success_once,205,0.75,1789728612.2610009
env/success_once,206,0.25,1789728703.3061984
env/success_once,207,0.75,1789728786.141357
env/success_once,208,1.0,1789728866.7452831
env/success_once,209,0.25,1789728957.3730307
env/success_once,210,0.75,1789729044.6950061
env/success_once,211,0.5,1789729132.547261
env/success_once,212,0.75,1789729214.342947
env/success_once,213,0.75,1789729300.0613787
env/success_once,214,1.0,1789729380.0419495
env/success_once,215,0.75,1789729463.9511974
env/success_once,216,0.75,1789729548.5830386
env/success_once,217,0.5,1789729634.9945612
env/success_once,218,0.75,1789729718.150265
env/success_once,219,1.0,1789729796.656196
env/success_once,220,1.0,1789729875.141222
env/success_once,221,1.0,1789729953.4261703
env/success_once,222,0.5,1789730041.080958
env/success_once,223,1.0,1789730121.4803064
env/success_once,224,0.75,1789730205.8932085
env/success_once,225,0.75,1789730662.1804643
env/success_once,226,0.75,1789730745.5606556
env/success_once,227,0.5,1789730835.8544366
env/success_once,228,0.75,1789730920.6358557
env/success_once,229,1.0,1789730997.5991595
env/success_once,230,0.5,1789731085.452846
env/success_once,231,0.75,1789731165.802382
env/success_once,232,0.5,1789731251.3290708
env/success_once,233,0.75,1789731332.6813865
env/success_once,234,0.75,1789731413.6102107
env/success_once,235,0.75,1789731495.702947
env/success_once,236,0.75,1789731579.3769636
env/success_once,237,1.0,1789731657.3846774
env/success_once,238,1.0,1789731735.4503736
env/success_once,239,0.75,1789731817.8708656
env/success_once,240,1.0,1789731896.330391
env/success_once,241,1.0,1789731975.8777738
