tag,round,value,wall_time
env/success_once,1,1.0,1789793179.9050655
env/success_once,2,1.0,1789793239.718399
env/success_once,3,1.0,1789793299.5875397
env/success_once,4,1.0,1789793360.4175649
env/success_once,5,1.0,1789793420.5130882
env/success_once,6,1.0,1789793479.6782203
env/success_once,7,1.0,1789793538.8888757
env/success_once,8,1.0,1789793599.6589088
env/success_once,9,1.0,1789793659.5045125
env/success_once,10,0.75,1789793718.7217398
env/success_once,11,1.0,1789793776.5975475
env/success_once,12,1.0,1789793835.0954819
env/success_once,13,0.75,1789793894.2674067
env/success_once,14,0.75,1789793954.1432872
env/success_once,15,0.75,1789794016.3584886
env/success_once,16,1.0,1789794074.245292
env/success_once,17,1.0,1789794134.3780935
env/success_once,18,1.0,1789794191.7554681
env/success_once,19,0.75,1789794251.7388117
env/success_once,20,1.0,1789794310.850537
env/success_once,21,1.0,1789794369.187789
env/success_once,22,0.75,1789794428.7427711
env/success_once,23,1.0,1789794488.1379337
env/success_once,24,0.75,1789794550.3087924
env/success_once,25,1.0,1789794879.393137
env/success_once,26,1.0,1789794936.2254093
env/success_once,27,0.75,1789794994.427138
env/success_once,28,0.75,1789795051.242274
env/success_once,29,0.5,1789795109.342499
env/success_once,30,0.75,1789795166.0806632
env/success_once,31,1.0,1789795222.196949
env/success_once,32,0.75,1789795279.186546
env/success_once,33,1.0,1789795335.5691905
env/success_once,34,1.0,1789795389.967578
env/success_once,35,1.0,1789795445.732129
env/success_once,36,1.0,1789795502.928579
env/success_once,37,1.0,1789795560.3253016
env/success_once,38,1.0,1789795616.463373
env/success_once,39,0.5,1789795674.1523626
env/success_once,40,1.0,1789795729.7951906
env/success_once,41,1.0,1789795785.7837791
env/success_once,42,0.75,1789795842.8119419
env/success_once,43,0.75,1789795900.4763193
env/success_once,44,1.0,1789795957.3273785
env/success_once,45,0.75,1789796013.927837
env/success_once,46,1.0,1789796069.3349133
env/success_once,47,1.0,1789796124.8531497
env/success_once,48,1.0,1789796181.1604712
env/success_once,49,1.0,1789796237.4211931
env/success_once,50,1.0,1789796560.2783396
env/success_once,51,0.75,1789796618.5103326
env/success_once,52,1.0,1789796673.4971435
env/success_once,53,0.75,1789796730.7739854
env/success_once,54,1.0,1789796787.3789074
env/success_once,55,0.5,1789796845.6026852
env/success_once,56,1.0,1789796903.9548848
env/success_once,57,1.0,1789796958.9731114
env/success_once,58,1.0,1789797015.1388426
env/success_once,59,1.0,1789797070.7780766
env/success_once,60,1.0,1789797126.5218453
env/success_once,61,1.0,1789797183.3821225
env/success_once,62,1.0,1789797239.152193
env/success_once,63,1.0,1789797292.5972865
env/success_once,64,1.0,1789797347.9782288
env/success_once,65,1.0,1789797403.797679
env/success_once,66,1.0,1789797458.8356392
env/success_once,67,0.75,1789797514.2940338
env/success_once,68,1.0,1789797569.6843216
env/success_once,69,0.75,1789797627.9698362
env/success_once,70,0.75,1789797684.8100173
env/success_once,71,0.5,1789797743.5190308
env/success_once,72,1.0,1789797798.9476998
env/success_once,73,1.0,1789797855.8893735
env/success_once,74,0.75,1789797913.5914156
env/success_once,75,1.0,1789798242.6719172
env/success_once,76,0.75,1789798300.95996
env/success_once,77,1.0,1789798357.087533
env/success_once,78,0.75,1789798413.3906045
env/success_once,79,1.0,1789798468.9033594
env/success_once,80,1.0,1789798524.464978
env/success_once,81,1.0,1789798581.1704237
env/success_once,82,1.0,1789798638.699512
env/success_once,83,1.0,1789798694.0535786
env/success_once,84,1.0,1789798749.6893914
env/success_once,85,0.75,1789798806.3213935
env/success_once,86,1.0,1789798862.967438
