unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785312212,8.3271e+11,222555320320,311820288,220564402176,0,0,0,0,27548,0
1785312213,8.34802e+11,222785191936,538140672,220564402176,0,0,0,0,428920,0
1785312214,8.34704e+11,222897356800,649900032,220564406272,0,0,0,0,585100,0
1785312215,8.33849e+11,223162515456,911691776,220564406272,0,0,0,0,633792,0
1785312217,8.34139e+11,223302258688,1048768512,220564410368,4,0,1,0,772384,0
1785312218,8.33075e+11,223857909760,1557622784,220564439040,4,0,4,0,1207244,0
1785312219,8.31281e+11,224384897024,2078248960,220564451328,4,0,4,0,1637292,0
1785312221,8.28417e+11,225103724544,2777722880,220565680128,4,0,4,0,1638192,0
1785312222,8.28511e+11,225352036352,3011940352,220565753856,4,0,4,0,1876656,0
1785312223,8.27184e+11,226727321600,4359512064,220565815296,4,0,4,0,4732176,0
1785312225,8.26579e+11,227322462208,4899336192,220565966848,4,0,4,0,5212188,0
1785312226,8.26312e+11,227546861568,5125292032,220566003712,4,0,4,0,5623924,0
1785312227,8.24617e+11,229022625792,6579232768,220566097920,4,0,4,0,8358348,0
1785312228,8.24312e+11,229529911296,7079809024,220566106112,4,0,4,0,8955552,0
1785312229,8.23821e+11,229971415040,7519952896,220566114304,4,0,4,0,9092808,0
1785312230,8.23107e+11,230284619776,7831621632,220566122496,4,0,4,0,9187668,0
1785312232,8.23083e+11,230769295360,8230031360,220566171648,4,0,4,0,9479272,0
1785312233,8.2283e+11,230878822400,8343404544,220566179840,4,0,4,0,9762816,0
1785312234,8.22677e+11,231077416960,8538034176,220566183936,4,0,4,0,10595356,0
1785312235,8.22576e+11,231287660544,8747958272,220566188032,4,0,4,0,10907384,0
1785312236,8.2237e+11,231504703488,8959631360,220566208512,4,0,4,0,11089760,0
1785312237,8.22227e+11,231651418112,9083887616,220566224896,4,0,4,0,11593120,0
1785312239,8.22103e+11,231773954048,9205420032,220566224896,4,0,4,0,11777412,0
1785312240,8.21882e+11,231847510016,9280188416,220566228992,4,0,4,0,11881084,0
1785312241,8.2203e+11,231873077248,9304240128,220566228992,4,0,4,0,11899712,0
1785312242,8.21508e+11,232158208000,9594576896,220566228992,4,0,4,0,12271368,0
1785312243,8.20191e+11,233722757120,11155959808,220566228992,4,0,4,0,13879780,0
1785312244,8.18661e+11,235238420480,12665389056,220566228992,4,0,4,0,15183960,0
1785312246,8.18432e+11,235238842368,12665933824,220566228992,4,0,4,0,15184240,0
1785312247,8.1853e+11,235240194048,12667277312,220566228992,4,0,4,0,15185072,0
1785312248,8.18672e+11,235242938368,12667420672,220566228992,4,0,4,0,15185156,0
1785312249,8.18515e+11,235404435456,12833918976,220566228992,4,0,4,0,15396936,0
1785312250,8.16834e+11,237074186240,14499254272,220566228992,4,0,4,0,17174164,0
1785312251,8.14926e+11,238969356288,16391282688,220566228992,4,0,4,0,18923408,0
1785312253,8.13769e+11,239842357248,17260408832,220566228992,4,0,4,0,19757680,0
1785312254,8.1254e+11,241364082688,18780041216,220566228992,4,0,4,0,21294408,0
1785312255,8.10905e+11,242997284864,20412121088,220566228992,4,0,4,0,22865068,0
1785312256,8.09171e+11,244612984832,22021705728,220566228992,4,0,4,0,24457240,0
1785312257,8.07557e+11,246211399680,23618007040,220566228992,4,0,4,0,25991508,0
1785312258,8.06044e+11,247841718272,25245765632,220566228992,4,0,4,0,27581144,0
1785312260,8.04424e+11,249439703040,26843832320,220566228992,4,0,4,0,29087324,0
1785312261,8.06479e+11,250909884416,28307181568,220566233088,4,0,4,0,30631844,0
1785312262,8.03706e+11,252540219392,29938339840,220566233088,4,0,4,0,32225320,0
1785312263,8.01935e+11,254298976256,31691722752,220566233088,4,0,4,0,33908416,0
1785312264,8.02049e+11,255377129472,32763342848,220566233088,4,0,4,0,34808540,0
1785312266,8.0204e+11,255379447808,32763469824,220566233088,4,0,4,0,34808528,0
1785312267,8.02045e+11,255380692992,32765222912,220566233088,4,0,4,0,34809616,0
1785312268,8.02044e+11,255380021248,32765300736,220566233088,4,0,4,0,34809684,0
1785312269,8.02049e+11,255380717568,32765587456,220566233088,4,0,4,0,34809900,0
1785312270,8.0085e+11,255378751488,32765927424,220566233088,4,0,4,0,34809872,0
1785312272,8.00847e+11,255380299776,32766119936,220566237184,4,0,4,0,34809572,0
1785312273,8.0202e+11,255381798912,32765829120,220566237184,4,0,4,0,34809624,0
1785312274,8.02018e+11,255380672512,32766148608,220566237184,4,0,4,0,34809776,0
1785312275,8.01997e+11,255379943424,32766488576,220566237184,4,0,4,0,34809992,0
1785312276,8.02e+11,255380111360,32766062592,220566237184,4,0,4,0,34810252,0
1785312277,8.01297e+11,256081571840,33469259776,220566237184,4,0,4,0,35670060,0
1785312279,7.98537e+11,257676652544,35060801536,220566237184,4,0,4,0,37137900,0
1785312280,7.97255e+11,257697988608,36331569152,219339685888,4,0,4,0,38419312,0
1785312281,7.97765e+11,257697849344,36981837824,218689572864,4,0,4,0,38925720,0
1785312282,7.97767e+11,257683767296,36982214656,218675154944,4,0,4,0,38925720,0
1785312283,8.01209e+11,254251261952,33562951680,218673373184,4,0,4,0,35781104,0
1785312285,7.99478e+11,255966494720,35273838592,218673643520,4,0,4,0,37340736,0
1785312286,7.97984e+11,257479409664,36780011520,218673647616,4,0,4,0,38812464,0
1785312287,7.96239e+11,257697984512,37371097088,218301198336,4,0,4,0,39305048,0
1785312288,7.96208e+11,257685090304,37373759488,218284683264,4,0,4,0,39306160,0
1785312289,7.96841e+11,257698037760,37916250112,217753579520,4,0,4,0,40032188,0
1785312291,7.95634e+11,257697996800,39098642432,216570261504,4,0,4,0,41054752,0
1785312292,7.9666e+11,256255094784,38030667776,216188317696,4,0,4,0,39816564,0
1785312293,7.97662e+11,255266828288,36955873280,216188317696,4,0,4,0,36794944,0
1785312294,8.00166e+11,252760674304,34558697472,216188317696,4,0,4,0,34384296,0
1785312296,8.03614e+11,248196583424,29986361344,216188317696,4,0,4,0,31946096,0
1785312297,8.0594e+11,245863337984,27674398720,216188317696,4,0,4,0,29462204,0
1785312298,8.09476e+11,243464527872,25278427136,216188317696,4,0,4,0,27433400,0
1785312299,8.09626e+11,243315179520,25129439232,216188317696,4,0,4,0,27505904,0
1785312300,8.08971e+11,243956359168,25767419904,216188317696,4,0,4,0,28148924,0
1785312302,8.07268e+11,245635039232,27442814976,216188317696,4,0,4,0,29778156,0
1785312303,8.06542e+11,246371057664,28180652032,216188317696,4,0,4,0,29888464,0
1785312304,8.05546e+11,246271696896,28072583168,216188317696,4,0,4,0,33628536,0
1785312305,8.0706e+11,244755951616,26544406528,216188317696,4,0,4,0,37202624,0
1785312306,8.09862e+11,242958073856,24743874560,216196706304,4,0,3557,27,31801492,1
1785312307,8.14706e+11,238114381824,19920666624,216196706304,425,0,8603,0,22436360,2
1785312309,8.19376e+11,233432821760,15236444160,216205094912,7167,29,8603,0,17635836,2
1785312310,8.20226e+11,232574156800,14283837440,216309448704,20239,13,20239,11,17412508,2
1785312311,8.15748e+11,237059035136,18763485184,216309448704,20239,9,20239,9,21904988,2
1785312312,8.11152e+11,241665310720,23367168000,216309448704,20239,14,20239,9,26550380,2
1785312313,8.06483e+11,246332620800,28018565120,216309448704,20239,9,20239,9,30966908,2
1785312315,8.02309e+11,250500268032,32176230400,216309448704,20239,9,20239,9,35050580,2
1785312316,7.97745e+11,255006932992,36666089472,216309448704,20239,8,20239,5,38938444,2
1785312317,7.95791e+11,256596021248,38260977664,216309448704,20485,0,20485,0,40959056,2
1785312318,7.95593e+11,255172689920,36820967424,216309448704,20485,0,20485,0,39081040,2
1785312320,7.94582e+11,255598526464,37266407424,216309448704,20485,0,20485,0,39600912,2
1785312321,7.94001e+11,255607189504,37265211392,216309448704,20485,0,20485,0,39064364,2
1785312322,7.96469e+11,255182241792,36847734784,216309448704,20485,0,20485,0,39180868,2
1785312323,7.95918e+11,255353176064,37020958720,216309448704,20485,0,20485,0,39397236,2
1785312324,7.95659e+11,255706320896,37367275520,216309448704,20485,0,20485,0,39651200,2
1785312326,7.96365e+11,255350857728,37006725120,216309448704,20485,0,20485,0,39060068,2
1785312327,7.96425e+11,255244099584,36905316352,216309448704,20485,100,20485,0,39276540,2
1785312328,7.96537e+11,255084310528,36740358144,216309448704,20485,23,20485,19,39014736,2
1785312329,7.97619e+11,255081439232,36740472832,216309448704,20485,29,20485,17,37986200,2
1785312330,8.16508e+11,237563449344,19192406016,216309452800,20485,100,20485,0,19088936,2
1785312332,8.35124e+11,220251545600,2273595392,216188309504,4,77,4,1,1462788,0
1785312333,8.34955e+11,219599347712,1693536256,216188305408,4,0,4,0,1463032,0
1785312334,8.3593e+11,219342430208,1445437440,216188305408,4,0,4,0,1465896,0
1785312335,8.36781e+11,218147479552,307396608,216188284928,0,0,0,0,0,0
