unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1785342165,1.05437e+12,228396032000,621797376,226028699648,78418,1312351,0,0,344064,886846885888,4,0,4,0,1368,1348,1328,3172,1380,26100,0
1785342167,1.05444e+12,228415741952,642392064,226028703744,78418,1312351,0,0,344064,886846885888,0,0,0,0,1420,1344,1432,3172,1348,561976,0
1785342169,1.05402e+12,228849266688,1069342720,226028711936,78418,1312351,0,0,344064,886846881792,0,0,0,0,1388,1372,1380,3172,1420,1032424,0
1785342171,1.05361e+12,229221781504,1391169536,226028732416,78418,1312351,0,0,364544,886846881792,4,0,4,0,1340,1424,1392,3172,1372,1401788,0
1785342174,1.0534e+12,229444923392,1615417344,226028736512,78418,1312351,0,0,364544,886846881792,4,0,4,0,1388,1380,1416,3172,210504,1681528,0
1785342176,1.0526e+12,230270939136,2432229376,226028756992,78418,1312351,0,0,364544,886846881792,4,0,4,0,1380,1328,1448,3172,943504,2319964,0
1785342178,1.05179e+12,231140691968,3271495680,226030051328,78418,1312351,0,0,376832,886846881792,4,0,4,0,1344,1388,1340,3172,1062916,2572060,0
1785342180,1.04989e+12,233112338432,5162283008,226030444544,78418,1312351,0,0,376832,886846881792,4,0,4,0,1332,1376,1424,3172,1083372,5895304,0
1785342183,1.04713e+12,235932241920,7934062592,226030788608,78418,1312351,0,0,376832,886846849024,4,0,4,0,1392,1392,1392,3172,1103012,11647520,0
1785342185,1.04456e+12,238502895616,10487562240,226030833664,78418,1312351,0,0,376832,886846849024,4,0,4,0,1452,1392,1380,3172,1107216,13857244,0
1785342187,1.04215e+12,240760401920,12663660544,226047672320,78418,1312351,0,0,397312,886846849024,447,0,447,0,1392,1328,1936404,3172,1111468,16062364,2
1785342189,1.04074e+12,242235482112,13905383424,226081972224,78418,1312351,0,0,499712,886846844928,447,0,447,0,2874664,1340,3211000,3172,1115748,17848728,2
1785342193,1.04021e+12,243076730880,14443020288,226378137600,78418,1312351,0,0,499712,886846840832,513,1,447,0,3459144,1428,3431248,3172,1119580,18814772,2
1785342195,1.03659e+12,246503874560,17824382976,226415755264,78418,1312351,0,0,499712,886846840832,942,0,917,0,4327424,1388,6389924,3172,1121292,22505516,6
1785342198,1.03611e+12,246986719232,18295521280,226419949568,78418,1312351,0,0,499712,886846840832,1020,0,995,0,4367436,1392,6638500,3172,1122220,22772444,6
1785342200,1.03627e+12,246872612864,18190483456,226419933184,78418,1312351,0,0,499712,886846840832,947,0,947,0,3897640,1416,6812916,3172,1122932,22509032,4
1785342202,1.03297e+12,250182840320,21491187712,226419933184,78418,1312351,0,0,499712,886846840832,947,0,947,0,3897696,1420,10152192,3172,1123184,25875784,4
1785342204,1.03041e+12,252741787648,24047050752,226419933184,78418,1312351,0,0,499712,886846840832,947,0,947,0,3897868,1368,12597248,3172,1123908,28316424,4
1785342207,1.02724e+12,255922331648,27216408576,226419933184,78418,1312351,0,0,499712,886846840832,947,0,947,0,3897912,1344,15717104,3172,1124956,31432660,4
1785342209,1.02416e+12,257697959936,30259601408,225160593408,78418,1317181,0,0,499712,886846840832,947,0,947,0,3897948,1424,18676520,3172,1124764,34384552,4
1785342211,1.02131e+12,257697918976,33064718336,222349885440,78418,1327896,0,0,499712,886846840832,947,0,947,0,3897948,1348,21413728,3172,1124964,37127444,4
1785342213,1.01849e+12,257697783808,35855470592,219554381824,78418,1338556,0,0,499712,886846840832,947,0,947,0,3897964,1340,24162332,3172,1124852,39881036,4
1785342216,1.01613e+12,257697722368,38200442880,217206886400,78418,1347490,0,0,499712,886846840832,947,0,947,0,3897864,1420,26257688,3172,1125708,41931220,4
1785342218,1.01612e+12,257684848640,38200352768,217188798464,78418,1347559,0,0,499712,886846840832,947,0,947,0,3897892,1388,26257744,3172,1125916,41931512,4
1785342220,1.01613e+12,257684058112,38201360384,217185390592,78418,1347572,0,0,499712,886846840832,947,0,947,0,3897864,1328,26257748,3172,1126212,41931996,4
1785342222,1.01613e+12,257684213760,38203392000,217183297536,78418,1347580,0,0,499712,886846836736,947,0,947,0,3897872,1392,26257796,3172,1127460,41933308,4
1785342225,1.01613e+12,257681371136,38203469824,217181462528,78418,1347587,0,0,499712,886846836736,947,0,947,0,3897880,1340,26257796,3172,1127164,41933076,4
1785342227,1.01602e+12,257697939456,38322159616,217078046720,78418,1347993,0,0,499712,886846836736,947,0,947,0,3897876,1448,26442168,3172,1127552,42137772,4
1785342229,1.01431e+12,257697783808,40023277568,215378173952,78418,1354485,0,0,499712,886846836736,947,0,947,0,3897872,1372,28218016,3172,1127444,43930940,4
1785342231,1.01229e+12,257698033664,42007453696,213390598144,78418,1362062,0,0,499712,886846836736,947,0,947,0,3897928,1452,30040660,3172,1127556,45735616,4
1785342234,1.01312e+12,256449708032,41170780160,212980604928,78418,1363612,0,0,499712,886846836736,947,0,947,0,3897884,1352,29278484,3172,1127632,44980000,4
1785342236,1.01275e+12,256844599296,41559277568,212980629504,78418,1363612,0,0,499712,886846836736,947,0,947,0,3897924,1380,29533108,3172,1127516,45208908,4
1785342238,1.01151e+12,257697792000,42808213504,212584792064,78418,1365123,0,0,499712,886846836736,947,0,947,0,3897908,1328,30750652,3172,1128616,46427320,4
