tag,round,value,wall_time
env/episode_len,1,192.0,1789877082.9535866
env/episode_len,2,192.0,1789877155.8611665
env/episode_len,3,192.0,1789877230.9217217
env/episode_len,4,192.0,1789877294.0296743
env/episode_len,5,192.0,1789877361.316559
env/episode_len,6,192.0,1789877424.4190965
env/episode_len,7,192.0,1789877487.404338
env/episode_len,8,192.0,1789877553.1358483
env/episode_len,9,192.0,1789877616.9446375
env/episode_len,10,192.0,1789877680.3007941
env/episode_len,11,192.0,1789877749.2648978
env/episode_len,12,192.0,1789877812.0841796
env/episode_len,13,192.0,1789877877.7993453
env/episode_len,14,192.0,1789877943.1451483
env/episode_len,15,192.0,1789878008.7801821
env/episode_len,16,192.0,1789878075.501474
env/episode_len,17,192.0,1789878136.550743
env/episode_len,18,192.0,1789878199.1271253
env/episode_len,19,192.0,1789878262.3959944
env/episode_len,20,192.0,1789878320.542218
env/episode_len,21,192.0,1789878385.7551239
env/episode_len,22,192.0,1789878450.4971304
env/episode_len,23,192.0,1789878511.9685812
env/episode_len,24,192.0,1789878573.9600368
env/episode_len,25,192.0,1789878894.6411016
env/episode_len,26,192.0,1789878953.7533994
env/episode_len,27,192.0,1789879007.1960688
env/episode_len,28,192.0,1789879059.3949041
env/episode_len,29,192.0,1789879114.096462
env/episode_len,30,192.0,1789879168.8672469
env/episode_len,31,192.0,1789879221.353271
env/episode_len,32,192.0,1789879273.4639914
env/episode_len,33,192.0,1789879329.249226
env/episode_len,34,192.0,1789879381.7968538
env/episode_len,35,192.0,1789879437.9340165
env/episode_len,36,192.0,1789879491.5265641
env/episode_len,37,192.0,1789879541.99096
env/episode_len,38,192.0,1789879596.6973124
env/episode_len,39,192.0,1789879649.2650774
env/episode_len,40,192.0,1789879704.5729873
env/episode_len,41,192.0,1789879759.309007
env/episode_len,42,192.0,1789879811.5667088
env/episode_len,43,192.0,1789879863.9736738
env/episode_len,44,192.0,1789879916.9621837
env/episode_len,45,192.0,1789879976.8234773
env/episode_len,46,192.0,1789880031.1217802
env/episode_len,47,192.0,1789880085.3629477
env/episode_len,48,192.0,1789880138.7210765
env/episode_len,49,192.0,1789880191.6891637
env/episode_len,50,192.0,1789880495.3432884
env/episode_len,51,192.0,1789880551.2126868
env/episode_len,52,192.0,1789880604.5049932
env/episode_len,53,192.0,1789880657.6247473
env/episode_len,54,192.0,1789880710.7793305
env/episode_len,55,192.0,1789880762.3760822
env/episode_len,56,192.0,1789880811.385247
env/episode_len,57,192.0,1789880866.2719223
env/episode_len,58,192.0,1789880920.523317
env/episode_len,59,192.0,1789880974.7219648
env/episode_len,60,192.0,1789881030.0521924
env/episode_len,61,192.0,1789881086.3044062
env/episode_len,62,192.0,1789881136.7464113
env/episode_len,63,192.0,1789881195.0031374
env/episode_len,64,192.0,1789881249.3633556
env/episode_len,65,192.0,1789881303.602765
env/episode_len,66,192.0,1789881356.947327
env/episode_len,67,192.0,1789881412.4652398
env/episode_len,68,192.0,1789881466.9194298
env/episode_len,69,192.0,1789881521.780913
env/episode_len,70,192.0,1789881574.2302465
