tag,round,raw_step,value,wall_time,segment
env/episode_len,1,0,200.0,1790052422.5732849,0
env/episode_len,2,1,200.0,1790053298.6961706,0
env/episode_len,3,2,200.0,1790054171.488766,0
env/episode_len,4,3,200.0,1790055010.5552194,0
env/episode_len,5,4,200.0,1790056236.8001368,0
env/episode_len,6,5,200.0,1790057091.6599703,0
env/episode_len,7,6,200.0,1790057933.077943,0
env/episode_len,8,7,200.0,1790058799.6318197,0
env/episode_len,9,8,200.0,1790059642.785853,0
env/episode_len,10,9,200.0,1790060960.485094,0
env/episode_len,11,10,200.0,1790061804.9159536,0
env/episode_len,12,11,200.0,1790062673.1850681,0
env/num_trajectories,1,0,128.0,1790052422.5733438,0
env/num_trajectories,2,1,128.0,1790053298.6962075,0
env/num_trajectories,3,2,128.0,1790054171.4888153,0
env/num_trajectories,4,3,128.0,1790055010.5552633,0
env/num_trajectories,5,4,128.0,1790056236.8001645,0
env/num_trajectories,6,5,128.0,1790057091.6600115,0
env/num_trajectories,7,6,128.0,1790057933.0779855,0
env/num_trajectories,8,7,128.0,1790058799.6318638,0
env/num_trajectories,9,8,128.0,1790059642.785892,0
env/num_trajectories,10,9,128.0,1790060960.4851289,0
env/num_trajectories,11,10,128.0,1790061804.915984,0
env/num_trajectories,12,11,128.0,1790062673.1851046,0
env/return,1,0,0.3203125,1790052422.5732152,0
env/return,2,1,0.359375,1790053298.6961277,0
env/return,3,2,0.3828125,1790054171.4887028,0
env/return,4,3,0.3359375,1790055010.5551589,0
env/return,5,4,0.5546875,1790056236.800116,0
env/return,6,5,0.328125,1790057091.6599379,0
env/return,7,6,0.4453125,1790057933.0778885,0
env/return,8,7,0.359375,1790058799.6317775,0
env/return,9,8,0.4609375,1790059642.785803,0
env/return,10,9,0.484375,1790060960.4850616,0
env/return,11,10,0.390625,1790061804.9159083,0
env/return,12,11,0.5,1790062673.1850207,0
env/reward,1,0,0.0016015624860301614,1790052422.5733042,0
env/reward,2,1,0.0017968750325962901,1790053298.696186,0
env/reward,3,2,0.001914062537252903,1790054171.488786,0
env/reward,4,3,0.0016796875279396772,1790055010.5552351,0
env/reward,5,4,0.0027734374161809683,1790056236.8001513,0
env/reward,6,5,0.0016406248323619366,1790057091.6599846,0
env/reward,7,6,0.0022265624720603228,1790057933.077958,0
env/reward,8,7,0.0017968747997656465,1790058799.6318352,0
env/reward,9,8,0.002304687397554517,1790059642.7858684,0
env/reward,10,9,0.0024218750186264515,1790060960.4851096,0
env/reward,11,10,0.0019531248835846782,1790061804.9159694,0
env/reward,12,11,0.0024999999441206455,1790062673.1850836,0
env/success_once,1,0,0.3203125,1790052422.5732963,0
env/success_once,2,1,0.359375,1790053298.6961796,0
env/success_once,3,2,0.3828125,1790054171.488777,0
env/success_once,4,3,0.3359375,1790055010.5552287,0
env/success_once,5,4,0.5546875,1790056236.8001451,0
env/success_once,6,5,0.328125,1790057091.6599782,0
env/success_once,7,6,0.4453125,1790057933.0779514,0
env/success_once,8,7,0.359375,1790058799.6318285,0
env/success_once,9,8,0.4609375,1790059642.7858622,0
env/success_once,10,9,0.484375,1790060960.4851027,0
env/success_once,11,10,0.390625,1790061804.915963,0
env/success_once,12,11,0.5,1790062673.1850772,0
eval/episode_len,5,4,200.0,1790056236.788615,0
eval/episode_len,10,9,200.0,1790060894.4592264,0
eval/num_trajectories,5,4,32.0,1790056236.788655,0
eval/num_trajectories,10,9,32.0,1790060894.4592898,0
eval/return,5,4,0.28125,1790056236.788535,0
eval/return,10,9,0.34375,1790060894.459139,0
eval/reward,5,4,0.0014062500558793545,1790056236.7885916,0
eval/reward,10,9,0.0017187499906867743,1790060894.4592052,0
eval/success_at_end,5,4,0.28125,1790056236.7886086,0
eval/success_at_end,10,9,0.34375,1790060894.459221,0
eval/success_once,5,4,0.28125,1790056236.788601,0
eval/success_once,10,9,0.34375,1790060894.4592147,0
rollout/advantages_max,1,0,2.4748666286468506,1790052422.5733924,0
rollout/advantages_max,2,1,2.4748666286468506,1790053298.6962311,0
