tag,round,raw_step,value,wall_time,segment
env/episode_len,1,0,200.0,1790065550.6933904,0
env/episode_len,2,1,200.0,1790066755.5769815,0
env/episode_len,3,2,200.0,1790067571.2342086,0
env/episode_len,4,3,200.0,1790068778.9960637,0
env/episode_len,5,4,200.0,1790069658.890578,0
env/episode_len,6,5,200.0,1790070925.9963334,0
env/episode_len,7,6,200.0,1790071778.300734,0
env/episode_len,8,7,200.0,1790073031.291695,0
env/episode_len,9,8,200.0,1790073904.8044033,0
env/episode_len,10,9,200.0,1790075195.6135945,0
env/episode_len,11,10,200.0,1790076100.1612442,0
env/episode_len,12,11,200.0,1790077307.0303924,0
env/episode_len,13,12,200.0,1790078208.586531,0
env/episode_len,14,13,200.0,1790079429.7558455,0
env/episode_len,15,14,200.0,1790080309.853577,0
env/episode_len,16,15,200.0,1790081532.8214827,0
env/episode_len,17,16,200.0,1790082395.576959,0
env/episode_len,18,17,200.0,1790083683.232507,0
env/episode_len,19,18,200.0,1790084554.8219533,0
env/episode_len,20,19,200.0,1790085813.4870155,0
env/episode_len,21,20,200.0,1790086649.9263575,0
env/episode_len,22,21,200.0,1790087882.0365784,0
env/episode_len,23,22,200.0,1790088789.6888108,0
env/episode_len,24,23,200.0,1790090041.2990565,0
env/episode_len,25,24,200.0,1790090873.4297192,0
env/episode_len,26,25,200.0,1790092129.923717,0
env/episode_len,27,26,200.0,1790092976.0745652,0
env/episode_len,28,27,200.0,1790094219.7933109,0
env/episode_len,29,28,200.0,1790095091.0230794,0
env/episode_len,30,29,200.0,1790096415.7177935,0
env/episode_len,31,30,200.0,1790097264.234544,0
env/episode_len,32,31,200.0,1790098516.9893215,0
env/episode_len,33,32,200.0,1790099371.675819,0
env/episode_len,34,33,200.0,1790100639.375023,0
env/episode_len,35,34,200.0,1790101465.783176,0
env/episode_len,36,35,200.0,1790102691.2398963,0
env/episode_len,37,36,200.0,1790103548.0412862,0
env/episode_len,38,37,200.0,1790104797.7027178,0
env/episode_len,39,38,200.0,1790105662.9975104,0
env/episode_len,40,39,200.0,1790106941.7829342,0
env/episode_len,41,40,200.0,1790107825.4827302,0
env/episode_len,42,41,200.0,1790109073.2641106,0
env/episode_len,43,42,200.0,1790109931.864432,0
env/episode_len,44,43,200.0,1790111152.9699702,0
env/episode_len,45,44,200.0,1790111988.292049,0
env/episode_len,46,45,200.0,1790113244.2512848,0
env/episode_len,47,46,200.0,1790114114.143794,0
env/episode_len,48,47,200.0,1790115330.4830437,0
env/episode_len,49,48,200.0,1790116211.7367191,0
env/episode_len,50,49,200.0,1790117506.3840394,0
env/episode_len,51,50,200.0,1790118410.8852968,0
env/episode_len,52,51,200.0,1790119657.9834816,0
env/episode_len,53,52,200.0,1790120549.048822,0
env/episode_len,54,53,200.0,1790121835.924254,0
env/episode_len,55,54,200.0,1790122733.3782651,0
env/episode_len,56,55,200.0,1790124010.9051437,0
env/episode_len,57,56,200.0,1790124896.9587758,0
env/episode_len,58,57,200.0,1790126161.021374,0
env/episode_len,59,58,200.0,1790127032.4373176,0
env/episode_len,60,59,200.0,1790128388.4471984,0
env/episode_len,61,60,200.0,1790129282.1465964,0
env/episode_len,62,61,200.0,1790130588.6675596,0
env/episode_len,63,62,200.0,1790131509.1892838,0
env/episode_len,64,63,200.0,1790132790.6360252,0
env/episode_len,65,64,200.0,1790133638.2687526,0
env/episode_len,66,65,200.0,1790134899.3647566,0
env/episode_len,67,66,200.0,1790135802.6272628,0
env/episode_len,68,67,200.0,1790137076.7086372,0
env/episode_len,69,68,200.0,1790137969.589796,0
env/num_trajectories,1,0,128.0,1790065550.6935077,0
env/num_trajectories,2,1,128.0,1790066755.5770404,0
env/num_trajectories,3,2,128.0,1790067571.2342834,0
env/num_trajectories,4,3,128.0,1790068778.9961138,0
env/num_trajectories,5,4,128.0,1790069658.8906648,0
env/num_trajectories,6,5,128.0,1790070925.9963896,0
env/num_trajectories,7,6,128.0,1790071778.3008318,0
env/num_trajectories,8,7,128.0,1790073031.2917485,0
env/num_trajectories,9,8,128.0,1790073904.8045008,0
env/num_trajectories,10,9,128.0,1790075195.6136549,0
env/num_trajectories,11,10,128.0,1790076100.1613421,0
env/num_trajectories,12,11,128.0,1790077307.0304441,0
env/num_trajectories,13,12,128.0,1790078208.5866296,0
env/num_trajectories,14,13,128.0,1790079429.755895,0
env/num_trajectories,15,14,128.0,1790080309.853671,0
env/num_trajectories,16,15,128.0,1790081532.8215473,0
env/num_trajectories,17,16,128.0,1790082395.577075,0
env/num_trajectories,18,17,128.0,1790083683.2325563,0
env/num_trajectories,19,18,128.0,1790084554.8220499,0
env/num_trajectories,20,19,128.0,1790085813.4870813,0
env/num_trajectories,21,20,128.0,1790086649.926457,0
env/num_trajectories,22,21,128.0,1790087882.036631,0
env/num_trajectories,23,22,128.0,1790088789.6889157,0
env/num_trajectories,24,23,128.0,1790090041.2991397,0
env/num_trajectories,25,24,128.0,1790090873.4298177,0
env/num_trajectories,26,25,128.0,1790092129.92377,0
env/num_trajectories,27,26,128.0,1790092976.07466,0
env/num_trajectories,28,27,128.0,1790094219.793366,0
env/num_trajectories,29,28,128.0,1790095091.0231628,0
env/num_trajectories,30,29,128.0,1790096415.7178586,0
env/num_trajectories,31,30,128.0,1790097264.2346518,0
env/num_trajectories,32,31,128.0,1790098516.9893703,0
env/num_trajectories,33,32,128.0,1790099371.675911,0
env/num_trajectories,34,33,128.0,1790100639.3750815,0
env/num_trajectories,35,34,128.0,1790101465.783276,0
env/num_trajectories,36,35,128.0,1790102691.2399664,0
env/num_trajectories,37,36,128.0,1790103548.041385,0
env/num_trajectories,38,37,128.0,1790104797.70277,0
env/num_trajectories,39,38,128.0,1790105662.9975812,0
env/num_trajectories,40,39,128.0,1790106941.7829962,0
env/num_trajectories,41,40,128.0,1790107825.4828143,0
env/num_trajectories,42,41,128.0,1790109073.2641754,0
env/num_trajectories,43,42,128.0,1790109931.864528,0
env/num_trajectories,44,43,128.0,1790111152.9700208,0
env/num_trajectories,45,44,128.0,1790111988.2921197,0
env/num_trajectories,46,45,128.0,1790113244.2513425,0
env/num_trajectories,47,46,128.0,1790114114.1438801,0
env/num_trajectories,48,47,128.0,1790115330.4830985,0
env/num_trajectories,49,48,128.0,1790116211.736801,0
env/num_trajectories,50,49,128.0,1790117506.3840997,0
env/num_trajectories,51,50,128.0,1790118410.8853934,0
env/num_trajectories,52,51,128.0,1790119657.9835334,0
env/num_trajectories,53,52,128.0,1790120549.048913,0
env/num_trajectories,54,53,128.0,1790121835.924313,0
env/num_trajectories,55,54,128.0,1790122733.3783529,0
env/num_trajectories,56,55,128.0,1790124010.9052012,0
env/num_trajectories,57,56,128.0,1790124896.9588609,0
env/num_trajectories,58,57,128.0,1790126161.021429,0
env/num_trajectories,59,58,128.0,1790127032.4373817,0
env/num_trajectories,60,59,128.0,1790128388.447284,0
env/num_trajectories,61,60,128.0,1790129282.1466947,0
