tag,round,raw_step,value,wall_time,segment
env/episode_len,1,0,200.0,1790140276.345618,0
env/episode_len,2,1,200.0,1790142374.676572,0
env/episode_len,3,2,200.0,1790144149.5583296,0
env/episode_len,4,3,200.0,1790146310.2203767,0
env/episode_len,5,4,200.0,1790148089.795954,0
env/episode_len,6,5,200.0,1790150243.3854957,0
env/episode_len,7,6,200.0,1790152062.967602,0
env/episode_len,8,7,200.0,1790154226.811224,0
env/episode_len,9,8,200.0,1790156066.4299328,0
env/episode_len,10,9,200.0,1790158268.1738932,0
env/episode_len,11,10,200.0,1790160011.7448766,0
env/episode_len,12,11,200.0,1790162236.7999294,0
env/episode_len,13,12,200.0,1790164031.1979852,0
env/episode_len,14,13,200.0,1790166160.407027,0
env/episode_len,15,14,200.0,1790167947.5751946,0
env/episode_len,16,15,200.0,1790170098.162679,0
env/episode_len,17,16,200.0,1790171872.629561,0
env/episode_len,18,17,200.0,1790174013.139858,0
env/episode_len,19,18,200.0,1790175753.993195,0
env/episode_len,20,19,200.0,1790177978.8577242,0
env/episode_len,21,20,200.0,1790179779.1044202,0
env/episode_len,22,21,200.0,1790181949.1754994,0
env/episode_len,23,22,200.0,1790183699.211669,0
env/episode_len,24,23,200.0,1790185864.4766793,0
env/episode_len,25,24,200.0,1790187607.518826,0
env/episode_len,26,25,200.0,1790189771.3050547,0
env/episode_len,27,26,200.0,1790191543.7473516,0
env/episode_len,28,27,200.0,1790193667.5086234,0
env/episode_len,29,28,200.0,1790195436.0736818,0
env/episode_len,30,29,200.0,1790197652.6813068,0
env/episode_len,31,30,200.0,1790199401.1756017,0
env/episode_len,32,31,200.0,1790201575.2843156,0
env/episode_len,33,32,200.0,1790203290.523509,0
env/episode_len,34,33,200.0,1790205454.2494283,0
env/episode_len,35,34,200.0,1790207168.3886287,0
env/episode_len,36,35,200.0,1790209298.0872276,0
env/episode_len,37,36,200.0,1790211094.640699,0
env/episode_len,38,37,200.0,1790213303.5456655,0
env/episode_len,39,38,200.0,1790215000.756718,0
env/episode_len,40,39,200.0,1790217285.139401,0
env/episode_len,41,40,200.0,1790219083.0688498,0
env/episode_len,42,41,200.0,1790221254.5186386,0
env/episode_len,43,42,200.0,1790223078.37136,0
env/episode_len,44,43,200.0,1790225338.3007698,0
env/episode_len,45,44,200.0,1790227102.885809,0
env/episode_len,46,45,200.0,1790229321.251896,0
env/episode_len,47,46,200.0,1790231067.8719099,0
env/episode_len,48,47,200.0,1790233294.313917,0
env/episode_len,49,48,200.0,1790235059.8648727,0
env/episode_len,50,49,200.0,1790237323.9778655,0
env/episode_len,51,50,200.0,1790239096.9346716,0
env/episode_len,52,51,200.0,1790241286.663221,0
env/episode_len,53,52,200.0,1790243097.1934536,0
env/episode_len,54,53,200.0,1790245308.1049235,0
env/episode_len,55,54,200.0,1790247121.0447319,0
env/episode_len,56,55,200.0,1790249316.6746824,0
env/episode_len,57,56,200.0,1790251088.8225465,0
env/episode_len,58,57,200.0,1790253292.2637753,0
env/episode_len,59,58,200.0,1790255098.5370119,0
env/episode_len,60,59,200.0,1790257365.03009,0
env/episode_len,61,60,200.0,1790259201.331075,0
env/episode_len,62,61,200.0,1790261356.6685715,0
env/episode_len,63,62,200.0,1790263242.669092,0
env/episode_len,64,63,200.0,1790265372.0058134,0
env/episode_len,65,64,200.0,1790267192.7204888,0
env/episode_len,66,65,200.0,1790269408.0838234,0
env/episode_len,67,66,200.0,1790271195.5956736,0
env/episode_len,68,67,200.0,1790273362.1930296,0
env/episode_len,69,68,200.0,1790275236.231834,0
env/episode_len,70,69,200.0,1790277530.682063,0
env/episode_len,71,70,200.0,1790279276.4683595,0
env/episode_len,72,71,200.0,1790281581.8229866,0
env/episode_len,73,72,200.0,1790283351.9924235,0
env/episode_len,74,73,200.0,1790285607.7987041,0
env/episode_len,75,74,200.0,1790287417.7637117,0
env/episode_len,76,75,200.0,1790289663.3693588,0
env/episode_len,77,76,200.0,1790291459.1198964,0
env/episode_len,78,77,200.0,1790293649.295524,0
env/episode_len,79,78,200.0,1790295390.4976127,0
env/episode_len,80,79,200.0,1790297560.759344,0
env/episode_len,81,80,200.0,1790299254.9739485,0
env/episode_len,82,81,200.0,1790301357.2769969,0
env/episode_len,83,82,200.0,1790303087.809406,0
env/episode_len,84,83,200.0,1790305201.2871509,0
env/episode_len,85,84,200.0,1790306928.4516065,0
env/episode_len,86,85,200.0,1790309044.5943038,0
env/episode_len,87,86,200.0,1790310708.1977158,0
env/episode_len,88,87,200.0,1790312852.2201633,0
env/episode_len,89,88,200.0,1790314549.6664429,0
env/episode_len,90,89,200.0,1790316716.390192,0
env/episode_len,91,90,200.0,1790318458.9714177,0
env/episode_len,92,91,200.0,1790320601.3169613,0
env/episode_len,93,92,200.0,1790322341.4236953,0
env/episode_len,94,93,200.0,1790324491.6521049,0
env/episode_len,95,94,200.0,1790326240.5317473,0
env/episode_len,96,95,200.0,1790328350.080868,0
env/episode_len,97,96,200.0,1790330059.8744676,0
env/episode_len,98,97,200.0,1790332259.4192443,0
env/episode_len,99,98,200.0,1790334000.185594,0
env/episode_len,100,99,200.0,1790336221.97196,0
env/episode_len,101,100,200.0,1790338040.3933961,0
env/episode_len,102,101,200.0,1790340181.6571646,0
env/episode_len,103,102,200.0,1790341976.1745055,0
env/episode_len,104,103,200.0,1790344102.6493359,0
env/episode_len,105,104,200.0,1790345918.6182039,0
env/episode_len,106,105,200.0,1790348044.499466,0
env/episode_len,107,106,200.0,1790349849.3990233,0
env/num_trajectories,1,0,256.0,1790140276.3456767,0
env/num_trajectories,2,1,256.0,1790142374.676594,0
env/num_trajectories,3,2,256.0,1790144149.5583632,0
env/num_trajectories,4,3,256.0,1790146310.220397,0
env/num_trajectories,5,4,256.0,1790148089.795988,0
env/num_trajectories,6,5,256.0,1790150243.385515,0
env/num_trajectories,7,6,256.0,1790152062.9676375,0
env/num_trajectories,8,7,256.0,1790154226.8112457,0
env/num_trajectories,9,8,256.0,1790156066.4299653,0
env/num_trajectories,10,9,256.0,1790158268.1739247,0
env/num_trajectories,11,10,256.0,1790160011.7449086,0
env/num_trajectories,12,11,256.0,1790162236.799951,0
env/num_trajectories,13,12,256.0,1790164031.1980174,0
env/num_trajectories,14,13,256.0,1790166160.407048,0
env/num_trajectories,15,14,256.0,1790167947.575229,0
env/num_trajectories,16,15,256.0,1790170098.1626992,0
env/num_trajectories,17,16,256.0,1790171872.6295946,0
env/num_trajectories,18,17,256.0,1790174013.1398785,0
env/num_trajectories,19,18,256.0,1790175753.993221,0
env/num_trajectories,20,19,256.0,1790177978.857748,0
env/num_trajectories,21,20,256.0,1790179779.1044545,0
env/num_trajectories,22,21,256.0,1790181949.1755202,0
env/num_trajectories,23,22,256.0,1790183699.2117033,0
env/num_trajectories,24,23,256.0,1790185864.4767013,0
env/num_trajectories,25,24,256.0,1790187607.5188591,0
env/num_trajectories,26,25,256.0,1790189771.3050783,0
env/num_trajectories,27,26,256.0,1790191543.7473772,0
env/num_trajectories,28,27,256.0,1790193667.5086467,0
env/num_trajectories,29,28,256.0,1790195436.0737138,0
env/num_trajectories,30,29,256.0,1790197652.6813297,0
env/num_trajectories,31,30,256.0,1790199401.1756387,0
env/num_trajectories,32,31,256.0,1790201575.2843363,0
env/num_trajectories,33,32,256.0,1790203290.5235417,0
env/num_trajectories,34,33,256.0,1790205454.2494469,0
env/num_trajectories,35,34,256.0,1790207168.3886619,0
env/num_trajectories,36,35,256.0,1790209298.0872476,0
env/num_trajectories,37,36,256.0,1790211094.6407325,0
env/num_trajectories,38,37,256.0,1790213303.545687,0
env/num_trajectories,39,38,256.0,1790215000.7567515,0
env/num_trajectories,40,39,256.0,1790217285.1394267,0
env/num_trajectories,41,40,256.0,1790219083.0688725,0
env/num_trajectories,42,41,256.0,1790221254.5186582,0
env/num_trajectories,43,42,256.0,1790223078.3713927,0
