tag,round,value,wall_time,segment
env/return,1,0.3203125,1789631224.6408532,0
env/return,2,0.3359375,1789631935.633363,0
env/return,3,0.34375,1789632626.2442472,0
env/return,4,0.34375,1789633320.2166762,0
env/return,5,0.46875,1789634326.0727088,0
env/return,6,0.3046875,1789635044.249665,0
env/return,7,0.4140625,1789635752.6774716,0
env/return,8,0.3671875,1789636458.9854841,0
env/return,9,0.4609375,1789637161.5091596,0
env/return,10,0.4296875,1789638243.0015259,0
env/return,11,0.3046875,1789638947.7680066,0
env/return,12,0.421875,1789639687.3968503,0
env/return,13,0.421875,1789640417.0205379,0
env/return,14,0.3828125,1789641144.4561486,0
env/return,15,0.3046875,1789642210.8664794,0
env/return,16,0.4453125,1789642948.2646594,0
env/return,17,0.375,1789643673.53747,0
env/return,18,0.359375,1789644422.3993642,0
env/return,19,0.390625,1789645146.4463053,0
env/return,20,0.34375,1789646256.8213289,0
env/return,21,0.4453125,1789647035.8128016,0
env/return,22,0.3828125,1789647796.0567594,0
env/return,23,0.4765625,1789648551.6242297,0
env/return,24,0.4765625,1789649302.9293895,0
env/return,25,0.4140625,1789650412.4069815,0
env/return,26,0.4296875,1789651216.2226756,0
env/return,27,0.5546875,1789651991.44413,0
env/return,28,0.4921875,1789652771.3336327,0
env/return,29,0.515625,1789653561.4451392,0
env/return,30,0.3671875,1789654777.8275216,0
env/return,31,0.484375,1789655600.3397198,0
env/return,32,0.390625,1789656398.0316563,0
env/return,33,0.5078125,1789657192.5133836,0
env/return,34,0.4609375,1789658000.2755818,0
env/return,35,0.484375,1789659179.784737,0
env/return,36,0.4140625,1789660004.2811666,0
env/return,37,0.5859375,1789660816.619181,0
env/return,38,0.546875,1789661627.1375446,0
env/return,39,0.515625,1789662410.719583,0
env/return,40,0.4609375,1789663590.657968,0
env/return,41,0.59375,1789664366.140658,0
env/return,42,0.4296875,1789665145.5312595,0
env/return,43,0.453125,1789665914.4031916,0
env/return,44,0.5,1789666705.1670167,0
env/return,45,0.46875,1789667848.8704464,0
env/return,46,0.6328125,1789668632.1819751,0
env/return,47,0.515625,1789669410.5285594,0
env/return,48,0.515625,1789670210.9517863,0
env/return,49,0.5859375,1789671012.320325,0
env/return,50,0.4609375,1789672229.2481833,0
env/return,51,0.515625,1789673033.9428382,0
env/return,52,0.453125,1789673807.3647869,0
env/return,53,0.53125,1789674589.9373674,0
env/return,54,0.578125,1789675382.6557546,0
env/return,55,0.4375,1789676513.5514407,0
env/return,56,0.4609375,1789677317.1709855,0
env/return,57,0.6328125,1789678116.4387486,0
env/return,58,0.46875,1789678921.2377284,0
env/return,59,0.4921875,1789679704.6774254,0
env/return,60,0.5078125,1789680885.4801476,0
env/return,61,0.515625,1789681679.3299453,0
env/return,62,0.7109375,1789682479.5636492,0
env/return,63,0.609375,1789683261.922201,0
env/return,64,0.5703125,1789684062.4216104,0
env/return,65,0.5859375,1789685233.7800496,0
env/return,66,0.46875,1789686051.9213617,0
env/return,67,0.546875,1789686860.5680013,0
env/return,68,0.5390625,1789687659.3499556,0
env/return,69,0.3828125,1789688454.9916897,0
env/return,70,0.546875,1789689673.2432597,0
env/return,71,0.53125,1789690466.6929252,0
env/return,72,0.484375,1789691264.448771,0
env/return,73,0.640625,1789692070.8041804,0
env/return,74,0.453125,1789692905.6591258,0
env/return,75,0.5546875,1789694078.4480524,0
env/return,76,0.65625,1789694887.6946795,0
env/return,77,0.53125,1789695702.7005274,0
env/return,78,0.5546875,1789696523.6657355,0
env/return,79,0.5234375,1789697337.339833,0
env/return,80,0.421875,1789698593.154686,0
env/return,81,0.546875,1789699407.9284985,0
env/return,82,0.515625,1789700231.6724155,0
env/return,83,0.3671875,1789701043.8990984,0
env/return,84,0.5625,1789701848.9999793,0
env/return,85,0.5,1789703039.6933665,0
env/return,86,0.5078125,1789703855.3799524,0
env/return,87,0.5078125,1789704684.2488685,0
env/return,88,0.421875,1789705504.9621534,0
env/return,89,0.5859375,1789706320.4493208,0
env/return,90,0.546875,1789707549.3861487,0
env/return,91,0.625,1789708388.7088284,0
env/return,92,0.5234375,1789709214.3566937,0
env/return,93,0.484375,1789710043.8039124,0
env/return,94,0.578125,1789710883.6586742,0
env/return,95,0.515625,1789712084.4866545,0
env/return,96,0.5234375,1789712907.8758311,0
env/return,97,0.578125,1789713725.3587391,0
env/return,98,0.53125,1789714553.9208543,0
env/return,99,0.4609375,1789715405.067266,0
env/return,100,0.4921875,1789716674.3616543,0
env/return,101,0.4453125,1789717494.052986,0
env/return,102,0.4140625,1789718330.2162683,0
env/return,103,0.4453125,1789719147.345524,0
env/return,104,0.484375,1789719985.97385,0
env/return,105,0.3515625,1789721188.741237,0
env/return,106,0.453125,1789722017.8010156,0
env/return,107,0.4765625,1789722833.0901463,0
env/return,108,0.5234375,1789723659.3885005,0
env/return,109,0.5078125,1789724482.2401185,0
env/return,110,0.53125,1789725755.451251,0
env/return,111,0.6640625,1789726591.607196,0
env/return,112,0.46875,1789727427.0715988,0
env/return,113,0.5078125,1789728252.1854274,0
