tag,round,value,wall_time,segment
env/success_once,1,0.3203125,1789631225.7171538,0
env/success_once,2,0.3203125,1789631942.5559027,0
env/success_once,3,0.359375,1789632639.5440958,0
env/success_once,4,0.3984375,1789633329.45523,0
env/success_once,5,0.4453125,1789634350.4374037,0
env/success_once,6,0.3046875,1789635081.4806473,0
env/success_once,7,0.40625,1789635798.71983,0
env/success_once,8,0.3828125,1789636505.4296496,0
env/success_once,9,0.4296875,1789637208.3148396,0
env/success_once,10,0.4453125,1789638271.709453,0
env/success_once,11,0.375,1789638985.8648648,0
env/success_once,12,0.4921875,1789639732.1715963,0
env/success_once,13,0.5078125,1789640470.6961374,0
env/success_once,14,0.4453125,1789641193.1348293,0
env/success_once,15,0.3125,1789642263.391902,0
env/success_once,16,0.4453125,1789643005.7535257,0
env/success_once,17,0.3828125,1789643741.1527004,0
env/success_once,18,0.390625,1789644488.6447234,0
env/success_once,19,0.5234375,1789645217.1165764,0
env/success_once,20,0.328125,1789646337.4509096,0
env/success_once,21,0.4296875,1789647125.3273387,0
env/success_once,22,0.484375,1789647898.5923154,0
env/success_once,23,0.4140625,1789648674.9367552,0
env/success_once,24,0.40625,1789649428.0229201,0
env/success_once,25,0.4296875,1789650542.8260663,0
env/success_once,26,0.4765625,1789651334.733532,0
env/success_once,27,0.4921875,1789652123.1939993,0
env/success_once,28,0.40625,1789652905.642141,0
env/success_once,29,0.4453125,1789653698.7166994,0
env/success_once,30,0.34375,1789654917.6739626,0
env/success_once,31,0.453125,1789655738.0180857,0
env/success_once,32,0.546875,1789656540.5723472,0
env/success_once,33,0.5234375,1789657365.15183,0
env/success_once,34,0.5078125,1789658188.111682,0
env/success_once,35,0.546875,1789659377.9478874,0
env/success_once,36,0.5234375,1789660196.9839435,0
env/success_once,37,0.5390625,1789661016.3891084,0
env/success_once,38,0.640625,1789661818.1495633,0
env/success_once,39,0.5546875,1789662601.4662151,0
env/success_once,40,0.453125,1789663806.9399953,0
env/success_once,41,0.609375,1789664589.6649158,0
env/success_once,42,0.4296875,1789665352.9672132,0
env/success_once,43,0.3984375,1789666134.4190662,0
env/success_once,44,0.4921875,1789666911.7952156,0
env/success_once,45,0.5,1789668058.919995,0
env/success_once,46,0.625,1789668844.4720109,0
env/success_once,47,0.515625,1789669637.5988734,0
env/success_once,48,0.5546875,1789670423.8203967,0
env/success_once,49,0.5,1789671216.6079335,0
env/success_once,50,0.453125,1789672440.0752928,0
env/success_once,51,0.4921875,1789673217.5199618,0
env/success_once,52,0.5703125,1789673984.7306874,0
env/success_once,53,0.6015625,1789674758.3309152,0
env/success_once,54,0.53125,1789675528.4589863,0
env/success_once,55,0.5390625,1789676680.4207332,0
env/success_once,56,0.4609375,1789677474.203595,0
env/success_once,57,0.578125,1789678270.5022926,0
env/success_once,58,0.5703125,1789679086.7226806,0
env/success_once,59,0.5390625,1789679883.0935798,0
env/success_once,60,0.4609375,1789681094.7781305,0
env/success_once,61,0.578125,1789681924.5360026,0
env/success_once,62,0.625,1789682751.7899313,0
env/success_once,63,0.65625,1789683550.0010865,0
env/success_once,64,0.5703125,1789684358.030576,0
