tag,round,raw_step,value,wall_time,segment
env/episode_len,1,0,200.0,1789878710.6993253,0
env/episode_len,2,1,200.0,1789879670.534027,0
env/episode_len,3,2,200.0,1789880608.4382243,0
env/episode_len,4,3,200.0,1789881548.5244474,0
env/episode_len,5,4,200.0,1789882895.7166898,0
env/episode_len,6,5,200.0,1789883901.976387,0
env/episode_len,7,6,200.0,1789884904.3010325,0
env/episode_len,8,7,200.0,1789885916.0053508,0
env/episode_len,9,8,200.0,1789886882.817543,0
env/episode_len,10,9,200.0,1789888387.2943141,0
env/episode_len,11,10,200.0,1789889399.4636226,0
env/episode_len,12,11,200.0,1789890410.2692077,0
env/episode_len,13,12,200.0,1789891400.098699,0
env/episode_len,14,13,200.0,1789892401.7092726,0
env/episode_len,15,14,200.0,1789893832.3266618,0
env/episode_len,16,15,200.0,1789894848.9545882,0
env/episode_len,17,16,200.0,1789895852.9635952,0
env/episode_len,18,17,200.0,1789896856.3822186,0
env/episode_len,19,18,200.0,1789897852.2234714,0
env/episode_len,20,19,200.0,1789899372.5571122,0
env/episode_len,21,20,200.0,1789900360.6312857,0
env/episode_len,22,21,200.0,1789901356.563198,0
env/episode_len,23,22,200.0,1789902354.11135,0
env/episode_len,24,23,200.0,1789903369.0174685,0
env/episode_len,25,24,200.0,1789904819.0169141,0
env/episode_len,26,25,200.0,1789905836.5712166,0
env/episode_len,27,26,200.0,1789906847.454759,0
env/episode_len,28,27,200.0,1789907869.4487166,0
env/episode_len,29,28,200.0,1789908884.9075794,0
env/episode_len,30,29,200.0,1789910435.084839,0
env/episode_len,31,30,200.0,1789911473.7219124,0
env/episode_len,32,31,200.0,1789912472.482156,0
env/episode_len,33,32,200.0,1789913507.0615733,0
env/episode_len,34,33,200.0,1789914503.9297853,0
env/episode_len,35,34,200.0,1789915967.2358677,0
env/episode_len,36,35,200.0,1789916980.0842943,0
env/episode_len,37,36,200.0,1789918013.146442,0
env/episode_len,38,37,200.0,1789919025.0808988,0
env/episode_len,39,38,200.0,1789920043.2339458,0
env/episode_len,40,39,200.0,1789921614.903772,0
env/episode_len,41,40,200.0,1789922673.1360512,0
env/episode_len,42,41,200.0,1789923703.8287857,0
env/episode_len,43,42,200.0,1789924734.3772268,0
env/episode_len,44,43,200.0,1789925764.1784177,0
env/episode_len,45,44,200.0,1789927261.227111,0
env/episode_len,46,45,200.0,1789928304.1885867,0
env/episode_len,47,46,200.0,1789929345.0945191,0
env/episode_len,48,47,200.0,1789930399.3913705,0
env/episode_len,49,48,200.0,1789931445.583038,0
env/episode_len,50,49,200.0,1789933037.9268565,0
env/episode_len,51,50,200.0,1789934089.0967412,0
env/episode_len,52,51,200.0,1789935122.9529028,0
env/episode_len,53,52,200.0,1789936168.9990144,0
env/episode_len,54,53,200.0,1789937212.4830525,0
env/episode_len,55,54,200.0,1789938724.1178317,0
env/episode_len,56,55,200.0,1789939795.5077739,0
env/episode_len,57,56,200.0,1789940858.6576347,0
env/episode_len,58,57,200.0,1789941888.038063,0
env/episode_len,59,58,200.0,1789942925.097976,0
env/episode_len,60,59,200.0,1789944511.4330654,0
env/episode_len,61,60,200.0,1789945561.5307417,0
env/episode_len,62,61,200.0,1789946637.4657342,0
env/episode_len,63,62,200.0,1789947692.6815605,0
env/episode_len,64,63,200.0,1789948725.6887066,0
env/episode_len,65,64,200.0,1789950241.2684715,0
env/episode_len,66,65,200.0,1789951324.083912,0
env/episode_len,67,66,200.0,1789952392.7180007,0
env/episode_len,68,67,200.0,1789953436.9047482,0
env/episode_len,69,68,200.0,1789954497.3935027,0
env/episode_len,70,69,200.0,1789956100.9696903,0
env/episode_len,71,70,200.0,1789957196.878457,0
env/episode_len,72,71,200.0,1789958284.4828606,0
env/episode_len,73,72,200.0,1789959358.992313,0
env/episode_len,74,73,200.0,1789960441.674343,0
env/episode_len,75,74,200.0,1789961981.1260138,0
env/episode_len,76,75,200.0,1789963036.3404613,0
env/episode_len,77,76,200.0,1789964135.0076663,0
env/episode_len,78,77,200.0,1789965216.9614794,0
env/episode_len,79,78,200.0,1789966283.6458259,0
env/episode_len,80,79,200.0,1789967956.4087076,0
env/episode_len,81,80,200.0,1789969043.6418777,0
env/episode_len,82,81,200.0,1789970160.493925,0
env/episode_len,83,82,200.0,1789971267.014394,0
env/episode_len,84,83,200.0,1789972344.467104,0
env/episode_len,85,84,200.0,1789973913.1604602,0
env/episode_len,86,85,200.0,1789975021.369593,0
env/episode_len,87,86,200.0,1789976126.6478329,0
env/episode_len,88,87,200.0,1789977277.1688097,0
env/episode_len,89,88,200.0,1789978420.8003817,0
env/episode_len,90,89,200.0,1789980070.2927415,0
env/episode_len,91,90,200.0,1789981185.209787,0
env/episode_len,92,91,200.0,1789982276.1359105,0
env/episode_len,93,92,200.0,1789983378.0655427,0
env/episode_len,94,93,200.0,1789984495.2289786,0
env/episode_len,95,94,200.0,1789986062.5859044,0
env/episode_len,96,95,200.0,1789987156.2807412,0
env/episode_len,97,96,200.0,1789988253.1192732,0
env/episode_len,98,97,200.0,1789989349.385902,0
env/episode_len,99,98,200.0,1789990425.4026694,0
env/episode_len,100,99,200.0,1789992078.4566352,0
env/episode_len,101,100,200.0,1789993167.3724844,0
env/episode_len,102,101,200.0,1789994245.506376,0
env/episode_len,103,102,200.0,1789995387.311652,0
env/episode_len,104,103,200.0,1789996493.4144986,0
env/episode_len,105,104,200.0,1789998128.9783456,0
env/episode_len,106,105,200.0,1789999247.1696792,0
env/episode_len,107,106,200.0,1790000345.4458318,0
env/episode_len,108,107,200.0,1790001467.3701642,0
env/episode_len,109,108,200.0,1790002570.473123,0
env/episode_len,110,109,200.0,1790004266.2965355,0
env/episode_len,111,110,200.0,1790050133.3958654,1
env/episode_len,112,111,200.0,1790051181.9795883,1
env/episode_len,113,112,200.0,1790052252.003732,1
env/episode_len,114,113,200.0,1790053265.9096804,1
env/episode_len,115,114,200.0,1790054721.9725606,1
env/episode_len,116,115,200.0,1790055777.0471303,1
env/episode_len,117,116,200.0,1790056817.4127007,1
env/episode_len,118,117,200.0,1790057911.225889,1
env/episode_len,119,118,200.0,1790058968.4872108,1
env/episode_len,120,119,200.0,1790060551.7152054,1
env/episode_len,121,120,200.0,1790061591.346473,1
env/episode_len,122,121,200.0,1790062671.4591548,1
env/num_trajectories,1,0,128.0,1789878710.6993885,0
env/num_trajectories,2,1,128.0,1789879670.5341125,0
env/num_trajectories,3,2,128.0,1789880608.4383018,0
env/num_trajectories,4,3,128.0,1789881548.5245245,0
env/num_trajectories,5,4,128.0,1789882895.7167058,0
env/num_trajectories,6,5,128.0,1789883901.9764068,0
env/num_trajectories,7,6,128.0,1789884904.3010666,0
env/num_trajectories,8,7,128.0,1789885916.005385,0
env/num_trajectories,9,8,128.0,1789886882.8175766,0
env/num_trajectories,10,9,128.0,1789888387.294342,0
env/num_trajectories,11,10,128.0,1789889399.4636977,0
env/num_trajectories,12,11,128.0,1789890410.2692416,0
env/num_trajectories,13,12,128.0,1789891400.0987744,0
env/num_trajectories,14,13,128.0,1789892401.709309,0
env/num_trajectories,15,14,128.0,1789893832.3266778,0
env/num_trajectories,16,15,128.0,1789894848.9546435,0
env/num_trajectories,17,16,128.0,1789895852.9636734,0
env/num_trajectories,18,17,128.0,1789896856.3822932,0
env/num_trajectories,19,18,128.0,1789897852.2235446,0
env/num_trajectories,20,19,128.0,1789899372.5571291,0
env/num_trajectories,21,20,128.0,1789900360.6313365,0
env/num_trajectories,22,21,128.0,1789901356.5632327,0
env/num_trajectories,23,22,128.0,1789902354.1114297,0
env/num_trajectories,24,23,128.0,1789903369.0175443,0
env/num_trajectories,25,24,128.0,1789904819.0169592,0
env/num_trajectories,26,25,128.0,1789905836.5712929,0
env/num_trajectories,27,26,128.0,1789906847.4547927,0
env/num_trajectories,28,27,128.0,1789907869.4487936,0
env/num_trajectories,29,28,128.0,1789908884.9076538,0
env/num_trajectories,30,29,128.0,1789910435.0848806,0
env/num_trajectories,31,30,128.0,1789911473.721951,0
env/num_trajectories,32,31,128.0,1789912472.4821913,0
env/num_trajectories,33,32,128.0,1789913507.061613,0
env/num_trajectories,34,33,128.0,1789914503.9298642,0
env/num_trajectories,35,34,128.0,1789915967.235906,0
env/num_trajectories,36,35,128.0,1789916980.084373,0
env/num_trajectories,37,36,128.0,1789918013.1465151,0
env/num_trajectories,38,37,128.0,1789919025.0809317,0
env/num_trajectories,39,38,128.0,1789920043.2339792,0
env/num_trajectories,40,39,128.0,1789921614.9038138,0
env/num_trajectories,41,40,128.0,1789922673.136126,0
env/num_trajectories,42,41,128.0,1789923703.8288612,0
env/num_trajectories,43,42,128.0,1789924734.377258,0
env/num_trajectories,44,43,128.0,1789925764.1784518,0
env/num_trajectories,45,44,128.0,1789927261.2271512,0
env/num_trajectories,46,45,128.0,1789928304.1886165,0
env/num_trajectories,47,46,128.0,1789929345.0945964,0
env/num_trajectories,48,47,128.0,1789930399.3914466,0
env/num_trajectories,49,48,128.0,1789931445.5831103,0
env/num_trajectories,50,49,128.0,1789933037.9269657,0
env/num_trajectories,51,50,128.0,1789934089.0968177,0
env/num_trajectories,52,51,128.0,1789935122.95294,0
env/num_trajectories,53,52,128.0,1789936168.9990711,0
env/num_trajectories,54,53,128.0,1789937212.483139,0
env/num_trajectories,55,54,128.0,1789938724.1178515,0
env/num_trajectories,56,55,128.0,1789939795.5078523,0
env/num_trajectories,57,56,128.0,1789940858.6577084,0
env/num_trajectories,58,57,128.0,1789941888.0381398,0
env/num_trajectories,59,58,128.0,1789942925.098009,0
env/num_trajectories,60,59,128.0,1789944511.4331412,0
env/num_trajectories,61,60,128.0,1789945561.5307655,0
env/num_trajectories,62,61,128.0,1789946637.4657836,0
env/num_trajectories,63,62,128.0,1789947692.6815934,0
env/num_trajectories,64,63,128.0,1789948725.6887722,0
env/num_trajectories,65,64,128.0,1789950241.2685142,0
env/num_trajectories,66,65,128.0,1789951324.0839467,0
env/num_trajectories,67,66,128.0,1789952392.7180827,0
env/num_trajectories,68,67,128.0,1789953436.9048257,0
env/num_trajectories,69,68,128.0,1789954497.393561,0
env/num_trajectories,70,69,128.0,1789956100.9697254,0
env/num_trajectories,71,70,128.0,1789957196.8785484,0
env/num_trajectories,72,71,128.0,1789958284.4828963,0
env/num_trajectories,73,72,128.0,1789959358.9923873,0
env/num_trajectories,74,73,128.0,1789960441.674418,0
env/num_trajectories,75,74,128.0,1789961981.1260538,0
env/num_trajectories,76,75,128.0,1789963036.3404944,0
env/num_trajectories,77,76,128.0,1789964135.007745,0
env/num_trajectories,78,77,128.0,1789965216.9615302,0
env/num_trajectories,79,78,128.0,1789966283.6458983,0
env/num_trajectories,80,79,128.0,1789967956.4087522,0
env/num_trajectories,81,80,128.0,1789969043.6419065,0
