tag,round,raw_step,value,wall_time,segment
env/episode_len,1,0,200.0,1790140526.8895116,0
env/episode_len,2,1,200.0,1790142808.722165,0
env/episode_len,3,2,200.0,1790144760.7990708,0
env/episode_len,4,3,200.0,1790147136.7485197,0
env/episode_len,5,4,200.0,1790149040.7411966,0
env/episode_len,6,5,200.0,1790151440.3011959,0
env/episode_len,7,6,200.0,1790153440.8992019,0
env/episode_len,8,7,200.0,1790155766.738831,0
env/episode_len,9,8,200.0,1790157781.2257051,0
env/episode_len,10,9,200.0,1790160246.255679,0
env/episode_len,11,10,200.0,1790162152.7809176,0
env/episode_len,12,11,200.0,1790164564.8590832,0
env/episode_len,13,12,200.0,1790166506.7678423,0
env/episode_len,14,13,200.0,1790168846.2072053,0
env/episode_len,15,14,200.0,1790170823.0816336,0
env/episode_len,16,15,200.0,1790173170.1053529,0
env/episode_len,17,16,200.0,1790175049.805779,0
env/episode_len,18,17,200.0,1790177366.3358753,0
env/episode_len,19,18,200.0,1790179335.903049,0
env/episode_len,20,19,200.0,1790181792.0693781,0
env/episode_len,21,20,200.0,1790183748.9681427,0
env/episode_len,22,21,200.0,1790186103.88579,0
env/episode_len,23,22,200.0,1790188023.9462538,0
env/episode_len,24,23,200.0,1790190345.1746314,0
env/episode_len,25,24,200.0,1790192231.9390345,0
env/episode_len,26,25,200.0,1790194494.5494633,0
env/episode_len,27,26,200.0,1790196422.5471168,0
env/episode_len,28,27,200.0,1790198763.1248329,0
env/episode_len,29,28,200.0,1790200662.8161168,0
env/episode_len,30,29,200.0,1790203020.835161,0
env/episode_len,31,30,200.0,1790265107.3238804,1
env/episode_len,32,31,200.0,1790267396.0855498,1
env/episode_len,33,32,200.0,1790269312.543356,1
env/episode_len,34,33,200.0,1790271583.8628113,1
env/episode_len,35,34,200.0,1790273467.286004,1
env/episode_len,36,35,200.0,1790275825.027102,1
env/episode_len,37,36,200.0,1790277843.5666509,1
env/episode_len,38,37,200.0,1790280144.1347017,1
env/episode_len,39,38,200.0,1790282117.2491019,1
env/episode_len,40,39,200.0,1790284532.443873,1
env/episode_len,41,40,200.0,1790286433.6905541,1
env/episode_len,42,41,200.0,1790288828.0546272,1
env/episode_len,43,42,200.0,1790290773.4548407,1
env/episode_len,44,43,200.0,1790293103.5939226,1
env/episode_len,45,44,200.0,1790295072.4676654,1
env/episode_len,46,45,200.0,1790297379.162523,1
env/episode_len,47,46,200.0,1790299279.647264,1
env/episode_len,48,47,200.0,1790301644.08705,1
env/episode_len,49,48,200.0,1790303629.124261,1
env/episode_len,50,49,200.0,1790306122.3550055,1
env/episode_len,51,50,200.0,1790308191.2403216,1
env/episode_len,52,51,200.0,1790310532.1684468,1
env/episode_len,53,52,200.0,1790312454.1919682,1
env/episode_len,54,53,200.0,1790314844.998656,1
env/episode_len,55,54,200.0,1790316754.6985123,1
env/episode_len,56,55,200.0,1790319098.633013,1
env/episode_len,57,56,200.0,1790321104.2148106,1
env/episode_len,58,57,200.0,1790323495.203514,1
env/episode_len,59,58,200.0,1790325451.3915164,1
env/episode_len,60,59,200.0,1790327916.6957128,1
env/episode_len,61,60,200.0,1790329856.3242648,1
env/episode_len,62,61,200.0,1790332229.990118,1
env/episode_len,63,62,200.0,1790334099.3250177,1
env/episode_len,64,63,200.0,1790336469.168992,1
env/episode_len,65,64,200.0,1790338395.6013513,1
env/episode_len,66,65,200.0,1790340806.1582856,1
env/episode_len,67,66,200.0,1790342739.8351154,1
env/episode_len,68,67,200.0,1790345199.9657533,1
env/episode_len,69,68,200.0,1790347061.678306,1
env/episode_len,70,69,200.0,1790349545.992956,1
env/num_trajectories,1,0,256.0,1790140526.889611,0
env/num_trajectories,2,1,256.0,1790142808.722259,0
env/num_trajectories,3,2,256.0,1790144760.799215,0
