timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct
2026-08-27T08:58:05+00:00,1,886906660,8,0,8,0
2026-08-27T08:59:05+00:00,1,852073712,1200,0,1200,0
2026-08-27T09:00:05+00:00,1,836894736,16025,0,16025,0
2026-08-27T09:01:06+00:00,1,841348724,16016,0,16400,0
2026-08-27T09:02:06+00:00,1,828230380,23538,2,24381,0
2026-08-27T09:03:06+00:00,1,817957736,30244,0,31344,3
2026-08-27T09:04:06+00:00,1,805978800,37405,0,38404,3
2026-08-27T09:05:06+00:00,1,796575196,49232,17,49523,61
2026-08-27T09:06:07+00:00,1,795715132,49234,98,49525,0
2026-08-27T09:07:07+00:00,1,795902500,20861,0,34039,0
2026-08-27T09:08:07+00:00,1,784009452,26300,1,34656,8
2026-08-27T09:09:07+00:00,1,769524440,33000,0,36844,1
2026-08-27T09:10:07+00:00,1,758117644,40464,0,42206,0
2026-08-27T09:11:07+00:00,1,735607208,47510,0,48740,0
2026-08-27T09:12:08+00:00,1,742233044,49942,0,50362,0
2026-08-27T09:13:08+00:00,1,741979788,49942,68,49768,0
2026-08-27T09:14:08+00:00,1,734533156,34018,2,22790,0
2026-08-27T09:15:08+00:00,1,719758716,36308,0,30456,0
2026-08-27T09:16:08+00:00,1,703946080,39418,5,37406,6
2026-08-27T09:17:09+00:00,1,692843156,45186,1,44454,0
2026-08-27T09:18:09+00:00,1,684370788,50304,0,49828,23
2026-08-27T09:19:09+00:00,1,684305992,50304,65,49828,14
2026-08-27T09:20:09+00:00,1,683255560,38302,0,33166,0
2026-08-27T09:21:09+00:00,1,681914224,39170,0,35496,40
2026-08-27T09:22:09+00:00,1,677534224,41254,0,37630,1
2026-08-27T09:23:10+00:00,1,671675672,43440,0,43604,0
2026-08-27T09:24:10+00:00,1,664755220,47320,0,49532,0
2026-08-27T09:25:10+00:00,1,661813376,51072,5,50340,46
2026-08-27T09:26:11+00:00,1,656416468,51072,83,38018,0
2026-08-27T09:27:11+00:00,1,660120920,38734,0,37540,2
2026-08-27T09:28:11+00:00,1,640060248,29198,0,29500,1
2026-08-27T09:29:11+00:00,1,638204488,31580,0,31980,31
2026-08-27T09:30:11+00:00,1,626609764,35714,1,36372,1
2026-08-27T09:31:12+00:00,1,616451164,41390,1,42502,2
2026-08-27T09:32:12+00:00,1,610503080,50674,0,50518,68
2026-08-27T09:33:12+00:00,1,609440696,50674,0,49036,0
2026-08-27T09:34:12+00:00,1,603542488,38112,0,39306,0
2026-08-27T09:35:12+00:00,1,592713100,40488,1,41480,1
2026-08-27T09:36:13+00:00,1,584411932,42874,1,44066,3
2026-08-27T09:37:13+00:00,1,567507280,44962,0,47534,0
2026-08-27T09:38:13+00:00,1,571424380,50634,0,51286,0
2026-08-27T09:39:13+00:00,1,560020716,51698,30,51286,0
2026-08-27T09:40:13+00:00,1,550320400,49918,0,41230,0
2026-08-27T09:41:14+00:00,1,535604544,42022,0,43606,1
2026-08-27T09:42:14+00:00,1,524884892,44196,0,45790,0
2026-08-27T09:43:14+00:00,1,506559140,46882,0,48674,0
2026-08-27T09:44:14+00:00,1,499486108,50845,0,52054,78
2026-08-27T09:45:14+00:00,1,486836532,52723,0,52054,69
2026-08-27T09:46:14+00:00,1,477559528,49161,0,42866,1
2026-08-27T09:47:15+00:00,1,469038672,43873,0,44850,0
2026-08-27T09:48:15+00:00,1,455502536,46249,59,47024,0
2026-08-27T09:49:15+00:00,1,447044096,48535,0,49112,0
2026-08-27T09:50:15+00:00,1,444935472,50623,0,52426,3
2026-08-27T09:51:16+00:00,1,445598952,53747,0,53591,0
2026-08-27T09:52:16+00:00,1,439755072,53747,0,41339,0
2026-08-27T09:53:16+00:00,1,433940792,51533,10,51377,100
2026-08-27T09:54:16+00:00,0,753384656
