timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-24T12:11:21+00:00,1,1829743960,5,0,5,0,24587,0,24299,0
2026-08-24T12:12:21+00:00,1,1778751708,1196,0,1196,0,19724,28,19756,85
2026-08-24T12:13:21+00:00,1,1762680736,10678,0,10834,100,31184,100,30714,100
2026-08-24T12:14:21+00:00,1,1722039976,20736,0,21218,2,44511,22,43551,79
2026-08-24T12:15:21+00:00,1,1711084276,20032,0,20420,0,42547,3,41547,8
2026-08-24T12:16:22+00:00,1,1723280048,20001,0,20091,0,43635,0,44211,15
2026-08-24T12:17:22+00:00,1,1712720744,22815,100,23203,0,46395,59,45337,0
2026-08-24T12:18:22+00:00,1,1712587376,21705,1,21795,1,44217,5,43055,2
2026-08-24T12:19:22+00:00,1,1710454976,21321,62,21371,1,45545,1,44425,80
2026-08-24T12:20:23+00:00,1,1708563044,22775,1,23715,29,47077,0,45605,56
2026-08-24T12:21:23+00:00,1,1700032544,23033,0,23121,0,44469,0,42835,6
2026-08-24T12:22:23+00:00,1,1697722364,21849,2,22035,0,48493,99,46723,1
2026-08-24T12:23:23+00:00,1,1685642696,23397,0,24081,94,46809,4,45039,0
2026-08-24T12:24:24+00:00,1,1675602696,23597,0,23685,0,57961,100,55561,100
2026-08-24T12:25:24+00:00,1,1682285640,15803,0,16191,0,45556,0,43271,81
2026-08-24T12:26:24+00:00,1,1672051852,32065,100,32453,100,53977,98,52185,99
2026-08-24T12:27:24+00:00,1,1675075388,19609,0,20509,69,45445,2,43259,3
2026-08-24T12:28:24+00:00,1,1664833696,20321,0,20923,0,44751,11,44745,0
2026-08-24T12:29:25+00:00,1,1661695820,23429,88,24329,0,47023,81,44443,0
2026-08-24T12:30:25+00:00,1,1633524948,23333,0,23421,0,47655,0,45927,0
2026-08-24T12:31:25+00:00,1,1631807192,22479,4,22881,0,46627,0,44303,2
2026-08-24T12:32:25+00:00,1,1651225044,21939,1,22745,5,47873,0,45849,0
2026-08-24T12:33:25+00:00,1,1650236200,22243,0,24033,68,47575,77,47449,86
2026-08-24T12:34:26+00:00,1,1646371128,23131,0,24031,1,46979,2,44977,0
2026-08-24T12:35:26+00:00,1,1644342604,22005,3,23041,0,47577,84,46021,0
