runner_step,bin_left,bin_right,count,fraction
0,0.0,0.1,0,0.0
0,0.1,0.2,0,0.0
0,0.2,0.3,0,0.0
0,0.3,0.4,0,0.0
0,0.4,0.5,0,0.0
0,0.5,0.6,0,0.0
0,0.6,0.7,0,0.0
0,0.7,0.8,0,0.0
0,0.8,0.9,0,0.0
0,0.9,1.0,0,0.0
0,1.0,1.1,102400,1.0
0,1.1,1.2,0,0.0
0,1.2,1.3,0,0.0
0,1.3,1.4,0,0.0
0,1.4,1.5,0,0.0
0,1.5,1.6,0,0.0
0,1.6,1.7,0,0.0
0,1.7,1.8,0,0.0
0,1.8,1.9,0,0.0
0,1.9,2.0,0,0.0
1,0.0,0.1,2046,0.01998046875
1,0.1,0.2,1877,0.018330078125
1,0.2,0.3,2784,0.0271875
1,0.3,0.4,3906,0.03814453125
1,0.4,0.5,5192,0.050703125
1,0.5,0.6,6485,0.063330078125
1,0.6,0.7,7591,0.074130859375
1,0.7,0.8,7957,0.077705078125
1,0.8,0.9,8024,0.078359375
1,0.9,1.0,7895,0.077099609375
1,1.0,1.1,7496,0.073203125
1,1.1,1.2,7106,0.06939453125
1,1.2,1.3,6473,0.063212890625
1,1.3,1.4,5688,0.055546875
1,1.4,1.5,4828,0.0471484375
1,1.5,1.6,4008,0.039140625
1,1.6,1.7,3197,0.031220703125
1,1.7,1.8,2454,0.02396484375
1,1.8,1.9,1843,0.017998046875
1,1.9,2.0,5550,0.05419921875
