timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-22T13:44:05+00:00,1,2083586356,11173888,1,0,1,0,1,0,1,0
2026-08-22T13:45:05+00:00,1,2024715212,59621806080,1187,0,1195,0,1195,0,1187,0
2026-08-22T13:46:05+00:00,1,2007327660,76515770368,11593,38,12133,100,12133,100,11725,100
2026-08-22T13:47:06+00:00,1,1999187532,83859111936,18492,0,18974,0,18974,1,18750,1
2026-08-22T13:48:06+00:00,1,1968071928,115326685184,28155,1,28701,2,28837,0,28615,0
2026-08-22T13:49:06+00:00,1,1938224344,145607131136,37546,2,38028,0,38486,0,38006,0
2026-08-22T13:50:06+00:00,1,1926269604,167339188224,49831,92,50731,81,50219,53,49739,0
2026-08-22T13:51:06+00:00,1,1924456504,169123352576,49833,98,50733,12,50221,0,49741,0
2026-08-22T13:52:07+00:00,1,1918521280,175201398784,25667,5,26035,0,33661,0,24777,0
2026-08-22T13:53:07+00:00,1,1893684276,200831913984,30199,0,29279,0,36247,0,28385,3
2026-08-22T13:54:07+00:00,1,1869479432,225589755904,38215,0,36793,0,39659,0,35435,0
2026-08-22T13:55:07+00:00,1,1846106100,249613570048,46231,0,44809,0,45683,1,42945,0
2026-08-22T13:56:08+00:00,1,1827776032,268320763904,50797,81,51250,45,51058,100,50705,100
2026-08-22T13:57:08+00:00,1,1827206208,268806352896,50797,76,51250,70,51058,0,50705,39
2026-08-22T13:58:08+00:00,1,1827230576,268712247296,36111,0,38407,0,31499,1,46517,0
2026-08-22T13:59:08+00:00,1,1825388008,270581800960,38699,0,38011,4,33975,0,36613,1
2026-08-22T14:00:09+00:00,1,1809357596,287135531008,41177,0,40693,2,38924,0,39201,0
2026-08-22T14:01:09+00:00,1,1790792280,306169671680,47920,1,44876,0,46120,0,42710,0
2026-08-22T14:02:09+00:00,1,1779372308,317624250368,50903,0,51868,0,51036,0,50159,3
2026-08-22T14:03:09+00:00,1,1778272780,318575566848,50903,91,51868,0,51036,0,51580,0
2026-08-22T14:04:09+00:00,1,1778362716,318616346624,39997,0,43593,0,37094,0,46730,0
2026-08-22T14:05:10+00:00,1,1778096748,318778372096,42579,0,41990,7,39566,0,40756,0
2026-08-22T14:06:10+00:00,1,1774554508,322310025216,45064,0,44470,1,42158,3,43140,0
2026-08-22T14:07:10+00:00,1,1764773528,332393742336,48728,0,46860,0,46334,3,45526,0
2026-08-22T14:08:10+00:00,1,1752752588,344935436288,51672,0,52222,0,51804,44,50470,0
2026-08-22T14:09:10+00:00,1,1751645372,345916145664,51672,86,52828,32,51804,0,52604,0
2026-08-22T14:10:11+00:00,1,1735428928,362567524352,56040,100,57194,100,56170,100,56970,100
2026-08-22T14:11:11+00:00,1,1748422708,349537517568,29482,0,30318,0,29358,0,30360,0
2026-08-22T14:12:11+00:00,1,1723426052,375537381376,31858,3,32694,0,31936,2,32836,0
2026-08-22T14:13:11+00:00,1,1698181376,401340596224,35824,0,36660,0,35956,0,37262,40
2026-08-22T14:14:11+00:00,1,1670089440,430172520448,43118,0,43954,0,43708,0,44602,0
2026-08-22T14:15:12+00:00,1,1660378872,439922860032,51592,0,52428,67,51724,89,52268,100
2026-08-22T14:16:12+00:00,1,1660276376,439837036544,51592,0,52428,0,51724,92,52268,95
2026-08-22T14:17:12+00:00,1,1662173952,437910675456,40178,0,39258,2,39756,0,39694,0
2026-08-22T14:18:12+00:00,1,1658141884,442130259968,42554,3,41730,0,42430,0,42166,0
2026-08-22T14:19:12+00:00,1,1649970016,450645606400,45240,74,44116,2,45016,3,44776,2
2026-08-22T14:20:13+00:00,1,1637495100,463446474752,49416,0,47726,0,49454,0,49284,0
2026-08-22T14:21:13+00:00,1,1628926340,472220545024,52360,0,52940,0,51980,100,52524,0
2026-08-22T14:22:13+00:00,1,1628659312,472393515008,52360,86,52940,0,51980,0,52524,44
2026-08-22T14:23:13+00:00,1,1624360260,476751790080,42144,0,41616,0,42358,0,41402,7
2026-08-22T14:24:13+00:00,1,1615855440,485526712320,44722,3,43994,1,44936,0,43804,1
2026-08-22T14:25:14+00:00,1,1610657196,490924335104,47202,0,46374,2,47320,0,46260,0
2026-08-22T14:26:14+00:00,1,1604643204,497089835008,49590,0,48966,0,50316,3,48644,0
2026-08-22T14:27:14+00:00,1,1595426420,506499035136,53384,0,53709,0,52748,0,52780,0
2026-08-22T14:28:14+00:00,1,1595040308,506764152832,53384,99,53709,85,52748,0,52780,69
2026-08-22T14:29:15+00:00,1,1596862376,504852119552,44142,1,43412,0,44154,2,42430,0
2026-08-22T14:30:15+00:00,1,1590248792,511717478400,46614,0,45492,1,46732,0,44890,7
2026-08-22T14:31:15+00:00,1,1574062788,528269258752,48994,0,48072,8,48910,2,47284,0
2026-08-22T14:32:15+00:00,1,1562798624,539921448960,51382,0,50456,0,52068,0,49668,0
2026-08-22T14:33:15+00:00,1,1559490600,543266680832,54409,0,54989,0,54285,0,53805,0
2026-08-22T14:34:16+00:00,0,2091903592
