timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct
2026-08-31T07:15:23+00:00,1,981776104,9,0,9,0
2026-08-31T07:15:53+00:00,1,974161144,1200,0,1200,0
2026-08-31T07:16:24+00:00,1,964570360,1200,0,1200,0
2026-08-31T07:16:54+00:00,1,938441696,1722,0,1722,0
2026-08-31T07:17:24+00:00,1,932923416,14520,100,14522,10
2026-08-31T07:17:54+00:00,1,931128348,10778,0,11162,0
2026-08-31T07:18:24+00:00,1,922110116,17500,2,18088,0
2026-08-31T07:18:54+00:00,1,909608160,22064,1,22908,5
2026-08-31T07:19:24+00:00,1,899328316,26544,2,26930,1
2026-08-31T07:19:55+00:00,1,902763172,31112,0,31498,5
2026-08-31T07:20:25+00:00,1,896563008,35736,1,35866,0
2026-08-31T07:20:55+00:00,1,890501324,40307,1,40693,1
2026-08-31T07:21:25+00:00,1,883936800,51042,0,51332,97
2026-08-31T07:21:55+00:00,1,882740976,51046,99,51336,60
2026-08-31T07:22:26+00:00,1,879045740,51046,0,51336,0
2026-08-31T07:22:56+00:00,1,875495424,40850,0,51336,82
2026-08-31T07:23:26+00:00,1,869799272,34688,0,35850,0
2026-08-31T07:23:56+00:00,1,861322028,35974,0,35370,0
2026-08-31T07:24:26+00:00,1,853450044,37468,0,36858,0
2026-08-31T07:24:56+00:00,1,846091420,39219,0,38356,0
2026-08-31T07:25:27+00:00,1,838209116,43269,0,41666,5
2026-08-31T07:25:57+00:00,1,832853052,46156,0,44367,0
2026-08-31T07:26:27+00:00,1,826986192,49707,2,47256,0
2026-08-31T07:26:57+00:00,1,823157104,52138,0,50551,0
2026-08-31T07:27:27+00:00,1,821224664,52138,0,52173,24
2026-08-31T07:27:58+00:00,1,823871944,52138,0,52173,57
2026-08-31T07:28:28+00:00,1,825993564,52138,94,52173,29
2026-08-31T07:28:58+00:00,1,826820340,39514,0,40654,0
2026-08-31T07:29:28+00:00,1,826751132,35108,1,35142,0
2026-08-31T07:29:58+00:00,1,827155836,36200,1,36234,7
2026-08-31T07:30:29+00:00,1,826982592,37488,2,37522,0
2026-08-31T07:30:59+00:00,1,823071776,39184,2,39016,0
2026-08-31T07:31:29+00:00,1,819682536,42976,3,42553,0
2026-08-31T07:31:59+00:00,1,816722520,46021,2,45771,38
2026-08-31T07:32:29+00:00,1,812704656,49005,1,48683,0
2026-08-31T07:33:00+00:00,1,807688496,51941,2,51471,37
2026-08-31T07:33:30+00:00,1,803831588,51989,29,52279,71
2026-08-31T07:34:00+00:00,1,801073060,51989,0,52279,0
2026-08-31T07:34:30+00:00,1,798300164,49911,1,52279,0
2026-08-31T07:35:00+00:00,1,797704260,38815,3,50499,0
2026-08-31T07:35:31+00:00,1,798215644,39803,0,38902,0
2026-08-31T07:36:01+00:00,1,795727072,40895,0,40093,0
2026-08-31T07:36:31+00:00,1,792419044,42089,1,41281,2
2026-08-31T07:37:01+00:00,1,788461328,43375,0,42771,77
2026-08-31T07:37:31+00:00,1,784462148,44869,2,44263,0
2026-08-31T07:38:02+00:00,1,781057676,47383,0,45753,1
2026-08-31T07:38:32+00:00,1,777949364,50879,1,48481,0
2026-08-31T07:39:02+00:00,1,771932608,52757,99,51983,0
2026-08-31T07:39:32+00:00,1,767048244,52757,42,53047,0
2026-08-31T07:40:02+00:00,1,777215308,52757,0,53047,0
2026-08-31T07:40:33+00:00,1,770510924,38627,0,53047,25
2026-08-31T07:41:03+00:00,1,765889592,60007,50,60297,96
2026-08-31T07:41:33+00:00,1,763003484,59493,70,59573,37
2026-08-31T07:42:03+00:00,1,748472016,54533,0,54823,0
2026-08-31T07:42:33+00:00,1,768275556,40773,1,41065,0
2026-08-31T07:43:03+00:00,1,765086820,29169,0,29205,0
2026-08-31T07:43:34+00:00,1,757436180,30855,0,30689,0
2026-08-31T07:44:04+00:00,1,747961060,32441,83,32381,0
2026-08-31T07:44:34+00:00,1,732235256,34701,1,34643,0
2026-08-31T07:45:04+00:00,1,736172540,38751,0,38693,0
2026-08-31T07:45:34+00:00,1,729935280,42453,0,42287,0
2026-08-31T07:46:04+00:00,1,722936124,52677,100,52969,0
2026-08-31T07:46:35+00:00,1,723156004,52679,0,52971,0
2026-08-31T07:47:05+00:00,1,723132644,52679,0,52971,0
2026-08-31T07:47:35+00:00,1,723078712,52679,0,50229,0
2026-08-31T07:48:05+00:00,1,723302364,41453,0,40313,0
2026-08-31T07:48:35+00:00,1,724232640,40967,41,41205,0
2026-08-31T07:49:06+00:00,1,721019904,42061,8,42489,0
2026-08-31T07:49:36+00:00,1,716383972,43547,0,43975,0
2026-08-31T07:50:06+00:00,1,712475032,45135,0,45467,2
2026-08-31T07:50:36+00:00,1,708896512,46625,0,47259,66
2026-08-31T07:51:06+00:00,1,704357808,49141,2,50795,0
2026-08-31T07:51:36+00:00,1,699711000,53447,52,53227,40
2026-08-31T07:52:07+00:00,1,700079100,53447,97,53227,0
2026-08-31T07:52:37+00:00,1,700109504,53447,87,53227,62
2026-08-31T07:53:07+00:00,1,700329024,50479,1,45789,0
2026-08-31T07:53:37+00:00,1,699712264,43135,0,43605,48
2026-08-31T07:54:07+00:00,1,699863920,44419,1,44995,1
2026-08-31T07:54:38+00:00,1,698724260,45905,0,46183,0
2026-08-31T07:55:08+00:00,1,697722508,47695,0,47771,43
2026-08-31T07:55:38+00:00,1,697306688,49185,0,49261,83
2026-08-31T07:56:08+00:00,1,696938588,50933,0,50755,0
2026-08-31T07:56:38+00:00,1,697230568,54471,100,53995,99
2026-08-31T07:57:08+00:00,1,697127560,54471,0,53995,100
2026-08-31T07:57:38+00:00,1,697333920,54471,78,53995,28
2026-08-31T07:58:09+00:00,1,697152688,54471,95,53699,0
2026-08-31T07:58:39+00:00,1,697589320,45457,0,44211,0
2026-08-31T07:59:09+00:00,1,697708456,45323,0,45103,0
2026-08-31T07:59:39+00:00,1,697659516,46215,1,45995,0
2026-08-31T08:00:10+00:00,1,695121280,47105,1,46885,0
2026-08-31T08:00:40+00:00,1,692745144,47997,0,47683,0
2026-08-31T08:01:10+00:00,1,690092000,48889,0,48573,3
2026-08-31T08:01:40+00:00,1,688941880,50081,0,49563,2
2026-08-31T08:02:11+00:00,1,685903772,51179,0,50757,0
2026-08-31T08:02:41+00:00,1,682478200,52169,0,51853,2
2026-08-31T08:03:11+00:00,1,670348276,54081,0,53813,2
2026-08-31T08:03:41+00:00,1,678592504,55751,88,55275,0
2026-08-31T08:04:11+00:00,1,679309984,55751,0,55275,99
2026-08-31T08:04:42+00:00,1,678339832,55751,0,55275,74
2026-08-31T08:05:12+00:00,1,669002744,46165,90,45689,100
2026-08-31T08:05:42+00:00,1,666826396,63349,77,62873,100
2026-08-31T08:06:12+00:00,1,662037292,63349,15,62873,34
2026-08-31T08:06:42+00:00,1,634790008,57353,0,56877,100
2026-08-31T08:07:12+00:00,0,925911076
