timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct
2026-08-26T13:37:30+00:00,1,919482204,4,0,4,0
2026-08-26T13:38:30+00:00,1,892956728,1195,0,1195,0
2026-08-26T13:39:30+00:00,1,875822044,16343,45,16203,41
2026-08-26T13:40:30+00:00,1,872404700,16830,0,17216,0
2026-08-26T13:41:30+00:00,1,862740492,23175,3,23561,0
2026-08-26T13:42:31+00:00,1,852947920,29078,3,29564,0
2026-08-26T13:43:31+00:00,1,841775900,35806,24,36268,0
2026-08-26T13:44:31+00:00,1,831497676,42231,4,42617,2
2026-08-26T13:45:31+00:00,1,828782616,49233,0,49525,100
2026-08-26T13:46:32+00:00,1,828179900,40145,1,49525,1
2026-08-26T13:47:32+00:00,1,818649352,24165,0,22583,2
2026-08-26T13:48:32+00:00,1,803667340,30408,0,28566,0
2026-08-26T13:49:32+00:00,1,793212316,37264,0,35518,58
2026-08-26T13:50:32+00:00,1,776248780,43502,0,42218,0
2026-08-26T13:51:33+00:00,1,766343376,49941,100,48356,1
2026-08-26T13:52:33+00:00,1,770483668,49941,84,49978,79
2026-08-26T13:53:33+00:00,1,764868280,38679,0,42495,0
2026-08-26T13:54:33+00:00,1,758852468,34611,0,34093,0
2026-08-26T13:55:34+00:00,1,769674608,36901,2,36383,4
2026-08-26T13:56:34+00:00,1,765099268,40322,1,39478,1
2026-08-26T13:57:34+00:00,1,759915408,45186,2,44412,1
2026-08-26T13:58:34+00:00,1,754957452,50304,0,50596,0
2026-08-26T13:59:34+00:00,1,754740420,50304,0,50596,0
2026-08-26T14:00:35+00:00,1,754889440,37482,0,44135,0
2026-08-26T14:01:35+00:00,1,755088440,39764,7,39164,3
2026-08-26T14:02:35+00:00,1,755360500,41650,1,41344,57
2026-08-26T14:03:35+00:00,1,748483040,43440,1,43038,0
2026-08-26T14:04:36+00:00,1,743342652,46156,0,45086,1
2026-08-26T14:05:36+00:00,1,738852420,51072,14,50780,4
2026-08-26T14:06:36+00:00,1,738108924,51072,0,51364,0
2026-08-26T14:07:36+00:00,1,725843184,58204,45,58500,87
2026-08-26T14:08:37+00:00,0,907078284
