group_id,policy,checkpoint,task,phase_axis,phase_coarse,phase_task,query_state_phase,metric,episodes,mean,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_S_raw,2,-0.15650666424638204,-0.35397842200814705,0.04096509351538294,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_S_std,2,-0.26335881874561684,-0.5920916779720783,0.06537404048084458,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_abs_R_std,2,0.6642630977158257,0.6474981089963044,0.681028086435347,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_abs_I_raw,2,0.3054528156416396,0.2721084542498274,0.3387971770334519,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_abs_I_std,2,0.5604136441057486,0.48858759541316094,0.6322396927983361,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,approach,approach,mean_y_ln,2,-8.770241014290566,-9.003949076966437,-8.536532951614694,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,grasp-contact,grasp-contact,mean_S_raw,2,-0.23232153365614377,-0.3004087993576377,-0.16423426795464985,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,grasp-contact,grasp-contact,mean_S_std,2,-0.3819670537831816,-0.46576643774303844,-0.2981676698233247,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,grasp-contact,grasp-contact,mean_abs_R_std,2,0.6327965730993601,0.575064222127888,0.6905289240708322,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,grasp-contact,grasp-contact,mean_abs_I_raw,2,0.2871508583235886,0.2550763275155766,0.31922538913160065,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
