round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/sync_weights,time/eval
1,0.32421875,,1195.200927734375,1166.510986328125,22.43027687072754,6.2197957038879395,
2,0.33984375,,1206.665283203125,1178.374755859375,22.381256103515625,5.896550178527832,
3,0.3984375,,1313.1156005859375,1281.110107421875,26.194761276245117,5.796822547912598,
4,0.4453125,,1283.6551513671875,1250.6695556640625,27.207908630371094,5.759054660797119,
5,0.45703125,0.3125,1592.0435791015625,1252.5916748046875,26.07735252380371,7.964664459228516,305.3907165527344
6,0.453125,,1395.0789794921875,1366.995849609375,25.91928482055664,2.145521402359009,
7,0.54296875,,1282.405029296875,1250.0618896484375,25.874250411987305,6.4504218101501465,
8,0.4140625,,1317.1884765625,1283.155517578125,26.083091735839844,7.933041572570801,
9,0.40234375,,1366.4075927734375,1336.986083984375,22.5308780670166,6.873605728149414,
10,0.390625,0.59375,1702.622802734375,1341.23291015625,25.036090850830078,5.771794319152832,301.8125
11,0.46875,,1299.350830078125,1272.6153564453125,25.112125396728516,1.608699083328247,
12,0.42578125,,1294.4755859375,1262.0897216796875,25.314172744750977,7.0569963455200195,
13,0.4609375,,1300.9678955078125,1269.338623046875,25.388395309448242,6.226502418518066,
14,0.4609375,,1351.8695068359375,1321.0994873046875,25.653709411621094,5.099483013153076,
15,0.5859375,0.46875,1555.3995361328125,1230.5611572265625,25.749845504760742,5.616703510284424,293.457275390625
16,0.52734375,,1283.19189453125,1255.684326171875,25.471370697021484,2.0204615592956543,
17,0.48828125,,1293.9410400390625,1262.2457275390625,25.613187789916992,6.067022323608398,
18,0.484375,,1313.505859375,1282.0880126953125,25.39682960510254,6.001300811767578,
19,0.52734375,,1323.566162109375,1292.541748046875,25.406978607177734,5.602434158325195,
20,0.51171875,0.4375,1650.25048828125,1291.2288818359375,24.567535400390625,5.728940963745117,298.6035461425781
21,0.5859375,,1255.6099853515625,1228.2412109375,25.61076545715332,1.739617109298706,
22,0.4453125,,1327.8626708984375,1297.9437255859375,24.16874885559082,5.733061790466309,
23,0.5546875,,1356.318603515625,1324.412109375,25.46162223815918,6.428801536560059,
24,0.578125,,1301.7928466796875,1269.8330078125,25.569168090820312,6.375265121459961,
