run_id,episode_id,query_idx,query_key,action_slot_start,query_state_phase,phase_coarse,phase_task,phase_source,phase_confidence
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,1,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0005,120,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0005,120,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,6,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0006,144,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,7,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0007,168,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,8,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0008,192,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,2,9,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_query0009,216,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,3,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_query0005,120,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0005,120,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,6,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_query0006,144,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,5,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_query0005,120,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,0,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0000,0,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0001,24,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,2,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0002,48,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,3,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0003,72,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,4,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0004,96,,,,,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,5,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_query0005,120,,,,,
