episode_key,source_kind,source_root,run_id,policy,checkpoint,task,cohort_id,group_id,episode_uid,episode_id,reset_id,source_seed,source_seed_provenance,success,first_success_action_slot,first_success_query,terminal_success_video_frame,any_success_after,queries,total_action_slots,episode_mean_S_raw,episode_median_S_raw,episode_mean_S_std,episode_median_S_std,episode_min_S_std,episode_max_S_std,episode_mean_abs_I_raw,episode_mean_abs_I_std,episode_mean_abs_R_std,video_path,query_scope,representative,selection_reason
pi0-adjust_bottle-fixed64-800baf80-v1::ep000000_reset100100052,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000000_reset100100052,0,100100052,100100052.0,payload_reset_id,True,,,,False,3,200,-0.08672722084228308,-0.05352026875684508,-0.14729195275307397,-0.0901064063610628,-0.28483480731216343,-0.06693464458599568,0.24255373685445134,0.3895362667414178,0.41097749252097476,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000001_reset100100066,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000001_reset100100066,1,100100066,100100066.0,payload_reset_id,True,,,,False,3,200,-0.2654606566662453,-0.3255244396119963,-0.4192281934055455,-0.4983469175750374,-0.6652966900218888,-0.09404097261971021,0.3004080344467692,0.4808076685627027,0.610338452146475,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000002_reset100100113,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000002_reset100100113,2,100100113,100100113.0,payload_reset_id,True,,,,False,3,200,-0.16391585303232525,0.0684793869366981,-0.27326765123252095,0.055372177205979874,-1.1239913943218718,0.2488162634183291,0.37256210067873335,0.5688149663960816,0.7953765333354549,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000003_reset100100088,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000003_reset100100088,3,100100088,100100088.0,payload_reset_id,False,,,,False,4,200,0.06653633674139228,0.04130144330051468,0.0880955457858148,0.05022343524346447,-0.23276806372652983,0.48470337638286004,0.3144999015761362,0.4940375974390677,0.5312589775509853,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000004_reset100100043,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000004_reset100100043,4,100100043,100100043.0,payload_reset_id,False,,,,False,4,200,-0.08984174869956335,-0.1969932893645186,-0.13692442559958884,-0.3073288173959675,-0.5771382822210461,0.6440982146146258,0.3306097497653896,0.5248169937362878,0.6805550807779714,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000005_reset100100081,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000005_reset100100081,5,100100081,100100081.0,payload_reset_id,False,,,,False,4,200,0.9925679844977275,1.06265900671856,1.5489302425245846,1.6587783290247775,0.6634303753843984,2.214733936664385,0.3973077023664572,0.6085124304850038,1.6054114196796805,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000006_reset100100144,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000006_reset100100144,6,100100144,100100144.0,payload_reset_id,True,,,,False,3,200,-0.006655573986198284,-0.017724522130380133,0.01945084085735339,-0.05450977644366147,-0.6163923821771778,0.7292546811928995,0.3776933428106048,0.6292871783614831,0.7199500122002777,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000007_reset100100098,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000007_reset100100098,7,100100098,100100098.0,payload_reset_id,True,,,,False,3,200,-0.011616006797753542,-0.12663083894065333,0.005520278762241593,-0.2008176836458997,-0.5099984420708253,0.7273769620034498,0.32131083269744504,0.5203963003625077,0.710870863657382,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000008_reset100100058,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000008_reset100100058,8,100100058,100100058.0,payload_reset_id,False,,,,False,4,200,0.21611334926790493,0.28949592804255686,0.3187145472051811,0.4190739116660108,-0.30842800802941783,0.7451383735181206,0.4139476358452471,0.6454070647423343,0.7729822302605003,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000009_reset100100130,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000009_reset100100130,9,100100130,100100130.0,payload_reset_id,False,,,,False,4,200,0.18203330649270705,0.17600033416254393,0.30875342531557454,0.3196941100562818,-0.07681624887468587,0.6724417300244205,0.37476822166966745,0.6236780679816613,0.7390457050603119,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,pre_success,False,
