group_id,policy,checkpoint,task,metric,success_episodes,failure_episodes,success_mean,failure_mean,success_minus_failure,bootstrap_ci_low,bootstrap_ci_high,inference_limit
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_S_raw,42,22,-0.08823836318524772,0.19362320097758,-0.2818615641628277,-0.4085551276893296,-0.16276948088028778,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_S_std,42,22,-0.13515774521470866,0.3008979993807293,-0.43605574459543794,-0.6302713542782211,-0.24168177781013317,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_I_raw,42,22,0.3589865100783786,0.37175764990201227,-0.012771139823633648,-0.03459981094158657,0.009010226417950266,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_I_std,42,22,0.5720252740106231,0.5916871793387912,-0.01966190532816814,-0.05468111610306128,0.015087113881267347,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_R_std,42,22,0.7527396850302398,0.8690327346668457,-0.11629304963660592,-0.22337596309409966,-0.01652598160776976,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_S_raw,16,0,0.09861858260746595,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_S_std,16,0,0.16098938053894926,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_I_raw,16,0,0.37078644836631924,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_I_std,16,0,0.6431523096224494,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_R_std,16,0,0.8372231320498473,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,episode_mean_S_raw,11,5,0.03800591074562642,0.41455249290132484,-0.3765465821556984,-0.6498662545943547,-0.09346921304004356,"episode-level descriptive bootstrap; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,episode_mean_S_std,11,5,0.054198879034568576,0.6533011864428933,-0.5991023074083247,-1.0147278402766116,-0.12343636855307218,"episode-level descriptive bootstrap; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,episode_mean_abs_I_raw,11,5,0.38804730947163707,0.5100906189798858,-0.12204330950824877,-0.24220907038415526,0.023227186507588773,"episode-level descriptive bootstrap; observational, not causal"
