group_id,policy,checkpoint,task,episode_key,episode_id,success,phase_axis,phase_coarse,phase_task,query_state_phase,queries,cells,mean_S_raw,mean_S_std,mean_abs_R_std,mean_abs_I_raw,mean_abs_I_std,mean_y_ln
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,action_phase,MOVING,approach,approach,1,24,0.04096509351538294,0.06537404048084458,0.6474981089963044,0.3387971770334519,0.6322396927983361,-8.536532951614694
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,action_phase,OPERATING,grasp-contact,grasp-contact,1,24,-0.3004087993576377,-0.46576643774303844,0.575064222127888,0.2550763275155766,0.47802236843901813,-8.907522559620544
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,action_phase,MOVING,transport-or-rotate,transport-or-rotate,2,48,0.018283586694645804,0.038837546558155835,0.6859505211610154,0.40261258963699414,0.710934363129183,-8.67871622118559
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,action_phase,OPERATING,place-release,place-release,1,24,0.27270105336167216,0.3678517410188968,0.8119733226283855,0.3994564360633359,0.7101289129472846,-8.457398590897748
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,action_phase,TRANSITION,verify,verify,2,29,0.1927192301289609,0.28049125337357417,0.5457561673105078,0.26726567612594176,0.47843354173122365,-8.548062367927791
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,6,False,action_phase,MOVING,approach,approach,2,48,-0.35397842200814705,-0.5920916779720783,0.681028086435347,0.2721084542498274,0.48858759541316094,-9.003949076966437
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,6,False,action_phase,OPERATING,grasp-contact,grasp-contact,2,48,-0.16423426795464985,-0.2981676698233247,0.6905289240708322,0.31922538913160065,0.5664072297924819,-8.924001524851887
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,6,False,action_phase,MOVING,transport-or-rotate,transport-or-rotate,2,48,0.23873933179503426,0.41949243159069344,0.6514087963941632,0.24435190119183947,0.45029540831116094,-8.413288565294394
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,6,False,action_phase,OPERATING,place-release,place-release,3,72,0.6495347611373798,0.9576915429069212,1.225606313265264,0.7141038987237036,1.0662195375214756,-8.256060763918635
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,4,True,query_state_phase,UNLABELED,UNLABELED,approach,1,1,0.04096509351538294,0.06537404048084458,0.5854060565244484,0.3367153394403758,0.5821339994360777,-8.606098111357143
