run_id,policy,task,episode_id,reset_id,source_seed,success,total_action_slots,queries,first_success_action_slot,first_success_query,video_path
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,1,0,,True,119,5,118,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,2,1,,True,117,5,116,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode1_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,3,2,,True,120,5,119,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode2_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,4,3,,True,116,5,115,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode3_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,5,4,,True,111,5,110,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode4_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,6,5,,True,109,5,108,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode5_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,7,6,,True,118,5,117,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode6_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,8,7,,True,118,5,117,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode7_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,9,8,,True,117,5,116,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode8_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,10,9,,True,120,5,119,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode9_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,11,10,,True,114,5,113,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode10_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,12,11,,True,112,5,111,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode11_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,13,12,,True,113,5,112,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode12_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,14,13,,True,117,5,116,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode13_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,15,14,,True,114,5,113,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode14_randomized-false_success-true.mp4
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,16,15,,True,117,5,116,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode15_randomized-false_success-true.mp4
