episode_uid,episode_idx,eval_epoch,source_env_rank,stage_id,local_env_slot,reset_id,success,success_at_end,return,reward,action_slots,final_query_idx,final_action_slot,termination_reason
ep000048_reset100100107,48,0,3,0,0,100100107,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000049_reset100100150,49,0,3,0,1,100100150,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000050_reset100100017,50,0,3,0,2,100100017,False,False,0.0,0.0,200,3,200,truncation
ep000051_reset100100140,51,0,3,0,3,100100140,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000052_reset100100103,52,0,3,0,4,100100103,False,False,0.0,0.0,200,3,200,truncation
ep000053_reset100100067,53,0,3,0,5,100100067,False,False,0.0,0.0,200,3,200,truncation
ep000054_reset100100121,54,0,3,0,6,100100121,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000055_reset100100007,55,0,3,0,7,100100007,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000056_reset100100041,56,0,3,0,8,100100041,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000057_reset100100031,57,0,3,0,9,100100031,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000058_reset100100075,58,0,3,0,10,100100075,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000059_reset100100146,59,0,3,0,11,100100146,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000060_reset100100021,60,0,3,0,12,100100021,False,False,0.0,0.0,200,3,200,truncation
ep000061_reset100100111,61,0,3,0,13,100100111,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000062_reset100100132,62,0,3,0,14,100100132,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000063_reset100100089,63,0,3,0,15,100100089,True,True,1.0,0.004999999888241291,200,3,200,truncation
