trace_row,query_uid,episode_idx,eval_epoch,query_idx,action_slot_start,source_env_rank,stage_id,local_env_slot,reset_id,rollout_rank,video_worker_seed,video_index,video_tile_index,video_pre_frame,video_post_frame,video_relpath,success_before,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath
0,ep000032_q000_reset100100050,32,0,0,0,2,0,0,100100050,2,2,0,0,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000032_q000_reset100100050__head.png,query_images/rollout_rank02/ep000032_q000_reset100100050__left_wrist.png,query_images/rollout_rank02/ep000032_q000_reset100100050__right_wrist.png
1,ep000033_q000_reset100100005,33,0,0,0,2,0,1,100100005,2,2,0,1,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000033_q000_reset100100005__head.png,query_images/rollout_rank02/ep000033_q000_reset100100005__left_wrist.png,query_images/rollout_rank02/ep000033_q000_reset100100005__right_wrist.png
2,ep000034_q000_reset100100122,34,0,0,0,2,0,2,100100122,2,2,0,2,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000034_q000_reset100100122__head.png,query_images/rollout_rank02/ep000034_q000_reset100100122__left_wrist.png,query_images/rollout_rank02/ep000034_q000_reset100100122__right_wrist.png
3,ep000035_q000_reset100100008,35,0,0,0,2,0,3,100100008,2,2,0,3,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000035_q000_reset100100008__head.png,query_images/rollout_rank02/ep000035_q000_reset100100008__left_wrist.png,query_images/rollout_rank02/ep000035_q000_reset100100008__right_wrist.png
4,ep000036_q000_reset100100092,36,0,0,0,2,0,4,100100092,2,2,0,4,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000036_q000_reset100100092__head.png,query_images/rollout_rank02/ep000036_q000_reset100100092__left_wrist.png,query_images/rollout_rank02/ep000036_q000_reset100100092__right_wrist.png
5,ep000037_q000_reset100100133,37,0,0,0,2,0,5,100100133,2,2,0,5,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000037_q000_reset100100133__head.png,query_images/rollout_rank02/ep000037_q000_reset100100133__left_wrist.png,query_images/rollout_rank02/ep000037_q000_reset100100133__right_wrist.png
6,ep000038_q000_reset100100157,38,0,0,0,2,0,6,100100157,2,2,0,6,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000038_q000_reset100100157__head.png,query_images/rollout_rank02/ep000038_q000_reset100100157__left_wrist.png,query_images/rollout_rank02/ep000038_q000_reset100100157__right_wrist.png
7,ep000039_q000_reset100100152,39,0,0,0,2,0,7,100100152,2,2,0,7,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000039_q000_reset100100152__head.png,query_images/rollout_rank02/ep000039_q000_reset100100152__left_wrist.png,query_images/rollout_rank02/ep000039_q000_reset100100152__right_wrist.png
8,ep000040_q000_reset100100073,40,0,0,0,2,0,8,100100073,2,2,0,8,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000040_q000_reset100100073__head.png,query_images/rollout_rank02/ep000040_q000_reset100100073__left_wrist.png,query_images/rollout_rank02/ep000040_q000_reset100100073__right_wrist.png
9,ep000041_q000_reset100100074,41,0,0,0,2,0,9,100100074,2,2,0,9,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000041_q000_reset100100074__head.png,query_images/rollout_rank02/ep000041_q000_reset100100074__left_wrist.png,query_images/rollout_rank02/ep000041_q000_reset100100074__right_wrist.png
10,ep000042_q000_reset100100168,42,0,0,0,2,0,10,100100168,2,2,0,10,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000042_q000_reset100100168__head.png,query_images/rollout_rank02/ep000042_q000_reset100100168__left_wrist.png,query_images/rollout_rank02/ep000042_q000_reset100100168__right_wrist.png
11,ep000043_q000_reset100100051,43,0,0,0,2,0,11,100100051,2,2,0,11,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000043_q000_reset100100051__head.png,query_images/rollout_rank02/ep000043_q000_reset100100051__left_wrist.png,query_images/rollout_rank02/ep000043_q000_reset100100051__right_wrist.png
12,ep000044_q000_reset100100151,44,0,0,0,2,0,12,100100151,2,2,0,12,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000044_q000_reset100100151__head.png,query_images/rollout_rank02/ep000044_q000_reset100100151__left_wrist.png,query_images/rollout_rank02/ep000044_q000_reset100100151__right_wrist.png
