trace_row,query_uid,episode_idx,eval_epoch,query_idx,action_slot_start,source_env_rank,stage_id,local_env_slot,reset_id,rollout_rank,video_worker_seed,video_index,video_tile_index,video_pre_frame,video_post_frame,video_relpath,success_before,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath
0,ep000000_q000_reset100100052,0,0,0,0,0,0,0,100100052,0,0,0,0,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000000_q000_reset100100052__head.png,query_images/rollout_rank00/ep000000_q000_reset100100052__left_wrist.png,query_images/rollout_rank00/ep000000_q000_reset100100052__right_wrist.png
1,ep000001_q000_reset100100066,1,0,0,0,0,0,1,100100066,0,0,0,1,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000001_q000_reset100100066__head.png,query_images/rollout_rank00/ep000001_q000_reset100100066__left_wrist.png,query_images/rollout_rank00/ep000001_q000_reset100100066__right_wrist.png
2,ep000002_q000_reset100100113,2,0,0,0,0,0,2,100100113,0,0,0,2,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000002_q000_reset100100113__head.png,query_images/rollout_rank00/ep000002_q000_reset100100113__left_wrist.png,query_images/rollout_rank00/ep000002_q000_reset100100113__right_wrist.png
3,ep000003_q000_reset100100088,3,0,0,0,0,0,3,100100088,0,0,0,3,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000003_q000_reset100100088__head.png,query_images/rollout_rank00/ep000003_q000_reset100100088__left_wrist.png,query_images/rollout_rank00/ep000003_q000_reset100100088__right_wrist.png
4,ep000004_q000_reset100100043,4,0,0,0,0,0,4,100100043,0,0,0,4,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000004_q000_reset100100043__head.png,query_images/rollout_rank00/ep000004_q000_reset100100043__left_wrist.png,query_images/rollout_rank00/ep000004_q000_reset100100043__right_wrist.png
5,ep000005_q000_reset100100081,5,0,0,0,0,0,5,100100081,0,0,0,5,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000005_q000_reset100100081__head.png,query_images/rollout_rank00/ep000005_q000_reset100100081__left_wrist.png,query_images/rollout_rank00/ep000005_q000_reset100100081__right_wrist.png
6,ep000006_q000_reset100100144,6,0,0,0,0,0,6,100100144,0,0,0,6,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000006_q000_reset100100144__head.png,query_images/rollout_rank00/ep000006_q000_reset100100144__left_wrist.png,query_images/rollout_rank00/ep000006_q000_reset100100144__right_wrist.png
7,ep000007_q000_reset100100098,7,0,0,0,0,0,7,100100098,0,0,0,7,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000007_q000_reset100100098__head.png,query_images/rollout_rank00/ep000007_q000_reset100100098__left_wrist.png,query_images/rollout_rank00/ep000007_q000_reset100100098__right_wrist.png
8,ep000008_q000_reset100100058,8,0,0,0,0,0,8,100100058,0,0,0,8,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000008_q000_reset100100058__head.png,query_images/rollout_rank00/ep000008_q000_reset100100058__left_wrist.png,query_images/rollout_rank00/ep000008_q000_reset100100058__right_wrist.png
9,ep000009_q000_reset100100130,9,0,0,0,0,0,9,100100130,0,0,0,9,0,1,seed_0/0.mp4,False,query_images/rollout_rank00/ep000009_q000_reset100100130__head.png,query_images/rollout_rank00/ep000009_q000_reset100100130__left_wrist.png,query_images/rollout_rank00/ep000009_q000_reset100100130__right_wrist.png
