epoch,mem_total_kib,mem_available_kib,gpu_memory_used_mib,gpu_utilization_pct
1787372939,2113418768,542102660,4,0
1787372942,2113418768,542237636,4,0
1787372944,2113418768,542238168,4,0
1787372946,2113418768,541278448,54,3
1787372948,2113418768,542516348,4,0
1787372951,2113418768,542539868,4,0
1787372953,2113418768,542289040,4,0
1787372955,2113418768,541990368,4,0
1787372957,2113418768,540763844,4,0
1787372959,2113418768,541584084,4,0
1787372962,2113418768,541577192,638,0
1787372964,2113418768,541392716,670,0
1787372966,2113418768,540226856,776,0
1787372968,2113418768,540869236,858,0
1787372970,2113418768,540829556,1216,0
1787372972,2113418768,539936996,1234,2
1787372974,2113418768,540568816,1338,7
1787372977,2113418768,540522624,1530,1
1787372979,2113418768,539698940,1994,6
1787372981,2113418768,540559792,2078,5
1787372983,2113418768,540464940,2232,44
1787372985,2113418768,539399648,2560,60
