timestamp,gpu,memory_used_mib,memory_total_mib,utilization_percent,mem_available_kb
2026-09-03T07:42:50+00:00,4,0,81559,0,2071765208
2026-09-03T07:42:50+00:00,5,0,81559,0,2071765208
2026-09-03T07:43:20+00:00,4,1145,81559,0,2053698296
2026-09-03T07:43:20+00:00,5,1145,81559,0,2053698296
2026-09-03T07:43:51+00:00,4,1172,81559,0,2046557248
2026-09-03T07:43:51+00:00,5,1167,81559,0,2046557248
2026-09-03T07:44:21+00:00,4,1667,81559,0,2046434356
2026-09-03T07:44:21+00:00,5,1709,81559,0,2046434356
2026-09-03T07:44:51+00:00,4,1667,81559,0,2045931384
2026-09-03T07:44:51+00:00,5,1667,81559,0,2045931384
2026-09-03T07:45:21+00:00,4,1667,81559,0,2017577612
2026-09-03T07:45:21+00:00,5,1667,81559,0,2017577612
2026-09-03T07:45:51+00:00,4,10733,81559,0,2027054804
2026-09-03T07:45:51+00:00,5,11117,81559,0,2027054804
2026-09-03T07:46:21+00:00,4,16422,81559,3,2019512448
2026-09-03T07:46:21+00:00,5,16808,81559,0,2019512448
2026-09-03T07:46:52+00:00,4,20896,81559,0,2012831236
2026-09-03T07:46:52+00:00,5,20824,81559,0,2012831236
2026-09-03T07:47:22+00:00,4,24915,81559,1,2006297204
2026-09-03T07:47:22+00:00,5,25301,81559,0,2006297204
2026-09-03T07:47:52+00:00,4,28935,81559,1,1999954460
2026-09-03T07:47:52+00:00,5,29321,81559,0,1999954460
2026-09-03T07:48:22+00:00,4,33298,81559,2,1993290056
2026-09-03T07:48:22+00:00,5,33334,81559,0,1993290056
2026-09-03T07:48:52+00:00,4,37316,81559,2,1987013056
2026-09-03T07:48:52+00:00,5,37346,81559,0,1987013056
2026-09-03T07:49:22+00:00,4,41329,81559,2,1978889620
2026-09-03T07:49:22+00:00,5,41715,81559,0,1978889620
2026-09-03T07:49:52+00:00,4,52579,81559,0,1973121828
2026-09-03T07:49:52+00:00,5,52869,81559,95,1973121828
2026-09-03T07:50:23+00:00,4,52581,81559,100,1972717328
2026-09-03T07:50:23+00:00,5,52869,81559,96,1972717328
2026-09-03T07:50:53+00:00,4,52581,81559,0,1972419660
2026-09-03T07:50:53+00:00,5,52871,81559,91,1972419660
2026-09-03T07:51:23+00:00,4,52581,81559,54,1972184948
2026-09-03T07:51:23+00:00,5,52871,81559,0,1972184948
2026-09-03T07:51:53+00:00,4,52581,81559,0,1972086044
2026-09-03T07:51:53+00:00,5,52871,81559,64,1972086044
2026-09-03T07:52:23+00:00,4,52581,81559,93,1971942540
2026-09-03T07:52:23+00:00,5,52871,81559,25,1971942540
2026-09-03T07:52:53+00:00,4,52581,81559,97,1971848284
2026-09-03T07:52:53+00:00,5,52871,81559,95,1971848284
2026-09-03T07:53:24+00:00,4,52581,81559,0,1971727888
2026-09-03T07:53:24+00:00,5,52871,81559,0,1971727888
2026-09-03T07:53:54+00:00,4,52581,81559,100,1971643756
2026-09-03T07:53:54+00:00,5,52871,81559,29,1971643756
2026-09-03T07:54:24+00:00,4,49797,81559,20,1959634888
2026-09-03T07:54:24+00:00,5,50055,81559,70,1959634888
2026-09-03T07:54:54+00:00,4,54430,81559,0,1962656372
2026-09-03T07:54:54+00:00,5,55050,81559,61,1962656372
2026-09-03T07:55:24+00:00,4,56452,81559,20,1961259572
2026-09-03T07:55:24+00:00,5,56744,81559,0,1961259572
2026-09-03T07:55:54+00:00,4,47266,81559,0,1950482940
2026-09-03T07:55:54+00:00,5,47606,81559,41,1950482940
2026-09-03T07:56:24+00:00,4,58040,81559,0,1934344960
2026-09-03T07:56:24+00:00,5,58332,81559,100,1934344960
