timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct
2026-08-31T10:58:37+00:00,1,670972472,9,0,9,0
2026-08-31T10:59:08+00:00,1,649112672,1146,0,1146,0
2026-08-31T10:59:38+00:00,1,643746396,9791,3,11230,0
2026-08-31T11:00:08+00:00,1,630330520,11230,0,22068,0
2026-08-31T11:00:38+00:00,1,619790380,25540,21,1677,0
2026-08-31T11:01:09+00:00,1,608374700,1704,4,1672,0
2026-08-31T11:01:39+00:00,1,585467000,4966,1,9024,3
2026-08-31T11:02:09+00:00,1,565636156,11230,0,16754,2
2026-08-31T11:02:39+00:00,1,596865720,35816,0,35814,0
2026-08-31T11:03:09+00:00,1,626882972,41030,0,41070,4
2026-08-31T11:03:39+00:00,1,626579524,41030,0,41028,0
2026-08-31T11:04:10+00:00,1,620699852,46172,0,46170,1
2026-08-31T11:04:40+00:00,1,613787060,49726,3,49980,2
2026-08-31T11:05:10+00:00,1,609584780,53482,1,53480,1
2026-08-31T11:05:40+00:00,1,604124612,56694,0,56948,0
2026-08-31T11:06:10+00:00,1,599909736,60478,0,60476,0
2026-08-31T11:06:41+00:00,1,599570076,60480,0,60478,0
2026-08-31T11:07:11+00:00,1,599173840,60480,0,60478,60
2026-08-31T11:07:41+00:00,1,599051492,60480,42,60478,0
2026-08-31T11:08:11+00:00,1,598500040,60480,0,60478,89
2026-08-31T11:08:41+00:00,1,570452860,63642,37,63642,33
2026-08-31T11:09:11+00:00,1,604296164,41644,5,41600,0
2026-08-31T11:09:41+00:00,1,603324152,41602,0,41642,0
2026-08-31T11:10:12+00:00,1,595244664,46230,8,46228,0
2026-08-31T11:10:42+00:00,1,589566700,49890,0,49960,0
2026-08-31T11:11:12+00:00,1,576332284,54712,0,54966,8
2026-08-31T11:11:42+00:00,1,568457224,59806,6,60720,0
2026-08-31T11:12:12+00:00,1,565495936,60722,46,60720,0
2026-08-31T11:12:42+00:00,1,577389152,60722,100,60720,33
2026-08-31T11:13:13+00:00,1,576947564,60722,0,60720,77
2026-08-31T11:13:43+00:00,1,553617460,60722,92,60720,9
2026-08-31T11:14:13+00:00,1,544096640,23484,0,23482,0
2026-08-31T11:14:43+00:00,1,544444560,27950,1,27948,0
2026-08-31T11:15:13+00:00,1,542553400,31246,0,31244,0
2026-08-31T11:15:44+00:00,1,541075264,34902,1,34900,0
2026-08-31T11:16:14+00:00,1,524766716,17764,0,17762,0
2026-08-31T11:16:44+00:00,0,669006064
